# _root_ Francesco Storace , sanguigno portavoce di An , è pure lui uno che con le parole va giù duro .
#goldHeads=2,9,2,5,2,5,6,7,0,12,10,9,17,17,16,14,12,17,17,19,
#predictedHeads=2,9,2,5,2,5,6,7,0,9,9,11,17,17,16,14,12,19,17,19,
(0,1),0.773803 # DEPENDENCYPART_ARC
(0,2),0.288923 # DEPENDENCYPART_ARC
(0,3),-0.370587 # DEPENDENCYPART_ARC
(0,4),-0.361752 # DEPENDENCYPART_ARC
(0,5),0.331162 # DEPENDENCYPART_ARC
(0,6),-1.26137 # DEPENDENCYPART_ARC
(0,7),0.378993 # DEPENDENCYPART_ARC
(0,8),-0.378353 # DEPENDENCYPART_ARC
(0,9),1.95269 # DEPENDENCYPART_ARC
(0,10),-0.360721 # DEPENDENCYPART_ARC
(0,11),-1.07089 # DEPENDENCYPART_ARC
(0,12),-1.04638 # DEPENDENCYPART_ARC
(0,13),-1.10084 # DEPENDENCYPART_ARC
(0,14),-2.6343 # DEPENDENCYPART_ARC
(0,15),-1.48299 # DEPENDENCYPART_ARC
(0,16),-0.320327 # DEPENDENCYPART_ARC
(0,17),0.341059 # DEPENDENCYPART_ARC
(0,18),-1.40871 # DEPENDENCYPART_ARC
(0,19),-0.992912 # DEPENDENCYPART_ARC
(0,20),-1.31936 # DEPENDENCYPART_ARC
(1,2),1.83382 # DEPENDENCYPART_ARC
(1,3),0.447261 # DEPENDENCYPART_ARC
(1,4),0.430342 # DEPENDENCYPART_ARC
(1,5),0.0172007 # DEPENDENCYPART_ARC
(1,6),0.59552 # DEPENDENCYPART_ARC
(1,7),0.172091 # DEPENDENCYPART_ARC
(1,8),-0.00224257 # DEPENDENCYPART_ARC
(1,9),0.0878224 # DEPENDENCYPART_ARC
(1,10),-0.882501 # DEPENDENCYPART_ARC
(1,11),-0.464957 # DEPENDENCYPART_ARC
(1,12),-0.404304 # DEPENDENCYPART_ARC
(1,13),-2.1792 # DEPENDENCYPART_ARC
(1,14),-1.45072 # DEPENDENCYPART_ARC
(1,15),-0.9418 # DEPENDENCYPART_ARC
(1,16),-1.91394 # DEPENDENCYPART_ARC
(1,17),-0.35514 # DEPENDENCYPART_ARC
(1,18),-1.62262 # DEPENDENCYPART_ARC
(1,19),-1.61325 # DEPENDENCYPART_ARC
(1,20),-3.27943 # DEPENDENCYPART_ARC
(2,1),4.09711 # DEPENDENCYPART_ARC
