# _root_ MONDIALI DI ATLETICA ­ PER LA BRITANNICA , MOGLIE DELL' ASTISTA IAPICHINO , TRIONFO A_SORPRESA .
#goldHeads=0,1,2,3,14,7,5,7,7,9,10,11,12,0,14,15,
#predictedHeads=0,1,2,3,1,7,5,7,7,9,10,11,12,9,14,15,
(0,1),0.793526 # DEPENDENCYPART_ARC
(0,2),-1.60635 # DEPENDENCYPART_ARC
(0,3),0.0975835 # DEPENDENCYPART_ARC
(0,4),-0.397839 # DEPENDENCYPART_ARC
(0,5),-1.35831 # DEPENDENCYPART_ARC
(0,7),0.0536236 # DEPENDENCYPART_ARC
(0,8),-0.293388 # DEPENDENCYPART_ARC
(0,9),0.448746 # DEPENDENCYPART_ARC
(0,10),-1.20821 # DEPENDENCYPART_ARC
(0,11),0.259149 # DEPENDENCYPART_ARC
(0,12),0.418393 # DEPENDENCYPART_ARC
(0,13),-0.456839 # DEPENDENCYPART_ARC
(0,14),0.643958 # DEPENDENCYPART_ARC
(0,15),-0.844976 # DEPENDENCYPART_ARC
(0,16),-0.836786 # DEPENDENCYPART_ARC
(1,2),2.50834 # DEPENDENCYPART_ARC
(1,3),1.30353 # DEPENDENCYPART_ARC
(1,4),0.300777 # DEPENDENCYPART_ARC
(1,5),0.303668 # DEPENDENCYPART_ARC
(1,6),0.169605 # DEPENDENCYPART_ARC
(1,7),0.191746 # DEPENDENCYPART_ARC
(1,8),0.87818 # DEPENDENCYPART_ARC
(1,9),0.776526 # DEPENDENCYPART_ARC
(1,10),0.331077 # DEPENDENCYPART_ARC
(1,11),0.43051 # DEPENDENCYPART_ARC
(1,12),-0.0928717 # DEPENDENCYPART_ARC
(1,13),0.298475 # DEPENDENCYPART_ARC
(1,14),0.395464 # DEPENDENCYPART_ARC
(1,15),-1.04254 # DEPENDENCYPART_ARC
(1,16),-2.67784 # DEPENDENCYPART_ARC
(2,1),-0.37524 # DEPENDENCYPART_ARC
(2,3),4.17468 # DEPENDENCYPART_ARC
(2,4),0.104647 # DEPENDENCYPART_ARC
(2,5),-0.761273 # DEPENDENCYPART_ARC
(2,6),-1.3522 # DEPENDENCYPART_ARC
(2,7),-0.560712 # DEPENDENCYPART_ARC
(2,8),-0.0831668 # DEPENDENCYPART_ARC
(2,9),-2.06157 # DEPENDENCYPART_ARC
(2,10),-1.09629 # DEPENDENCYPART_ARC
(2,11),-2.53631 # DEPENDENCYPART_ARC
(2,12),-3.24727 # DEPENDENCYPART_ARC
(2,13),-0.466142 # DEPENDENCYPART_ARC
(2,14),-4.88322 # DEPENDENCYPART_ARC
(2,15),-1.73805 # DEPENDENCYPART_ARC
(2,16),-1.8514 # DEPENDENCYPART_ARC
(3,1),-1.664 # DEPENDENCYPART_ARC
(3,2),0.0930383 # DEPENDENCYPART_ARC
(3,4),1.90968 # DEPENDENCYPART_ARC
(3,5),-0.264998 # DEPENDENCYPART_ARC
(3,6),-0.596151 # DEPENDENCYPART_ARC
(3,7),-0.356748 # DEPENDENCYPART_ARC
(3,8),0.439299 # DEPENDENCYPART_ARC
(3,9),-0.41598 # DEPENDENCYPART_ARC
(3,10),-0.225004 # DEPENDENCYPART_ARC
(3,11),-0.914502 # DEPENDENCYPART_ARC
(3,12),-0.434911 # DEPENDENCYPART_ARC
(3,13),0.410375 # DEPENDENCYPART_ARC
