# _root_ Secondo il 47,6 per_cento delle mille intervistate le candidate donne sono poche e per il 35,8 per_cento è scarso il sostegno dei partiti alle candidate di sesso femminile .
#goldHeads=11,3,1,3,4,7,5,9,11,9,0,11,11,18,16,14,16,11,18,21,18,21,22,21,24,25,26,27,28,
#predictedHeads=18,3,1,3,4,7,5,9,11,9,0,11,11,11,16,14,16,0,18,21,18,21,22,23,24,25,26,27,28,
(0,1),-1.36644 # DEPENDENCYPART_ARC
(0,2),-1.27994 # DEPENDENCYPART_ARC
(0,3),-0.517965 # DEPENDENCYPART_ARC
(0,4),-0.954398 # DEPENDENCYPART_ARC
(0,5),-1.55064 # DEPENDENCYPART_ARC
(0,6),-0.705839 # DEPENDENCYPART_ARC
(0,7),0.125147 # DEPENDENCYPART_ARC
(0,8),-1.11996 # DEPENDENCYPART_ARC
(0,9),0.360077 # DEPENDENCYPART_ARC
(0,10),0.12405 # DEPENDENCYPART_ARC
(0,11),1.36932 # DEPENDENCYPART_ARC
(0,12),-0.929349 # DEPENDENCYPART_ARC
(0,13),-1.08458 # DEPENDENCYPART_ARC
(0,14),-2.71799 # DEPENDENCYPART_ARC
(0,15),-1.50288 # DEPENDENCYPART_ARC
(0,16),-1.34033 # DEPENDENCYPART_ARC
(0,17),-1.15389 # DEPENDENCYPART_ARC
(0,18),1.66932 # DEPENDENCYPART_ARC
(0,19),-0.518233 # DEPENDENCYPART_ARC
(0,20),-1.70504 # DEPENDENCYPART_ARC
(0,21),-0.352227 # DEPENDENCYPART_ARC
(0,22),-2.38385 # DEPENDENCYPART_ARC
(0,23),-0.297306 # DEPENDENCYPART_ARC
(0,24),-3.32361 # DEPENDENCYPART_ARC
(0,25),-0.378408 # DEPENDENCYPART_ARC
(0,26),-3.46069 # DEPENDENCYPART_ARC
(0,27),1.81493 # DEPENDENCYPART_ARC
(0,28),-0.738037 # DEPENDENCYPART_ARC
(0,29),-1.91793 # DEPENDENCYPART_ARC
(1,2),0.853706 # DEPENDENCYPART_ARC
(1,3),1.12164 # DEPENDENCYPART_ARC
(1,4),0.221896 # DEPENDENCYPART_ARC
(1,5),0.269905 # DEPENDENCYPART_ARC
(1,6),0.307774 # DEPENDENCYPART_ARC
(1,7),1.296 # DEPENDENCYPART_ARC
(1,8),-0.474046 # DEPENDENCYPART_ARC
(1,9),-0.17232 # DEPENDENCYPART_ARC
(1,10),-0.691452 # DEPENDENCYPART_ARC
(1,11),-0.309451 # DEPENDENCYPART_ARC
