# _root_ Come in tutte le produzioni artigianali la fornitura avviene su ordinazione , attraverso distributori forniti di campionario , come la Tirone Edilizia di Milano che conta su un numero infinito di proposte .
#goldHeads=9,8,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,14,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
#predictedHeads=2,9,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,15,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
(0,1),-0.722765 # DEPENDENCYPART_ARC
(0,2),-1.75898 # DEPENDENCYPART_ARC
(0,3),-0.650203 # DEPENDENCYPART_ARC
(0,4),-1.11644 # DEPENDENCYPART_ARC
(0,5),-0.444452 # DEPENDENCYPART_ARC
(0,6),-0.868943 # DEPENDENCYPART_ARC
(0,7),-1.16197 # DEPENDENCYPART_ARC
(0,8),-0.535762 # DEPENDENCYPART_ARC
(0,9),1.34038 # DEPENDENCYPART_ARC
(0,10),-1.60803 # DEPENDENCYPART_ARC
(0,11),-0.533978 # DEPENDENCYPART_ARC
(0,12),-0.815396 # DEPENDENCYPART_ARC
(0,13),-1.62262 # DEPENDENCYPART_ARC
(0,14),-0.526109 # DEPENDENCYPART_ARC
(0,15),0.124982 # DEPENDENCYPART_ARC
(0,16),-2.03826 # DEPENDENCYPART_ARC
(0,17),-0.619988 # DEPENDENCYPART_ARC
(0,18),-1.03752 # DEPENDENCYPART_ARC
(0,19),-2.37847 # DEPENDENCYPART_ARC
(0,20),-1.99807 # DEPENDENCYPART_ARC
(0,21),-0.520976 # DEPENDENCYPART_ARC
(0,22),-0.447524 # DEPENDENCYPART_ARC
(0,23),-2.68976 # DEPENDENCYPART_ARC
(0,24),0.577458 # DEPENDENCYPART_ARC
(0,25),-1.69379 # DEPENDENCYPART_ARC
(0,26),0.532098 # DEPENDENCYPART_ARC
(0,27),-3.44597 # DEPENDENCYPART_ARC
(0,28),-2.057 # DEPENDENCYPART_ARC
(0,29),-2.1265 # DEPENDENCYPART_ARC
(0,30),-0.888588 # DEPENDENCYPART_ARC
(0,31),-3.76521 # DEPENDENCYPART_ARC
(0,32),-1.3622 # DEPENDENCYPART_ARC
(0,33),-2.31158 # DEPENDENCYPART_ARC
(1,2),0.934731 # DEPENDENCYPART_ARC
(1,3),0.398189 # DEPENDENCYPART_ARC
(1,4),0.288854 # DEPENDENCYPART_ARC
(1,5),0.267029 # DEPENDENCYPART_ARC
(1,6),0.00360524 # DEPENDENCYPART_ARC
(1,7),-0.102438 # DEPENDENCYPART_ARC
(1,8),-0.0441126 # DEPENDENCYPART_ARC
(1,9),0.0197581 # DEPENDENCYPART_ARC
(1,10),-0.687731 # DEPENDENCYPART_ARC
(1,11),-0.215283 # DEPENDENCYPART_ARC
(1,12),-0.0710746 # DEPENDENCYPART_ARC
(1,13),-0.948949 # DEPENDENCYPART_ARC
(1,14),-0.205391 # DEPENDENCYPART_ARC
(1,15),-0.584289 # DEPENDENCYPART_ARC
(1,16),-1.21139 # DEPENDENCYPART_ARC
(1,17),-0.253207 # DEPENDENCYPART_ARC
(1,18),-0.709952 # DEPENDENCYPART_ARC
(1,19),-1.00828 # DEPENDENCYPART_ARC
(1,20),-0.762311 # DEPENDENCYPART_ARC
(1,21),-0.400074 # DEPENDENCYPART_ARC
(1,22),-0.504278 # DEPENDENCYPART_ARC
(1,23),-1.72031 # DEPENDENCYPART_ARC
(1,24),-0.213943 # DEPENDENCYPART_ARC
(1,25),-1.30642 # DEPENDENCYPART_ARC
(1,26),-1.62475 # DEPENDENCYPART_ARC
(1,27),-1.71019 # DEPENDENCYPART_ARC
(1,28),-0.953095 # DEPENDENCYPART_ARC
(1,29),-0.731551 # DEPENDENCYPART_ARC
(1,30),-1.55916 # DEPENDENCYPART_ARC
(1,31),-2.02775 # DEPENDENCYPART_ARC
(1,32),-0.615172 # DEPENDENCYPART_ARC
(1,33),-3.05421 # DEPENDENCYPART_ARC
(2,1),1.30808 # DEPENDENCYPART_ARC
(2,3),1.12875 # DEPENDENCYPART_ARC
(2,4),-0.00237829 # DEPENDENCYPART_ARC
(2,5),1.52234 # DEPENDENCYPART_ARC
(2,6),0.263682 # DEPENDENCYPART_ARC
(2,7),-0.622637 # DEPENDENCYPART_ARC
(2,8),-0.239794 # DEPENDENCYPART_ARC
(2,9),-0.992268 # DEPENDENCYPART_ARC
(2,10),-0.72155 # DEPENDENCYPART_ARC
(2,11),-2.15273 # DEPENDENCYPART_ARC
(2,12),0.0180711 # DEPENDENCYPART_ARC
(2,13),-0.957295 # DEPENDENCYPART_ARC
(2,14),-3.26678 # DEPENDENCYPART_ARC
(2,15),-2.09731 # DEPENDENCYPART_ARC
(2,16),-1.63277 # DEPENDENCYPART_ARC
(2,17),-4.59456 # DEPENDENCYPART_ARC
(2,18),-0.174259 # DEPENDENCYPART_ARC
(2,19),-1.80235 # DEPENDENCYPART_ARC
(2,20),-1.4123 # DEPENDENCYPART_ARC
(2,21),-6.57333 # DEPENDENCYPART_ARC
(2,22),-7.75553 # DEPENDENCYPART_ARC
(2,23),-2.42913 # DEPENDENCYPART_ARC
(2,24),-8.2431 # DEPENDENCYPART_ARC
(2,25),-4.24106 # DEPENDENCYPART_ARC
(2,26),-4.19855 # DEPENDENCYPART_ARC
(2,27),-1.94839 # DEPENDENCYPART_ARC
(2,28),-1.91606 # DEPENDENCYPART_ARC
(2,29),-10.6306 # DEPENDENCYPART_ARC
(2,30),-1.46315 # DEPENDENCYPART_ARC
(2,31),-2.90954 # DEPENDENCYPART_ARC
(2,32),-11.4244 # DEPENDENCYPART_ARC
(2,33),-3.00807 # DEPENDENCYPART_ARC
(3,1),-0.82645 # DEPENDENCYPART_ARC
(3,2),0.0574687 # DEPENDENCYPART_ARC
(3,4),0.698606 # DEPENDENCYPART_ARC
(3,5),-0.141262 # DEPENDENCYPART_ARC
(3,6),0.628853 # DEPENDENCYPART_ARC
(3,7),-0.53258 # DEPENDENCYPART_ARC
(3,8),-0.843705 # DEPENDENCYPART_ARC
(3,9),-0.588536 # DEPENDENCYPART_ARC
(3,10),-0.527497 # DEPENDENCYPART_ARC
(3,11),-1.21254 # DEPENDENCYPART_ARC
(3,12),-0.463047 # DEPENDENCYPART_ARC
(3,13),-0.677141 # DEPENDENCYPART_ARC
(3,14),-1.1938 # DEPENDENCYPART_ARC
(3,15),-0.359615 # DEPENDENCYPART_ARC
(3,16),-0.736293 # DEPENDENCYPART_ARC
(3,17),-1.32963 # DEPENDENCYPART_ARC
(3,18),-0.691818 # DEPENDENCYPART_ARC
(3,19),-0.97464 # DEPENDENCYPART_ARC
(3,20),-1.20337 # DEPENDENCYPART_ARC
(3,21),-1.26203 # DEPENDENCYPART_ARC
(3,22),-1.383 # DEPENDENCYPART_ARC
(3,23),-0.895811 # DEPENDENCYPART_ARC
(3,24),-1.41164 # DEPENDENCYPART_ARC
(3,25),-1.19162 # DEPENDENCYPART_ARC
(3,26),-1.54574 # DEPENDENCYPART_ARC
(3,27),-1.38419 # DEPENDENCYPART_ARC
