# _root_ Non ci crederà , lo sa che alla fine le Erinni sono andate a congratular- si con lei ? " Cara Alessandra , siamo così contente " .
#goldHeads=3,3,0,3,6,3,6,13,8,11,13,13,7,13,14,15,15,17,18,21,22,24,22,0,26,24,26,27,
#predictedHeads=3,3,0,3,6,3,6,13,8,11,13,13,7,13,14,15,15,17,18,21,22,18,22,13,26,24,26,27,
(0,1),-0.736648 # DEPENDENCYPART_ARC
(0,2),-1.08001 # DEPENDENCYPART_ARC
(0,3),0.673988 # DEPENDENCYPART_ARC
(0,4),-0.755975 # DEPENDENCYPART_ARC
(0,5),-1.03395 # DEPENDENCYPART_ARC
(0,6),0.652049 # DEPENDENCYPART_ARC
(0,7),-0.636918 # DEPENDENCYPART_ARC
(0,8),-1.37448 # DEPENDENCYPART_ARC
(0,9),-0.749191 # DEPENDENCYPART_ARC
(0,10),-1.50556 # DEPENDENCYPART_ARC
(0,11),-0.74454 # DEPENDENCYPART_ARC
(0,12),0.122073 # DEPENDENCYPART_ARC
(0,13),0.383282 # DEPENDENCYPART_ARC
(0,14),-2.11731 # DEPENDENCYPART_ARC
(0,15),-0.76272 # DEPENDENCYPART_ARC
(0,16),-1.68251 # DEPENDENCYPART_ARC
(0,17),-3.09992 # DEPENDENCYPART_ARC
(0,18),-1.70717 # DEPENDENCYPART_ARC
(0,19),-1.40555 # DEPENDENCYPART_ARC
(0,20),-1.59212 # DEPENDENCYPART_ARC
(0,21),-1.30322 # DEPENDENCYPART_ARC
(0,22),-1.44368 # DEPENDENCYPART_ARC
(0,23),-1.37298 # DEPENDENCYPART_ARC
(0,24),0.103941 # DEPENDENCYPART_ARC
(0,25),-2.06824 # DEPENDENCYPART_ARC
(0,26),-1.79917 # DEPENDENCYPART_ARC
(0,27),-1.95158 # DEPENDENCYPART_ARC
(0,28),-1.89434 # DEPENDENCYPART_ARC
(1,2),-0.128066 # DEPENDENCYPART_ARC
(1,3),-0.420093 # DEPENDENCYPART_ARC
(1,4),-0.529499 # DEPENDENCYPART_ARC
(1,5),-1.61756 # DEPENDENCYPART_ARC
(1,6),-1.04292 # DEPENDENCYPART_ARC
(1,7),-1.16906 # DEPENDENCYPART_ARC
(1,8),-1.73165 # DEPENDENCYPART_ARC
(1,9),-1.9867 # DEPENDENCYPART_ARC
(1,10),-1.64734 # DEPENDENCYPART_ARC
(1,11),-2.22206 # DEPENDENCYPART_ARC
(1,12),-1.63948 # DEPENDENCYPART_ARC
(1,13),-1.85426 # DEPENDENCYPART_ARC
(1,14),-2.15603 # DEPENDENCYPART_ARC
(1,15),-1.81196 # DEPENDENCYPART_ARC
(1,16),-2.2429 # DEPENDENCYPART_ARC
(1,17),-2.12414 # DEPENDENCYPART_ARC
(1,18),-2.12426 # DEPENDENCYPART_ARC
(1,19),-2.13494 # DEPENDENCYPART_ARC
(1,20),-2.96913 # DEPENDENCYPART_ARC
(1,21),-2.38648 # DEPENDENCYPART_ARC
(1,22),-2.87181 # DEPENDENCYPART_ARC
(1,23),-2.40857 # DEPENDENCYPART_ARC
(1,24),-2.60989 # DEPENDENCYPART_ARC
(1,25),-2.46472 # DEPENDENCYPART_ARC
(1,26),-2.54922 # DEPENDENCYPART_ARC
(1,27),-3.62293 # DEPENDENCYPART_ARC
(1,28),-3.40959 # DEPENDENCYPART_ARC
(2,1),0.485079 # DEPENDENCYPART_ARC
(2,3),0.0820189 # DEPENDENCYPART_ARC
(2,4),-0.277343 # DEPENDENCYPART_ARC
(2,5),-0.522563 # DEPENDENCYPART_ARC
(2,6),-1.13658 # DEPENDENCYPART_ARC
(2,7),-0.788122 # DEPENDENCYPART_ARC
(2,8),-2.42547 # DEPENDENCYPART_ARC
(2,9),-1.32297 # DEPENDENCYPART_ARC
(2,10),-1.55883 # DEPENDENCYPART_ARC
(2,11),-1.36116 # DEPENDENCYPART_ARC
(2,12),-2.15199 # DEPENDENCYPART_ARC
(2,13),-2.49112 # DEPENDENCYPART_ARC
(2,14),-2.18183 # DEPENDENCYPART_ARC
(2,15),-2.20232 # DEPENDENCYPART_ARC
(2,16),-2.08419 # DEPENDENCYPART_ARC
(2,17),-2.25476 # DEPENDENCYPART_ARC
(2,18),-1.94615 # DEPENDENCYPART_ARC
(2,19),-1.69439 # DEPENDENCYPART_ARC
(2,20),-2.29469 # DEPENDENCYPART_ARC
(2,21),-1.41959 # DEPENDENCYPART_ARC
(2,22),-1.92575 # DEPENDENCYPART_ARC
(2,23),-2.08572 # DEPENDENCYPART_ARC
(2,24),-3.84801 # DEPENDENCYPART_ARC
(2,25),-2.27082 # DEPENDENCYPART_ARC
(2,26),-1.68589 # DEPENDENCYPART_ARC
(2,27),-2.79114 # DEPENDENCYPART_ARC
(2,28),-2.6488 # DEPENDENCYPART_ARC
(3,1),2.52237 # DEPENDENCYPART_ARC
(3,2),4.2527 # DEPENDENCYPART_ARC
(3,4),2.36774 # DEPENDENCYPART_ARC
(3,5),1.0293 # DEPENDENCYPART_ARC
(3,6),1.38838 # DEPENDENCYPART_ARC
(3,7),0.5164 # DEPENDENCYPART_ARC
(3,8),0.154661 # DEPENDENCYPART_ARC
(3,9),-0.793826 # DEPENDENCYPART_ARC
(3,10),-1.63502 # DEPENDENCYPART_ARC
(3,11),-0.646004 # DEPENDENCYPART_ARC
(3,12),0.259495 # DEPENDENCYPART_ARC
(3,13),0.378172 # DEPENDENCYPART_ARC
(3,14),0.0204033 # DEPENDENCYPART_ARC
(3,15),0.0998178 # DEPENDENCYPART_ARC
(3,16),-0.931753 # DEPENDENCYPART_ARC
(3,17),-0.361944 # DEPENDENCYPART_ARC
(3,18),-0.764316 # DEPENDENCYPART_ARC
(3,19),-1.53685 # DEPENDENCYPART_ARC
(3,20),-2.45358 # DEPENDENCYPART_ARC
(3,21),-1.60593 # DEPENDENCYPART_ARC
(3,22),-2.23522 # DEPENDENCYPART_ARC
(3,23),-0.177647 # DEPENDENCYPART_ARC
(3,24),-0.431187 # DEPENDENCYPART_ARC
(3,25),-1.49893 # DEPENDENCYPART_ARC
(3,26),-1.60415 # DEPENDENCYPART_ARC
(3,27),-3.87933 # DEPENDENCYPART_ARC
(3,28),-3.1789 # DEPENDENCYPART_ARC
(4,1),-1.81953 # DEPENDENCYPART_ARC
(4,2),-1.53129 # DEPENDENCYPART_ARC
(4,3),-0.98294 # DEPENDENCYPART_ARC
(4,5),-0.977762 # DEPENDENCYPART_ARC
(4,6),-1.49699 # DEPENDENCYPART_ARC
(4,7),-2.02286 # DEPENDENCYPART_ARC
(4,8),-2.34924 # DEPENDENCYPART_ARC
(4,9),-2.34506 # DEPENDENCYPART_ARC
(4,10),-2.35135 # DEPENDENCYPART_ARC
(4,11),-2.52353 # DEPENDENCYPART_ARC
(4,12),-2.28161 # DEPENDENCYPART_ARC
(4,13),-2.41519 # DEPENDENCYPART_ARC
(4,14),-2.73965 # DEPENDENCYPART_ARC
(4,15),-2.60553 # DEPENDENCYPART_ARC
(4,16),-2.82367 # DEPENDENCYPART_ARC
(4,17),-2.85031 # DEPENDENCYPART_ARC
(4,18),-2.8058 # DEPENDENCYPART_ARC
(4,19),-1.84728 # DEPENDENCYPART_ARC
