# _root_ È accaduto nei_pressi_della pizzeria " Don Ciccio " , in via Ramaglia , nel quartiere Marianella .
#goldHeads=2,0,2,3,6,4,6,7,8,4,10,11,12,11,14,15,16,
#predictedHeads=2,0,2,3,6,4,6,7,8,6,10,11,12,11,14,15,16,
(0,1),0.458329 # DEPENDENCYPART_ARC
(0,2),-0.0083771 # DEPENDENCYPART_ARC
(0,3),-1.85046 # DEPENDENCYPART_ARC
(0,4),-1.09289 # DEPENDENCYPART_ARC
(0,5),-1.71886 # DEPENDENCYPART_ARC
(0,6),0.122749 # DEPENDENCYPART_ARC
(0,7),-0.680298 # DEPENDENCYPART_ARC
(0,8),-1.518 # DEPENDENCYPART_ARC
(0,9),-1.30425 # DEPENDENCYPART_ARC
(0,10),-2.36675 # DEPENDENCYPART_ARC
(0,11),-0.946362 # DEPENDENCYPART_ARC
(0,12),-0.61928 # DEPENDENCYPART_ARC
(0,13),-1.40924 # DEPENDENCYPART_ARC
(0,14),-1.74877 # DEPENDENCYPART_ARC
(0,15),-0.893328 # DEPENDENCYPART_ARC
(0,16),-0.578805 # DEPENDENCYPART_ARC
(0,17),-1.76583 # DEPENDENCYPART_ARC
(1,2),1.18942 # DEPENDENCYPART_ARC
(1,3),0.663306 # DEPENDENCYPART_ARC
(1,4),0.0610298 # DEPENDENCYPART_ARC
(1,5),-0.922631 # DEPENDENCYPART_ARC
(1,6),-0.483741 # DEPENDENCYPART_ARC
(1,7),-0.97375 # DEPENDENCYPART_ARC
(1,8),-1.36902 # DEPENDENCYPART_ARC
(1,9),-0.351648 # DEPENDENCYPART_ARC
(1,10),-1.30887 # DEPENDENCYPART_ARC
(1,11),-1.80177 # DEPENDENCYPART_ARC
(1,12),-1.97215 # DEPENDENCYPART_ARC
(1,13),-0.629997 # DEPENDENCYPART_ARC
(1,14),-1.77749 # DEPENDENCYPART_ARC
(1,15),-2.91563 # DEPENDENCYPART_ARC
(1,16),-2.83846 # DEPENDENCYPART_ARC
(1,17),-2.47644 # DEPENDENCYPART_ARC
(2,1),4.41576 # DEPENDENCYPART_ARC
(2,3),2.99845 # DEPENDENCYPART_ARC
(2,4),1.70818 # DEPENDENCYPART_ARC
(2,5),-0.383453 # DEPENDENCYPART_ARC
(2,6),0.634925 # DEPENDENCYPART_ARC
(2,7),0.816582 # DEPENDENCYPART_ARC
(2,8),-0.908396 # DEPENDENCYPART_ARC
