# _root_ Appesi ai muri , costose litografie fuori commercio e quadri impressionisti , dono di mecenati .
#goldHeads=6,1,2,3,6,0,6,7,6,6,10,11,6,13,14,15,
#predictedHeads=0,1,2,3,6,1,6,7,8,6,10,11,6,13,14,15,
(0,1),0.181403 # DEPENDENCYPART_ARC
(0,2),-1.5631 # DEPENDENCYPART_ARC
(0,3),-0.0474585 # DEPENDENCYPART_ARC
(0,4),-0.937432 # DEPENDENCYPART_ARC
(0,5),-1.22601 # DEPENDENCYPART_ARC
(0,6),0.0531621 # DEPENDENCYPART_ARC
(0,7),-1.63308 # DEPENDENCYPART_ARC
(0,8),-0.134832 # DEPENDENCYPART_ARC
(0,9),-1.27283 # DEPENDENCYPART_ARC
(0,10),-0.21307 # DEPENDENCYPART_ARC
(0,11),-1.08869 # DEPENDENCYPART_ARC
(0,12),-0.901079 # DEPENDENCYPART_ARC
(0,13),0.451219 # DEPENDENCYPART_ARC
(0,14),-2.1334 # DEPENDENCYPART_ARC
(0,15),-0.35113 # DEPENDENCYPART_ARC
(0,16),-1.25679 # DEPENDENCYPART_ARC
(1,2),3.23053 # DEPENDENCYPART_ARC
(1,3),2.03623 # DEPENDENCYPART_ARC
(1,4),1.28287 # DEPENDENCYPART_ARC
(1,5),0.466496 # DEPENDENCYPART_ARC
(1,6),0.74216 # DEPENDENCYPART_ARC
(1,7),0.879394 # DEPENDENCYPART_ARC
(1,8),-0.72368 # DEPENDENCYPART_ARC
(1,9),1.03012 # DEPENDENCYPART_ARC
(1,10),-0.28434 # DEPENDENCYPART_ARC
(1,11),-0.109794 # DEPENDENCYPART_ARC
(1,12),0.489023 # DEPENDENCYPART_ARC
(1,13),-1.38341 # DEPENDENCYPART_ARC
(1,14),-0.950653 # DEPENDENCYPART_ARC
(1,15),-1.02289 # DEPENDENCYPART_ARC
(1,16),-1.28051 # DEPENDENCYPART_ARC
(2,1),-0.074858 # DEPENDENCYPART_ARC
(2,3),5.11815 # DEPENDENCYPART_ARC
(2,4),0.780651 # DEPENDENCYPART_ARC
(2,5),-0.342305 # DEPENDENCYPART_ARC
(2,6),0.0520393 # DEPENDENCYPART_ARC
(2,7),-0.659866 # DEPENDENCYPART_ARC
(2,8),-1.0095 # DEPENDENCYPART_ARC
(2,9),0.337396 # DEPENDENCYPART_ARC
(2,10),-1.75413 # DEPENDENCYPART_ARC
(2,11),-0.502468 # DEPENDENCYPART_ARC
(2,12),0.157259 # DEPENDENCYPART_ARC
(2,13),-3.78736 # DEPENDENCYPART_ARC
(2,14),-1.31 # DEPENDENCYPART_ARC
(2,15),-2.849 # DEPENDENCYPART_ARC
(2,16),-0.973648 # DEPENDENCYPART_ARC
(3,1),0.795229 # DEPENDENCYPART_ARC
(3,2),1.18695 # DEPENDENCYPART_ARC
(3,4),2.01632 # DEPENDENCYPART_ARC
(3,5),1.1685 # DEPENDENCYPART_ARC
(3,6),0.741114 # DEPENDENCYPART_ARC
