# _root_ Una sorta di minimalismo , venato forse di ipocrisia , ma proprio al confine col rispetto e la riservatezza .
#goldHeads=2,0,2,3,4,4,6,6,8,9,4,13,4,13,14,15,16,19,16,19,
#predictedHeads=2,0,2,3,4,2,6,6,8,9,6,13,6,13,14,15,16,19,16,19,
(0,1),-0.434033 # DEPENDENCYPART_ARC
(0,2),-0.486475 # DEPENDENCYPART_ARC
(0,3),-1.09455 # DEPENDENCYPART_ARC
(0,4),-0.0549561 # DEPENDENCYPART_ARC
(0,5),-0.644959 # DEPENDENCYPART_ARC
(0,6),0.759076 # DEPENDENCYPART_ARC
(0,7),-1.02265 # DEPENDENCYPART_ARC
(0,8),-1.41997 # DEPENDENCYPART_ARC
(0,9),-0.223842 # DEPENDENCYPART_ARC
(0,10),-0.715884 # DEPENDENCYPART_ARC
(0,11),-0.552429 # DEPENDENCYPART_ARC
(0,12),-0.824976 # DEPENDENCYPART_ARC
(0,13),-1.06935 # DEPENDENCYPART_ARC
(0,14),-0.303911 # DEPENDENCYPART_ARC
(0,15),-1.66612 # DEPENDENCYPART_ARC
(0,16),-0.361041 # DEPENDENCYPART_ARC
(0,17),-1.34657 # DEPENDENCYPART_ARC
(0,18),-1.86093 # DEPENDENCYPART_ARC
(0,19),-0.702294 # DEPENDENCYPART_ARC
(0,20),-1.31577 # DEPENDENCYPART_ARC
(1,2),1.03713 # DEPENDENCYPART_ARC
(1,3),0.259198 # DEPENDENCYPART_ARC
(1,4),-0.496858 # DEPENDENCYPART_ARC
(1,5),-0.223392 # DEPENDENCYPART_ARC
(1,6),-0.920592 # DEPENDENCYPART_ARC
(1,7),-1.05642 # DEPENDENCYPART_ARC
(1,8),-0.607825 # DEPENDENCYPART_ARC
(1,9),-0.808246 # DEPENDENCYPART_ARC
(1,10),-0.571881 # DEPENDENCYPART_ARC
(1,11),-0.596442 # DEPENDENCYPART_ARC
(1,12),-1.18294 # DEPENDENCYPART_ARC
(1,13),-1.24654 # DEPENDENCYPART_ARC
(1,14),-1.26766 # DEPENDENCYPART_ARC
(1,15),-1.22057 # DEPENDENCYPART_ARC
(1,16),-1.32729 # DEPENDENCYPART_ARC
(1,17),-0.708798 # DEPENDENCYPART_ARC
(1,18),-1.49751 # DEPENDENCYPART_ARC
(1,19),-0.931391 # DEPENDENCYPART_ARC
(1,20),-1.20798 # DEPENDENCYPART_ARC
(2,1),4.00092 # DEPENDENCYPART_ARC
(2,3),3.034 # DEPENDENCYPART_ARC
(2,4),1.48515 # DEPENDENCYPART_ARC
(2,5),0.801608 # DEPENDENCYPART_ARC
(2,6),1.23919 # DEPENDENCYPART_ARC
(2,7),-0.266493 # DEPENDENCYPART_ARC
(2,8),0.209695 # DEPENDENCYPART_ARC
(2,9),0.166689 # DEPENDENCYPART_ARC
(2,10),0.71904 # DEPENDENCYPART_ARC
(2,11),0.259354 # DEPENDENCYPART_ARC
(2,12),-0.379645 # DEPENDENCYPART_ARC
(2,13),-0.726194 # DEPENDENCYPART_ARC
(2,14),-0.0400357 # DEPENDENCYPART_ARC
(2,15),-0.177617 # DEPENDENCYPART_ARC
(2,16),-0.358299 # DEPENDENCYPART_ARC
(2,17),0.656739 # DEPENDENCYPART_ARC
(2,18),-0.0443237 # DEPENDENCYPART_ARC
(2,19),-0.359179 # DEPENDENCYPART_ARC
(2,20),-2.60059 # DEPENDENCYPART_ARC
(3,1),-0.490887 # DEPENDENCYPART_ARC
(3,2),-0.291602 # DEPENDENCYPART_ARC
(3,4),4.45064 # DEPENDENCYPART_ARC
(3,5),0.272511 # DEPENDENCYPART_ARC
(3,6),0.017588 # DEPENDENCYPART_ARC
(3,7),-0.745216 # DEPENDENCYPART_ARC
(3,8),-0.0101991 # DEPENDENCYPART_ARC
(3,9),-0.580753 # DEPENDENCYPART_ARC
(3,10),-0.143767 # DEPENDENCYPART_ARC
(3,11),-0.543198 # DEPENDENCYPART_ARC
(3,12),-1.27095 # DEPENDENCYPART_ARC
(3,13),-0.950375 # DEPENDENCYPART_ARC
(3,14),-2.6449 # DEPENDENCYPART_ARC
(3,15),-1.61439 # DEPENDENCYPART_ARC
(3,16),-3.5569 # DEPENDENCYPART_ARC
(3,17),-0.973661 # DEPENDENCYPART_ARC
(3,18),-1.58858 # DEPENDENCYPART_ARC
(3,19),-5.20522 # DEPENDENCYPART_ARC
(3,20),-1.86873 # DEPENDENCYPART_ARC
(4,1),-0.0111594 # DEPENDENCYPART_ARC
(4,2),-2.00077 # DEPENDENCYPART_ARC
(4,3),0.547723 # DEPENDENCYPART_ARC
(4,5),2.1266 # DEPENDENCYPART_ARC
(4,6),0.935366 # DEPENDENCYPART_ARC
(4,7),-0.6276 # DEPENDENCYPART_ARC
(4,8),-0.0907104 # DEPENDENCYPART_ARC
(4,9),-0.426907 # DEPENDENCYPART_ARC
(4,10),0.164408 # DEPENDENCYPART_ARC
(4,11),-0.38865 # DEPENDENCYPART_ARC
(4,12),-0.999171 # DEPENDENCYPART_ARC
(4,13),-1.55117 # DEPENDENCYPART_ARC
(4,14),-0.777298 # DEPENDENCYPART_ARC
(4,15),-1.13639 # DEPENDENCYPART_ARC
(4,16),-0.895369 # DEPENDENCYPART_ARC
(4,17),-0.419845 # DEPENDENCYPART_ARC
(4,18),-1.25477 # DEPENDENCYPART_ARC
(4,19),-1.42781 # DEPENDENCYPART_ARC
(4,20),-2.23965 # DEPENDENCYPART_ARC
(5,1),-1.68218 # DEPENDENCYPART_ARC
(5,2),-1.96214 # DEPENDENCYPART_ARC
(5,3),-1.19855 # DEPENDENCYPART_ARC
(5,4),-0.917903 # DEPENDENCYPART_ARC
(5,6),-0.872775 # DEPENDENCYPART_ARC
(5,7),-2.13177 # DEPENDENCYPART_ARC
(5,8),-2.27221 # DEPENDENCYPART_ARC
(5,9),-2.35853 # DEPENDENCYPART_ARC
(5,10),-1.68101 # DEPENDENCYPART_ARC
(5,11),-2.28207 # DEPENDENCYPART_ARC
(5,12),-2.71266 # DEPENDENCYPART_ARC
(5,13),-2.67441 # DEPENDENCYPART_ARC
(5,14),-2.70117 # DEPENDENCYPART_ARC
(5,15),-2.68759 # DEPENDENCYPART_ARC
(5,16),-2.69873 # DEPENDENCYPART_ARC
(5,17),-2.49073 # DEPENDENCYPART_ARC
(5,18),-2.63493 # DEPENDENCYPART_ARC
(5,19),-2.75829 # DEPENDENCYPART_ARC
(5,20),-1.89675 # DEPENDENCYPART_ARC
(6,1),-0.977507 # DEPENDENCYPART_ARC
(6,2),-0.356286 # DEPENDENCYPART_ARC
(6,3),-0.57692 # DEPENDENCYPART_ARC
(6,4),-0.605262 # DEPENDENCYPART_ARC
(6,5),-0.0523903 # DEPENDENCYPART_ARC
(6,7),2.02715 # DEPENDENCYPART_ARC
(6,8),1.40156 # DEPENDENCYPART_ARC
(6,9),0.93451 # DEPENDENCYPART_ARC
(6,10),1.12004 # DEPENDENCYPART_ARC
(6,11),0.800641 # DEPENDENCYPART_ARC
(6,12),-0.628737 # DEPENDENCYPART_ARC
(6,13),0.988756 # DEPENDENCYPART_ARC
(6,14),-0.934211 # DEPENDENCYPART_ARC
(6,15),0.491909 # DEPENDENCYPART_ARC
(6,16),-1.14864 # DEPENDENCYPART_ARC
(6,17),0.614329 # DEPENDENCYPART_ARC
(6,18),-1.92995 # DEPENDENCYPART_ARC
(6,19),-0.922789 # DEPENDENCYPART_ARC
(6,20),-1.30451 # DEPENDENCYPART_ARC
(7,1),-1.38945 # DEPENDENCYPART_ARC
(7,2),-2.16298 # DEPENDENCYPART_ARC
(7,3),-1.04316 # DEPENDENCYPART_ARC
(7,4),-1.66594 # DEPENDENCYPART_ARC
(7,5),-0.966004 # DEPENDENCYPART_ARC
(7,6),-0.457392 # DEPENDENCYPART_ARC
(7,8),0.528426 # DEPENDENCYPART_ARC
(7,9),0.539903 # DEPENDENCYPART_ARC
(7,10),0.220205 # DEPENDENCYPART_ARC
(7,11),-0.232963 # DEPENDENCYPART_ARC
(7,12),-0.319962 # DEPENDENCYPART_ARC
(7,13),-0.897168 # DEPENDENCYPART_ARC
(7,14),-0.627138 # DEPENDENCYPART_ARC
(7,15),-0.947394 # DEPENDENCYPART_ARC
(7,16),-0.697188 # DEPENDENCYPART_ARC
(7,17),-0.521989 # DEPENDENCYPART_ARC
(7,18),-0.672028 # DEPENDENCYPART_ARC
(7,19),-0.978326 # DEPENDENCYPART_ARC
(7,20),-1.11948 # DEPENDENCYPART_ARC
(8,1),-1.92043 # DEPENDENCYPART_ARC
(8,2),-2.1557 # DEPENDENCYPART_ARC
(8,3),-1.53169 # DEPENDENCYPART_ARC
(8,4),-1.7891 # DEPENDENCYPART_ARC
(8,5),-1.65541 # DEPENDENCYPART_ARC
(8,6),-1.29816 # DEPENDENCYPART_ARC
(8,7),0.51701 # DEPENDENCYPART_ARC
(8,9),3.99701 # DEPENDENCYPART_ARC
(8,10),0.456989 # DEPENDENCYPART_ARC
(8,11),0.0498647 # DEPENDENCYPART_ARC
(8,12),-0.46652 # DEPENDENCYPART_ARC
(8,13),-0.0738436 # DEPENDENCYPART_ARC
(8,14),-0.445845 # DEPENDENCYPART_ARC
(8,15),-0.616984 # DEPENDENCYPART_ARC
(8,16),-1.23768 # DEPENDENCYPART_ARC
(8,17),-0.324483 # DEPENDENCYPART_ARC
(8,18),-1.15923 # DEPENDENCYPART_ARC
(8,19),-3.06189 # DEPENDENCYPART_ARC
(8,20),-1.37861 # DEPENDENCYPART_ARC
(9,1),-1.62089 # DEPENDENCYPART_ARC
(9,2),-3.22003 # DEPENDENCYPART_ARC
(9,3),-1.99263 # DEPENDENCYPART_ARC
