# _root_ Accanto un calice bianco , tre sigarette accese , disposte a_raggiera .
#goldHeads=3,3,0,3,3,7,3,7,8,7,10,11,
#predictedHeads=3,3,0,3,4,7,3,7,8,7,10,11,
(0,1),-0.772736 # DEPENDENCYPART_ARC
(0,3),-0.181313 # DEPENDENCYPART_ARC
(0,4),-0.696646 # DEPENDENCYPART_ARC
(0,5),-0.637266 # DEPENDENCYPART_ARC
(0,6),-1.02094 # DEPENDENCYPART_ARC
(0,7),-0.279803 # DEPENDENCYPART_ARC
(0,8),-1.55651 # DEPENDENCYPART_ARC
(0,9),-0.412859 # DEPENDENCYPART_ARC
(0,10),0.680297 # DEPENDENCYPART_ARC
(0,11),-1.17077 # DEPENDENCYPART_ARC
(0,12),-0.905823 # DEPENDENCYPART_ARC
(1,2),0.386239 # DEPENDENCYPART_ARC
(1,3),-0.0629619 # DEPENDENCYPART_ARC
(1,4),-0.392351 # DEPENDENCYPART_ARC
(1,5),0.117396 # DEPENDENCYPART_ARC
(1,6),-0.639799 # DEPENDENCYPART_ARC
(1,7),-1.09784 # DEPENDENCYPART_ARC
(1,8),-1.02556 # DEPENDENCYPART_ARC
(1,9),-0.259741 # DEPENDENCYPART_ARC
(1,10),-0.964983 # DEPENDENCYPART_ARC
(1,11),-1.16325 # DEPENDENCYPART_ARC
(1,12),-0.948255 # DEPENDENCYPART_ARC
(2,5),0.0833279 # DEPENDENCYPART_ARC
(2,9),-0.122139 # DEPENDENCYPART_ARC
(2,12),-0.483574 # DEPENDENCYPART_ARC
(3,1),0.947163 # DEPENDENCYPART_ARC
(3,2),3.78718 # DEPENDENCYPART_ARC
(3,4),3.3165 # DEPENDENCYPART_ARC
(3,5),0.87536 # DEPENDENCYPART_ARC
(3,6),0.548381 # DEPENDENCYPART_ARC
(3,7),0.600804 # DEPENDENCYPART_ARC
(3,8),0.361559 # DEPENDENCYPART_ARC
(3,9),0.406063 # DEPENDENCYPART_ARC
(3,10),0.529411 # DEPENDENCYPART_ARC
(3,11),-0.486723 # DEPENDENCYPART_ARC
(3,12),-0.712374 # DEPENDENCYPART_ARC
(4,1),0.0596451 # DEPENDENCYPART_ARC
(4,2),0.439423 # DEPENDENCYPART_ARC
(4,3),0.392229 # DEPENDENCYPART_ARC
(4,5),2.23471 # DEPENDENCYPART_ARC
(4,6),0.0889743 # DEPENDENCYPART_ARC
(4,7),0.14506 # DEPENDENCYPART_ARC
(4,8),-0.0429413 # DEPENDENCYPART_ARC
(4,9),1.10595 # DEPENDENCYPART_ARC
(4,10),-0.958498 # DEPENDENCYPART_ARC
(4,11),-0.947785 # DEPENDENCYPART_ARC
(4,12),-0.1909 # DEPENDENCYPART_ARC
(5,2),-0.839487 # DEPENDENCYPART_ARC
(5,9),-0.388723 # DEPENDENCYPART_ARC
(5,12),-0.749723 # DEPENDENCYPART_ARC
(6,1),-1.12003 # DEPENDENCYPART_ARC
(6,2),-0.494203 # DEPENDENCYPART_ARC
(6,3),-1.36947 # DEPENDENCYPART_ARC
(6,4),-0.360693 # DEPENDENCYPART_ARC
(6,5),0.491723 # DEPENDENCYPART_ARC
(6,7),0.599881 # DEPENDENCYPART_ARC
(6,8),-0.199669 # DEPENDENCYPART_ARC
(6,9),-0.354414 # DEPENDENCYPART_ARC
(6,10),-1.00598 # DEPENDENCYPART_ARC
(6,11),-1.10053 # DEPENDENCYPART_ARC
(6,12),-0.857517 # DEPENDENCYPART_ARC
(7,1),-0.317804 # DEPENDENCYPART_ARC
