# _root_ ... Focalizza cosa è possibile migliorare e cosa , invece , è fisiologico e immutabile .
#goldHeads=2,0,6,2,4,4,4,12,8,12,10,4,12,13,13,15,
#predictedHeads=2,0,2,2,4,4,6,6,8,12,10,4,12,13,13,15,
(0,1),-0.391458 # DEPENDENCYPART_ARC
(0,2),1.26884 # DEPENDENCYPART_ARC
(0,3),-0.646116 # DEPENDENCYPART_ARC
(0,4),0.751878 # DEPENDENCYPART_ARC
(0,5),-1.45794 # DEPENDENCYPART_ARC
(0,6),-0.306825 # DEPENDENCYPART_ARC
(0,7),-1.28148 # DEPENDENCYPART_ARC
(0,8),-1.34639 # DEPENDENCYPART_ARC
(0,9),-1.16497 # DEPENDENCYPART_ARC
(0,10),-1.90755 # DEPENDENCYPART_ARC
(0,11),-1.11688 # DEPENDENCYPART_ARC
(0,12),0.239626 # DEPENDENCYPART_ARC
(0,13),-1.50863 # DEPENDENCYPART_ARC
(0,14),-1.45052 # DEPENDENCYPART_ARC
(0,15),-1.76405 # DEPENDENCYPART_ARC
(0,16),-1.3975 # DEPENDENCYPART_ARC
(1,9),-0.891464 # DEPENDENCYPART_ARC
(1,11),-0.8708 # DEPENDENCYPART_ARC
(1,16),-1.15962 # DEPENDENCYPART_ARC
(2,1),0.700938 # DEPENDENCYPART_ARC
(2,3),2.91874 # DEPENDENCYPART_ARC
(2,4),1.51816 # DEPENDENCYPART_ARC
(2,5),0.131698 # DEPENDENCYPART_ARC
(2,6),1.20316 # DEPENDENCYPART_ARC
(2,7),0.711289 # DEPENDENCYPART_ARC
(2,8),-0.232792 # DEPENDENCYPART_ARC
(2,9),1.2505 # DEPENDENCYPART_ARC
(2,10),-0.406928 # DEPENDENCYPART_ARC
(2,11),0.868617 # DEPENDENCYPART_ARC
(2,12),0.300372 # DEPENDENCYPART_ARC
(2,13),-0.870946 # DEPENDENCYPART_ARC
(2,14),0.714718 # DEPENDENCYPART_ARC
(2,15),-1.02766 # DEPENDENCYPART_ARC
(2,16),-0.744033 # DEPENDENCYPART_ARC
(3,1),-0.475225 # DEPENDENCYPART_ARC
(3,2),1.09356 # DEPENDENCYPART_ARC
(3,4),-0.173351 # DEPENDENCYPART_ARC
(3,5),-0.0158205 # DEPENDENCYPART_ARC
(3,6),-1.55627 # DEPENDENCYPART_ARC
(3,7),-0.308652 # DEPENDENCYPART_ARC
(3,8),-0.786761 # DEPENDENCYPART_ARC
(3,9),-0.684932 # DEPENDENCYPART_ARC
(3,10),-1.5688 # DEPENDENCYPART_ARC
(3,11),-1.05033 # DEPENDENCYPART_ARC
(3,12),-3.27859 # DEPENDENCYPART_ARC
(3,13),-2.58768 # DEPENDENCYPART_ARC
(3,14),-1.03978 # DEPENDENCYPART_ARC
(3,15),-2.11976 # DEPENDENCYPART_ARC
(3,16),-2.64244 # DEPENDENCYPART_ARC
(4,1),-1.20735 # DEPENDENCYPART_ARC
(4,2),-0.302754 # DEPENDENCYPART_ARC
(4,3),2.04982 # DEPENDENCYPART_ARC
(4,5),2.67905 # DEPENDENCYPART_ARC
(4,6),2.09805 # DEPENDENCYPART_ARC
(4,7),0.982296 # DEPENDENCYPART_ARC
(4,8),-0.133959 # DEPENDENCYPART_ARC
(4,9),1.21518 # DEPENDENCYPART_ARC
(4,10),-0.405191 # DEPENDENCYPART_ARC
(4,11),0.92264 # DEPENDENCYPART_ARC
(4,12),0.98608 # DEPENDENCYPART_ARC
(4,13),-0.233622 # DEPENDENCYPART_ARC
(4,14),0.847516 # DEPENDENCYPART_ARC
(4,15),-0.373132 # DEPENDENCYPART_ARC
(4,16),-0.552598 # DEPENDENCYPART_ARC
(5,1),-0.74322 # DEPENDENCYPART_ARC
(5,2),-1.76226 # DEPENDENCYPART_ARC
(5,3),-0.769836 # DEPENDENCYPART_ARC
(5,4),-0.0166083 # DEPENDENCYPART_ARC
(5,6),-0.459224 # DEPENDENCYPART_ARC
(5,7),-0.491304 # DEPENDENCYPART_ARC
(5,8),-1.01614 # DEPENDENCYPART_ARC
(5,9),-0.933948 # DEPENDENCYPART_ARC
(5,10),-1.41481 # DEPENDENCYPART_ARC
(5,11),-0.790802 # DEPENDENCYPART_ARC
(5,12),-1.56604 # DEPENDENCYPART_ARC
(5,13),-1.30164 # DEPENDENCYPART_ARC
(5,14),-0.535772 # DEPENDENCYPART_ARC
(5,15),-0.826033 # DEPENDENCYPART_ARC
(5,16),-1.48052 # DEPENDENCYPART_ARC
(6,1),-1.87872 # DEPENDENCYPART_ARC
(6,2),-1.50685 # DEPENDENCYPART_ARC
(6,3),0.1262 # DEPENDENCYPART_ARC
(6,4),0.435183 # DEPENDENCYPART_ARC
(6,5),0.604716 # DEPENDENCYPART_ARC
(6,7),1.75045 # DEPENDENCYPART_ARC
(6,8),1.53962 # DEPENDENCYPART_ARC
(6,9),0.989208 # DEPENDENCYPART_ARC
(6,10),0.315674 # DEPENDENCYPART_ARC
(6,11),0.533675 # DEPENDENCYPART_ARC
(6,12),0.602804 # DEPENDENCYPART_ARC
(6,13),-0.0830718 # DEPENDENCYPART_ARC
(6,14),0.340454 # DEPENDENCYPART_ARC
(6,15),-0.2364 # DEPENDENCYPART_ARC
(6,16),-0.467039 # DEPENDENCYPART_ARC
(7,1),-1.89586 # DEPENDENCYPART_ARC
(7,2),-2.67363 # DEPENDENCYPART_ARC
(7,3),-2.14673 # DEPENDENCYPART_ARC
(7,4),-2.22697 # DEPENDENCYPART_ARC
(7,5),-1.44535 # DEPENDENCYPART_ARC
(7,6),-0.705623 # DEPENDENCYPART_ARC
(7,8),-0.198986 # DEPENDENCYPART_ARC
(7,9),-0.49031 # DEPENDENCYPART_ARC
(7,10),-1.90756 # DEPENDENCYPART_ARC
(7,11),-0.947831 # DEPENDENCYPART_ARC
(7,12),-1.38502 # DEPENDENCYPART_ARC
(7,13),-1.9956 # DEPENDENCYPART_ARC
(7,14),-1.50474 # DEPENDENCYPART_ARC
(7,15),-2.1213 # DEPENDENCYPART_ARC
(7,16),-1.72571 # DEPENDENCYPART_ARC
(8,1),-2.78868 # DEPENDENCYPART_ARC
(8,2),-2.40225 # DEPENDENCYPART_ARC
(8,3),-2.49038 # DEPENDENCYPART_ARC
(8,4),-2.28941 # DEPENDENCYPART_ARC
(8,5),-0.569894 # DEPENDENCYPART_ARC
(8,6),-1.05035 # DEPENDENCYPART_ARC
(8,7),0.481357 # DEPENDENCYPART_ARC
(8,9),2.01919 # DEPENDENCYPART_ARC
(8,10),-0.0855863 # DEPENDENCYPART_ARC
(8,11),0.269332 # DEPENDENCYPART_ARC
(8,12),-0.55989 # DEPENDENCYPART_ARC
(8,13),-1.06578 # DEPENDENCYPART_ARC
(8,14),0.0218146 # DEPENDENCYPART_ARC
(8,15),-0.720453 # DEPENDENCYPART_ARC
(8,16),-0.860229 # DEPENDENCYPART_ARC
(9,1),-1.93593 # DEPENDENCYPART_ARC
(9,11),-0.369499 # DEPENDENCYPART_ARC
(9,16),-1.17948 # DEPENDENCYPART_ARC
(10,1),-1.60175 # DEPENDENCYPART_ARC
(10,2),-2.64374 # DEPENDENCYPART_ARC
(10,3),-2.31325 # DEPENDENCYPART_ARC
(10,4),-2.58747 # DEPENDENCYPART_ARC
(10,5),-1.82783 # DEPENDENCYPART_ARC
(10,6),-2.25111 # DEPENDENCYPART_ARC
(10,7),-0.951734 # DEPENDENCYPART_ARC
(10,8),-1.41832 # DEPENDENCYPART_ARC
(10,9),0.462831 # DEPENDENCYPART_ARC
(10,11),2.3773 # DEPENDENCYPART_ARC
(10,12),0.0454728 # DEPENDENCYPART_ARC
(10,13),-0.319176 # DEPENDENCYPART_ARC
(10,14),-0.15595 # DEPENDENCYPART_ARC
(10,15),-0.442202 # DEPENDENCYPART_ARC
(10,16),-0.439947 # DEPENDENCYPART_ARC
(11,1),-2.03173 # DEPENDENCYPART_ARC
(11,9),-0.787525 # DEPENDENCYPART_ARC
(11,16),-1.58051 # DEPENDENCYPART_ARC
(12,1),-2.31669 # DEPENDENCYPART_ARC
(12,2),-2.54075 # DEPENDENCYPART_ARC
(12,3),0.251702 # DEPENDENCYPART_ARC
(12,4),-2.16153 # DEPENDENCYPART_ARC
(12,5),-1.50476 # DEPENDENCYPART_ARC
