# _root_ Tutto qui è smisurato , inverosimile : 14 mila impiegati , 800 medici e 300 mila pazienti ogni anno provenienti da ogni parte del mondo .
#goldHeads=3,3,0,3,4,4,6,10,8,0,10,13,10,10,17,15,10,19,20,10,20,23,21,23,24,25,
#predictedHeads=3,3,0,3,4,4,6,10,8,4,10,13,10,13,17,15,13,19,17,17,20,23,21,23,24,25,
(0,1),0.0723421 # DEPENDENCYPART_ARC
(0,2),-1.19842 # DEPENDENCYPART_ARC
(0,3),1.37188 # DEPENDENCYPART_ARC
(0,4),-0.459429 # DEPENDENCYPART_ARC
(0,5),-0.963813 # DEPENDENCYPART_ARC
(0,6),-0.831397 # DEPENDENCYPART_ARC
(0,7),-0.74997 # DEPENDENCYPART_ARC
(0,8),-0.868033 # DEPENDENCYPART_ARC
(0,9),-0.948562 # DEPENDENCYPART_ARC
(0,10),-0.28983 # DEPENDENCYPART_ARC
(0,11),-0.7643 # DEPENDENCYPART_ARC
(0,12),-0.960075 # DEPENDENCYPART_ARC
(0,13),-0.219039 # DEPENDENCYPART_ARC
(0,14),-0.779804 # DEPENDENCYPART_ARC
(0,15),-0.894851 # DEPENDENCYPART_ARC
(0,16),-0.877172 # DEPENDENCYPART_ARC
(0,17),-0.374517 # DEPENDENCYPART_ARC
(0,18),-1.30774 # DEPENDENCYPART_ARC
(0,19),-1.37748 # DEPENDENCYPART_ARC
(0,20),0.167959 # DEPENDENCYPART_ARC
(0,21),-2.47212 # DEPENDENCYPART_ARC
(0,22),-1.54631 # DEPENDENCYPART_ARC
(0,23),-1.13668 # DEPENDENCYPART_ARC
(0,24),-2.04264 # DEPENDENCYPART_ARC
(0,25),-1.17164 # DEPENDENCYPART_ARC
(0,26),-1.71494 # DEPENDENCYPART_ARC
(1,2),0.617701 # DEPENDENCYPART_ARC
(1,3),1.32027 # DEPENDENCYPART_ARC
(1,4),0.331178 # DEPENDENCYPART_ARC
(1,5),-0.443903 # DEPENDENCYPART_ARC
(1,6),-0.32235 # DEPENDENCYPART_ARC
(1,7),-0.661495 # DEPENDENCYPART_ARC
