# _root_ Piccolo mondo antico quello della marcia , un clan di fatica che sta nell' ombra , costretto dalla popolarità di una disciplina che è buona per le medaglie ma non per l' audience .
#goldHeads=2,0,2,2,4,5,6,9,2,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,24,28,26,28,31,24,33,31,33,
#predictedHeads=2,0,2,2,4,5,6,9,4,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,25,28,26,24,31,26,33,31,33,
(0,1),0.181543 # DEPENDENCYPART_ARC
(0,2),-0.0850713 # DEPENDENCYPART_ARC
(0,3),-0.366149 # DEPENDENCYPART_ARC
(0,4),-0.925592 # DEPENDENCYPART_ARC
(0,5),-1.32473 # DEPENDENCYPART_ARC
(0,6),0.487242 # DEPENDENCYPART_ARC
(0,7),-0.496367 # DEPENDENCYPART_ARC
(0,8),-1.16364 # DEPENDENCYPART_ARC
(0,9),0.326648 # DEPENDENCYPART_ARC
(0,10),-1.68922 # DEPENDENCYPART_ARC
(0,11),0.109824 # DEPENDENCYPART_ARC
(0,12),-1.22844 # DEPENDENCYPART_ARC
(0,13),1.40711 # DEPENDENCYPART_ARC
(0,14),-1.91539 # DEPENDENCYPART_ARC
(0,15),-0.19358 # DEPENDENCYPART_ARC
(0,16),-0.888969 # DEPENDENCYPART_ARC
(0,17),0.823191 # DEPENDENCYPART_ARC
(0,18),-2.21708 # DEPENDENCYPART_ARC
(0,19),-0.163481 # DEPENDENCYPART_ARC
(0,20),-3.02143 # DEPENDENCYPART_ARC
(0,21),-1.24338 # DEPENDENCYPART_ARC
(0,22),-0.239185 # DEPENDENCYPART_ARC
(0,23),-1.78819 # DEPENDENCYPART_ARC
(0,24),1.15458 # DEPENDENCYPART_ARC
(0,25),-1.13435 # DEPENDENCYPART_ARC
(0,26),-3.244 # DEPENDENCYPART_ARC
(0,27),-2.10405 # DEPENDENCYPART_ARC
(0,28),-0.615739 # DEPENDENCYPART_ARC
(0,29),-1.67232 # DEPENDENCYPART_ARC
(0,30),-2.29506 # DEPENDENCYPART_ARC
(0,31),-3.77011 # DEPENDENCYPART_ARC
(0,32),-2.43629 # DEPENDENCYPART_ARC
(0,33),-1.06955 # DEPENDENCYPART_ARC
(0,34),-2.39506 # DEPENDENCYPART_ARC
(1,2),0.915829 # DEPENDENCYPART_ARC
(1,3),0.995947 # DEPENDENCYPART_ARC
(1,4),-0.503548 # DEPENDENCYPART_ARC
(1,5),-0.0615755 # DEPENDENCYPART_ARC
(1,6),-0.71008 # DEPENDENCYPART_ARC
(1,7),-0.53278 # DEPENDENCYPART_ARC
(1,8),-1.074 # DEPENDENCYPART_ARC
(1,9),-0.921676 # DEPENDENCYPART_ARC
(1,10),-0.879997 # DEPENDENCYPART_ARC
(1,11),-1.07854 # DEPENDENCYPART_ARC
(1,12),-2.19637 # DEPENDENCYPART_ARC
(1,13),-2.07838 # DEPENDENCYPART_ARC
(1,14),-1.17336 # DEPENDENCYPART_ARC
(1,15),-1.39774 # DEPENDENCYPART_ARC
(1,16),-1.60601 # DEPENDENCYPART_ARC
(1,17),-1.39261 # DEPENDENCYPART_ARC
(1,18),-0.849393 # DEPENDENCYPART_ARC
(1,19),-1.78121 # DEPENDENCYPART_ARC
(1,20),-1.99913 # DEPENDENCYPART_ARC
(1,21),-1.78259 # DEPENDENCYPART_ARC
(1,22),-2.02796 # DEPENDENCYPART_ARC
(1,23),-2.85611 # DEPENDENCYPART_ARC
(1,24),-3.01724 # DEPENDENCYPART_ARC
(1,25),-2.56278 # DEPENDENCYPART_ARC
(1,26),-1.8619 # DEPENDENCYPART_ARC
(1,27),-2.29025 # DEPENDENCYPART_ARC
(1,28),-2.28125 # DEPENDENCYPART_ARC
(1,29),-1.92518 # DEPENDENCYPART_ARC
(1,30),-2.20995 # DEPENDENCYPART_ARC
(1,31),-2.06828 # DEPENDENCYPART_ARC
(1,32),-2.15952 # DEPENDENCYPART_ARC
(1,33),-2.41518 # DEPENDENCYPART_ARC
(1,34),-3.98607 # DEPENDENCYPART_ARC
(2,1),3.46673 # DEPENDENCYPART_ARC
(2,3),3.34902 # DEPENDENCYPART_ARC
(2,4),1.44811 # DEPENDENCYPART_ARC
(2,5),1.26847 # DEPENDENCYPART_ARC
(2,6),0.757396 # DEPENDENCYPART_ARC
(2,7),0.752913 # DEPENDENCYPART_ARC
(2,8),-0.124066 # DEPENDENCYPART_ARC
(2,9),0.596314 # DEPENDENCYPART_ARC
(2,10),0.301482 # DEPENDENCYPART_ARC
(2,11),0.34354 # DEPENDENCYPART_ARC
(2,12),-1.32372 # DEPENDENCYPART_ARC
(2,13),1.24964 # DEPENDENCYPART_ARC
(2,14),-0.670605 # DEPENDENCYPART_ARC
(2,15),-0.569592 # DEPENDENCYPART_ARC
(2,16),-0.102661 # DEPENDENCYPART_ARC
(2,17),0.749026 # DEPENDENCYPART_ARC
(2,18),-1.22178 # DEPENDENCYPART_ARC
(2,19),-0.952778 # DEPENDENCYPART_ARC
(2,20),-1.99204 # DEPENDENCYPART_ARC
(2,21),-1.09795 # DEPENDENCYPART_ARC
(2,22),-1.35246 # DEPENDENCYPART_ARC
(2,23),-2.86683 # DEPENDENCYPART_ARC
(2,24),0.799883 # DEPENDENCYPART_ARC
(2,25),-2.07034 # DEPENDENCYPART_ARC
(2,26),-1.32194 # DEPENDENCYPART_ARC
(2,27),-1.59536 # DEPENDENCYPART_ARC
(2,28),-2.32359 # DEPENDENCYPART_ARC
(2,29),-0.916515 # DEPENDENCYPART_ARC
(2,30),-2.49492 # DEPENDENCYPART_ARC
(2,31),-2.20306 # DEPENDENCYPART_ARC
(2,32),-1.23777 # DEPENDENCYPART_ARC
(2,33),-2.31825 # DEPENDENCYPART_ARC
(2,34),-5.51987 # DEPENDENCYPART_ARC
(3,1),-0.444982 # DEPENDENCYPART_ARC
(3,2),0.32155 # DEPENDENCYPART_ARC
(3,4),0.171102 # DEPENDENCYPART_ARC
(3,5),-0.190982 # DEPENDENCYPART_ARC
(3,6),-0.578077 # DEPENDENCYPART_ARC
(3,7),-0.549822 # DEPENDENCYPART_ARC
(3,8),-1.23275 # DEPENDENCYPART_ARC
(3,9),-0.907439 # DEPENDENCYPART_ARC
(3,10),-1.10466 # DEPENDENCYPART_ARC
(3,11),-1.12835 # DEPENDENCYPART_ARC
(3,12),-2.4655 # DEPENDENCYPART_ARC
(3,13),-2.1357 # DEPENDENCYPART_ARC
(3,14),-1.43622 # DEPENDENCYPART_ARC
(3,15),-1.47201 # DEPENDENCYPART_ARC
(3,16),-1.46492 # DEPENDENCYPART_ARC
(3,17),-1.57259 # DEPENDENCYPART_ARC
(3,18),-1.28389 # DEPENDENCYPART_ARC
(3,19),-1.72557 # DEPENDENCYPART_ARC
(3,20),-2.11293 # DEPENDENCYPART_ARC
(3,21),-1.94602 # DEPENDENCYPART_ARC
(3,22),-1.91852 # DEPENDENCYPART_ARC
(3,23),-3.04639 # DEPENDENCYPART_ARC
(3,24),-3.30651 # DEPENDENCYPART_ARC
(3,25),-2.59543 # DEPENDENCYPART_ARC
(3,26),-2.2684 # DEPENDENCYPART_ARC
(3,27),-2.62941 # DEPENDENCYPART_ARC
(3,28),-2.16381 # DEPENDENCYPART_ARC
(3,29),-1.97493 # DEPENDENCYPART_ARC
(3,30),-2.46948 # DEPENDENCYPART_ARC
(3,31),-2.44292 # DEPENDENCYPART_ARC
(3,32),-2.22067 # DEPENDENCYPART_ARC
(3,33),-2.00491 # DEPENDENCYPART_ARC
(3,34),-3.78425 # DEPENDENCYPART_ARC
(4,1),-0.454028 # DEPENDENCYPART_ARC
(4,2),-0.0434024 # DEPENDENCYPART_ARC
(4,3),0.817734 # DEPENDENCYPART_ARC
(4,5),2.67764 # DEPENDENCYPART_ARC
(4,6),1.51123 # DEPENDENCYPART_ARC
(4,7),1.08229 # DEPENDENCYPART_ARC
(4,8),0.465547 # DEPENDENCYPART_ARC
(4,9),0.866187 # DEPENDENCYPART_ARC
(4,10),0.754404 # DEPENDENCYPART_ARC
(4,11),0.590733 # DEPENDENCYPART_ARC
(4,12),-0.627041 # DEPENDENCYPART_ARC
(4,13),1.05703 # DEPENDENCYPART_ARC
(4,14),0.0252181 # DEPENDENCYPART_ARC
(4,15),0.14031 # DEPENDENCYPART_ARC
(4,16),0.0535333 # DEPENDENCYPART_ARC
(4,17),0.153848 # DEPENDENCYPART_ARC
(4,18),-0.672227 # DEPENDENCYPART_ARC
(4,19),-0.779273 # DEPENDENCYPART_ARC
(4,20),-0.634622 # DEPENDENCYPART_ARC
(4,21),-0.660795 # DEPENDENCYPART_ARC
(4,22),-0.301666 # DEPENDENCYPART_ARC
(4,23),-1.31384 # DEPENDENCYPART_ARC
(4,24),-1.14459 # DEPENDENCYPART_ARC
(4,25),-0.136458 # DEPENDENCYPART_ARC
(4,26),-2.12127 # DEPENDENCYPART_ARC
(4,27),-1.11864 # DEPENDENCYPART_ARC
(4,28),-1.28224 # DEPENDENCYPART_ARC
(4,29),-0.927209 # DEPENDENCYPART_ARC
(4,30),-1.08938 # DEPENDENCYPART_ARC
(4,31),-2.55105 # DEPENDENCYPART_ARC
(4,32),-0.963418 # DEPENDENCYPART_ARC
(4,33),-0.883592 # DEPENDENCYPART_ARC
(4,34),-1.64483 # DEPENDENCYPART_ARC
(5,1),-2.30975 # DEPENDENCYPART_ARC
(5,2),-2.12998 # DEPENDENCYPART_ARC
(5,3),-1.59976 # DEPENDENCYPART_ARC
(5,4),-0.329612 # DEPENDENCYPART_ARC
(5,6),4.3127 # DEPENDENCYPART_ARC
(5,7),0.472437 # DEPENDENCYPART_ARC
(5,8),-1.38307 # DEPENDENCYPART_ARC
(5,9),-1.08312 # DEPENDENCYPART_ARC
(5,10),-0.662001 # DEPENDENCYPART_ARC
(5,11),-0.805369 # DEPENDENCYPART_ARC
(5,12),-1.9994 # DEPENDENCYPART_ARC
(5,13),-2.50365 # DEPENDENCYPART_ARC
(5,14),-0.0412937 # DEPENDENCYPART_ARC
(5,15),-2.95734 # DEPENDENCYPART_ARC
(5,16),-0.328635 # DEPENDENCYPART_ARC
(5,17),-2.84581 # DEPENDENCYPART_ARC
(5,18),-0.914247 # DEPENDENCYPART_ARC
(5,19),-4.63447 # DEPENDENCYPART_ARC
(5,20),-2.3281 # DEPENDENCYPART_ARC
(5,21),-1.95589 # DEPENDENCYPART_ARC
(5,22),-6.62392 # DEPENDENCYPART_ARC
(5,23),-4.05678 # DEPENDENCYPART_ARC
(5,24),-4.95144 # DEPENDENCYPART_ARC
(5,25),-2.20356 # DEPENDENCYPART_ARC
(5,26),-2.8367 # DEPENDENCYPART_ARC
(5,27),-2.45929 # DEPENDENCYPART_ARC
(5,28),-9.14842 # DEPENDENCYPART_ARC
(5,29),-2.26677 # DEPENDENCYPART_ARC
(5,30),-2.78202 # DEPENDENCYPART_ARC
(5,31),-2.53527 # DEPENDENCYPART_ARC
(5,32),-2.70248 # DEPENDENCYPART_ARC
(5,33),-11.1326 # DEPENDENCYPART_ARC
(5,34),-2.69887 # DEPENDENCYPART_ARC
(6,1),-0.661495 # DEPENDENCYPART_ARC
(6,2),-2.83095 # DEPENDENCYPART_ARC
(6,3),-0.922471 # DEPENDENCYPART_ARC
(6,4),-0.360343 # DEPENDENCYPART_ARC
(6,5),0.631056 # DEPENDENCYPART_ARC
(6,7),2.60176 # DEPENDENCYPART_ARC
(6,8),-0.128476 # DEPENDENCYPART_ARC
(6,9),0.607147 # DEPENDENCYPART_ARC
(6,10),1.15898 # DEPENDENCYPART_ARC
(6,11),0.75013 # DEPENDENCYPART_ARC
(6,12),-1.19317 # DEPENDENCYPART_ARC
(6,13),0.48178 # DEPENDENCYPART_ARC
(6,14),-0.129857 # DEPENDENCYPART_ARC
(6,15),0.0221774 # DEPENDENCYPART_ARC
(6,16),0.587992 # DEPENDENCYPART_ARC
(6,17),-0.327931 # DEPENDENCYPART_ARC
(6,18),-0.664657 # DEPENDENCYPART_ARC
(6,19),-0.780226 # DEPENDENCYPART_ARC
(6,20),-1.00589 # DEPENDENCYPART_ARC
(6,21),-0.700569 # DEPENDENCYPART_ARC
(6,22),-1.2774 # DEPENDENCYPART_ARC
(6,23),-2.6236 # DEPENDENCYPART_ARC
(6,24),-0.22154 # DEPENDENCYPART_ARC
(6,25),-1.31859 # DEPENDENCYPART_ARC
(6,26),-0.956228 # DEPENDENCYPART_ARC
(6,27),-1.28875 # DEPENDENCYPART_ARC
(6,28),-2.28359 # DEPENDENCYPART_ARC
(6,29),-0.852234 # DEPENDENCYPART_ARC
(6,30),-2.18082 # DEPENDENCYPART_ARC
(6,31),-1.79071 # DEPENDENCYPART_ARC
(6,32),-1.31922 # DEPENDENCYPART_ARC
(6,33),-2.21544 # DEPENDENCYPART_ARC
(6,34),-4.28695 # DEPENDENCYPART_ARC
(7,1),-2.41371 # DEPENDENCYPART_ARC
(7,2),-2.34751 # DEPENDENCYPART_ARC
(7,3),-2.19999 # DEPENDENCYPART_ARC
(7,4),-1.58417 # DEPENDENCYPART_ARC
(7,5),-1.14249 # DEPENDENCYPART_ARC
(7,6),-0.863913 # DEPENDENCYPART_ARC
(7,8),-0.697811 # DEPENDENCYPART_ARC
(7,9),-1.27998 # DEPENDENCYPART_ARC
(7,10),-1.73968 # DEPENDENCYPART_ARC
(7,11),-1.8169 # DEPENDENCYPART_ARC
(7,12),-2.02291 # DEPENDENCYPART_ARC
(7,13),-1.73957 # DEPENDENCYPART_ARC
(7,14),-2.26979 # DEPENDENCYPART_ARC
(7,15),-2.31773 # DEPENDENCYPART_ARC
(7,16),-1.12036 # DEPENDENCYPART_ARC
(7,17),-2.0661 # DEPENDENCYPART_ARC
(7,18),-2.48911 # DEPENDENCYPART_ARC
(7,19),-2.49494 # DEPENDENCYPART_ARC
(7,20),-2.54232 # DEPENDENCYPART_ARC
(7,21),-2.32455 # DEPENDENCYPART_ARC
(7,22),-2.60753 # DEPENDENCYPART_ARC
(7,23),-2.58408 # DEPENDENCYPART_ARC
(7,24),-2.36005 # DEPENDENCYPART_ARC
(7,25),-2.79821 # DEPENDENCYPART_ARC
(7,26),-2.82846 # DEPENDENCYPART_ARC
(7,27),-2.59719 # DEPENDENCYPART_ARC
(7,28),-2.88017 # DEPENDENCYPART_ARC
(7,29),-2.59164 # DEPENDENCYPART_ARC
(7,30),-2.87157 # DEPENDENCYPART_ARC
(7,31),-3.04876 # DEPENDENCYPART_ARC
(7,32),-2.7665 # DEPENDENCYPART_ARC
(7,33),-2.94466 # DEPENDENCYPART_ARC
(7,34),-2.32912 # DEPENDENCYPART_ARC
(8,1),-2.1986 # DEPENDENCYPART_ARC
(8,2),-2.50638 # DEPENDENCYPART_ARC
(8,3),-2.05023 # DEPENDENCYPART_ARC
(8,4),-1.87633 # DEPENDENCYPART_ARC
(8,5),-1.7489 # DEPENDENCYPART_ARC
(8,6),-2.10916 # DEPENDENCYPART_ARC
(8,7),0.104385 # DEPENDENCYPART_ARC
(8,9),1.03248 # DEPENDENCYPART_ARC
(8,10),0.105527 # DEPENDENCYPART_ARC
(8,11),-0.37923 # DEPENDENCYPART_ARC
(8,12),-1.25659 # DEPENDENCYPART_ARC
(8,13),-0.546624 # DEPENDENCYPART_ARC
(8,14),-0.654432 # DEPENDENCYPART_ARC
(8,15),-0.934601 # DEPENDENCYPART_ARC
(8,16),-0.56823 # DEPENDENCYPART_ARC
(8,17),-1.11347 # DEPENDENCYPART_ARC
(8,18),-0.895487 # DEPENDENCYPART_ARC
(8,19),-0.732315 # DEPENDENCYPART_ARC
(8,20),-0.903746 # DEPENDENCYPART_ARC
(8,21),-1.83677 # DEPENDENCYPART_ARC
(8,22),-1.1683 # DEPENDENCYPART_ARC
(8,23),-2.00194 # DEPENDENCYPART_ARC
(8,24),-1.2226 # DEPENDENCYPART_ARC
