# _root_ Il dramma di Gabriella F. , 20 anni , ha mobilitato nella mattinata i carabinieri di tutto il Nord .
#goldHeads=2,11,2,5,3,5,8,5,8,11,0,11,12,15,11,15,19,19,16,19,
#predictedHeads=2,11,2,5,3,5,8,11,8,11,0,11,12,15,11,15,19,19,16,19,
(0,1),-0.594265 # DEPENDENCYPART_ARC
(0,2),-0.484651 # DEPENDENCYPART_ARC
(0,3),-1.14133 # DEPENDENCYPART_ARC
(0,4),0.0219782 # DEPENDENCYPART_ARC
(0,5),-0.00549389 # DEPENDENCYPART_ARC
(0,6),-0.354974 # DEPENDENCYPART_ARC
(0,7),-0.999979 # DEPENDENCYPART_ARC
(0,8),-0.614413 # DEPENDENCYPART_ARC
(0,9),-0.496892 # DEPENDENCYPART_ARC
(0,10),1.43449 # DEPENDENCYPART_ARC
(0,11),0.849958 # DEPENDENCYPART_ARC
(0,12),-1.67781 # DEPENDENCYPART_ARC
(0,13),-0.214444 # DEPENDENCYPART_ARC
(0,14),-1.5214 # DEPENDENCYPART_ARC
(0,15),-0.399854 # DEPENDENCYPART_ARC
(0,16),-2.41708 # DEPENDENCYPART_ARC
(0,17),-1.24281 # DEPENDENCYPART_ARC
(0,18),-1.65363 # DEPENDENCYPART_ARC
(0,19),-1.28832 # DEPENDENCYPART_ARC
(0,20),-1.41138 # DEPENDENCYPART_ARC
(1,2),0.826274 # DEPENDENCYPART_ARC
(1,3),0.0581412 # DEPENDENCYPART_ARC
(1,4),-0.0611889 # DEPENDENCYPART_ARC
(1,5),-0.178727 # DEPENDENCYPART_ARC
(1,6),-0.792741 # DEPENDENCYPART_ARC
(1,7),-0.824052 # DEPENDENCYPART_ARC
(1,8),-0.993457 # DEPENDENCYPART_ARC
(1,9),-0.759046 # DEPENDENCYPART_ARC
(1,10),-1.04169 # DEPENDENCYPART_ARC
(1,11),-1.29191 # DEPENDENCYPART_ARC
(1,12),-1.17784 # DEPENDENCYPART_ARC
(1,13),-1.34282 # DEPENDENCYPART_ARC
(1,14),-2.0962 # DEPENDENCYPART_ARC
(1,15),-1.35398 # DEPENDENCYPART_ARC
(1,16),-0.89081 # DEPENDENCYPART_ARC
(1,17),-1.59318 # DEPENDENCYPART_ARC
(1,18),-2.08727 # DEPENDENCYPART_ARC
(1,19),-0.972386 # DEPENDENCYPART_ARC
(1,20),-1.63534 # DEPENDENCYPART_ARC
(2,1),3.66706 # DEPENDENCYPART_ARC
(2,3),3.0256 # DEPENDENCYPART_ARC
(2,4),1.48192 # DEPENDENCYPART_ARC
(2,5),1.66481 # DEPENDENCYPART_ARC
(2,6),0.907471 # DEPENDENCYPART_ARC
(2,7),0.35392 # DEPENDENCYPART_ARC
(2,8),0.687344 # DEPENDENCYPART_ARC
(2,9),0.550905 # DEPENDENCYPART_ARC
(2,10),0.576929 # DEPENDENCYPART_ARC
(2,11),0.346423 # DEPENDENCYPART_ARC
(2,12),-0.0168579 # DEPENDENCYPART_ARC
(2,13),-0.411098 # DEPENDENCYPART_ARC
(2,14),-0.623549 # DEPENDENCYPART_ARC
(2,15),-0.17268 # DEPENDENCYPART_ARC
(2,16),-0.49689 # DEPENDENCYPART_ARC
(2,17),0.139793 # DEPENDENCYPART_ARC
(2,18),-0.747078 # DEPENDENCYPART_ARC
(2,19),-0.520807 # DEPENDENCYPART_ARC
(2,20),-2.80554 # DEPENDENCYPART_ARC
(3,1),-0.778801 # DEPENDENCYPART_ARC
(3,2),-0.608069 # DEPENDENCYPART_ARC
(3,4),3.75741 # DEPENDENCYPART_ARC
(3,5),2.24215 # DEPENDENCYPART_ARC
(3,6),0.213896 # DEPENDENCYPART_ARC
(3,7),-0.423007 # DEPENDENCYPART_ARC
(3,8),0.17174 # DEPENDENCYPART_ARC
(3,9),-0.0854439 # DEPENDENCYPART_ARC
(3,10),-1.08191 # DEPENDENCYPART_ARC
(3,11),-1.24293 # DEPENDENCYPART_ARC
(3,12),-1.70194 # DEPENDENCYPART_ARC
(3,13),-2.45052 # DEPENDENCYPART_ARC
(3,14),-1.48888 # DEPENDENCYPART_ARC
(3,15),-4.80402 # DEPENDENCYPART_ARC
(3,16),-1.81636 # DEPENDENCYPART_ARC
(3,17),-1.23206 # DEPENDENCYPART_ARC
(3,18),-1.56672 # DEPENDENCYPART_ARC
(3,19),-5.61658 # DEPENDENCYPART_ARC
(3,20),-1.95995 # DEPENDENCYPART_ARC
(4,1),-0.381657 # DEPENDENCYPART_ARC
(4,2),-2.89227 # DEPENDENCYPART_ARC
(4,3),0.213279 # DEPENDENCYPART_ARC
(4,5),2.53467 # DEPENDENCYPART_ARC
(4,6),-0.179647 # DEPENDENCYPART_ARC
(4,7),-0.512383 # DEPENDENCYPART_ARC
(4,8),-0.0776032 # DEPENDENCYPART_ARC
(4,9),-0.68972 # DEPENDENCYPART_ARC
(4,10),-0.826405 # DEPENDENCYPART_ARC
(4,11),-0.755379 # DEPENDENCYPART_ARC
(4,12),-1.34616 # DEPENDENCYPART_ARC
(4,13),-1.15854 # DEPENDENCYPART_ARC
(4,14),-1.44237 # DEPENDENCYPART_ARC
(4,15),-2.03557 # DEPENDENCYPART_ARC
(4,16),-1.40297 # DEPENDENCYPART_ARC
(4,17),-1.25673 # DEPENDENCYPART_ARC
(4,18),-1.67837 # DEPENDENCYPART_ARC
(4,19),-2.18704 # DEPENDENCYPART_ARC
(4,20),-3.55671 # DEPENDENCYPART_ARC
(5,1),0.370786 # DEPENDENCYPART_ARC
(5,2),-1.42234 # DEPENDENCYPART_ARC
(5,3),1.06516 # DEPENDENCYPART_ARC
(5,4),4.71585 # DEPENDENCYPART_ARC
(5,6),2.47246 # DEPENDENCYPART_ARC
(5,7),0.385921 # DEPENDENCYPART_ARC
(5,8),1.07769 # DEPENDENCYPART_ARC
(5,9),0.771032 # DEPENDENCYPART_ARC
(5,10),-0.202238 # DEPENDENCYPART_ARC
(5,11),-0.171576 # DEPENDENCYPART_ARC
(5,12),-0.961363 # DEPENDENCYPART_ARC
(5,13),-0.329389 # DEPENDENCYPART_ARC
(5,14),-0.749767 # DEPENDENCYPART_ARC
(5,15),-0.58871 # DEPENDENCYPART_ARC
