# _root_ Di certe verità " , ha scritto Analysis , " è meglio discutere , che negar- le " " .
#goldHeads=13,3,1,3,4,7,0,7,8,11,7,11,11,13,11,15,16,17,18,19,
#predictedHeads=7,3,1,3,4,7,0,7,8,11,0,13,11,13,13,15,16,17,18,19,
(0,1),-0.790509 # DEPENDENCYPART_ARC
(0,2),-0.801023 # DEPENDENCYPART_ARC
(0,3),-0.21125 # DEPENDENCYPART_ARC
(0,4),-0.755509 # DEPENDENCYPART_ARC
(0,5),-0.456326 # DEPENDENCYPART_ARC
(0,6),1.44681 # DEPENDENCYPART_ARC
(0,7),1.403 # DEPENDENCYPART_ARC
(0,8),-0.290296 # DEPENDENCYPART_ARC
(0,9),-0.569724 # DEPENDENCYPART_ARC
(0,10),-0.859274 # DEPENDENCYPART_ARC
(0,11),1.22829 # DEPENDENCYPART_ARC
(0,12),-1.09145 # DEPENDENCYPART_ARC
(0,13),-0.382249 # DEPENDENCYPART_ARC
(0,14),-0.698855 # DEPENDENCYPART_ARC
(0,15),-0.269771 # DEPENDENCYPART_ARC
(0,16),-0.615828 # DEPENDENCYPART_ARC
(0,17),-1.07989 # DEPENDENCYPART_ARC
(0,18),-1.23014 # DEPENDENCYPART_ARC
(0,19),-1.35659 # DEPENDENCYPART_ARC
(0,20),-1.17982 # DEPENDENCYPART_ARC
(1,2),1.71105 # DEPENDENCYPART_ARC
(1,3),3.51181 # DEPENDENCYPART_ARC
(1,4),-0.215652 # DEPENDENCYPART_ARC
(1,5),0.403231 # DEPENDENCYPART_ARC
(1,6),0.377984 # DEPENDENCYPART_ARC
(1,7),0.0767644 # DEPENDENCYPART_ARC
(1,8),-0.595962 # DEPENDENCYPART_ARC
(1,9),0.268768 # DEPENDENCYPART_ARC
(1,10),-0.943861 # DEPENDENCYPART_ARC
(1,11),-1.41889 # DEPENDENCYPART_ARC
(1,12),-1.3693 # DEPENDENCYPART_ARC
(1,13),-1.31892 # DEPENDENCYPART_ARC
(1,14),-0.117917 # DEPENDENCYPART_ARC
(1,15),-2.20299 # DEPENDENCYPART_ARC
(1,16),-1.42125 # DEPENDENCYPART_ARC
(1,17),-1.96663 # DEPENDENCYPART_ARC
(1,18),-1.68828 # DEPENDENCYPART_ARC
(1,19),-1.65632 # DEPENDENCYPART_ARC
(1,20),-1.20799 # DEPENDENCYPART_ARC
(2,1),-0.136356 # DEPENDENCYPART_ARC
(2,3),0.45484 # DEPENDENCYPART_ARC
(2,4),-0.409307 # DEPENDENCYPART_ARC
(2,5),-0.451242 # DEPENDENCYPART_ARC
