# _root_ Per questo sono invidiosi quando vedono che qualcuno , che si trovava al loro stesso livello , li supera .
#goldHeads=3,1,0,3,3,5,6,19,8,12,12,8,12,16,16,13,16,19,7,19,
#predictedHeads=3,1,0,3,3,5,6,6,8,12,12,7,12,16,16,13,16,19,16,19,
(0,1),-1.31993 # DEPENDENCYPART_ARC
(0,2),-1.12135 # DEPENDENCYPART_ARC
(0,3),0.799134 # DEPENDENCYPART_ARC
(0,4),-0.912056 # DEPENDENCYPART_ARC
(0,5),-1.47701 # DEPENDENCYPART_ARC
(0,6),0.735881 # DEPENDENCYPART_ARC
(0,7),-1.12164 # DEPENDENCYPART_ARC
(0,8),-1.5614 # DEPENDENCYPART_ARC
(0,9),-0.514352 # DEPENDENCYPART_ARC
(0,11),-1.75045 # DEPENDENCYPART_ARC
(0,12),-0.513162 # DEPENDENCYPART_ARC
(0,13),-1.78537 # DEPENDENCYPART_ARC
(0,15),-1.26906 # DEPENDENCYPART_ARC
(0,16),-1.31669 # DEPENDENCYPART_ARC
(0,17),-0.787795 # DEPENDENCYPART_ARC
(0,18),-1.78192 # DEPENDENCYPART_ARC
(0,19),-0.593705 # DEPENDENCYPART_ARC
(0,20),-1.13119 # DEPENDENCYPART_ARC
(1,2),3.71588 # DEPENDENCYPART_ARC
(1,3),1.12573 # DEPENDENCYPART_ARC
(1,4),0.0477163 # DEPENDENCYPART_ARC
(1,5),0.201576 # DEPENDENCYPART_ARC
(1,6),0.189611 # DEPENDENCYPART_ARC
(1,7),-0.377312 # DEPENDENCYPART_ARC
(1,8),-0.137829 # DEPENDENCYPART_ARC
(1,9),-0.331134 # DEPENDENCYPART_ARC
(1,10),-0.702229 # DEPENDENCYPART_ARC
(1,11),-0.225307 # DEPENDENCYPART_ARC
(1,12),-1.91019 # DEPENDENCYPART_ARC
(1,13),-1.06723 # DEPENDENCYPART_ARC
(1,14),-1.04992 # DEPENDENCYPART_ARC
(1,15),-1.08411 # DEPENDENCYPART_ARC
(1,16),-2.95051 # DEPENDENCYPART_ARC
(1,17),-0.351152 # DEPENDENCYPART_ARC
(1,18),-1.10147 # DEPENDENCYPART_ARC
(1,19),-2.73497 # DEPENDENCYPART_ARC
(1,20),-1.16689 # DEPENDENCYPART_ARC
(2,1),-0.167185 # DEPENDENCYPART_ARC
(2,3),0.246774 # DEPENDENCYPART_ARC
(2,4),-1.04453 # DEPENDENCYPART_ARC
(2,5),-1.15871 # DEPENDENCYPART_ARC
(2,6),-1.5526 # DEPENDENCYPART_ARC
(2,7),-1.54772 # DEPENDENCYPART_ARC
(2,8),-1.39593 # DEPENDENCYPART_ARC
(2,9),-1.496 # DEPENDENCYPART_ARC
(2,10),-3.3099 # DEPENDENCYPART_ARC
(2,12),-2.29115 # DEPENDENCYPART_ARC
(2,13),-2.04317 # DEPENDENCYPART_ARC
(2,15),-1.85319 # DEPENDENCYPART_ARC
(2,16),-2.01227 # DEPENDENCYPART_ARC
(2,17),-2.5132 # DEPENDENCYPART_ARC
(2,19),-2.85577 # DEPENDENCYPART_ARC
(2,20),-2.60546 # DEPENDENCYPART_ARC
(3,1),1.6133 # DEPENDENCYPART_ARC
(3,2),1.15799 # DEPENDENCYPART_ARC
(3,4),2.59642 # DEPENDENCYPART_ARC
(3,5),1.89309 # DEPENDENCYPART_ARC
(3,6),1.56215 # DEPENDENCYPART_ARC
(3,7),1.10722 # DEPENDENCYPART_ARC
(3,8),-0.752485 # DEPENDENCYPART_ARC
(3,9),0.8774 # DEPENDENCYPART_ARC
(3,10),-1.45063 # DEPENDENCYPART_ARC
(3,11),-1.18182 # DEPENDENCYPART_ARC
(3,12),0.156247 # DEPENDENCYPART_ARC
(3,13),-0.885012 # DEPENDENCYPART_ARC
