# _root_ Nella camera d' albergo il cameriere vi porterà , su semplice richiesta , un clistere .
#goldHeads=8,1,2,3,6,8,8,0,8,8,12,10,12,15,8,15,
#predictedHeads=8,1,2,3,6,8,8,0,8,8,12,10,12,15,12,15,
(0,1),-0.897198 # DEPENDENCYPART_ARC
(0,2),-0.266454 # DEPENDENCYPART_ARC
(0,3),-1.37925 # DEPENDENCYPART_ARC
(0,4),-0.161807 # DEPENDENCYPART_ARC
(0,6),0.0252119 # DEPENDENCYPART_ARC
(0,7),-1.01857 # DEPENDENCYPART_ARC
(0,8),0.398704 # DEPENDENCYPART_ARC
(0,9),-0.747247 # DEPENDENCYPART_ARC
(0,10),-1.9982 # DEPENDENCYPART_ARC
(0,11),-1.01638 # DEPENDENCYPART_ARC
(0,12),0.155849 # DEPENDENCYPART_ARC
(0,13),-0.816541 # DEPENDENCYPART_ARC
(0,15),-0.520866 # DEPENDENCYPART_ARC
(0,16),-1.10687 # DEPENDENCYPART_ARC
(1,2),3.85835 # DEPENDENCYPART_ARC
(1,3),-0.291659 # DEPENDENCYPART_ARC
(1,4),0.247413 # DEPENDENCYPART_ARC
(1,5),-1.62227 # DEPENDENCYPART_ARC
(1,6),-1.85679 # DEPENDENCYPART_ARC
(1,7),-1.53692 # DEPENDENCYPART_ARC
(1,8),-2.13864 # DEPENDENCYPART_ARC
(1,9),-0.000285893 # DEPENDENCYPART_ARC
(1,10),-1.50734 # DEPENDENCYPART_ARC
(1,11),-1.51466 # DEPENDENCYPART_ARC
(1,12),-3.67457 # DEPENDENCYPART_ARC
(1,13),-0.507353 # DEPENDENCYPART_ARC
(1,14),-2.37358 # DEPENDENCYPART_ARC
(1,15),-5.81019 # DEPENDENCYPART_ARC
(1,16),-1.47315 # DEPENDENCYPART_ARC
(2,1),0.665551 # DEPENDENCYPART_ARC
(2,3),2.28012 # DEPENDENCYPART_ARC
(2,4),0.870305 # DEPENDENCYPART_ARC
(2,5),-0.376039 # DEPENDENCYPART_ARC
(2,6),0.158313 # DEPENDENCYPART_ARC
(2,7),-0.999231 # DEPENDENCYPART_ARC
(2,8),0.500901 # DEPENDENCYPART_ARC
(2,9),0.0240321 # DEPENDENCYPART_ARC
(2,10),-0.503253 # DEPENDENCYPART_ARC
(2,11),-0.887578 # DEPENDENCYPART_ARC
(2,12),-0.467728 # DEPENDENCYPART_ARC
(2,13),0.110233 # DEPENDENCYPART_ARC
(2,14),-0.956054 # DEPENDENCYPART_ARC
(2,15),-1.2225 # DEPENDENCYPART_ARC
(2,16),-2.00308 # DEPENDENCYPART_ARC
(3,1),-0.491798 # DEPENDENCYPART_ARC
(3,2),-0.311817 # DEPENDENCYPART_ARC
(3,4),3.74422 # DEPENDENCYPART_ARC
(3,5),-0.679129 # DEPENDENCYPART_ARC
(3,6),-0.144567 # DEPENDENCYPART_ARC
(3,7),-0.843567 # DEPENDENCYPART_ARC
(3,8),-1.08461 # DEPENDENCYPART_ARC
(3,9),-0.137396 # DEPENDENCYPART_ARC
(3,10),-1.58726 # DEPENDENCYPART_ARC
(3,11),-1.39831 # DEPENDENCYPART_ARC
(3,12),-2.61109 # DEPENDENCYPART_ARC
(3,13),-0.668264 # DEPENDENCYPART_ARC
(3,14),-2.00392 # DEPENDENCYPART_ARC
(3,15),-4.21962 # DEPENDENCYPART_ARC
(3,16),-1.69965 # DEPENDENCYPART_ARC
(4,1),-0.730597 # DEPENDENCYPART_ARC
(4,2),-1.93993 # DEPENDENCYPART_ARC
(4,3),0.541521 # DEPENDENCYPART_ARC
(4,5),-0.388129 # DEPENDENCYPART_ARC
(4,6),-0.516481 # DEPENDENCYPART_ARC
(4,7),-1.9468 # DEPENDENCYPART_ARC
(4,8),-0.468699 # DEPENDENCYPART_ARC
(4,9),-1.09247 # DEPENDENCYPART_ARC
(4,10),-1.39066 # DEPENDENCYPART_ARC
(4,11),-1.63593 # DEPENDENCYPART_ARC
(4,12),-1.81213 # DEPENDENCYPART_ARC
(4,13),-0.729371 # DEPENDENCYPART_ARC
(4,14),-1.758 # DEPENDENCYPART_ARC
(4,15),-2.09836 # DEPENDENCYPART_ARC
(4,16),-2.55368 # DEPENDENCYPART_ARC
(5,1),-2.20732 # DEPENDENCYPART_ARC
(5,2),-2.34337 # DEPENDENCYPART_ARC
(5,3),-1.02026 # DEPENDENCYPART_ARC
(5,4),-0.685922 # DEPENDENCYPART_ARC
(5,6),0.82438 # DEPENDENCYPART_ARC
(5,8),-0.797339 # DEPENDENCYPART_ARC
(5,9),-0.982558 # DEPENDENCYPART_ARC
(5,10),-1.08843 # DEPENDENCYPART_ARC
(5,12),-1.36163 # DEPENDENCYPART_ARC
(5,13),-1.08494 # DEPENDENCYPART_ARC
(5,15),-1.48058 # DEPENDENCYPART_ARC
(5,16),-1.29533 # DEPENDENCYPART_ARC
(6,1),0.000148906 # DEPENDENCYPART_ARC
(6,2),-1.7097 # DEPENDENCYPART_ARC
(6,3),0.422295 # DEPENDENCYPART_ARC
(6,4),-0.224933 # DEPENDENCYPART_ARC
(6,5),3.53887 # DEPENDENCYPART_ARC
(6,7),-0.364332 # DEPENDENCYPART_ARC
(6,8),0.959312 # DEPENDENCYPART_ARC
(6,9),-0.218643 # DEPENDENCYPART_ARC
(6,10),-0.349458 # DEPENDENCYPART_ARC
(6,11),-0.469536 # DEPENDENCYPART_ARC
(6,12),-0.967124 # DEPENDENCYPART_ARC
(6,13),0.0909183 # DEPENDENCYPART_ARC
(6,14),-0.985745 # DEPENDENCYPART_ARC
(6,15),-0.838204 # DEPENDENCYPART_ARC
(6,16),-1.46978 # DEPENDENCYPART_ARC
(7,1),-1.64506 # DEPENDENCYPART_ARC
(7,2),-2.18974 # DEPENDENCYPART_ARC
(7,3),-0.944761 # DEPENDENCYPART_ARC
(7,4),-1.61271 # DEPENDENCYPART_ARC
(7,6),-0.622734 # DEPENDENCYPART_ARC
(7,8),0.0737953 # DEPENDENCYPART_ARC
(7,9),-0.482877 # DEPENDENCYPART_ARC
(7,10),-1.10563 # DEPENDENCYPART_ARC
(7,11),-1.22304 # DEPENDENCYPART_ARC
(7,12),-1.8861 # DEPENDENCYPART_ARC
(7,13),-0.875446 # DEPENDENCYPART_ARC
(7,15),-1.70223 # DEPENDENCYPART_ARC
(7,16),-1.2564 # DEPENDENCYPART_ARC
(8,1),0.966392 # DEPENDENCYPART_ARC
(8,2),0.738579 # DEPENDENCYPART_ARC
(8,3),0.441757 # DEPENDENCYPART_ARC
(8,4),0.77029 # DEPENDENCYPART_ARC
(8,5),0.5374 # DEPENDENCYPART_ARC
(8,6),2.11288 # DEPENDENCYPART_ARC
(8,7),3.62747 # DEPENDENCYPART_ARC
