# _root_ Forse qualcuno di noi nasconde ancora , sotto l' attuale moquette , un piccolo tesoro che varrebbe la pena di valorizzare .
#goldHeads=5,5,2,3,0,5,6,5,11,11,8,11,15,15,5,17,15,19,17,17,20,21,
#predictedHeads=5,5,5,3,0,5,6,5,11,11,5,11,15,15,11,17,15,19,17,19,20,21,
(0,1),-0.49807 # DEPENDENCYPART_ARC
(0,2),-0.663155 # DEPENDENCYPART_ARC
(0,3),-1.16932 # DEPENDENCYPART_ARC
(0,4),-0.936091 # DEPENDENCYPART_ARC
(0,5),0.684745 # DEPENDENCYPART_ARC
(0,6),-1.04735 # DEPENDENCYPART_ARC
(0,7),-0.647466 # DEPENDENCYPART_ARC
(0,8),-1.35193 # DEPENDENCYPART_ARC
(0,9),-1.45986 # DEPENDENCYPART_ARC
(0,10),-0.829104 # DEPENDENCYPART_ARC
(0,11),-0.393675 # DEPENDENCYPART_ARC
(0,12),-0.835563 # DEPENDENCYPART_ARC
(0,13),-1.42441 # DEPENDENCYPART_ARC
(0,14),-0.731791 # DEPENDENCYPART_ARC
(0,15),-0.455656 # DEPENDENCYPART_ARC
(0,16),-1.3081 # DEPENDENCYPART_ARC
(0,17),0.495381 # DEPENDENCYPART_ARC
(0,18),-1.78878 # DEPENDENCYPART_ARC
(0,19),-0.428842 # DEPENDENCYPART_ARC
(0,20),-2.5047 # DEPENDENCYPART_ARC
(0,21),-0.931217 # DEPENDENCYPART_ARC
(0,22),-1.67403 # DEPENDENCYPART_ARC
(1,2),0.507681 # DEPENDENCYPART_ARC
(1,3),-0.175109 # DEPENDENCYPART_ARC
(1,4),-0.683724 # DEPENDENCYPART_ARC
(1,5),-0.37456 # DEPENDENCYPART_ARC
(1,6),-0.912647 # DEPENDENCYPART_ARC
(1,7),-0.167214 # DEPENDENCYPART_ARC
(1,8),-1.20593 # DEPENDENCYPART_ARC
(1,9),-1.13594 # DEPENDENCYPART_ARC
(1,10),-1.38063 # DEPENDENCYPART_ARC
(1,11),-1.52244 # DEPENDENCYPART_ARC
(1,12),-0.933403 # DEPENDENCYPART_ARC
(1,13),-1.22255 # DEPENDENCYPART_ARC
(1,14),-1.52822 # DEPENDENCYPART_ARC
(1,15),-1.74887 # DEPENDENCYPART_ARC
(1,16),-1.56057 # DEPENDENCYPART_ARC
(1,17),-1.4088 # DEPENDENCYPART_ARC
(1,18),-1.35 # DEPENDENCYPART_ARC
(1,19),-2.27908 # DEPENDENCYPART_ARC
(1,20),-1.68623 # DEPENDENCYPART_ARC
(1,21),-1.76993 # DEPENDENCYPART_ARC
(1,22),-2.39055 # DEPENDENCYPART_ARC
(2,1),0.490075 # DEPENDENCYPART_ARC
(2,3),1.64545 # DEPENDENCYPART_ARC
(2,4),-0.501871 # DEPENDENCYPART_ARC
(2,5),1.34083 # DEPENDENCYPART_ARC
(2,6),-0.688056 # DEPENDENCYPART_ARC
(2,7),-0.423754 # DEPENDENCYPART_ARC
(2,8),-0.93641 # DEPENDENCYPART_ARC
(2,9),-0.950883 # DEPENDENCYPART_ARC
(2,10),-0.663353 # DEPENDENCYPART_ARC
(2,11),-1.14774 # DEPENDENCYPART_ARC
(2,12),-0.448248 # DEPENDENCYPART_ARC
(2,13),-0.880769 # DEPENDENCYPART_ARC
(2,14),-0.453196 # DEPENDENCYPART_ARC
(2,15),-0.729332 # DEPENDENCYPART_ARC
(2,16),-2.01126 # DEPENDENCYPART_ARC
(2,17),-0.526347 # DEPENDENCYPART_ARC
(2,18),-1.42713 # DEPENDENCYPART_ARC
(2,19),-1.10695 # DEPENDENCYPART_ARC
(2,20),-1.362 # DEPENDENCYPART_ARC
(2,21),-1.63899 # DEPENDENCYPART_ARC
(2,22),-1.49791 # DEPENDENCYPART_ARC
(3,1),-0.612949 # DEPENDENCYPART_ARC
(3,2),-0.156069 # DEPENDENCYPART_ARC
(3,4),3.61025 # DEPENDENCYPART_ARC
(3,5),0.998049 # DEPENDENCYPART_ARC
(3,6),-0.369367 # DEPENDENCYPART_ARC
(3,7),0.0549346 # DEPENDENCYPART_ARC
(3,8),-0.678953 # DEPENDENCYPART_ARC
(3,9),-1.0336 # DEPENDENCYPART_ARC
(3,10),-0.720551 # DEPENDENCYPART_ARC
(3,11),-1.52853 # DEPENDENCYPART_ARC
(3,12),-0.308112 # DEPENDENCYPART_ARC
(3,13),-1.19355 # DEPENDENCYPART_ARC
(3,14),-1.04002 # DEPENDENCYPART_ARC
(3,15),-3.17304 # DEPENDENCYPART_ARC
(3,16),-1.92004 # DEPENDENCYPART_ARC
(3,17),-2.09772 # DEPENDENCYPART_ARC
(3,18),-1.26686 # DEPENDENCYPART_ARC
(3,19),-5.21963 # DEPENDENCYPART_ARC
(3,20),-1.33956 # DEPENDENCYPART_ARC
(3,21),-2.42287 # DEPENDENCYPART_ARC
(3,22),-2.01883 # DEPENDENCYPART_ARC
(4,1),-1.14403 # DEPENDENCYPART_ARC
(4,2),-1.84276 # DEPENDENCYPART_ARC
(4,3),-0.0206728 # DEPENDENCYPART_ARC
(4,5),0.618359 # DEPENDENCYPART_ARC
(4,6),-0.534038 # DEPENDENCYPART_ARC
(4,7),-0.429577 # DEPENDENCYPART_ARC
(4,8),-0.957785 # DEPENDENCYPART_ARC
(4,9),-1.12324 # DEPENDENCYPART_ARC
(4,10),-1.12672 # DEPENDENCYPART_ARC
(4,11),-0.815848 # DEPENDENCYPART_ARC
(4,12),-0.791148 # DEPENDENCYPART_ARC
(4,13),-1.40884 # DEPENDENCYPART_ARC
(4,14),-1.21908 # DEPENDENCYPART_ARC
(4,15),-0.643806 # DEPENDENCYPART_ARC
(4,16),-1.49653 # DEPENDENCYPART_ARC
(4,17),-1.96405 # DEPENDENCYPART_ARC
(4,18),-2.00155 # DEPENDENCYPART_ARC
(4,19),-1.39677 # DEPENDENCYPART_ARC
(4,20),-1.58272 # DEPENDENCYPART_ARC
(4,21),-1.8735 # DEPENDENCYPART_ARC
(4,22),-1.71471 # DEPENDENCYPART_ARC
(5,1),1.25064 # DEPENDENCYPART_ARC
(5,2),1.21373 # DEPENDENCYPART_ARC
(5,3),1.92124 # DEPENDENCYPART_ARC
(5,4),1.98624 # DEPENDENCYPART_ARC
(5,6),2.499 # DEPENDENCYPART_ARC
(5,7),1.45134 # DEPENDENCYPART_ARC
(5,8),1.06571 # DEPENDENCYPART_ARC
(5,9),-0.765525 # DEPENDENCYPART_ARC
(5,10),0.570621 # DEPENDENCYPART_ARC
(5,11),1.28364 # DEPENDENCYPART_ARC
(5,12),1.06615 # DEPENDENCYPART_ARC
(5,13),-1.28783 # DEPENDENCYPART_ARC
(5,14),-0.3396 # DEPENDENCYPART_ARC
(5,15),0.318984 # DEPENDENCYPART_ARC
(5,16),-0.598994 # DEPENDENCYPART_ARC
(5,17),0.541716 # DEPENDENCYPART_ARC
(5,18),-1.68543 # DEPENDENCYPART_ARC
(5,19),0.0699401 # DEPENDENCYPART_ARC
(5,20),-0.711535 # DEPENDENCYPART_ARC
(5,21),0.293911 # DEPENDENCYPART_ARC
(5,22),-0.944005 # DEPENDENCYPART_ARC
(6,1),-1.04859 # DEPENDENCYPART_ARC
(6,2),-1.33055 # DEPENDENCYPART_ARC
(6,3),-0.289142 # DEPENDENCYPART_ARC
(6,4),-0.735171 # DEPENDENCYPART_ARC
(6,5),-0.246622 # DEPENDENCYPART_ARC
(6,7),2.26673 # DEPENDENCYPART_ARC
(6,8),-0.000455342 # DEPENDENCYPART_ARC
(6,9),-0.214737 # DEPENDENCYPART_ARC
(6,10),-0.289986 # DEPENDENCYPART_ARC
(6,11),-0.459717 # DEPENDENCYPART_ARC
(6,12),0.21442 # DEPENDENCYPART_ARC
(6,13),-0.614903 # DEPENDENCYPART_ARC
(6,14),-0.810529 # DEPENDENCYPART_ARC
(6,15),-1.01344 # DEPENDENCYPART_ARC
(6,16),-0.767022 # DEPENDENCYPART_ARC
(6,17),-0.994319 # DEPENDENCYPART_ARC
(6,18),-0.860177 # DEPENDENCYPART_ARC
