# _root_ Ma solo la fedelissima Hrt , la tv di Stato , è riuscita ieri a filmare a lungo la vuota " felicità " di Petrinja e di Knin .
#goldHeads=13,5,5,5,13,5,8,5,8,9,10,13,0,13,13,15,16,17,22,22,22,16,22,22,24,25,22,27,28,
#predictedHeads=2,5,5,5,13,5,8,13,8,9,10,13,0,13,13,15,16,17,22,22,22,17,22,22,24,24,24,27,28,
(0,1),-0.860427 # DEPENDENCYPART_ARC
(0,2),-0.732854 # DEPENDENCYPART_ARC
(0,3),-1.10208 # DEPENDENCYPART_ARC
(0,4),-0.576251 # DEPENDENCYPART_ARC
(0,5),-0.699923 # DEPENDENCYPART_ARC
(0,6),-0.502964 # DEPENDENCYPART_ARC
(0,7),-1.27578 # DEPENDENCYPART_ARC
(0,8),-0.0706842 # DEPENDENCYPART_ARC
(0,9),-1.65347 # DEPENDENCYPART_ARC
(0,10),-0.495557 # DEPENDENCYPART_ARC
(0,11),-0.643632 # DEPENDENCYPART_ARC
(0,12),1.32306 # DEPENDENCYPART_ARC
(0,13),1.43418 # DEPENDENCYPART_ARC
(0,14),-1.29724 # DEPENDENCYPART_ARC
(0,15),-2.11453 # DEPENDENCYPART_ARC
(0,16),-0.430216 # DEPENDENCYPART_ARC
(0,17),-2.3847 # DEPENDENCYPART_ARC
(0,18),-1.15472 # DEPENDENCYPART_ARC
(0,19),-2.1349 # DEPENDENCYPART_ARC
(0,20),-1.2805 # DEPENDENCYPART_ARC
(0,21),-1.83037 # DEPENDENCYPART_ARC
(0,22),-0.716981 # DEPENDENCYPART_ARC
(0,23),-1.86235 # DEPENDENCYPART_ARC
(0,24),-2.65293 # DEPENDENCYPART_ARC
(0,25),-1.6538 # DEPENDENCYPART_ARC
(0,26),-2.50859 # DEPENDENCYPART_ARC
(0,27),-3.03546 # DEPENDENCYPART_ARC
(0,28),-1.89263 # DEPENDENCYPART_ARC
(0,29),-2.04504 # DEPENDENCYPART_ARC
(1,2),-0.934829 # DEPENDENCYPART_ARC
(1,3),-1.49048 # DEPENDENCYPART_ARC
(1,4),-1.17173 # DEPENDENCYPART_ARC
(1,5),-1.50507 # DEPENDENCYPART_ARC
(1,6),-1.01538 # DEPENDENCYPART_ARC
(1,7),-1.81513 # DEPENDENCYPART_ARC
(1,8),-1.77239 # DEPENDENCYPART_ARC
(1,9),-1.98705 # DEPENDENCYPART_ARC
(1,10),-1.8052 # DEPENDENCYPART_ARC
(1,11),-1.43652 # DEPENDENCYPART_ARC
(1,12),-1.64555 # DEPENDENCYPART_ARC
(1,13),-1.40434 # DEPENDENCYPART_ARC
(1,14),-2.26779 # DEPENDENCYPART_ARC
