# _root_ Il biglietto , infatti , potrebbe essere stato venduto anche in un paese della provincia .
#goldHeads=2,9,2,9,4,9,8,9,0,11,9,13,11,13,14,15,
#predictedHeads=2,9,2,9,4,8,8,9,0,11,9,13,11,13,14,15,
(0,1),-0.594265 # DEPENDENCYPART_ARC
(0,2),-0.314627 # DEPENDENCYPART_ARC
(0,3),-0.488892 # DEPENDENCYPART_ARC
(0,4),-0.833687 # DEPENDENCYPART_ARC
(0,5),-0.674887 # DEPENDENCYPART_ARC
(0,6),1.11774 # DEPENDENCYPART_ARC
(0,7),0.633425 # DEPENDENCYPART_ARC
(0,8),-0.144829 # DEPENDENCYPART_ARC
(0,9),0.856886 # DEPENDENCYPART_ARC
(0,10),-1.08826 # DEPENDENCYPART_ARC
(0,11),-2.4344 # DEPENDENCYPART_ARC
(0,12),-1.56437 # DEPENDENCYPART_ARC
(0,13),-1.36251 # DEPENDENCYPART_ARC
(0,14),-1.74455 # DEPENDENCYPART_ARC
(0,15),-1.19725 # DEPENDENCYPART_ARC
(0,16),-1.199 # DEPENDENCYPART_ARC
(1,2),0.723449 # DEPENDENCYPART_ARC
(1,3),-0.445925 # DEPENDENCYPART_ARC
(1,4),-0.522649 # DEPENDENCYPART_ARC
(1,5),-0.699556 # DEPENDENCYPART_ARC
(1,6),-1.01592 # DEPENDENCYPART_ARC
(1,7),-1.20025 # DEPENDENCYPART_ARC
(1,8),-1.3113 # DEPENDENCYPART_ARC
(1,9),-1.42818 # DEPENDENCYPART_ARC
(1,10),-1.07614 # DEPENDENCYPART_ARC
(1,11),-1.33099 # DEPENDENCYPART_ARC
(1,12),-2.0825 # DEPENDENCYPART_ARC
(1,13),-1.31966 # DEPENDENCYPART_ARC
(1,14),-1.35223 # DEPENDENCYPART_ARC
(1,15),-1.35313 # DEPENDENCYPART_ARC
(1,16),-1.48949 # DEPENDENCYPART_ARC
(2,1),3.60563 # DEPENDENCYPART_ARC
(2,3),2.10449 # DEPENDENCYPART_ARC
(2,4),0.622927 # DEPENDENCYPART_ARC
(2,5),0.71844 # DEPENDENCYPART_ARC
(2,6),-0.568428 # DEPENDENCYPART_ARC
(2,7),-1.09706 # DEPENDENCYPART_ARC
(2,8),-1.03385 # DEPENDENCYPART_ARC
(2,9),-1.62839 # DEPENDENCYPART_ARC
(2,10),-0.821688 # DEPENDENCYPART_ARC
(2,11),-0.854279 # DEPENDENCYPART_ARC
(2,12),-0.666273 # DEPENDENCYPART_ARC
(2,13),-0.263023 # DEPENDENCYPART_ARC
(2,14),-0.18293 # DEPENDENCYPART_ARC
(2,15),-0.464619 # DEPENDENCYPART_ARC
(2,16),-1.23742 # DEPENDENCYPART_ARC
(3,1),-0.903612 # DEPENDENCYPART_ARC
(3,2),-0.991939 # DEPENDENCYPART_ARC
(3,4),-1.22842 # DEPENDENCYPART_ARC
(3,5),-0.552181 # DEPENDENCYPART_ARC
(3,6),-1.70672 # DEPENDENCYPART_ARC
(3,7),-2.02625 # DEPENDENCYPART_ARC
(3,8),-2.19967 # DEPENDENCYPART_ARC
(3,9),-2.36075 # DEPENDENCYPART_ARC
(3,10),-2.35734 # DEPENDENCYPART_ARC
(3,11),-2.70023 # DEPENDENCYPART_ARC
(3,12),-2.59601 # DEPENDENCYPART_ARC
(3,13),-2.72943 # DEPENDENCYPART_ARC
(3,14),-2.80809 # DEPENDENCYPART_ARC
(3,15),-2.79727 # DEPENDENCYPART_ARC
(3,16),-1.83582 # DEPENDENCYPART_ARC
(4,1),-0.85087 # DEPENDENCYPART_ARC
(4,2),-1.21485 # DEPENDENCYPART_ARC
(4,3),0.0893123 # DEPENDENCYPART_ARC
(4,5),1.84566 # DEPENDENCYPART_ARC
(4,6),0.360608 # DEPENDENCYPART_ARC
(4,7),0.256986 # DEPENDENCYPART_ARC
(4,8),-0.35858 # DEPENDENCYPART_ARC
(4,9),-0.598357 # DEPENDENCYPART_ARC
(4,10),-0.259642 # DEPENDENCYPART_ARC
(4,11),-1.38383 # DEPENDENCYPART_ARC
(4,12),-1.3026 # DEPENDENCYPART_ARC
(4,13),-1.33787 # DEPENDENCYPART_ARC
(4,14),-1.43773 # DEPENDENCYPART_ARC
