# _root_ Una pattuglia del commissariato diretto da Luigi De Maio si è recata sul posto , poco dopo la celebrazione , allentando per qualche minuto la morsa dei controlli sui giovani in uscita dalle discoteche .
#goldHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
#predictedHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
(0,1),-0.434033 # DEPENDENCYPART_ARC
(0,2),-0.486475 # DEPENDENCYPART_ARC
(0,3),-0.800948 # DEPENDENCYPART_ARC
(0,4),-0.311205 # DEPENDENCYPART_ARC
(0,5),0.350361 # DEPENDENCYPART_ARC
(0,6),-1.6222 # DEPENDENCYPART_ARC
(0,7),-0.296274 # DEPENDENCYPART_ARC
(0,8),0.577503 # DEPENDENCYPART_ARC
(0,9),0.168409 # DEPENDENCYPART_ARC
(0,10),-1.29591 # DEPENDENCYPART_ARC
(0,11),1.03197 # DEPENDENCYPART_ARC
(0,12),0.708195 # DEPENDENCYPART_ARC
(0,13),-2.24242 # DEPENDENCYPART_ARC
(0,14),0.0428558 # DEPENDENCYPART_ARC
(0,15),-1.04866 # DEPENDENCYPART_ARC
(0,16),-1.39952 # DEPENDENCYPART_ARC
(0,17),-2.72614 # DEPENDENCYPART_ARC
(0,18),-2.03742 # DEPENDENCYPART_ARC
(0,19),-0.550911 # DEPENDENCYPART_ARC
(0,20),-1.12572 # DEPENDENCYPART_ARC
(0,21),-0.390054 # DEPENDENCYPART_ARC
(0,22),-2.51481 # DEPENDENCYPART_ARC
(0,23),-1.48872 # DEPENDENCYPART_ARC
(0,24),-1.07169 # DEPENDENCYPART_ARC
(0,25),-2.33516 # DEPENDENCYPART_ARC
(0,26),-1.0681 # DEPENDENCYPART_ARC
(0,27),-1.99674 # DEPENDENCYPART_ARC
(0,28),-0.859082 # DEPENDENCYPART_ARC
(0,29),-3.2668 # DEPENDENCYPART_ARC
(0,30),-0.827443 # DEPENDENCYPART_ARC
(0,31),-4.30937 # DEPENDENCYPART_ARC
(0,32),-1.1093 # DEPENDENCYPART_ARC
(0,33),-4.00246 # DEPENDENCYPART_ARC
(0,34),-1.04854 # DEPENDENCYPART_ARC
(0,35),-2.33163 # DEPENDENCYPART_ARC
(1,2),1.03713 # DEPENDENCYPART_ARC
(1,3),-0.0395684 # DEPENDENCYPART_ARC
(1,4),-0.51492 # DEPENDENCYPART_ARC
(1,5),-0.839703 # DEPENDENCYPART_ARC
(1,6),-0.509253 # DEPENDENCYPART_ARC
(1,7),-0.598107 # DEPENDENCYPART_ARC
(1,8),-0.605734 # DEPENDENCYPART_ARC
(1,9),-0.608993 # DEPENDENCYPART_ARC
(1,10),-1.84501 # DEPENDENCYPART_ARC
(1,11),-1.11428 # DEPENDENCYPART_ARC
(1,12),-1.08544 # DEPENDENCYPART_ARC
(1,13),-1.29303 # DEPENDENCYPART_ARC
(1,14),-1.20431 # DEPENDENCYPART_ARC
(1,15),-0.742786 # DEPENDENCYPART_ARC
(1,16),-1.4844 # DEPENDENCYPART_ARC
(1,17),-1.21674 # DEPENDENCYPART_ARC
(1,18),-1.65842 # DEPENDENCYPART_ARC
(1,19),-0.921847 # DEPENDENCYPART_ARC
(1,20),-1.00643 # DEPENDENCYPART_ARC
(1,21),-2.06541 # DEPENDENCYPART_ARC
(1,22),-1.5263 # DEPENDENCYPART_ARC
(1,23),-1.66065 # DEPENDENCYPART_ARC
(1,24),-1.31351 # DEPENDENCYPART_ARC
(1,25),-1.92997 # DEPENDENCYPART_ARC
(1,26),-1.01542 # DEPENDENCYPART_ARC
(1,27),-1.4554 # DEPENDENCYPART_ARC
(1,28),-1.34411 # DEPENDENCYPART_ARC
(1,29),-1.62231 # DEPENDENCYPART_ARC
(1,30),-1.38836 # DEPENDENCYPART_ARC
(1,31),-1.81987 # DEPENDENCYPART_ARC
(1,32),-1.16988 # DEPENDENCYPART_ARC
(1,33),-1.59879 # DEPENDENCYPART_ARC
(1,34),-1.16313 # DEPENDENCYPART_ARC
(1,35),-2.06741 # DEPENDENCYPART_ARC
(2,1),4.14909 # DEPENDENCYPART_ARC
(2,3),3.33926 # DEPENDENCYPART_ARC
(2,4),1.69692 # DEPENDENCYPART_ARC
(2,5),1.62373 # DEPENDENCYPART_ARC
(2,6),0.670627 # DEPENDENCYPART_ARC
(2,7),0.238894 # DEPENDENCYPART_ARC
(2,8),0.684635 # DEPENDENCYPART_ARC
(2,9),0.51425 # DEPENDENCYPART_ARC
(2,10),-1.26666 # DEPENDENCYPART_ARC
(2,11),0.499362 # DEPENDENCYPART_ARC
(2,12),1.02471 # DEPENDENCYPART_ARC
(2,13),-0.701989 # DEPENDENCYPART_ARC
(2,14),-0.65832 # DEPENDENCYPART_ARC
(2,15),-0.261556 # DEPENDENCYPART_ARC
(2,16),-0.986108 # DEPENDENCYPART_ARC
(2,17),-0.56152 # DEPENDENCYPART_ARC
(2,18),-0.184796 # DEPENDENCYPART_ARC
(2,19),-0.715198 # DEPENDENCYPART_ARC
(2,20),-0.532414 # DEPENDENCYPART_ARC
(2,21),-1.75598 # DEPENDENCYPART_ARC
(2,22),-0.985468 # DEPENDENCYPART_ARC
(2,23),-0.790565 # DEPENDENCYPART_ARC
(2,24),-1.41805 # DEPENDENCYPART_ARC
(2,25),-0.227512 # DEPENDENCYPART_ARC
(2,26),-0.99821 # DEPENDENCYPART_ARC
(2,27),-2.12421 # DEPENDENCYPART_ARC
(2,28),-1.47089 # DEPENDENCYPART_ARC
(2,29),-1.6871 # DEPENDENCYPART_ARC
(2,30),-2.07455 # DEPENDENCYPART_ARC
(2,31),-1.65827 # DEPENDENCYPART_ARC
(2,32),-1.66862 # DEPENDENCYPART_ARC
(2,33),-2.81723 # DEPENDENCYPART_ARC
(2,34),-2.28805 # DEPENDENCYPART_ARC
(2,35),-6.75732 # DEPENDENCYPART_ARC
(3,1),-0.580747 # DEPENDENCYPART_ARC
(3,2),-1.13527 # DEPENDENCYPART_ARC
(3,4),4.05702 # DEPENDENCYPART_ARC
(3,5),0.447106 # DEPENDENCYPART_ARC
(3,6),-0.207841 # DEPENDENCYPART_ARC
(3,7),-0.659704 # DEPENDENCYPART_ARC
(3,8),-1.94996 # DEPENDENCYPART_ARC
(3,9),-2.80861 # DEPENDENCYPART_ARC
(3,10),-1.82341 # DEPENDENCYPART_ARC
(3,11),-2.49355 # DEPENDENCYPART_ARC
(3,12),-2.58729 # DEPENDENCYPART_ARC
(3,13),-0.985726 # DEPENDENCYPART_ARC
(3,14),-4.1342 # DEPENDENCYPART_ARC
(3,15),-0.859355 # DEPENDENCYPART_ARC
(3,16),-0.959122 # DEPENDENCYPART_ARC
(3,17),-1.65168 # DEPENDENCYPART_ARC
(3,18),-2.21216 # DEPENDENCYPART_ARC
(3,19),-6.72726 # DEPENDENCYPART_ARC
(3,20),-1.06656 # DEPENDENCYPART_ARC
(3,21),-2.93396 # DEPENDENCYPART_ARC
(3,22),-2.56779 # DEPENDENCYPART_ARC
(3,23),-0.913977 # DEPENDENCYPART_ARC
(3,24),-8.23665 # DEPENDENCYPART_ARC
(3,25),-2.30261 # DEPENDENCYPART_ARC
(3,26),-9.91781 # DEPENDENCYPART_ARC
(3,27),-3.27945 # DEPENDENCYPART_ARC
(3,28),-10.2197 # DEPENDENCYPART_ARC
(3,29),-2.39095 # DEPENDENCYPART_ARC
(3,30),-11.2589 # DEPENDENCYPART_ARC
(3,31),-3.65603 # DEPENDENCYPART_ARC
(3,32),-12.2871 # DEPENDENCYPART_ARC
(3,33),-2.78445 # DEPENDENCYPART_ARC
(3,34),-13.2246 # DEPENDENCYPART_ARC
(3,35),-3.58981 # DEPENDENCYPART_ARC
(4,1),0.189521 # DEPENDENCYPART_ARC
(4,2),-2.03718 # DEPENDENCYPART_ARC
(4,3),1.11824 # DEPENDENCYPART_ARC
(4,5),2.48047 # DEPENDENCYPART_ARC
(4,6),0.882048 # DEPENDENCYPART_ARC
(4,7),0.331311 # DEPENDENCYPART_ARC
(4,8),0.522547 # DEPENDENCYPART_ARC
(4,9),0.631532 # DEPENDENCYPART_ARC
(4,10),-1.73941 # DEPENDENCYPART_ARC
(4,11),-0.086002 # DEPENDENCYPART_ARC
(4,12),-0.295313 # DEPENDENCYPART_ARC
(4,13),-0.454572 # DEPENDENCYPART_ARC
(4,14),-0.394358 # DEPENDENCYPART_ARC
(4,15),-0.171445 # DEPENDENCYPART_ARC
(4,16),-0.956154 # DEPENDENCYPART_ARC
(4,17),-0.558513 # DEPENDENCYPART_ARC
(4,18),-0.807332 # DEPENDENCYPART_ARC
(4,19),-1.36651 # DEPENDENCYPART_ARC
(4,20),-0.405205 # DEPENDENCYPART_ARC
(4,21),-1.93576 # DEPENDENCYPART_ARC
(4,22),-0.830666 # DEPENDENCYPART_ARC
(4,23),-0.717578 # DEPENDENCYPART_ARC
(4,24),-1.41235 # DEPENDENCYPART_ARC
(4,25),-0.935064 # DEPENDENCYPART_ARC
(4,26),-2.02455 # DEPENDENCYPART_ARC
(4,27),-1.88901 # DEPENDENCYPART_ARC
(4,28),-1.92052 # DEPENDENCYPART_ARC
(4,29),-1.67767 # DEPENDENCYPART_ARC
(4,30),-2.15367 # DEPENDENCYPART_ARC
(4,31),-1.5392 # DEPENDENCYPART_ARC
(4,32),-2.41842 # DEPENDENCYPART_ARC
(4,33),-2.41107 # DEPENDENCYPART_ARC
(4,34),-2.09238 # DEPENDENCYPART_ARC
(4,35),-6.34964 # DEPENDENCYPART_ARC
