# _root_ Fanno fatica ad ammettere che una mescolanza misteriosa di fattori genetici , di educazione e di stimoli ambientali , possa produrre individui che sanno fare cose che essi non potranno mai nemmeno immaginare .
#goldHeads=0,1,1,3,4,7,21,7,7,9,10,9,9,13,9,9,16,17,18,21,5,21,24,22,24,25,33,33,33,33,33,33,26,33,
#predictedHeads=0,1,1,3,4,7,4,7,7,9,10,11,9,13,1,9,16,17,18,21,5,21,25,25,21,25,30,30,30,26,30,33,26,33,
(0,1),1.39556 # DEPENDENCYPART_ARC
(0,2),-0.240985 # DEPENDENCYPART_ARC
(0,3),-1.71808 # DEPENDENCYPART_ARC
(0,4),-0.198234 # DEPENDENCYPART_ARC
(0,5),-1.25401 # DEPENDENCYPART_ARC
(0,6),-1.41535 # DEPENDENCYPART_ARC
(0,7),-0.560824 # DEPENDENCYPART_ARC
(0,8),-0.928682 # DEPENDENCYPART_ARC
(0,9),-2.21706 # DEPENDENCYPART_ARC
(0,10),-0.501748 # DEPENDENCYPART_ARC
(0,11),-1.2504 # DEPENDENCYPART_ARC
(0,12),-1.18192 # DEPENDENCYPART_ARC
(0,13),-2.28049 # DEPENDENCYPART_ARC
(0,14),-0.628657 # DEPENDENCYPART_ARC
(0,15),-1.85503 # DEPENDENCYPART_ARC
(0,16),-2.65892 # DEPENDENCYPART_ARC
(0,17),-0.715275 # DEPENDENCYPART_ARC
(0,18),-1.50694 # DEPENDENCYPART_ARC
(0,19),-1.44278 # DEPENDENCYPART_ARC
(0,20),-0.3656 # DEPENDENCYPART_ARC
(0,21),0.254033 # DEPENDENCYPART_ARC
(0,22),-1.01301 # DEPENDENCYPART_ARC
(0,23),-2.11003 # DEPENDENCYPART_ARC
(0,24),-0.321497 # DEPENDENCYPART_ARC
(0,25),0.129531 # DEPENDENCYPART_ARC
(0,26),-1.35901 # DEPENDENCYPART_ARC
(0,27),-2.38541 # DEPENDENCYPART_ARC
(0,28),-2.10854 # DEPENDENCYPART_ARC
(0,29),-2.80231 # DEPENDENCYPART_ARC
(0,30),-0.387286 # DEPENDENCYPART_ARC
