# _root_ Montale era pago della pubblicazione e non ebbe alcun contratto : si prodigò , anzi , per far prenotare duecentoquaranta copie da amici e conoscenti .
#goldHeads=2,0,2,3,4,2,8,2,10,8,10,13,0,13,13,15,13,17,18,21,19,19,22,23,23,25,
#predictedHeads=2,0,2,3,4,4,8,2,10,8,10,13,8,13,13,15,13,17,18,21,19,19,22,23,23,25,
(0,1),0.296919 # DEPENDENCYPART_ARC
(0,2),0.900883 # DEPENDENCYPART_ARC
(0,3),-0.385545 # DEPENDENCYPART_ARC
(0,4),-1.34293 # DEPENDENCYPART_ARC
(0,5),-0.351794 # DEPENDENCYPART_ARC
(0,6),-0.986261 # DEPENDENCYPART_ARC
(0,7),-1.35565 # DEPENDENCYPART_ARC
(0,8),1.02677 # DEPENDENCYPART_ARC
(0,9),-1.27007 # DEPENDENCYPART_ARC
(0,10),-0.717698 # DEPENDENCYPART_ARC
(0,11),-0.902603 # DEPENDENCYPART_ARC
(0,12),-1.42693 # DEPENDENCYPART_ARC
(0,13),0.166421 # DEPENDENCYPART_ARC
(0,14),-1.06642 # DEPENDENCYPART_ARC
(0,15),-0.536405 # DEPENDENCYPART_ARC
(0,16),-1.08962 # DEPENDENCYPART_ARC
(0,17),-1.22882 # DEPENDENCYPART_ARC
(0,18),-1.04927 # DEPENDENCYPART_ARC
(0,19),-0.185307 # DEPENDENCYPART_ARC
(0,20),-1.91328 # DEPENDENCYPART_ARC
(0,21),-1.26197 # DEPENDENCYPART_ARC
(0,22),-2.86627 # DEPENDENCYPART_ARC
(0,23),-1.35191 # DEPENDENCYPART_ARC
(0,24),-1.4782 # DEPENDENCYPART_ARC
(0,25),-1.58076 # DEPENDENCYPART_ARC
(0,26),-1.87287 # DEPENDENCYPART_ARC
(1,2),0.371918 # DEPENDENCYPART_ARC
(1,3),0.152482 # DEPENDENCYPART_ARC
(1,4),1.16996 # DEPENDENCYPART_ARC
(1,5),-0.219863 # DEPENDENCYPART_ARC
(1,6),-0.220495 # DEPENDENCYPART_ARC
(1,7),-1.18947 # DEPENDENCYPART_ARC
(1,8),-1.50587 # DEPENDENCYPART_ARC
(1,9),-0.623984 # DEPENDENCYPART_ARC
(1,10),-0.716305 # DEPENDENCYPART_ARC
(1,11),-1.63199 # DEPENDENCYPART_ARC
(1,12),-1.95199 # DEPENDENCYPART_ARC
(1,13),-1.66677 # DEPENDENCYPART_ARC
(1,14),-0.934506 # DEPENDENCYPART_ARC
(1,15),-1.10453 # DEPENDENCYPART_ARC
(1,16),-1.23922 # DEPENDENCYPART_ARC
(1,17),-1.68891 # DEPENDENCYPART_ARC
(1,18),-2.44753 # DEPENDENCYPART_ARC
(1,19),-3.22896 # DEPENDENCYPART_ARC
(1,20),-1.94771 # DEPENDENCYPART_ARC
(1,21),-1.9526 # DEPENDENCYPART_ARC
(1,22),-1.42092 # DEPENDENCYPART_ARC
(1,23),-2.1086 # DEPENDENCYPART_ARC
(1,24),-0.9459 # DEPENDENCYPART_ARC
(1,25),-1.46398 # DEPENDENCYPART_ARC
(1,26),-4.42826 # DEPENDENCYPART_ARC
(2,1),2.78941 # DEPENDENCYPART_ARC
(2,3),2.92532 # DEPENDENCYPART_ARC
(2,4),1.28616 # DEPENDENCYPART_ARC
(2,5),1.0282 # DEPENDENCYPART_ARC
(2,6),1.0488 # DEPENDENCYPART_ARC
(2,7),-0.106368 # DEPENDENCYPART_ARC
(2,8),1.22913 # DEPENDENCYPART_ARC
(2,9),0.0594169 # DEPENDENCYPART_ARC
(2,10),-0.535787 # DEPENDENCYPART_ARC
(2,11),-0.472278 # DEPENDENCYPART_ARC
(2,12),-0.581641 # DEPENDENCYPART_ARC
(2,13),0.925649 # DEPENDENCYPART_ARC
(2,14),0.558608 # DEPENDENCYPART_ARC
(2,15),-0.0322959 # DEPENDENCYPART_ARC
(2,16),-0.190508 # DEPENDENCYPART_ARC
(2,17),-0.115222 # DEPENDENCYPART_ARC
(2,18),0.478473 # DEPENDENCYPART_ARC
(2,19),0.449993 # DEPENDENCYPART_ARC
(2,20),-0.939808 # DEPENDENCYPART_ARC
(2,21),-2.16526 # DEPENDENCYPART_ARC
(2,22),-0.833353 # DEPENDENCYPART_ARC
(2,23),-2.79435 # DEPENDENCYPART_ARC
(2,24),-0.335885 # DEPENDENCYPART_ARC
(2,25),-2.97168 # DEPENDENCYPART_ARC
(2,26),-2.77435 # DEPENDENCYPART_ARC
(3,1),-0.334393 # DEPENDENCYPART_ARC
(3,2),1.06784 # DEPENDENCYPART_ARC
(3,4),2.22961 # DEPENDENCYPART_ARC
(3,5),0.957042 # DEPENDENCYPART_ARC
(3,6),1.05846 # DEPENDENCYPART_ARC
(3,7),-0.013368 # DEPENDENCYPART_ARC
(3,8),-0.212476 # DEPENDENCYPART_ARC
(3,9),0.357795 # DEPENDENCYPART_ARC
(3,10),-0.00762892 # DEPENDENCYPART_ARC
(3,11),0.0257323 # DEPENDENCYPART_ARC
(3,12),-1.66576 # DEPENDENCYPART_ARC
(3,13),-0.98028 # DEPENDENCYPART_ARC
(3,14),-0.312267 # DEPENDENCYPART_ARC
(3,15),0.0716552 # DEPENDENCYPART_ARC
(3,16),-0.213471 # DEPENDENCYPART_ARC
(3,17),-0.0546602 # DEPENDENCYPART_ARC
(3,18),-1.29199 # DEPENDENCYPART_ARC
(3,19),-1.48493 # DEPENDENCYPART_ARC
(3,20),-0.654371 # DEPENDENCYPART_ARC
(3,21),-0.902058 # DEPENDENCYPART_ARC
(3,22),-1.02095 # DEPENDENCYPART_ARC
(3,23),-0.606614 # DEPENDENCYPART_ARC
(3,24),-0.468155 # DEPENDENCYPART_ARC
(3,25),-0.672901 # DEPENDENCYPART_ARC
(3,26),-1.70786 # DEPENDENCYPART_ARC
(4,1),-1.88344 # DEPENDENCYPART_ARC
(4,2),-1.25727 # DEPENDENCYPART_ARC
(4,3),-0.398698 # DEPENDENCYPART_ARC
(4,5),4.31552 # DEPENDENCYPART_ARC
(4,6),1.14248 # DEPENDENCYPART_ARC
(4,7),-0.779171 # DEPENDENCYPART_ARC
(4,8),-1.07254 # DEPENDENCYPART_ARC
(4,9),-0.477156 # DEPENDENCYPART_ARC
(4,10),-1.39947 # DEPENDENCYPART_ARC
(4,11),-0.502544 # DEPENDENCYPART_ARC
(4,12),-1.90099 # DEPENDENCYPART_ARC
(4,13),-2.19181 # DEPENDENCYPART_ARC
(4,14),-0.229168 # DEPENDENCYPART_ARC
(4,15),-1.09083 # DEPENDENCYPART_ARC
(4,16),-0.120852 # DEPENDENCYPART_ARC
(4,17),-1.49926 # DEPENDENCYPART_ARC
(4,18),-2.02431 # DEPENDENCYPART_ARC
(4,19),-2.47679 # DEPENDENCYPART_ARC
(4,20),-1.36008 # DEPENDENCYPART_ARC
(4,21),-3.65222 # DEPENDENCYPART_ARC
(4,22),-2.01966 # DEPENDENCYPART_ARC
(4,23),-5.03116 # DEPENDENCYPART_ARC
(4,24),-1.07823 # DEPENDENCYPART_ARC
(4,25),-6.50949 # DEPENDENCYPART_ARC
(4,26),-1.94821 # DEPENDENCYPART_ARC
(5,1),-2.3527 # DEPENDENCYPART_ARC
(5,2),-2.00625 # DEPENDENCYPART_ARC
(5,3),-0.311308 # DEPENDENCYPART_ARC
(5,4),0.634719 # DEPENDENCYPART_ARC
(5,6),0.991769 # DEPENDENCYPART_ARC
(5,7),0.0632997 # DEPENDENCYPART_ARC
(5,8),0.183954 # DEPENDENCYPART_ARC
(5,9),0.0752552 # DEPENDENCYPART_ARC
(5,10),0.286951 # DEPENDENCYPART_ARC
(5,11),-0.368411 # DEPENDENCYPART_ARC
(5,12),-1.6794 # DEPENDENCYPART_ARC
(5,13),-0.659804 # DEPENDENCYPART_ARC
(5,14),-0.292864 # DEPENDENCYPART_ARC
(5,15),-0.805501 # DEPENDENCYPART_ARC
(5,16),-0.619839 # DEPENDENCYPART_ARC
(5,17),-1.49179 # DEPENDENCYPART_ARC
(5,18),-1.84532 # DEPENDENCYPART_ARC
(5,19),-2.43647 # DEPENDENCYPART_ARC
(5,20),-1.20106 # DEPENDENCYPART_ARC
(5,21),-1.33889 # DEPENDENCYPART_ARC
(5,22),-0.924865 # DEPENDENCYPART_ARC
(5,23),-1.24604 # DEPENDENCYPART_ARC
(5,24),-0.106053 # DEPENDENCYPART_ARC
(5,25),-0.450531 # DEPENDENCYPART_ARC
(5,26),-3.33925 # DEPENDENCYPART_ARC
(6,1),-2.2834 # DEPENDENCYPART_ARC
(6,2),-2.31466 # DEPENDENCYPART_ARC
(6,3),-1.58206 # DEPENDENCYPART_ARC
(6,4),-0.935561 # DEPENDENCYPART_ARC
(6,5),-0.572375 # DEPENDENCYPART_ARC
(6,7),-0.906528 # DEPENDENCYPART_ARC
(6,8),-0.000689898 # DEPENDENCYPART_ARC
(6,9),-1.28948 # DEPENDENCYPART_ARC
(6,10),-1.36468 # DEPENDENCYPART_ARC
(6,11),-1.13209 # DEPENDENCYPART_ARC
(6,12),-1.90885 # DEPENDENCYPART_ARC
(6,13),-1.78253 # DEPENDENCYPART_ARC
(6,14),-0.682518 # DEPENDENCYPART_ARC
(6,15),-1.25711 # DEPENDENCYPART_ARC
(6,16),-0.922073 # DEPENDENCYPART_ARC
(6,17),-2.13062 # DEPENDENCYPART_ARC
(6,18),-3.51482 # DEPENDENCYPART_ARC
(6,19),-3.23671 # DEPENDENCYPART_ARC
(6,20),-1.6765 # DEPENDENCYPART_ARC
(6,21),-1.93826 # DEPENDENCYPART_ARC
(6,22),-2.19041 # DEPENDENCYPART_ARC
(6,23),-1.90523 # DEPENDENCYPART_ARC
(6,24),-1.51546 # DEPENDENCYPART_ARC
(6,25),-2.00063 # DEPENDENCYPART_ARC
(6,26),-2.14401 # DEPENDENCYPART_ARC
(7,1),-3.18631 # DEPENDENCYPART_ARC
(7,2),-3.26882 # DEPENDENCYPART_ARC
(7,3),-2.52319 # DEPENDENCYPART_ARC
(7,4),-1.63046 # DEPENDENCYPART_ARC
(7,5),-2.31058 # DEPENDENCYPART_ARC
(7,6),-0.731883 # DEPENDENCYPART_ARC
(7,8),-0.0175361 # DEPENDENCYPART_ARC
(7,9),-1.23129 # DEPENDENCYPART_ARC
(7,10),-1.46554 # DEPENDENCYPART_ARC
(7,11),-1.32343 # DEPENDENCYPART_ARC
(7,12),-1.8644 # DEPENDENCYPART_ARC
(7,13),-1.42989 # DEPENDENCYPART_ARC
(7,14),-1.41183 # DEPENDENCYPART_ARC
(7,15),-1.57433 # DEPENDENCYPART_ARC
(7,16),-1.5006 # DEPENDENCYPART_ARC
(7,17),-2.40145 # DEPENDENCYPART_ARC
(7,18),-2.00352 # DEPENDENCYPART_ARC
(7,19),-2.02177 # DEPENDENCYPART_ARC
(7,20),-2.20724 # DEPENDENCYPART_ARC
(7,21),-2.65041 # DEPENDENCYPART_ARC
(7,22),-2.32138 # DEPENDENCYPART_ARC
(7,23),-2.60405 # DEPENDENCYPART_ARC
(7,24),-1.69967 # DEPENDENCYPART_ARC
(7,25),-2.81127 # DEPENDENCYPART_ARC
(7,26),-2.88467 # DEPENDENCYPART_ARC
(8,1),1.4029 # DEPENDENCYPART_ARC
(8,2),-0.923509 # DEPENDENCYPART_ARC
(8,3),-0.639543 # DEPENDENCYPART_ARC
(8,4),-0.174947 # DEPENDENCYPART_ARC
(8,5),0.89969 # DEPENDENCYPART_ARC
(8,6),0.438195 # DEPENDENCYPART_ARC
(8,7),2.88527 # DEPENDENCYPART_ARC
(8,9),1.72372 # DEPENDENCYPART_ARC
(8,10),2.67142 # DEPENDENCYPART_ARC
(8,11),0.469491 # DEPENDENCYPART_ARC
(8,12),0.424902 # DEPENDENCYPART_ARC
(8,13),1.77621 # DEPENDENCYPART_ARC
(8,14),1.16267 # DEPENDENCYPART_ARC
(8,15),0.744958 # DEPENDENCYPART_ARC
(8,16),0.24737 # DEPENDENCYPART_ARC
(8,17),-0.42693 # DEPENDENCYPART_ARC
(8,18),1.01708 # DEPENDENCYPART_ARC
(8,19),0.963729 # DEPENDENCYPART_ARC
(8,20),-0.666625 # DEPENDENCYPART_ARC
(8,21),-1.02539 # DEPENDENCYPART_ARC
(8,22),-0.21772 # DEPENDENCYPART_ARC
(8,23),-1.61266 # DEPENDENCYPART_ARC
(8,24),0.340815 # DEPENDENCYPART_ARC
(8,25),-1.93405 # DEPENDENCYPART_ARC
(8,26),-1.72481 # DEPENDENCYPART_ARC
(9,1),-1.89291 # DEPENDENCYPART_ARC
(9,2),-2.17009 # DEPENDENCYPART_ARC
(9,3),-1.36477 # DEPENDENCYPART_ARC
(9,4),-1.29746 # DEPENDENCYPART_ARC
(9,5),-1.86053 # DEPENDENCYPART_ARC
(9,6),-0.652398 # DEPENDENCYPART_ARC
(9,7),-0.280895 # DEPENDENCYPART_ARC
(9,8),-0.15777 # DEPENDENCYPART_ARC
(9,10),1.12708 # DEPENDENCYPART_ARC
(9,11),0.150429 # DEPENDENCYPART_ARC
(9,12),-0.521035 # DEPENDENCYPART_ARC
(9,13),-0.237445 # DEPENDENCYPART_ARC
(9,14),-0.419109 # DEPENDENCYPART_ARC
(9,15),-0.413688 # DEPENDENCYPART_ARC
(9,16),-0.355604 # DEPENDENCYPART_ARC
(9,17),-0.710065 # DEPENDENCYPART_ARC
(9,18),-0.973745 # DEPENDENCYPART_ARC
(9,19),-1.04953 # DEPENDENCYPART_ARC
(9,20),-0.757196 # DEPENDENCYPART_ARC
(9,21),-1.61761 # DEPENDENCYPART_ARC
(9,22),-0.850297 # DEPENDENCYPART_ARC
(9,23),-1.45759 # DEPENDENCYPART_ARC
(9,24),-0.859841 # DEPENDENCYPART_ARC
(9,25),-0.943591 # DEPENDENCYPART_ARC
(9,26),-0.925688 # DEPENDENCYPART_ARC
(10,1),-1.54782 # DEPENDENCYPART_ARC
(10,2),-1.7626 # DEPENDENCYPART_ARC
(10,3),-0.476159 # DEPENDENCYPART_ARC
(10,4),-0.335265 # DEPENDENCYPART_ARC
(10,5),-1.57611 # DEPENDENCYPART_ARC
(10,6),-0.691844 # DEPENDENCYPART_ARC
(10,7),0.393959 # DEPENDENCYPART_ARC
(10,8),-0.0845133 # DEPENDENCYPART_ARC
(10,9),3.58287 # DEPENDENCYPART_ARC
(10,11),2.15282 # DEPENDENCYPART_ARC
(10,12),-0.769919 # DEPENDENCYPART_ARC
(10,13),1.05103 # DEPENDENCYPART_ARC
(10,14),0.276446 # DEPENDENCYPART_ARC
(10,15),-0.0165561 # DEPENDENCYPART_ARC
(10,16),0.330001 # DEPENDENCYPART_ARC
(10,17),-0.768339 # DEPENDENCYPART_ARC
(10,18),-0.663763 # DEPENDENCYPART_ARC
(10,19),-1.19841 # DEPENDENCYPART_ARC
(10,20),-0.670353 # DEPENDENCYPART_ARC
(10,21),-1.18464 # DEPENDENCYPART_ARC
(10,22),-0.891162 # DEPENDENCYPART_ARC
(10,23),-1.04893 # DEPENDENCYPART_ARC
(10,24),0.301227 # DEPENDENCYPART_ARC
(10,25),-0.508235 # DEPENDENCYPART_ARC
(10,26),-1.88449 # DEPENDENCYPART_ARC
(11,1),-2.63935 # DEPENDENCYPART_ARC
(11,2),-2.9436 # DEPENDENCYPART_ARC
(11,3),-2.55443 # DEPENDENCYPART_ARC
(11,4),-1.96935 # DEPENDENCYPART_ARC
(11,5),-2.4933 # DEPENDENCYPART_ARC
(11,6),-2.04103 # DEPENDENCYPART_ARC
(11,7),-1.95391 # DEPENDENCYPART_ARC
(11,8),-2.23407 # DEPENDENCYPART_ARC
(11,9),-1.10144 # DEPENDENCYPART_ARC
(11,10),-0.81762 # DEPENDENCYPART_ARC
(11,12),-1.26001 # DEPENDENCYPART_ARC
(11,13),-1.76607 # DEPENDENCYPART_ARC
(11,14),-1.69742 # DEPENDENCYPART_ARC
(11,15),-2.48069 # DEPENDENCYPART_ARC
(11,16),-1.80736 # DEPENDENCYPART_ARC
(11,17),-2.78465 # DEPENDENCYPART_ARC
(11,18),-2.5055 # DEPENDENCYPART_ARC
(11,19),-2.61864 # DEPENDENCYPART_ARC
(11,20),-2.77786 # DEPENDENCYPART_ARC
(11,21),-2.98738 # DEPENDENCYPART_ARC
(11,22),-3.09998 # DEPENDENCYPART_ARC
(11,23),-3.0545 # DEPENDENCYPART_ARC
(11,24),-2.82294 # DEPENDENCYPART_ARC
(11,25),-3.05124 # DEPENDENCYPART_ARC
(11,26),-2.42192 # DEPENDENCYPART_ARC
(12,1),-3.1785 # DEPENDENCYPART_ARC
(12,2),-4.21433 # DEPENDENCYPART_ARC
(12,3),-3.81352 # DEPENDENCYPART_ARC
(12,4),-2.728 # DEPENDENCYPART_ARC
(12,5),-3.42293 # DEPENDENCYPART_ARC
(12,6),-2.51738 # DEPENDENCYPART_ARC
(12,7),-2.43265 # DEPENDENCYPART_ARC
(12,8),-3.74773 # DEPENDENCYPART_ARC
(12,9),-1.97615 # DEPENDENCYPART_ARC
(12,10),-2.93803 # DEPENDENCYPART_ARC
(12,11),-0.827989 # DEPENDENCYPART_ARC
(12,13),-0.845887 # DEPENDENCYPART_ARC
(12,14),-0.19755 # DEPENDENCYPART_ARC
(12,15),-0.433563 # DEPENDENCYPART_ARC
(12,16),-0.493568 # DEPENDENCYPART_ARC
(12,17),-1.57128 # DEPENDENCYPART_ARC
(12,18),-1.77258 # DEPENDENCYPART_ARC
(12,19),-2.00672 # DEPENDENCYPART_ARC
(12,20),-1.28836 # DEPENDENCYPART_ARC
(12,21),-1.60505 # DEPENDENCYPART_ARC
(12,22),-2.11835 # DEPENDENCYPART_ARC
(12,23),-1.29723 # DEPENDENCYPART_ARC
(12,24),-1.12726 # DEPENDENCYPART_ARC
(12,25),-0.896441 # DEPENDENCYPART_ARC
(12,26),-1.43646 # DEPENDENCYPART_ARC
(13,1),1.26262 # DEPENDENCYPART_ARC
(13,2),-1.15769 # DEPENDENCYPART_ARC
(13,3),-0.115706 # DEPENDENCYPART_ARC
(13,4),-0.584468 # DEPENDENCYPART_ARC
(13,5),0.939091 # DEPENDENCYPART_ARC
(13,6),0.241888 # DEPENDENCYPART_ARC
(13,7),1.64812 # DEPENDENCYPART_ARC
(13,8),0.560248 # DEPENDENCYPART_ARC
(13,9),0.940891 # DEPENDENCYPART_ARC
(13,10),1.51129 # DEPENDENCYPART_ARC
(13,11),0.405099 # DEPENDENCYPART_ARC
(13,12),5.40814 # DEPENDENCYPART_ARC
(13,14),2.62614 # DEPENDENCYPART_ARC
(13,15),1.49647 # DEPENDENCYPART_ARC
(13,16),0.680266 # DEPENDENCYPART_ARC
(13,17),0.880343 # DEPENDENCYPART_ARC
(13,18),1.17382 # DEPENDENCYPART_ARC
(13,19),1.0131 # DEPENDENCYPART_ARC
(13,20),-0.40284 # DEPENDENCYPART_ARC
(13,21),-0.502501 # DEPENDENCYPART_ARC
(13,22),0.129935 # DEPENDENCYPART_ARC
(13,23),-0.978269 # DEPENDENCYPART_ARC
(13,24),0.45238 # DEPENDENCYPART_ARC
(13,25),-1.30251 # DEPENDENCYPART_ARC
(13,26),-1.0487 # DEPENDENCYPART_ARC
(14,1),-2.77426 # DEPENDENCYPART_ARC
(14,2),-3.04519 # DEPENDENCYPART_ARC
(14,3),-2.73498 # DEPENDENCYPART_ARC
(14,4),-2.15103 # DEPENDENCYPART_ARC
(14,5),-2.64493 # DEPENDENCYPART_ARC
(14,6),-2.21866 # DEPENDENCYPART_ARC
(14,7),-2.31128 # DEPENDENCYPART_ARC
(14,8),-2.9234 # DEPENDENCYPART_ARC
(14,9),-2.05095 # DEPENDENCYPART_ARC
(14,10),-2.32168 # DEPENDENCYPART_ARC
(14,11),-1.71176 # DEPENDENCYPART_ARC
(14,12),-1.40644 # DEPENDENCYPART_ARC
(14,13),-0.877248 # DEPENDENCYPART_ARC
(14,15),-1.07742 # DEPENDENCYPART_ARC
(14,16),-0.51272 # DEPENDENCYPART_ARC
(14,17),-1.93721 # DEPENDENCYPART_ARC
(14,18),-1.71322 # DEPENDENCYPART_ARC
(14,19),-1.99736 # DEPENDENCYPART_ARC
(14,20),-2.16818 # DEPENDENCYPART_ARC
(14,21),-2.47304 # DEPENDENCYPART_ARC
(14,22),-2.55276 # DEPENDENCYPART_ARC
(14,23),-2.55134 # DEPENDENCYPART_ARC
(14,24),-2.32688 # DEPENDENCYPART_ARC
(14,25),-2.57043 # DEPENDENCYPART_ARC
(14,26),-1.62815 # DEPENDENCYPART_ARC
(15,1),-2.52691 # DEPENDENCYPART_ARC
(15,2),-2.42989 # DEPENDENCYPART_ARC
(15,3),-2.10219 # DEPENDENCYPART_ARC
(15,4),-1.85261 # DEPENDENCYPART_ARC
(15,5),-2.20919 # DEPENDENCYPART_ARC
(15,6),-1.35338 # DEPENDENCYPART_ARC
(15,7),-1.41268 # DEPENDENCYPART_ARC
(15,8),-2.32777 # DEPENDENCYPART_ARC
(15,9),-1.54105 # DEPENDENCYPART_ARC
(15,10),-1.84749 # DEPENDENCYPART_ARC
(15,11),-1.44937 # DEPENDENCYPART_ARC
(15,12),-0.760878 # DEPENDENCYPART_ARC
(15,13),-1.12997 # DEPENDENCYPART_ARC
(15,14),0.331463 # DEPENDENCYPART_ARC
(15,16),1.85755 # DEPENDENCYPART_ARC
(15,17),-0.632396 # DEPENDENCYPART_ARC
(15,18),0.627905 # DEPENDENCYPART_ARC
(15,19),0.47447 # DEPENDENCYPART_ARC
