# _root_ Qui , da ogni angolo della Terra , arrivano 300 mila pazienti all' anno " serviti " da 800 medici e da 14 mila impiegati .
#goldHeads=9,1,9,5,3,5,6,7,0,12,10,9,9,13,16,12,16,16,20,18,18,18,25,23,22,25,
#predictedHeads=16,1,9,5,3,5,6,7,0,12,10,9,12,13,16,12,16,16,20,18,18,16,25,23,22,25,
(0,1),-0.616521 # DEPENDENCYPART_ARC
(0,2),-0.76843 # DEPENDENCYPART_ARC
(0,3),-1.00339 # DEPENDENCYPART_ARC
(0,5),-0.560298 # DEPENDENCYPART_ARC
(0,6),-0.89399 # DEPENDENCYPART_ARC
(0,7),-0.716154 # DEPENDENCYPART_ARC
(0,8),-0.403305 # DEPENDENCYPART_ARC
(0,9),1.58582 # DEPENDENCYPART_ARC
(0,10),-1.3095 # DEPENDENCYPART_ARC
(0,11),-1.41058 # DEPENDENCYPART_ARC
(0,12),-0.828499 # DEPENDENCYPART_ARC
(0,13),-1.1003 # DEPENDENCYPART_ARC
(0,14),-1.02191 # DEPENDENCYPART_ARC
(0,15),-1.20305 # DEPENDENCYPART_ARC
(0,16),0.221717 # DEPENDENCYPART_ARC
(0,17),-1.29077 # DEPENDENCYPART_ARC
(0,18),-1.89739 # DEPENDENCYPART_ARC
(0,19),-2.01501 # DEPENDENCYPART_ARC
(0,20),-0.862123 # DEPENDENCYPART_ARC
(0,21),-2.33748 # DEPENDENCYPART_ARC
(0,22),-2.38815 # DEPENDENCYPART_ARC
(0,23),-1.94367 # DEPENDENCYPART_ARC
(0,24),-2.23557 # DEPENDENCYPART_ARC
(0,25),-0.622202 # DEPENDENCYPART_ARC
(0,26),-1.61434 # DEPENDENCYPART_ARC
(1,2),2.20212 # DEPENDENCYPART_ARC
(1,3),-0.141878 # DEPENDENCYPART_ARC
(1,4),-0.258001 # DEPENDENCYPART_ARC
(1,5),-0.559738 # DEPENDENCYPART_ARC
(1,6),-0.580558 # DEPENDENCYPART_ARC
(1,7),-0.910589 # DEPENDENCYPART_ARC
(1,8),-0.0218972 # DEPENDENCYPART_ARC
(1,9),-0.956334 # DEPENDENCYPART_ARC
(1,10),-1.14111 # DEPENDENCYPART_ARC
(1,11),-1.09951 # DEPENDENCYPART_ARC
(1,12),-1.4446 # DEPENDENCYPART_ARC
(1,13),-1.18817 # DEPENDENCYPART_ARC
(1,14),-1.5131 # DEPENDENCYPART_ARC
(1,15),-1.33481 # DEPENDENCYPART_ARC
(1,16),-1.5217 # DEPENDENCYPART_ARC
(1,17),-1.53213 # DEPENDENCYPART_ARC
(1,18),-1.26126 # DEPENDENCYPART_ARC
(1,19),-1.42624 # DEPENDENCYPART_ARC
(1,20),-1.89672 # DEPENDENCYPART_ARC
(1,21),-1.0749 # DEPENDENCYPART_ARC
(1,22),-1.53414 # DEPENDENCYPART_ARC
(1,23),-1.57984 # DEPENDENCYPART_ARC
(1,24),-1.53438 # DEPENDENCYPART_ARC
(1,25),-2.19934 # DEPENDENCYPART_ARC
(1,26),-2.03369 # DEPENDENCYPART_ARC
(2,8),-0.683731 # DEPENDENCYPART_ARC
(2,15),-2.00338 # DEPENDENCYPART_ARC
(2,17),-2.27159 # DEPENDENCYPART_ARC
(2,26),-2.30457 # DEPENDENCYPART_ARC
(3,1),-0.43243 # DEPENDENCYPART_ARC
(3,2),0.109648 # DEPENDENCYPART_ARC
(3,4),1.31892 # DEPENDENCYPART_ARC
(3,5),2.77753 # DEPENDENCYPART_ARC
(3,6),-0.154435 # DEPENDENCYPART_ARC
(3,7),0.772837 # DEPENDENCYPART_ARC
(3,8),-0.465038 # DEPENDENCYPART_ARC
(3,9),-0.402951 # DEPENDENCYPART_ARC
(3,10),-0.875014 # DEPENDENCYPART_ARC
(3,11),-1.00003 # DEPENDENCYPART_ARC
(3,12),-1.97686 # DEPENDENCYPART_ARC
(3,13),-1.32403 # DEPENDENCYPART_ARC
(3,14),-2.87275 # DEPENDENCYPART_ARC
(3,15),-1.90853 # DEPENDENCYPART_ARC
(3,16),-1.35141 # DEPENDENCYPART_ARC
(3,17),-1.58789 # DEPENDENCYPART_ARC
(3,18),-1.92541 # DEPENDENCYPART_ARC
(3,19),-1.74651 # DEPENDENCYPART_ARC
(3,20),-4.60435 # DEPENDENCYPART_ARC
(3,21),-0.808394 # DEPENDENCYPART_ARC
(3,22),-1.3651 # DEPENDENCYPART_ARC
(3,23),-2.03811 # DEPENDENCYPART_ARC
(3,24),-2.25089 # DEPENDENCYPART_ARC
(3,25),-5.70845 # DEPENDENCYPART_ARC
(3,26),-2.76592 # DEPENDENCYPART_ARC
(4,1),-1.61494 # DEPENDENCYPART_ARC
(4,2),-1.28599 # DEPENDENCYPART_ARC
(4,5),0.946703 # DEPENDENCYPART_ARC
(4,7),-0.429258 # DEPENDENCYPART_ARC
(4,8),-0.445731 # DEPENDENCYPART_ARC
(4,9),-0.815917 # DEPENDENCYPART_ARC
(4,10),-0.782578 # DEPENDENCYPART_ARC
(4,11),-0.629839 # DEPENDENCYPART_ARC
(4,12),-1.1582 # DEPENDENCYPART_ARC
(4,14),-1.03964 # DEPENDENCYPART_ARC
(4,15),-0.926244 # DEPENDENCYPART_ARC
(4,16),-1.48533 # DEPENDENCYPART_ARC
(4,17),-1.05122 # DEPENDENCYPART_ARC
(4,19),-0.995776 # DEPENDENCYPART_ARC
(4,20),-1.80478 # DEPENDENCYPART_ARC
(4,23),-1.03784 # DEPENDENCYPART_ARC
(4,24),-0.668879 # DEPENDENCYPART_ARC
(4,25),-1.95992 # DEPENDENCYPART_ARC
(4,26),-1.52649 # DEPENDENCYPART_ARC
(5,1),-0.436676 # DEPENDENCYPART_ARC
(5,2),-1.50508 # DEPENDENCYPART_ARC
(5,3),0.638247 # DEPENDENCYPART_ARC
(5,4),3.07932 # DEPENDENCYPART_ARC
(5,6),2.19734 # DEPENDENCYPART_ARC
(5,7),0.714751 # DEPENDENCYPART_ARC
(5,8),0.541096 # DEPENDENCYPART_ARC
(5,9),-0.405749 # DEPENDENCYPART_ARC
(5,10),-0.351505 # DEPENDENCYPART_ARC
(5,11),-0.623964 # DEPENDENCYPART_ARC
(5,12),-0.516253 # DEPENDENCYPART_ARC
(5,13),-0.795856 # DEPENDENCYPART_ARC
(5,14),-0.773244 # DEPENDENCYPART_ARC
(5,15),-1.89244 # DEPENDENCYPART_ARC
(5,16),-0.707526 # DEPENDENCYPART_ARC
(5,17),-2.5308 # DEPENDENCYPART_ARC
(5,18),-0.83773 # DEPENDENCYPART_ARC
(5,19),-1.24757 # DEPENDENCYPART_ARC
(5,20),-1.53888 # DEPENDENCYPART_ARC
(5,21),-0.362252 # DEPENDENCYPART_ARC
(5,22),-1.08965 # DEPENDENCYPART_ARC
(5,23),-1.41133 # DEPENDENCYPART_ARC
(5,24),-1.57278 # DEPENDENCYPART_ARC
(5,25),-1.87372 # DEPENDENCYPART_ARC
(5,26),-3.77186 # DEPENDENCYPART_ARC
(6,1),-1.25325 # DEPENDENCYPART_ARC
(6,2),-1.48333 # DEPENDENCYPART_ARC
(6,3),-0.507321 # DEPENDENCYPART_ARC
(6,4),-0.283878 # DEPENDENCYPART_ARC
(6,5),-0.797946 # DEPENDENCYPART_ARC
(6,7),4.90576 # DEPENDENCYPART_ARC
