# _root_ Ma dopo un violento alterco , De Stasio ha estratto una pistola e sparato contro il fidanzato della figlia , allontanando- si poi con la moglie .
#goldHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,14,21,21,21,26,24,26,
#predictedHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,10,21,21,21,26,24,26,
(0,1),-0.766234 # DEPENDENCYPART_ARC
(0,2),-1.91054 # DEPENDENCYPART_ARC
(0,3),-1.12674 # DEPENDENCYPART_ARC
(0,4),-0.477181 # DEPENDENCYPART_ARC
(0,5),-0.780696 # DEPENDENCYPART_ARC
(0,6),-0.486361 # DEPENDENCYPART_ARC
(0,7),0.453175 # DEPENDENCYPART_ARC
(0,8),-0.38493 # DEPENDENCYPART_ARC
(0,9),0.511805 # DEPENDENCYPART_ARC
(0,10),0.504216 # DEPENDENCYPART_ARC
(0,11),-1.36068 # DEPENDENCYPART_ARC
(0,12),-0.734931 # DEPENDENCYPART_ARC
(0,13),-1.64847 # DEPENDENCYPART_ARC
(0,14),-0.76566 # DEPENDENCYPART_ARC
(0,15),-2.94545 # DEPENDENCYPART_ARC
(0,16),-1.81914 # DEPENDENCYPART_ARC
(0,17),-0.991401 # DEPENDENCYPART_ARC
(0,18),-2.66859 # DEPENDENCYPART_ARC
(0,19),-1.71643 # DEPENDENCYPART_ARC
(0,20),-1.35514 # DEPENDENCYPART_ARC
(0,21),-0.650898 # DEPENDENCYPART_ARC
(0,22),-2.03002 # DEPENDENCYPART_ARC
(0,23),-1.89623 # DEPENDENCYPART_ARC
(0,24),-4.07789 # DEPENDENCYPART_ARC
(0,25),-2.45393 # DEPENDENCYPART_ARC
(0,26),-2.80566 # DEPENDENCYPART_ARC
(0,27),-2.00102 # DEPENDENCYPART_ARC
(1,2),-0.588633 # DEPENDENCYPART_ARC
(1,3),-1.05583 # DEPENDENCYPART_ARC
(1,4),-0.793139 # DEPENDENCYPART_ARC
(1,5),-1.07114 # DEPENDENCYPART_ARC
(1,6),-0.582926 # DEPENDENCYPART_ARC
(1,7),-1.28822 # DEPENDENCYPART_ARC
(1,8),-1.37509 # DEPENDENCYPART_ARC
(1,9),-0.00156855 # DEPENDENCYPART_ARC
(1,10),-0.458876 # DEPENDENCYPART_ARC
(1,11),-1.75067 # DEPENDENCYPART_ARC
(1,12),-1.62814 # DEPENDENCYPART_ARC
(1,13),-0.974437 # DEPENDENCYPART_ARC
(1,14),-1.79439 # DEPENDENCYPART_ARC
(1,15),-2.0212 # DEPENDENCYPART_ARC
(1,16),-2.02072 # DEPENDENCYPART_ARC
(1,17),-1.78911 # DEPENDENCYPART_ARC
(1,18),-2.3591 # DEPENDENCYPART_ARC
(1,19),-1.87576 # DEPENDENCYPART_ARC
(1,20),-2.04021 # DEPENDENCYPART_ARC
(1,21),-2.62825 # DEPENDENCYPART_ARC
(1,22),-2.61413 # DEPENDENCYPART_ARC
(1,23),-2.23859 # DEPENDENCYPART_ARC
(1,24),-2.26008 # DEPENDENCYPART_ARC
(1,25),-2.26386 # DEPENDENCYPART_ARC
(1,26),-2.15422 # DEPENDENCYPART_ARC
(1,27),-2.7568 # DEPENDENCYPART_ARC
(2,1),-0.119485 # DEPENDENCYPART_ARC
(2,3),0.927794 # DEPENDENCYPART_ARC
(2,4),1.5307 # DEPENDENCYPART_ARC
(2,5),2.50242 # DEPENDENCYPART_ARC
(2,6),0.667244 # DEPENDENCYPART_ARC
(2,7),0.806169 # DEPENDENCYPART_ARC
(2,8),0.0488068 # DEPENDENCYPART_ARC
(2,9),-0.296889 # DEPENDENCYPART_ARC
(2,10),-0.234238 # DEPENDENCYPART_ARC
(2,11),-0.596632 # DEPENDENCYPART_ARC
(2,12),-2.40755 # DEPENDENCYPART_ARC
(2,13),-0.167471 # DEPENDENCYPART_ARC
(2,14),-1.15022 # DEPENDENCYPART_ARC
(2,15),-1.18568 # DEPENDENCYPART_ARC
(2,16),-0.92342 # DEPENDENCYPART_ARC
(2,17),-4.27816 # DEPENDENCYPART_ARC
(2,18),-1.29072 # DEPENDENCYPART_ARC
(2,19),-5.24175 # DEPENDENCYPART_ARC
(2,20),-0.740127 # DEPENDENCYPART_ARC
(2,21),-1.67114 # DEPENDENCYPART_ARC
(2,22),-1.83763 # DEPENDENCYPART_ARC
(2,23),-1.1178 # DEPENDENCYPART_ARC
(2,24),-1.8884 # DEPENDENCYPART_ARC
(2,25),-1.14071 # DEPENDENCYPART_ARC
(2,26),-7.40504 # DEPENDENCYPART_ARC
(2,27),-2.02422 # DEPENDENCYPART_ARC
(3,1),-1.76673 # DEPENDENCYPART_ARC
(3,2),-0.528973 # DEPENDENCYPART_ARC
