# _root_ Come avesse contribuito all' Est alla repressione delle identità nazionali , etniche , religiose .
#goldHeads=2,3,0,3,4,3,6,7,8,9,10,10,10,10,14,
#predictedHeads=3,3,0,3,4,3,6,7,8,9,10,10,12,12,14,
(0,1),-1.37897 # DEPENDENCYPART_ARC
(0,2),-0.548856 # DEPENDENCYPART_ARC
(0,3),0.911457 # DEPENDENCYPART_ARC
(0,4),-1.19654 # DEPENDENCYPART_ARC
(0,5),-0.681349 # DEPENDENCYPART_ARC
(0,6),-1.61509 # DEPENDENCYPART_ARC
(0,7),-0.552759 # DEPENDENCYPART_ARC
(0,8),-2.03418 # DEPENDENCYPART_ARC
(0,9),-0.669773 # DEPENDENCYPART_ARC
(0,10),-1.27514 # DEPENDENCYPART_ARC
(0,11),-0.666466 # DEPENDENCYPART_ARC
(0,12),-1.37624 # DEPENDENCYPART_ARC
(0,13),-0.724559 # DEPENDENCYPART_ARC
(0,14),-1.49495 # DEPENDENCYPART_ARC
(0,15),-1.06188 # DEPENDENCYPART_ARC
(1,2),2.22398 # DEPENDENCYPART_ARC
(1,3),2.2376 # DEPENDENCYPART_ARC
(1,4),-0.488314 # DEPENDENCYPART_ARC
(1,5),-0.226956 # DEPENDENCYPART_ARC
(1,6),-0.807599 # DEPENDENCYPART_ARC
(1,7),-0.375189 # DEPENDENCYPART_ARC
(1,8),-0.962536 # DEPENDENCYPART_ARC
(1,9),-0.47671 # DEPENDENCYPART_ARC
(1,10),-0.73191 # DEPENDENCYPART_ARC
(1,11),0.246853 # DEPENDENCYPART_ARC
(1,12),-0.709965 # DEPENDENCYPART_ARC
(1,13),0.243294 # DEPENDENCYPART_ARC
(1,14),-0.775908 # DEPENDENCYPART_ARC
(1,15),-0.442219 # DEPENDENCYPART_ARC
(2,1),0.270419 # DEPENDENCYPART_ARC
(2,3),0.532907 # DEPENDENCYPART_ARC
(2,4),0.283393 # DEPENDENCYPART_ARC
(2,5),-1.16336 # DEPENDENCYPART_ARC
(2,6),0.142642 # DEPENDENCYPART_ARC
(2,7),-0.920518 # DEPENDENCYPART_ARC
(2,8),-1.83792 # DEPENDENCYPART_ARC
(2,9),-2.06725 # DEPENDENCYPART_ARC
(2,10),-1.64404 # DEPENDENCYPART_ARC
(2,11),-0.930932 # DEPENDENCYPART_ARC
(2,12),-1.74065 # DEPENDENCYPART_ARC
(2,13),-1.06718 # DEPENDENCYPART_ARC
(2,14),-1.88941 # DEPENDENCYPART_ARC
(2,15),-2.70999 # DEPENDENCYPART_ARC
(3,1),0.838313 # DEPENDENCYPART_ARC
(3,2),4.16327 # DEPENDENCYPART_ARC
(3,4),3.01115 # DEPENDENCYPART_ARC
(3,5),1.62667 # DEPENDENCYPART_ARC
(3,6),2.15029 # DEPENDENCYPART_ARC
(3,7),0.53139 # DEPENDENCYPART_ARC
(3,8),0.570472 # DEPENDENCYPART_ARC
(3,9),-0.113166 # DEPENDENCYPART_ARC
(3,10),-1.30356 # DEPENDENCYPART_ARC
(3,11),0.760838 # DEPENDENCYPART_ARC
(3,12),-1.92417 # DEPENDENCYPART_ARC
(3,13),0.639761 # DEPENDENCYPART_ARC
(3,14),-2.01003 # DEPENDENCYPART_ARC
(3,15),-1.02142 # DEPENDENCYPART_ARC
(4,1),-0.795241 # DEPENDENCYPART_ARC
(4,2),-1.67447 # DEPENDENCYPART_ARC
(4,3),-1.27288 # DEPENDENCYPART_ARC
(4,5),3.88076 # DEPENDENCYPART_ARC
(4,6),0.242778 # DEPENDENCYPART_ARC
(4,7),0.385267 # DEPENDENCYPART_ARC
(4,8),-0.272057 # DEPENDENCYPART_ARC
(4,9),-0.935478 # DEPENDENCYPART_ARC
(4,10),-1.46922 # DEPENDENCYPART_ARC
(4,11),-0.30595 # DEPENDENCYPART_ARC
(4,12),-2.27551 # DEPENDENCYPART_ARC
(4,13),-0.335213 # DEPENDENCYPART_ARC
(4,14),-2.32124 # DEPENDENCYPART_ARC
(4,15),-1.11187 # DEPENDENCYPART_ARC
(5,1),-1.6645 # DEPENDENCYPART_ARC
(5,2),-2.23881 # DEPENDENCYPART_ARC
(5,3),-0.39933 # DEPENDENCYPART_ARC
(5,4),0.763734 # DEPENDENCYPART_ARC
(5,6),1.08511 # DEPENDENCYPART_ARC
(5,7),0.32593 # DEPENDENCYPART_ARC
(5,8),0.145434 # DEPENDENCYPART_ARC
(5,9),-0.250558 # DEPENDENCYPART_ARC
(5,10),0.18438 # DEPENDENCYPART_ARC
(5,11),-0.271547 # DEPENDENCYPART_ARC
(5,12),-1.06643 # DEPENDENCYPART_ARC
(5,13),-0.358702 # DEPENDENCYPART_ARC
(5,14),-1.19526 # DEPENDENCYPART_ARC
(5,15),-1.93592 # DEPENDENCYPART_ARC
(6,1),-1.43924 # DEPENDENCYPART_ARC
(6,2),-2.46837 # DEPENDENCYPART_ARC
(6,3),-2.7541 # DEPENDENCYPART_ARC
(6,4),-0.620057 # DEPENDENCYPART_ARC
(6,5),-1.04639 # DEPENDENCYPART_ARC
(6,7),4.14529 # DEPENDENCYPART_ARC
(6,8),0.330628 # DEPENDENCYPART_ARC
(6,9),0.992743 # DEPENDENCYPART_ARC
(6,10),-1.2723 # DEPENDENCYPART_ARC
(6,11),-0.160322 # DEPENDENCYPART_ARC
(6,12),-1.63169 # DEPENDENCYPART_ARC
(6,13),0.0475929 # DEPENDENCYPART_ARC
(6,14),-1.75179 # DEPENDENCYPART_ARC
(6,15),-0.755277 # DEPENDENCYPART_ARC
(7,1),-1.96795 # DEPENDENCYPART_ARC
(7,2),-2.3985 # DEPENDENCYPART_ARC
(7,3),-2.02235 # DEPENDENCYPART_ARC
(7,4),-0.525383 # DEPENDENCYPART_ARC
(7,5),-1.55842 # DEPENDENCYPART_ARC
(7,6),0.603582 # DEPENDENCYPART_ARC
(7,8),2.61597 # DEPENDENCYPART_ARC
(7,9),1.26691 # DEPENDENCYPART_ARC
(7,10),0.927181 # DEPENDENCYPART_ARC
(7,11),0.540182 # DEPENDENCYPART_ARC
(7,12),0.499265 # DEPENDENCYPART_ARC
(7,13),0.65423 # DEPENDENCYPART_ARC
(7,14),0.16505 # DEPENDENCYPART_ARC
(7,15),-0.656615 # DEPENDENCYPART_ARC
(8,1),-1.43431 # DEPENDENCYPART_ARC
(8,2),-3.12504 # DEPENDENCYPART_ARC
(8,3),-3.22929 # DEPENDENCYPART_ARC
(8,4),-1.10298 # DEPENDENCYPART_ARC
(8,5),-2.11882 # DEPENDENCYPART_ARC
(8,6),-0.854081 # DEPENDENCYPART_ARC
(8,7),-0.926271 # DEPENDENCYPART_ARC
(8,9),3.9644 # DEPENDENCYPART_ARC
(8,10),0.875983 # DEPENDENCYPART_ARC
(8,11),0.2087 # DEPENDENCYPART_ARC
(8,12),-0.0867523 # DEPENDENCYPART_ARC
(8,13),0.0365316 # DEPENDENCYPART_ARC
(8,14),-0.451427 # DEPENDENCYPART_ARC
(8,15),-0.421081 # DEPENDENCYPART_ARC
(9,1),-2.34883 # DEPENDENCYPART_ARC
(9,2),-2.58675 # DEPENDENCYPART_ARC
(9,3),-1.98598 # DEPENDENCYPART_ARC
(9,4),-1.17929 # DEPENDENCYPART_ARC
(9,5),-2.50737 # DEPENDENCYPART_ARC
(9,6),-0.567389 # DEPENDENCYPART_ARC
(9,7),-1.76249 # DEPENDENCYPART_ARC
(9,8),0.858025 # DEPENDENCYPART_ARC
(9,10),2.55104 # DEPENDENCYPART_ARC
(9,11),0.167537 # DEPENDENCYPART_ARC
(9,12),0.841106 # DEPENDENCYPART_ARC
(9,13),-0.0725136 # DEPENDENCYPART_ARC
(9,14),0.531842 # DEPENDENCYPART_ARC
(9,15),-0.846585 # DEPENDENCYPART_ARC
(10,1),-1.14788 # DEPENDENCYPART_ARC
(10,2),-3.52991 # DEPENDENCYPART_ARC
(10,3),-3.24804 # DEPENDENCYPART_ARC
(10,4),-1.09819 # DEPENDENCYPART_ARC
(10,5),-1.15368 # DEPENDENCYPART_ARC
(10,6),-0.652781 # DEPENDENCYPART_ARC
(10,7),-1.22225 # DEPENDENCYPART_ARC
(10,8),-0.10133 # DEPENDENCYPART_ARC
(10,9),0.453497 # DEPENDENCYPART_ARC
(10,11),1.95833 # DEPENDENCYPART_ARC
(10,12),1.04144 # DEPENDENCYPART_ARC
(10,13),1.21002 # DEPENDENCYPART_ARC
(10,14),0.575689 # DEPENDENCYPART_ARC
(10,15),0.335358 # DEPENDENCYPART_ARC
(11,13),-0.269048 # DEPENDENCYPART_ARC
(11,15),-0.637355 # DEPENDENCYPART_ARC
(12,1),-1.80082 # DEPENDENCYPART_ARC
(12,2),-3.39856 # DEPENDENCYPART_ARC
(12,3),-3.42677 # DEPENDENCYPART_ARC
(12,4),-1.47234 # DEPENDENCYPART_ARC
(12,5),-1.86071 # DEPENDENCYPART_ARC
(12,6),-1.57218 # DEPENDENCYPART_ARC
(12,7),-1.58513 # DEPENDENCYPART_ARC
(12,8),-1.11214 # DEPENDENCYPART_ARC
(12,9),-1.03498 # DEPENDENCYPART_ARC
(12,10),0.16208 # DEPENDENCYPART_ARC
(12,11),0.743553 # DEPENDENCYPART_ARC
(12,13),1.83883 # DEPENDENCYPART_ARC
(12,14),1.38121 # DEPENDENCYPART_ARC
(12,15),0.772336 # DEPENDENCYPART_ARC
(13,11),-0.645436 # DEPENDENCYPART_ARC
(13,15),-0.205982 # DEPENDENCYPART_ARC
