# _root_ Il governo di Zagabria , invece , sostiene che sono " solo " 100 mila le persone in cammino .
#goldHeads=2,8,2,3,4,8,6,0,8,9,12,14,12,10,14,17,10,17,18,19,
#predictedHeads=2,8,2,3,4,8,6,0,8,9,12,17,14,17,14,17,10,17,18,19,
(0,2),-0.730113 # DEPENDENCYPART_ARC
(0,3),-1.27659 # DEPENDENCYPART_ARC
(0,4),-0.317517 # DEPENDENCYPART_ARC
(0,5),-0.641408 # DEPENDENCYPART_ARC
(0,6),-0.740048 # DEPENDENCYPART_ARC
(0,7),-0.287703 # DEPENDENCYPART_ARC
(0,8),1.8136 # DEPENDENCYPART_ARC
(0,9),-0.966114 # DEPENDENCYPART_ARC
(0,10),0.526097 # DEPENDENCYPART_ARC
(0,11),-1.03466 # DEPENDENCYPART_ARC
(0,12),-0.570608 # DEPENDENCYPART_ARC
(0,13),-1.0757 # DEPENDENCYPART_ARC
(0,14),-1.45379 # DEPENDENCYPART_ARC
(0,15),-1.44668 # DEPENDENCYPART_ARC
(0,17),-0.90133 # DEPENDENCYPART_ARC
(0,18),-2.38037 # DEPENDENCYPART_ARC
(0,19),-0.871568 # DEPENDENCYPART_ARC
(0,20),-1.2664 # DEPENDENCYPART_ARC
(1,2),0.871943 # DEPENDENCYPART_ARC
(1,3),-0.0546439 # DEPENDENCYPART_ARC
(1,5),-0.738329 # DEPENDENCYPART_ARC
(1,7),-0.669917 # DEPENDENCYPART_ARC
(1,8),-1.1069 # DEPENDENCYPART_ARC
(1,10),-1.72975 # DEPENDENCYPART_ARC
(1,11),-1.28989 # DEPENDENCYPART_ARC
(1,13),-1.44235 # DEPENDENCYPART_ARC
(1,14),-1.27287 # DEPENDENCYPART_ARC
(1,15),-1.26903 # DEPENDENCYPART_ARC
(1,17),-1.95446 # DEPENDENCYPART_ARC
(1,18),-1.79251 # DEPENDENCYPART_ARC
(1,19),-1.99078 # DEPENDENCYPART_ARC
(1,20),-1.63313 # DEPENDENCYPART_ARC
(2,1),3.57032 # DEPENDENCYPART_ARC
(2,3),2.8885 # DEPENDENCYPART_ARC
(2,4),1.44123 # DEPENDENCYPART_ARC
(2,5),0.791044 # DEPENDENCYPART_ARC
(2,6),0.101608 # DEPENDENCYPART_ARC
(2,7),0.340318 # DEPENDENCYPART_ARC
(2,8),0.414628 # DEPENDENCYPART_ARC
(2,9),-0.661702 # DEPENDENCYPART_ARC
(2,10),-1.66752 # DEPENDENCYPART_ARC
(2,11),-1.20505 # DEPENDENCYPART_ARC
(2,12),-0.573794 # DEPENDENCYPART_ARC
(2,13),-1.43539 # DEPENDENCYPART_ARC
(2,14),-0.383807 # DEPENDENCYPART_ARC
(2,15),-0.667974 # DEPENDENCYPART_ARC
(2,16),-0.672223 # DEPENDENCYPART_ARC
(2,17),-0.350949 # DEPENDENCYPART_ARC
(2,18),-0.45692 # DEPENDENCYPART_ARC
(2,19),-0.544551 # DEPENDENCYPART_ARC
(2,20),-2.22559 # DEPENDENCYPART_ARC
(3,1),-0.763956 # DEPENDENCYPART_ARC
(3,2),-0.625512 # DEPENDENCYPART_ARC
(3,4),4.33769 # DEPENDENCYPART_ARC
(3,5),0.305 # DEPENDENCYPART_ARC
(3,6),-0.47496 # DEPENDENCYPART_ARC
(3,7),-0.14643 # DEPENDENCYPART_ARC
(3,8),-0.413826 # DEPENDENCYPART_ARC
(3,9),-1.38551 # DEPENDENCYPART_ARC
(3,10),-0.832726 # DEPENDENCYPART_ARC
(3,11),-1.17773 # DEPENDENCYPART_ARC
