# _root_ Quest' impressione è accresciuta se si osservano i tipici cortili rettangolari , circondati da ballatoi con ringhiera di ferro battuto e tante piccole scale , che raggiungono i singoli appartamenti .
#goldHeads=2,3,0,3,4,7,5,10,10,7,10,11,10,13,14,15,16,17,18,19,15,24,24,15,24,27,24,30,30,27,30,
#predictedHeads=2,4,4,0,4,7,5,10,10,7,10,11,10,13,14,13,16,17,18,19,20,24,24,20,24,27,24,30,30,27,30,
(0,2),-1.00995 # DEPENDENCYPART_ARC
(0,3),0.874735 # DEPENDENCYPART_ARC
(0,4),0.914288 # DEPENDENCYPART_ARC
(0,5),-0.810804 # DEPENDENCYPART_ARC
(0,6),-1.52327 # DEPENDENCYPART_ARC
(0,7),0.323256 # DEPENDENCYPART_ARC
(0,9),-1.33155 # DEPENDENCYPART_ARC
(0,10),-1.16618 # DEPENDENCYPART_ARC
(0,11),-1.35872 # DEPENDENCYPART_ARC
(0,12),-0.761922 # DEPENDENCYPART_ARC
(0,13),-0.313336 # DEPENDENCYPART_ARC
(0,14),-2.04942 # DEPENDENCYPART_ARC
(0,15),-1.14972 # DEPENDENCYPART_ARC
(0,16),-2.58087 # DEPENDENCYPART_ARC
(0,17),-1.1619 # DEPENDENCYPART_ARC
(0,18),-2.60105 # DEPENDENCYPART_ARC
(0,19),-1.45322 # DEPENDENCYPART_ARC
(0,20),-0.877287 # DEPENDENCYPART_ARC
(0,21),-1.37911 # DEPENDENCYPART_ARC
(0,23),-1.44712 # DEPENDENCYPART_ARC
(0,24),-2.16823 # DEPENDENCYPART_ARC
(0,25),-1.2902 # DEPENDENCYPART_ARC
(0,27),-0.5295 # DEPENDENCYPART_ARC
(0,29),-1.60435 # DEPENDENCYPART_ARC
(0,30),-2.13096 # DEPENDENCYPART_ARC
(0,31),-2.01636 # DEPENDENCYPART_ARC
(1,2),0.955352 # DEPENDENCYPART_ARC
(1,3),0.142292 # DEPENDENCYPART_ARC
(1,4),0.34828 # DEPENDENCYPART_ARC
(1,5),-0.431764 # DEPENDENCYPART_ARC
(1,7),-1.04941 # DEPENDENCYPART_ARC
(1,9),-2.0119 # DEPENDENCYPART_ARC
(1,10),-1.67226 # DEPENDENCYPART_ARC
(1,11),-1.03372 # DEPENDENCYPART_ARC
(1,12),-0.792383 # DEPENDENCYPART_ARC
(1,13),-1.62826 # DEPENDENCYPART_ARC
(1,14),-0.693062 # DEPENDENCYPART_ARC
(1,15),-1.64939 # DEPENDENCYPART_ARC
(1,16),-0.807793 # DEPENDENCYPART_ARC
(1,17),-1.18751 # DEPENDENCYPART_ARC
(1,18),-0.690801 # DEPENDENCYPART_ARC
(1,19),-1.41143 # DEPENDENCYPART_ARC
(1,20),-1.4014 # DEPENDENCYPART_ARC
(1,21),-0.968418 # DEPENDENCYPART_ARC
(1,23),-1.28697 # DEPENDENCYPART_ARC
(1,24),-1.75608 # DEPENDENCYPART_ARC
(1,25),-1.73501 # DEPENDENCYPART_ARC
(1,27),-1.78213 # DEPENDENCYPART_ARC
(1,29),-2.35319 # DEPENDENCYPART_ARC
(1,30),-2.05813 # DEPENDENCYPART_ARC
(1,31),-1.56844 # DEPENDENCYPART_ARC
(2,1),3.51731 # DEPENDENCYPART_ARC
(2,3),0.191323 # DEPENDENCYPART_ARC
(2,4),-0.24512 # DEPENDENCYPART_ARC
(2,5),-0.641902 # DEPENDENCYPART_ARC
(2,6),-2.54059 # DEPENDENCYPART_ARC
(2,7),-2.39155 # DEPENDENCYPART_ARC
(2,8),-2.06438 # DEPENDENCYPART_ARC
(2,9),-3.38145 # DEPENDENCYPART_ARC
(2,10),-2.01173 # DEPENDENCYPART_ARC
(2,11),-2.24837 # DEPENDENCYPART_ARC
(2,12),-1.07871 # DEPENDENCYPART_ARC
(2,13),-2.87401 # DEPENDENCYPART_ARC
(2,14),-1.17113 # DEPENDENCYPART_ARC
(2,15),-2.47898 # DEPENDENCYPART_ARC
(2,16),-0.974781 # DEPENDENCYPART_ARC
(2,17),-2.21127 # DEPENDENCYPART_ARC
(2,18),-1.9197 # DEPENDENCYPART_ARC
(2,19),-2.36319 # DEPENDENCYPART_ARC
(2,20),-3.48707 # DEPENDENCYPART_ARC
(2,21),-1.68708 # DEPENDENCYPART_ARC
(2,22),-1.7776 # DEPENDENCYPART_ARC
(2,23),-3.56045 # DEPENDENCYPART_ARC
(2,24),-3.11892 # DEPENDENCYPART_ARC
(2,25),-2.09752 # DEPENDENCYPART_ARC
(2,26),-4.15539 # DEPENDENCYPART_ARC
(2,27),-4.72179 # DEPENDENCYPART_ARC
(2,28),-2.66473 # DEPENDENCYPART_ARC
(2,29),-5.18839 # DEPENDENCYPART_ARC
(2,30),-3.73096 # DEPENDENCYPART_ARC
(2,31),-5.22438 # DEPENDENCYPART_ARC
(3,1),0.403796 # DEPENDENCYPART_ARC
(3,2),1.43949 # DEPENDENCYPART_ARC
(3,4),1.80889 # DEPENDENCYPART_ARC
(3,5),0.81167 # DEPENDENCYPART_ARC
(3,6),-0.420571 # DEPENDENCYPART_ARC
(3,7),0.342056 # DEPENDENCYPART_ARC
(3,8),-1.86825 # DEPENDENCYPART_ARC
(3,9),-1.1331 # DEPENDENCYPART_ARC
(3,10),-1.0698 # DEPENDENCYPART_ARC
(3,11),-1.04836 # DEPENDENCYPART_ARC
(3,12),0.7393 # DEPENDENCYPART_ARC
(3,13),-0.471069 # DEPENDENCYPART_ARC
(3,14),-1.16564 # DEPENDENCYPART_ARC
(3,15),-2.28449 # DEPENDENCYPART_ARC
(3,16),-1.06042 # DEPENDENCYPART_ARC
(3,17),-2.4083 # DEPENDENCYPART_ARC
(3,18),-2.17572 # DEPENDENCYPART_ARC
(3,19),-3.03181 # DEPENDENCYPART_ARC
(3,20),-1.4168 # DEPENDENCYPART_ARC
(3,21),-0.673059 # DEPENDENCYPART_ARC
(3,22),-1.20076 # DEPENDENCYPART_ARC
(3,23),-2.29504 # DEPENDENCYPART_ARC
(3,24),-3.37109 # DEPENDENCYPART_ARC
(3,25),-0.652184 # DEPENDENCYPART_ARC
(3,26),-3.72 # DEPENDENCYPART_ARC
(3,27),-1.22807 # DEPENDENCYPART_ARC
(3,28),-2.8194 # DEPENDENCYPART_ARC
(3,29),-3.63454 # DEPENDENCYPART_ARC
(3,30),-4.60197 # DEPENDENCYPART_ARC
(3,31),-3.97937 # DEPENDENCYPART_ARC
(4,1),0.315565 # DEPENDENCYPART_ARC
(4,2),2.32644 # DEPENDENCYPART_ARC
(4,3),4.68252 # DEPENDENCYPART_ARC
(4,5),1.48964 # DEPENDENCYPART_ARC
(4,6),-0.0872641 # DEPENDENCYPART_ARC
(4,7),-0.182214 # DEPENDENCYPART_ARC
(4,8),-2.25781 # DEPENDENCYPART_ARC
(4,9),-1.89608 # DEPENDENCYPART_ARC
(4,10),-1.07882 # DEPENDENCYPART_ARC
(4,11),-1.43443 # DEPENDENCYPART_ARC
(4,12),0.775631 # DEPENDENCYPART_ARC
(4,13),-0.763243 # DEPENDENCYPART_ARC
(4,14),-0.74665 # DEPENDENCYPART_ARC
(4,15),-1.87917 # DEPENDENCYPART_ARC
(4,16),-0.353381 # DEPENDENCYPART_ARC
(4,17),-1.67107 # DEPENDENCYPART_ARC
(4,18),-1.63436 # DEPENDENCYPART_ARC
(4,19),-2.98843 # DEPENDENCYPART_ARC
(4,20),-1.04248 # DEPENDENCYPART_ARC
(4,21),-0.234157 # DEPENDENCYPART_ARC
(4,22),-1.20128 # DEPENDENCYPART_ARC
(4,23),-2.64662 # DEPENDENCYPART_ARC
(4,24),-2.17527 # DEPENDENCYPART_ARC
(4,25),-0.632232 # DEPENDENCYPART_ARC
(4,26),-5.1071 # DEPENDENCYPART_ARC
(4,27),-1.91235 # DEPENDENCYPART_ARC
(4,28),-3.34124 # DEPENDENCYPART_ARC
(4,29),-4.18685 # DEPENDENCYPART_ARC
(4,30),-3.50587 # DEPENDENCYPART_ARC
(4,31),-3.48181 # DEPENDENCYPART_ARC
(5,2),-1.58994 # DEPENDENCYPART_ARC
(5,3),-1.45622 # DEPENDENCYPART_ARC
(5,4),-0.572382 # DEPENDENCYPART_ARC
(5,6),0.591662 # DEPENDENCYPART_ARC
(5,7),2.45196 # DEPENDENCYPART_ARC
(5,9),-0.164061 # DEPENDENCYPART_ARC
(5,10),-0.607193 # DEPENDENCYPART_ARC
(5,11),-0.45615 # DEPENDENCYPART_ARC
(5,12),0.239609 # DEPENDENCYPART_ARC
(5,13),0.651326 # DEPENDENCYPART_ARC
(5,14),-0.80761 # DEPENDENCYPART_ARC
(5,15),-0.854321 # DEPENDENCYPART_ARC
(5,16),-0.821721 # DEPENDENCYPART_ARC
(5,17),-0.861952 # DEPENDENCYPART_ARC
(5,18),-0.887233 # DEPENDENCYPART_ARC
(5,19),-0.901269 # DEPENDENCYPART_ARC
(5,20),-0.56165 # DEPENDENCYPART_ARC
(5,21),-0.722073 # DEPENDENCYPART_ARC
(5,23),-0.917822 # DEPENDENCYPART_ARC
(5,24),-1.29925 # DEPENDENCYPART_ARC
(5,25),-0.81039 # DEPENDENCYPART_ARC
(5,26),-1.42148 # DEPENDENCYPART_ARC
(5,27),-1.25435 # DEPENDENCYPART_ARC
(5,29),-1.21007 # DEPENDENCYPART_ARC
(5,30),-1.51902 # DEPENDENCYPART_ARC
(5,31),-1.78307 # DEPENDENCYPART_ARC
(6,2),-3.5503 # DEPENDENCYPART_ARC
(6,3),-3.88707 # DEPENDENCYPART_ARC
