# _root_ La notizia , forse , ancora non lo ha raggiunto .
#goldHeads=2,10,2,10,4,10,10,10,10,0,10,
#predictedHeads=2,10,2,10,4,10,10,10,10,0,10,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.257879 # DEPENDENCYPART_ARC
(0,3),-0.410102 # DEPENDENCYPART_ARC
(0,4),-0.62132 # DEPENDENCYPART_ARC
(0,5),-0.69072 # DEPENDENCYPART_ARC
(0,6),-0.639708 # DEPENDENCYPART_ARC
(0,7),-0.887575 # DEPENDENCYPART_ARC
(0,8),-1.08942 # DEPENDENCYPART_ARC
(0,9),0.734326 # DEPENDENCYPART_ARC
(0,10),0.453749 # DEPENDENCYPART_ARC
(0,11),-1.00047 # DEPENDENCYPART_ARC
(1,2),0.932297 # DEPENDENCYPART_ARC
(1,3),-0.15307 # DEPENDENCYPART_ARC
(1,4),-0.729797 # DEPENDENCYPART_ARC
(1,5),-0.438557 # DEPENDENCYPART_ARC
(1,6),-0.994332 # DEPENDENCYPART_ARC
(1,7),-1.0465 # DEPENDENCYPART_ARC
(1,8),-1.59843 # DEPENDENCYPART_ARC
(1,9),-0.467803 # DEPENDENCYPART_ARC
(1,10),-1.10756 # DEPENDENCYPART_ARC
(1,11),-0.889774 # DEPENDENCYPART_ARC
(2,1),3.59135 # DEPENDENCYPART_ARC
(2,3),2.46211 # DEPENDENCYPART_ARC
(2,4),0.710703 # DEPENDENCYPART_ARC
(2,5),0.995688 # DEPENDENCYPART_ARC
(2,6),0.191475 # DEPENDENCYPART_ARC
(2,7),-0.301362 # DEPENDENCYPART_ARC
(2,8),-0.177274 # DEPENDENCYPART_ARC
(2,9),0.3535 # DEPENDENCYPART_ARC
(2,10),-0.0958261 # DEPENDENCYPART_ARC
(2,11),-0.132939 # DEPENDENCYPART_ARC
(3,1),-0.856975 # DEPENDENCYPART_ARC
(3,2),-0.897842 # DEPENDENCYPART_ARC
(3,4),-1.04458 # DEPENDENCYPART_ARC
(3,5),-0.534781 # DEPENDENCYPART_ARC
(3,6),-2.00681 # DEPENDENCYPART_ARC
(3,7),-2.12351 # DEPENDENCYPART_ARC
(3,8),-1.97089 # DEPENDENCYPART_ARC
(3,9),-1.86385 # DEPENDENCYPART_ARC
(3,10),-2.10295 # DEPENDENCYPART_ARC
(3,11),-1.33822 # DEPENDENCYPART_ARC
(4,1),-0.440232 # DEPENDENCYPART_ARC
(4,2),-1.38663 # DEPENDENCYPART_ARC
(4,3),0.459937 # DEPENDENCYPART_ARC
(4,5),2.23884 # DEPENDENCYPART_ARC
(4,6),0.258117 # DEPENDENCYPART_ARC
(4,7),-0.12333 # DEPENDENCYPART_ARC
(4,8),-0.197261 # DEPENDENCYPART_ARC
(4,9),0.0614253 # DEPENDENCYPART_ARC
(4,10),-0.0464128 # DEPENDENCYPART_ARC
(4,11),-0.661431 # DEPENDENCYPART_ARC
(5,1),-1.75017 # DEPENDENCYPART_ARC
(5,2),-2.00057 # DEPENDENCYPART_ARC
(5,3),-1.25808 # DEPENDENCYPART_ARC
(5,4),-0.728377 # DEPENDENCYPART_ARC
(5,6),-0.747906 # DEPENDENCYPART_ARC
(5,7),-1.48469 # DEPENDENCYPART_ARC
(5,8),-1.44446 # DEPENDENCYPART_ARC
(5,9),-1.42318 # DEPENDENCYPART_ARC
(5,10),-1.70846 # DEPENDENCYPART_ARC
(5,11),-0.926152 # DEPENDENCYPART_ARC
(6,1),-0.981197 # DEPENDENCYPART_ARC
(6,2),-2.09356 # DEPENDENCYPART_ARC
(6,3),-1.05098 # DEPENDENCYPART_ARC
(6,4),-0.554648 # DEPENDENCYPART_ARC
(6,5),0.344779 # DEPENDENCYPART_ARC
(6,7),0.553393 # DEPENDENCYPART_ARC
(6,8),-0.11963 # DEPENDENCYPART_ARC
(6,9),0.278162 # DEPENDENCYPART_ARC
(6,10),0.295336 # DEPENDENCYPART_ARC
(6,11),-0.696781 # DEPENDENCYPART_ARC
(7,1),-0.940174 # DEPENDENCYPART_ARC
(7,2),-1.8909 # DEPENDENCYPART_ARC
(7,3),-1.244 # DEPENDENCYPART_ARC
(7,4),-0.667781 # DEPENDENCYPART_ARC
(7,5),-0.459857 # DEPENDENCYPART_ARC
(7,6),0.869312 # DEPENDENCYPART_ARC
(7,8),0.189475 # DEPENDENCYPART_ARC
(7,9),-0.112669 # DEPENDENCYPART_ARC
(7,10),-0.151778 # DEPENDENCYPART_ARC
(7,11),-0.919398 # DEPENDENCYPART_ARC
(8,1),-1.44027 # DEPENDENCYPART_ARC
(8,2),-2.27253 # DEPENDENCYPART_ARC
(8,3),-1.23061 # DEPENDENCYPART_ARC
