# _root_ Gli agenti si avvicinano , osservano i rimasugli , volano battute sul loro significato .
#goldHeads=2,4,4,0,4,4,8,6,8,4,10,11,14,12,14,
#predictedHeads=2,4,4,6,4,0,8,6,8,0,10,10,14,12,14,
(0,1),-0.6339 # DEPENDENCYPART_ARC
(0,2),-0.397089 # DEPENDENCYPART_ARC
(0,3),-1.02167 # DEPENDENCYPART_ARC
(0,4),0.668011 # DEPENDENCYPART_ARC
(0,5),-0.938829 # DEPENDENCYPART_ARC
(0,6),1.58378 # DEPENDENCYPART_ARC
(0,7),-1.4757 # DEPENDENCYPART_ARC
(0,8),-0.358822 # DEPENDENCYPART_ARC
(0,9),-0.813958 # DEPENDENCYPART_ARC
(0,10),1.50723 # DEPENDENCYPART_ARC
(0,11),-0.443906 # DEPENDENCYPART_ARC
(0,12),-1.92422 # DEPENDENCYPART_ARC
(0,13),-1.49707 # DEPENDENCYPART_ARC
(0,14),-0.58481 # DEPENDENCYPART_ARC
(0,15),-1.37368 # DEPENDENCYPART_ARC
(1,2),0.713012 # DEPENDENCYPART_ARC
(1,3),-0.95368 # DEPENDENCYPART_ARC
(1,4),-0.533785 # DEPENDENCYPART_ARC
(1,5),-0.785293 # DEPENDENCYPART_ARC
(1,6),-0.998611 # DEPENDENCYPART_ARC
(1,7),-1.43282 # DEPENDENCYPART_ARC
(1,8),-1.11331 # DEPENDENCYPART_ARC
(1,9),-0.964305 # DEPENDENCYPART_ARC
(1,10),-1.27127 # DEPENDENCYPART_ARC
(1,11),-1.39477 # DEPENDENCYPART_ARC
(1,12),-1.58424 # DEPENDENCYPART_ARC
(1,13),-2.00947 # DEPENDENCYPART_ARC
(1,14),-1.71324 # DEPENDENCYPART_ARC
(1,15),-1.31826 # DEPENDENCYPART_ARC
(2,1),3.87205 # DEPENDENCYPART_ARC
(2,3),-0.507754 # DEPENDENCYPART_ARC
(2,4),1.23297 # DEPENDENCYPART_ARC
(2,5),-0.225477 # DEPENDENCYPART_ARC
(2,6),-0.00395825 # DEPENDENCYPART_ARC
(2,7),-0.47457 # DEPENDENCYPART_ARC
(2,8),-0.231425 # DEPENDENCYPART_ARC
(2,9),-0.198694 # DEPENDENCYPART_ARC
(2,10),-0.84078 # DEPENDENCYPART_ARC
(2,11),-0.479469 # DEPENDENCYPART_ARC
(2,12),-1.30443 # DEPENDENCYPART_ARC
(2,13),-1.35331 # DEPENDENCYPART_ARC
(2,14),-1.15208 # DEPENDENCYPART_ARC
(2,15),-2.33557 # DEPENDENCYPART_ARC
(3,1),-1.16158 # DEPENDENCYPART_ARC
(3,2),-1.08797 # DEPENDENCYPART_ARC
(3,4),-0.810619 # DEPENDENCYPART_ARC
(3,5),-0.602211 # DEPENDENCYPART_ARC
(3,6),-2.29119 # DEPENDENCYPART_ARC
(3,7),-1.4948 # DEPENDENCYPART_ARC
(3,8),-1.19785 # DEPENDENCYPART_ARC
(3,9),-1.0632 # DEPENDENCYPART_ARC
(3,10),-3.46462 # DEPENDENCYPART_ARC
(3,11),-1.96198 # DEPENDENCYPART_ARC
(3,12),-3.55529 # DEPENDENCYPART_ARC
(3,13),-1.84692 # DEPENDENCYPART_ARC
(3,14),-1.96323 # DEPENDENCYPART_ARC
(3,15),-1.845 # DEPENDENCYPART_ARC
(4,1),0.54122 # DEPENDENCYPART_ARC
(4,2),1.9539 # DEPENDENCYPART_ARC
(4,3),3.50513 # DEPENDENCYPART_ARC
(4,5),2.39819 # DEPENDENCYPART_ARC
(4,6),1.93679 # DEPENDENCYPART_ARC
(4,7),-0.488323 # DEPENDENCYPART_ARC
(4,8),1.42701 # DEPENDENCYPART_ARC
(4,9),0.97824 # DEPENDENCYPART_ARC
(4,10),0.78856 # DEPENDENCYPART_ARC
(4,11),0.314575 # DEPENDENCYPART_ARC
(4,12),0.238571 # DEPENDENCYPART_ARC
(4,13),-1.24134 # DEPENDENCYPART_ARC
(4,14),-0.449543 # DEPENDENCYPART_ARC
(4,15),-0.71981 # DEPENDENCYPART_ARC
(5,1),-1.87645 # DEPENDENCYPART_ARC
(5,2),-2.04851 # DEPENDENCYPART_ARC
(5,3),-1.49763 # DEPENDENCYPART_ARC
(5,4),-0.981226 # DEPENDENCYPART_ARC
(5,6),-0.740663 # DEPENDENCYPART_ARC
(5,7),-1.86696 # DEPENDENCYPART_ARC
(5,8),-2.00942 # DEPENDENCYPART_ARC
(5,9),-1.09086 # DEPENDENCYPART_ARC
(5,10),-2.12033 # DEPENDENCYPART_ARC
(5,11),-2.45577 # DEPENDENCYPART_ARC
(5,12),-2.50528 # DEPENDENCYPART_ARC
(5,13),-2.66592 # DEPENDENCYPART_ARC
(5,14),-2.59413 # DEPENDENCYPART_ARC
(5,15),-1.48557 # DEPENDENCYPART_ARC
(6,1),-0.298254 # DEPENDENCYPART_ARC
(6,2),1.39691 # DEPENDENCYPART_ARC
(6,3),1.60803 # DEPENDENCYPART_ARC
(6,4),1.1367 # DEPENDENCYPART_ARC
(6,5),0.394136 # DEPENDENCYPART_ARC
(6,7),0.59789 # DEPENDENCYPART_ARC
(6,8),3.16977 # DEPENDENCYPART_ARC
(6,9),1.16219 # DEPENDENCYPART_ARC
(6,10),0.846625 # DEPENDENCYPART_ARC
(6,11),0.822789 # DEPENDENCYPART_ARC
(6,12),0.735702 # DEPENDENCYPART_ARC
(6,13),-1.14731 # DEPENDENCYPART_ARC
(6,14),-0.143913 # DEPENDENCYPART_ARC
(6,15),-0.536292 # DEPENDENCYPART_ARC
(7,1),-1.37123 # DEPENDENCYPART_ARC
(7,2),-2.26254 # DEPENDENCYPART_ARC
(7,3),-2.0209 # DEPENDENCYPART_ARC
(7,4),-2.5744 # DEPENDENCYPART_ARC
(7,5),-0.966517 # DEPENDENCYPART_ARC
(7,6),-1.0158 # DEPENDENCYPART_ARC
(7,8),0.811378 # DEPENDENCYPART_ARC
(7,9),-0.524866 # DEPENDENCYPART_ARC
(7,10),-0.707773 # DEPENDENCYPART_ARC
(7,11),-1.13716 # DEPENDENCYPART_ARC
(7,12),-1.21721 # DEPENDENCYPART_ARC
(7,13),-1.80251 # DEPENDENCYPART_ARC
(7,14),-1.58927 # DEPENDENCYPART_ARC
(7,15),-1.20785 # DEPENDENCYPART_ARC
(8,1),0.176939 # DEPENDENCYPART_ARC
(8,2),-1.05604 # DEPENDENCYPART_ARC
(8,3),-0.957567 # DEPENDENCYPART_ARC
(8,4),-2.27152 # DEPENDENCYPART_ARC
(8,5),-1.67321 # DEPENDENCYPART_ARC
(8,6),-0.903253 # DEPENDENCYPART_ARC
(8,7),4.07454 # DEPENDENCYPART_ARC
(8,9),2.0649 # DEPENDENCYPART_ARC
(8,10),0.477781 # DEPENDENCYPART_ARC
(8,11),0.907043 # DEPENDENCYPART_ARC
(8,12),0.115472 # DEPENDENCYPART_ARC
(8,13),-0.0141687 # DEPENDENCYPART_ARC
(8,14),-0.2464 # DEPENDENCYPART_ARC
(8,15),-0.481827 # DEPENDENCYPART_ARC
(9,1),-2.21385 # DEPENDENCYPART_ARC
(9,2),-2.6242 # DEPENDENCYPART_ARC
(9,3),-2.25931 # DEPENDENCYPART_ARC
(9,4),-2.8892 # DEPENDENCYPART_ARC
