# _root_ Si è parlato ahimè dei favoritismi , della corruzione , della promiscuità della corte che circondava Allende .
#goldHeads=2,3,0,3,3,5,5,5,8,5,5,11,12,13,16,14,16,17,
#predictedHeads=3,3,0,3,3,5,6,6,8,9,9,11,12,13,16,14,16,17,
(0,1),-1.29593 # DEPENDENCYPART_ARC
(0,2),0.0557044 # DEPENDENCYPART_ARC
(0,3),0.234127 # DEPENDENCYPART_ARC
(0,4),-1.32538 # DEPENDENCYPART_ARC
(0,5),-2.14068 # DEPENDENCYPART_ARC
(0,6),-1.13498 # DEPENDENCYPART_ARC
(0,7),-1.15095 # DEPENDENCYPART_ARC
(0,8),-1.92988 # DEPENDENCYPART_ARC
(0,9),-1.33614 # DEPENDENCYPART_ARC
(0,10),-1.22898 # DEPENDENCYPART_ARC
(0,11),-1.95292 # DEPENDENCYPART_ARC
(0,12),-0.894878 # DEPENDENCYPART_ARC
(0,13),-2.2452 # DEPENDENCYPART_ARC
(0,14),-0.997807 # DEPENDENCYPART_ARC
(0,16),-0.0726574 # DEPENDENCYPART_ARC
(0,17),-1.55222 # DEPENDENCYPART_ARC
(0,18),-1.8276 # DEPENDENCYPART_ARC
(1,2),-1.5163 # DEPENDENCYPART_ARC
(1,3),-2.79463 # DEPENDENCYPART_ARC
(1,5),-2.54733 # DEPENDENCYPART_ARC
(1,6),-1.91756 # DEPENDENCYPART_ARC
(1,7),-1.66766 # DEPENDENCYPART_ARC
(1,8),-4.16206 # DEPENDENCYPART_ARC
(1,9),-2.75443 # DEPENDENCYPART_ARC
(1,10),-1.76199 # DEPENDENCYPART_ARC
(1,11),-4.46525 # DEPENDENCYPART_ARC
(1,12),-3.13674 # DEPENDENCYPART_ARC
(1,13),-4.77326 # DEPENDENCYPART_ARC
(1,14),-2.94193 # DEPENDENCYPART_ARC
(1,16),-5.41904 # DEPENDENCYPART_ARC
(1,17),-2.31366 # DEPENDENCYPART_ARC
(1,18),-2.72667 # DEPENDENCYPART_ARC
(2,1),2.4096 # DEPENDENCYPART_ARC
(2,3),1.16897 # DEPENDENCYPART_ARC
(2,4),0.317406 # DEPENDENCYPART_ARC
(2,5),-0.384859 # DEPENDENCYPART_ARC
(2,6),-0.317472 # DEPENDENCYPART_ARC
(2,7),0.136038 # DEPENDENCYPART_ARC
(2,8),-1.79881 # DEPENDENCYPART_ARC
(2,9),-1.3103 # DEPENDENCYPART_ARC
(2,10),-0.10854 # DEPENDENCYPART_ARC
(2,11),-2.73049 # DEPENDENCYPART_ARC
(2,12),-1.79217 # DEPENDENCYPART_ARC
(2,13),-2.86547 # DEPENDENCYPART_ARC
(2,14),-2.27862 # DEPENDENCYPART_ARC
(2,15),-1.90868 # DEPENDENCYPART_ARC
(2,16),-1.33585 # DEPENDENCYPART_ARC
(2,17),-2.31807 # DEPENDENCYPART_ARC
(2,18),-2.69079 # DEPENDENCYPART_ARC
(3,1),3.33659 # DEPENDENCYPART_ARC
(3,2),4.41607 # DEPENDENCYPART_ARC
(3,4),1.74167 # DEPENDENCYPART_ARC
(3,5),1.50034 # DEPENDENCYPART_ARC
(3,6),0.804921 # DEPENDENCYPART_ARC
(3,7),0.425297 # DEPENDENCYPART_ARC
(3,8),0.157304 # DEPENDENCYPART_ARC
(3,9),-0.290766 # DEPENDENCYPART_ARC
(3,10),0.177441 # DEPENDENCYPART_ARC
(3,11),-0.717185 # DEPENDENCYPART_ARC
(3,12),-0.934891 # DEPENDENCYPART_ARC
(3,13),-1.10029 # DEPENDENCYPART_ARC
(3,14),-1.17337 # DEPENDENCYPART_ARC
(3,15),-2.6134 # DEPENDENCYPART_ARC
(3,16),-1.12051 # DEPENDENCYPART_ARC
(3,17),-1.21754 # DEPENDENCYPART_ARC
(3,18),-1.83606 # DEPENDENCYPART_ARC
(4,5),1.32317 # DEPENDENCYPART_ARC
(4,6),0.740835 # DEPENDENCYPART_ARC
(4,7),0.705438 # DEPENDENCYPART_ARC
(4,8),0.284542 # DEPENDENCYPART_ARC
(4,9),0.078108 # DEPENDENCYPART_ARC
(4,10),0.563552 # DEPENDENCYPART_ARC
(4,11),0.123418 # DEPENDENCYPART_ARC
(4,12),-0.102638 # DEPENDENCYPART_ARC
(4,13),0.0344808 # DEPENDENCYPART_ARC
(4,14),-0.081551 # DEPENDENCYPART_ARC
(4,17),-0.33578 # DEPENDENCYPART_ARC
