# _root_ Iammelli , colpito alle gambe e al torace , si trova ricoverato nell' ospedale Cardarelli .
#goldHeads=11,1,1,3,4,4,4,7,8,11,0,11,12,13,14,15,
#predictedHeads=0,1,1,3,4,4,4,7,8,12,12,8,12,13,14,15,
(0,1),0.924146 # DEPENDENCYPART_ARC
(0,2),-0.47105 # DEPENDENCYPART_ARC
(0,3),0.773442 # DEPENDENCYPART_ARC
(0,4),-1.38094 # DEPENDENCYPART_ARC
(0,5),-0.194209 # DEPENDENCYPART_ARC
(0,6),-0.88415 # DEPENDENCYPART_ARC
(0,7),-1.03228 # DEPENDENCYPART_ARC
(0,8),-0.123584 # DEPENDENCYPART_ARC
(0,9),-0.37011 # DEPENDENCYPART_ARC
(0,10),-1.00914 # DEPENDENCYPART_ARC
(0,11),0.336892 # DEPENDENCYPART_ARC
(0,12),0.0394481 # DEPENDENCYPART_ARC
(0,13),-1.56989 # DEPENDENCYPART_ARC
(0,14),-0.324719 # DEPENDENCYPART_ARC
(0,15),-0.278364 # DEPENDENCYPART_ARC
(0,16),-1.03588 # DEPENDENCYPART_ARC
(1,2),2.19585 # DEPENDENCYPART_ARC
(1,3),1.58378 # DEPENDENCYPART_ARC
(1,4),-0.259378 # DEPENDENCYPART_ARC
(1,5),-0.03428 # DEPENDENCYPART_ARC
(1,6),0.10041 # DEPENDENCYPART_ARC
(1,7),-0.609165 # DEPENDENCYPART_ARC
(1,8),0.0874292 # DEPENDENCYPART_ARC
(1,9),0.558357 # DEPENDENCYPART_ARC
(1,10),-1.27491 # DEPENDENCYPART_ARC
(1,11),-1.17975 # DEPENDENCYPART_ARC
(1,12),-0.90237 # DEPENDENCYPART_ARC
(1,13),-1.38371 # DEPENDENCYPART_ARC
(1,14),-1.01851 # DEPENDENCYPART_ARC
(1,15),-0.907992 # DEPENDENCYPART_ARC
(1,16),-2.18538 # DEPENDENCYPART_ARC
(2,9),-1.23405 # DEPENDENCYPART_ARC
(2,16),-1.6925 # DEPENDENCYPART_ARC
(3,1),0.206575 # DEPENDENCYPART_ARC
(3,2),-0.339179 # DEPENDENCYPART_ARC
(3,4),3.16294 # DEPENDENCYPART_ARC
(3,5),1.36396 # DEPENDENCYPART_ARC
(3,6),0.91688 # DEPENDENCYPART_ARC
(3,7),0.870123 # DEPENDENCYPART_ARC
