# _root_ Resta , per Ghezzi , l' ammirazione per l' accanimento del " fare " : " Poniamo il cinema Sacher .
#goldHeads=0,1,1,3,4,7,1,7,10,8,10,13,11,13,14,17,0,19,17,19,20,
#predictedHeads=0,1,1,3,4,7,1,7,10,8,10,13,11,13,14,17,0,19,17,19,20,
(0,1),1.21397 # DEPENDENCYPART_ARC
(0,2),-1.05563 # DEPENDENCYPART_ARC
(0,3),-0.713923 # DEPENDENCYPART_ARC
(0,4),-0.213859 # DEPENDENCYPART_ARC
(0,5),-0.97192 # DEPENDENCYPART_ARC
(0,6),-1.38531 # DEPENDENCYPART_ARC
(0,7),0.107642 # DEPENDENCYPART_ARC
(0,8),-1.23054 # DEPENDENCYPART_ARC
(0,9),-1.5333 # DEPENDENCYPART_ARC
(0,10),0.145668 # DEPENDENCYPART_ARC
(0,11),-1.46268 # DEPENDENCYPART_ARC
(0,12),-1.14747 # DEPENDENCYPART_ARC
(0,13),0.112708 # DEPENDENCYPART_ARC
(0,14),-1.24162 # DEPENDENCYPART_ARC
(0,15),-1.11434 # DEPENDENCYPART_ARC
(0,16),-1.25829 # DEPENDENCYPART_ARC
(0,17),1.36125 # DEPENDENCYPART_ARC
(0,18),-1.75689 # DEPENDENCYPART_ARC
(0,19),0.487376 # DEPENDENCYPART_ARC
(0,20),-0.472021 # DEPENDENCYPART_ARC
(0,21),-1.65771 # DEPENDENCYPART_ARC
(1,2),2.74444 # DEPENDENCYPART_ARC
(1,3),1.99071 # DEPENDENCYPART_ARC
(1,4),1.66889 # DEPENDENCYPART_ARC
(1,5),1.1084 # DEPENDENCYPART_ARC
(1,6),-0.702339 # DEPENDENCYPART_ARC
(1,7),1.12524 # DEPENDENCYPART_ARC
(1,8),1.33837 # DEPENDENCYPART_ARC
(1,9),-0.885341 # DEPENDENCYPART_ARC
(1,10),0.581786 # DEPENDENCYPART_ARC
(1,11),-0.92025 # DEPENDENCYPART_ARC
(1,12),-1.04251 # DEPENDENCYPART_ARC
(1,13),1.01614 # DEPENDENCYPART_ARC
(1,14),-1.11396 # DEPENDENCYPART_ARC
(1,15),-0.876042 # DEPENDENCYPART_ARC
(1,16),-1.81392 # DEPENDENCYPART_ARC
(1,17),0.650049 # DEPENDENCYPART_ARC
(1,18),-1.50317 # DEPENDENCYPART_ARC
(1,19),-1.13598 # DEPENDENCYPART_ARC
(1,20),-1.41882 # DEPENDENCYPART_ARC
(1,21),-1.99587 # DEPENDENCYPART_ARC
(2,1),-0.789767 # DEPENDENCYPART_ARC
(2,3),-1.10214 # DEPENDENCYPART_ARC
(2,4),-1.20267 # DEPENDENCYPART_ARC
(2,5),-0.561643 # DEPENDENCYPART_ARC
(2,6),-1.75726 # DEPENDENCYPART_ARC
(2,7),-1.89968 # DEPENDENCYPART_ARC
(2,8),-2.09352 # DEPENDENCYPART_ARC
(2,9),-1.90238 # DEPENDENCYPART_ARC
(2,10),-2.11241 # DEPENDENCYPART_ARC
(2,11),-2.20551 # DEPENDENCYPART_ARC
(2,12),-1.49959 # DEPENDENCYPART_ARC
(2,13),-2.01678 # DEPENDENCYPART_ARC
(2,14),-1.95951 # DEPENDENCYPART_ARC
(2,15),-1.29639 # DEPENDENCYPART_ARC
(2,16),-1.98456 # DEPENDENCYPART_ARC
(2,17),-2.34874 # DEPENDENCYPART_ARC
(2,18),-2.36546 # DEPENDENCYPART_ARC
(2,19),-2.55456 # DEPENDENCYPART_ARC
(2,20),-2.58392 # DEPENDENCYPART_ARC
(2,21),-1.98969 # DEPENDENCYPART_ARC
(3,1),-1.18814 # DEPENDENCYPART_ARC
(3,2),-0.0824564 # DEPENDENCYPART_ARC
(3,4),4.15026 # DEPENDENCYPART_ARC
(3,5),0.219525 # DEPENDENCYPART_ARC
(3,6),-0.770319 # DEPENDENCYPART_ARC
(3,7),-0.555682 # DEPENDENCYPART_ARC
(3,8),-0.628853 # DEPENDENCYPART_ARC
(3,9),-1.19686 # DEPENDENCYPART_ARC
(3,10),-2.1933 # DEPENDENCYPART_ARC
(3,11),-0.932052 # DEPENDENCYPART_ARC
(3,12),-1.42782 # DEPENDENCYPART_ARC
(3,13),-0.718369 # DEPENDENCYPART_ARC
(3,14),-1.64103 # DEPENDENCYPART_ARC
(3,15),-1.53794 # DEPENDENCYPART_ARC
(3,16),-1.84834 # DEPENDENCYPART_ARC
(3,17),-2.0016 # DEPENDENCYPART_ARC
(3,18),-1.59435 # DEPENDENCYPART_ARC
(3,19),-5.45607 # DEPENDENCYPART_ARC
