# _root_ Dopo due mesi e mezzo , finalmente , il ritorno a casa .
#goldHeads=10,3,1,3,3,5,10,7,10,0,10,11,12,
#predictedHeads=10,3,1,3,3,5,3,7,10,0,10,11,12,
(0,1),-1.15642 # DEPENDENCYPART_ARC
(0,2),-0.920807 # DEPENDENCYPART_ARC
(0,3),0.127383 # DEPENDENCYPART_ARC
(0,4),-1.35684 # DEPENDENCYPART_ARC
(0,5),-0.421791 # DEPENDENCYPART_ARC
(0,6),-0.426245 # DEPENDENCYPART_ARC
(0,7),-0.748999 # DEPENDENCYPART_ARC
(0,8),-0.517084 # DEPENDENCYPART_ARC
(0,9),-1.26034 # DEPENDENCYPART_ARC
(0,10),0.0955276 # DEPENDENCYPART_ARC
(0,11),-1.47272 # DEPENDENCYPART_ARC
(0,12),-0.462069 # DEPENDENCYPART_ARC
(0,13),-0.925879 # DEPENDENCYPART_ARC
(1,2),1.60466 # DEPENDENCYPART_ARC
(1,3),2.83714 # DEPENDENCYPART_ARC
(1,4),0.850375 # DEPENDENCYPART_ARC
(1,5),0.422059 # DEPENDENCYPART_ARC
(1,6),-0.0851396 # DEPENDENCYPART_ARC
(1,7),-0.34399 # DEPENDENCYPART_ARC
(1,8),-0.0963279 # DEPENDENCYPART_ARC
(1,9),-0.606207 # DEPENDENCYPART_ARC
(1,10),-2.05138 # DEPENDENCYPART_ARC
(1,11),-0.679024 # DEPENDENCYPART_ARC
(1,12),-2.34914 # DEPENDENCYPART_ARC
(1,13),-0.883503 # DEPENDENCYPART_ARC
(2,1),0.139256 # DEPENDENCYPART_ARC
(2,3),1.31998 # DEPENDENCYPART_ARC
(2,4),0.259435 # DEPENDENCYPART_ARC
(2,5),-0.0443093 # DEPENDENCYPART_ARC
(2,6),-0.352575 # DEPENDENCYPART_ARC
(2,7),-0.411904 # DEPENDENCYPART_ARC
(2,8),-0.150613 # DEPENDENCYPART_ARC
(2,9),-0.625586 # DEPENDENCYPART_ARC
(2,10),-0.575277 # DEPENDENCYPART_ARC
(2,11),-0.718374 # DEPENDENCYPART_ARC
(2,12),-0.465722 # DEPENDENCYPART_ARC
(2,13),-0.821301 # DEPENDENCYPART_ARC
(3,1),1.19826 # DEPENDENCYPART_ARC
(3,2),3.36843 # DEPENDENCYPART_ARC
(3,4),2.15716 # DEPENDENCYPART_ARC
(3,5),1.88724 # DEPENDENCYPART_ARC
(3,6),0.633705 # DEPENDENCYPART_ARC
(3,7),0.589705 # DEPENDENCYPART_ARC
(3,8),0.304383 # DEPENDENCYPART_ARC
(3,9),-0.312107 # DEPENDENCYPART_ARC
(3,10),0.380847 # DEPENDENCYPART_ARC
(3,11),0.124906 # DEPENDENCYPART_ARC
(3,12),0.541458 # DEPENDENCYPART_ARC
(3,13),-0.967509 # DEPENDENCYPART_ARC
(4,1),-1.19334 # DEPENDENCYPART_ARC
(4,2),-1.04882 # DEPENDENCYPART_ARC
(4,3),-0.688709 # DEPENDENCYPART_ARC
(4,5),0.170389 # DEPENDENCYPART_ARC
(4,6),-0.287783 # DEPENDENCYPART_ARC
(4,7),-1.76397 # DEPENDENCYPART_ARC
(4,8),-0.79796 # DEPENDENCYPART_ARC
(4,9),-1.79388 # DEPENDENCYPART_ARC
(4,10),-1.494 # DEPENDENCYPART_ARC
(4,11),-1.82614 # DEPENDENCYPART_ARC
(4,12),-1.45983 # DEPENDENCYPART_ARC
(4,13),-1.56472 # DEPENDENCYPART_ARC
(5,1),-1.15129 # DEPENDENCYPART_ARC
