# _root_ Intanto scrive per riviste , realizza programmi radiotelevisivi , si occupa a Roma della programmazione cinematografica di RaiTre .
#goldHeads=2,0,2,3,2,2,6,7,2,11,2,11,12,11,14,15,15,17,18,
#predictedHeads=2,0,2,3,4,0,6,7,8,11,0,11,12,13,14,15,15,17,18,
(0,1),-0.715389 # DEPENDENCYPART_ARC
(0,2),1.27533 # DEPENDENCYPART_ARC
(0,3),-1.17945 # DEPENDENCYPART_ARC
(0,4),-0.511291 # DEPENDENCYPART_ARC
(0,5),-0.828656 # DEPENDENCYPART_ARC
(0,6),1.90055 # DEPENDENCYPART_ARC
(0,7),-0.365417 # DEPENDENCYPART_ARC
(0,8),-1.4103 # DEPENDENCYPART_ARC
(0,9),-0.585873 # DEPENDENCYPART_ARC
(0,10),-1.37249 # DEPENDENCYPART_ARC
(0,11),1.10402 # DEPENDENCYPART_ARC
(0,12),-1.66862 # DEPENDENCYPART_ARC
(0,13),-0.540561 # DEPENDENCYPART_ARC
(0,14),-1.78632 # DEPENDENCYPART_ARC
(0,15),-0.876866 # DEPENDENCYPART_ARC
(0,16),-1.3359 # DEPENDENCYPART_ARC
(0,17),-2.39253 # DEPENDENCYPART_ARC
(0,18),-0.809383 # DEPENDENCYPART_ARC
(0,19),-1.41005 # DEPENDENCYPART_ARC
(1,2),0.356439 # DEPENDENCYPART_ARC
(1,3),-0.886401 # DEPENDENCYPART_ARC
(1,4),-0.844203 # DEPENDENCYPART_ARC
(1,5),-0.363086 # DEPENDENCYPART_ARC
(1,6),-0.890428 # DEPENDENCYPART_ARC
(1,7),-1.59035 # DEPENDENCYPART_ARC
(1,8),-1.59739 # DEPENDENCYPART_ARC
(1,9),-0.894046 # DEPENDENCYPART_ARC
(1,10),-1.6511 # DEPENDENCYPART_ARC
(1,11),-1.5467 # DEPENDENCYPART_ARC
(1,12),-1.74508 # DEPENDENCYPART_ARC
(1,13),-1.91746 # DEPENDENCYPART_ARC
(1,14),-1.73099 # DEPENDENCYPART_ARC
(1,15),-1.91306 # DEPENDENCYPART_ARC
(1,16),-2.03201 # DEPENDENCYPART_ARC
(1,17),-1.74293 # DEPENDENCYPART_ARC
(1,18),-2.00673 # DEPENDENCYPART_ARC
(1,19),-2.004 # DEPENDENCYPART_ARC
(2,1),2.11577 # DEPENDENCYPART_ARC
(2,3),2.93323 # DEPENDENCYPART_ARC
(2,4),2.16231 # DEPENDENCYPART_ARC
(2,5),1.69063 # DEPENDENCYPART_ARC
(2,6),1.37037 # DEPENDENCYPART_ARC
(2,7),0.549881 # DEPENDENCYPART_ARC
(2,8),-0.327782 # DEPENDENCYPART_ARC
(2,9),1.22603 # DEPENDENCYPART_ARC
(2,10),-0.628537 # DEPENDENCYPART_ARC
(2,11),0.778518 # DEPENDENCYPART_ARC
(2,12),-0.0830407 # DEPENDENCYPART_ARC
(2,13),-0.851955 # DEPENDENCYPART_ARC
(2,14),-1.40631 # DEPENDENCYPART_ARC
(2,15),-1.0731 # DEPENDENCYPART_ARC
(2,16),-0.587258 # DEPENDENCYPART_ARC
(2,17),-1.23895 # DEPENDENCYPART_ARC
(2,18),-1.36706 # DEPENDENCYPART_ARC
(2,19),-1.4465 # DEPENDENCYPART_ARC
(3,1),-0.236222 # DEPENDENCYPART_ARC
(3,2),-0.389878 # DEPENDENCYPART_ARC
(3,4),4.45138 # DEPENDENCYPART_ARC
(3,5),0.320571 # DEPENDENCYPART_ARC
(3,6),0.0839272 # DEPENDENCYPART_ARC
(3,7),-1.16096 # DEPENDENCYPART_ARC
(3,8),-0.722135 # DEPENDENCYPART_ARC
(3,9),-0.0590297 # DEPENDENCYPART_ARC
(3,10),-1.44615 # DEPENDENCYPART_ARC
(3,11),-1.61316 # DEPENDENCYPART_ARC
(3,12),-1.14635 # DEPENDENCYPART_ARC
(3,13),-2.476 # DEPENDENCYPART_ARC
(3,14),-1.5266 # DEPENDENCYPART_ARC
(3,15),-3.64451 # DEPENDENCYPART_ARC
(3,16),-1.39222 # DEPENDENCYPART_ARC
(3,17),-1.49484 # DEPENDENCYPART_ARC
(3,18),-4.33977 # DEPENDENCYPART_ARC
(3,19),-1.19308 # DEPENDENCYPART_ARC
(4,1),-1.02046 # DEPENDENCYPART_ARC
(4,2),-2.37824 # DEPENDENCYPART_ARC
(4,3),0.443981 # DEPENDENCYPART_ARC
(4,5),2.35015 # DEPENDENCYPART_ARC
(4,6),-0.415812 # DEPENDENCYPART_ARC
(4,7),0.33542 # DEPENDENCYPART_ARC
(4,8),-0.0248187 # DEPENDENCYPART_ARC
(4,9),-0.230311 # DEPENDENCYPART_ARC
(4,10),-2.07868 # DEPENDENCYPART_ARC
(4,11),-1.38792 # DEPENDENCYPART_ARC
(4,12),-0.855647 # DEPENDENCYPART_ARC
(4,13),-1.36532 # DEPENDENCYPART_ARC
(4,14),-0.267186 # DEPENDENCYPART_ARC
(4,15),-1.02188 # DEPENDENCYPART_ARC
(4,16),-1.22193 # DEPENDENCYPART_ARC
(4,17),-1.1212 # DEPENDENCYPART_ARC
(4,18),-1.4674 # DEPENDENCYPART_ARC
(4,19),-2.28658 # DEPENDENCYPART_ARC
(5,9),-1.10831 # DEPENDENCYPART_ARC
(5,19),-1.71308 # DEPENDENCYPART_ARC
(6,1),0.888018 # DEPENDENCYPART_ARC
(6,2),0.424522 # DEPENDENCYPART_ARC
(6,3),0.698888 # DEPENDENCYPART_ARC
(6,4),-0.167135 # DEPENDENCYPART_ARC
(6,5),0.0375077 # DEPENDENCYPART_ARC
(6,7),2.84205 # DEPENDENCYPART_ARC
(6,8),0.946127 # DEPENDENCYPART_ARC
(6,9),1.06527 # DEPENDENCYPART_ARC
(6,10),-0.103893 # DEPENDENCYPART_ARC
(6,11),0.610926 # DEPENDENCYPART_ARC
(6,12),0.484032 # DEPENDENCYPART_ARC
(6,13),-0.692883 # DEPENDENCYPART_ARC
(6,14),-0.783159 # DEPENDENCYPART_ARC
(6,15),-0.935582 # DEPENDENCYPART_ARC
(6,16),-0.735531 # DEPENDENCYPART_ARC
(6,17),-0.825579 # DEPENDENCYPART_ARC
(6,18),-1.08813 # DEPENDENCYPART_ARC
(6,19),-1.18571 # DEPENDENCYPART_ARC
(7,1),-1.40046 # DEPENDENCYPART_ARC
(7,2),-3.00548 # DEPENDENCYPART_ARC
(7,3),-0.460619 # DEPENDENCYPART_ARC
(7,4),-0.725844 # DEPENDENCYPART_ARC
(7,5),-0.898086 # DEPENDENCYPART_ARC
(7,6),-0.537821 # DEPENDENCYPART_ARC
(7,8),3.31993 # DEPENDENCYPART_ARC
(7,9),0.609665 # DEPENDENCYPART_ARC
(7,10),-1.38188 # DEPENDENCYPART_ARC
(7,11),0.420851 # DEPENDENCYPART_ARC
(7,12),-0.318689 # DEPENDENCYPART_ARC
(7,13),-0.548981 # DEPENDENCYPART_ARC
(7,14),0.0919666 # DEPENDENCYPART_ARC
(7,15),-0.591388 # DEPENDENCYPART_ARC
(7,16),-1.41673 # DEPENDENCYPART_ARC
(7,17),-0.415238 # DEPENDENCYPART_ARC
(7,18),-1.09437 # DEPENDENCYPART_ARC
(7,19),-1.80425 # DEPENDENCYPART_ARC
(8,1),-1.16131 # DEPENDENCYPART_ARC
(8,2),-2.55534 # DEPENDENCYPART_ARC
(8,3),-0.472133 # DEPENDENCYPART_ARC
(8,4),-1.4914 # DEPENDENCYPART_ARC
(8,5),-0.756514 # DEPENDENCYPART_ARC
(8,6),-0.936914 # DEPENDENCYPART_ARC
(8,7),0.7571 # DEPENDENCYPART_ARC
(8,9),1.94355 # DEPENDENCYPART_ARC
(8,10),-1.34522 # DEPENDENCYPART_ARC
