# _root_ Controcorrente Odali , 25 anni un' appariscente cubana coperta solo da una minituta aderente : " Sono tutti nervosi , vanno sempre di corsa .
#goldHeads=2,0,2,5,2,8,8,2,8,11,9,13,11,13,14,17,0,19,17,19,17,21,21,23,24,
#predictedHeads=2,17,2,5,2,8,8,2,8,11,9,13,11,13,14,17,0,17,17,19,17,21,21,23,24,
(0,1),-0.767138 # DEPENDENCYPART_ARC
(0,2),-0.553473 # DEPENDENCYPART_ARC
(0,3),-0.392214 # DEPENDENCYPART_ARC
(0,4),-0.974742 # DEPENDENCYPART_ARC
(0,5),-0.690289 # DEPENDENCYPART_ARC
(0,7),-0.928675 # DEPENDENCYPART_ARC
(0,8),-0.532733 # DEPENDENCYPART_ARC
(0,9),0.359823 # DEPENDENCYPART_ARC
(0,10),-1.13977 # DEPENDENCYPART_ARC
(0,11),-2.00699 # DEPENDENCYPART_ARC
(0,13),-0.355847 # DEPENDENCYPART_ARC
(0,14),-1.00689 # DEPENDENCYPART_ARC
(0,15),-1.03009 # DEPENDENCYPART_ARC
(0,16),-1.12925 # DEPENDENCYPART_ARC
(0,17),1.52047 # DEPENDENCYPART_ARC
(0,18),-1.10755 # DEPENDENCYPART_ARC
(0,19),-1.7672 # DEPENDENCYPART_ARC
(0,20),-1.03436 # DEPENDENCYPART_ARC
(0,21),0.844294 # DEPENDENCYPART_ARC
(0,22),-2.20399 # DEPENDENCYPART_ARC
(0,23),-2.39212 # DEPENDENCYPART_ARC
(0,24),-1.35986 # DEPENDENCYPART_ARC
(0,25),-1.7429 # DEPENDENCYPART_ARC
(1,2),0.562495 # DEPENDENCYPART_ARC
(1,3),0.503696 # DEPENDENCYPART_ARC
(1,4),-0.583626 # DEPENDENCYPART_ARC
(1,5),-0.813137 # DEPENDENCYPART_ARC
(1,6),-0.87894 # DEPENDENCYPART_ARC
(1,7),-1.13069 # DEPENDENCYPART_ARC
(1,8),-1.26295 # DEPENDENCYPART_ARC
(1,9),-0.902962 # DEPENDENCYPART_ARC
(1,10),-1.38826 # DEPENDENCYPART_ARC
(1,11),-1.24075 # DEPENDENCYPART_ARC
(1,12),-1.2999 # DEPENDENCYPART_ARC
(1,13),-1.95271 # DEPENDENCYPART_ARC
(1,14),-1.61045 # DEPENDENCYPART_ARC
(1,15),-1.28038 # DEPENDENCYPART_ARC
(1,16),-1.95765 # DEPENDENCYPART_ARC
(1,17),-1.63274 # DEPENDENCYPART_ARC
(1,18),-1.70863 # DEPENDENCYPART_ARC
(1,19),-1.79985 # DEPENDENCYPART_ARC
(1,20),-1.63464 # DEPENDENCYPART_ARC
(1,21),-2.08409 # DEPENDENCYPART_ARC
