# _root_ ROMA ­ I corazzieri , formalmente chiamati Comando carabinieri guardie del presidente , sono stati creati nel 1868 .
#goldHeads=0,1,4,16,4,7,4,7,8,9,10,11,12,15,16,0,16,17,18,
#predictedHeads=0,1,4,16,4,7,4,7,7,9,10,11,12,15,16,0,16,17,18,
(0,1),1.3383 # DEPENDENCYPART_ARC
(0,2),-0.286167 # DEPENDENCYPART_ARC
(0,3),-0.628908 # DEPENDENCYPART_ARC
(0,4),0.577105 # DEPENDENCYPART_ARC
(0,5),-0.371994 # DEPENDENCYPART_ARC
(0,6),-0.355741 # DEPENDENCYPART_ARC
(0,7),0.499172 # DEPENDENCYPART_ARC
(0,8),0.621742 # DEPENDENCYPART_ARC
(0,9),0.802153 # DEPENDENCYPART_ARC
(0,10),0.940313 # DEPENDENCYPART_ARC
(0,11),-1.08081 # DEPENDENCYPART_ARC
(0,12),0.640767 # DEPENDENCYPART_ARC
(0,13),-0.459318 # DEPENDENCYPART_ARC
(0,14),1.65199 # DEPENDENCYPART_ARC
(0,15),0.648215 # DEPENDENCYPART_ARC
(0,16),0.95935 # DEPENDENCYPART_ARC
(0,17),-1.55311 # DEPENDENCYPART_ARC
(0,18),-1.23148 # DEPENDENCYPART_ARC
(0,19),-1.12956 # DEPENDENCYPART_ARC
(1,2),1.92348 # DEPENDENCYPART_ARC
(1,3),-0.14174 # DEPENDENCYPART_ARC
(1,4),0.447615 # DEPENDENCYPART_ARC
(1,5),0.904877 # DEPENDENCYPART_ARC
(1,6),-0.243564 # DEPENDENCYPART_ARC
(1,7),1.14402 # DEPENDENCYPART_ARC
(1,8),-0.296328 # DEPENDENCYPART_ARC
(1,9),-0.721714 # DEPENDENCYPART_ARC
(1,10),-0.695417 # DEPENDENCYPART_ARC
(1,11),-0.64719 # DEPENDENCYPART_ARC
(1,12),-0.197629 # DEPENDENCYPART_ARC
(1,13),0.27903 # DEPENDENCYPART_ARC
(1,14),-1.17441 # DEPENDENCYPART_ARC
(1,15),-1.42068 # DEPENDENCYPART_ARC
(1,16),-1.78106 # DEPENDENCYPART_ARC
(1,17),-1.51709 # DEPENDENCYPART_ARC
(1,18),-1.40962 # DEPENDENCYPART_ARC
(1,19),-3.1763 # DEPENDENCYPART_ARC
(2,1),-0.310058 # DEPENDENCYPART_ARC
(2,3),-0.152765 # DEPENDENCYPART_ARC
(2,4),-0.689634 # DEPENDENCYPART_ARC
(2,5),-0.00896947 # DEPENDENCYPART_ARC
(2,6),-1.40848 # DEPENDENCYPART_ARC
(2,7),-1.10538 # DEPENDENCYPART_ARC
(2,8),-1.6333 # DEPENDENCYPART_ARC
(2,9),-1.68244 # DEPENDENCYPART_ARC
(2,10),-1.74073 # DEPENDENCYPART_ARC
(2,11),-1.79453 # DEPENDENCYPART_ARC
(2,12),-1.75521 # DEPENDENCYPART_ARC
(2,13),-0.675042 # DEPENDENCYPART_ARC
(2,14),-1.6893 # DEPENDENCYPART_ARC
(2,15),-1.76217 # DEPENDENCYPART_ARC
(2,16),-1.80421 # DEPENDENCYPART_ARC
(2,17),-2.08808 # DEPENDENCYPART_ARC
(2,18),-1.74347 # DEPENDENCYPART_ARC
(2,19),-1.0961 # DEPENDENCYPART_ARC
(3,1),-2.04574 # DEPENDENCYPART_ARC
(3,2),0.346877 # DEPENDENCYPART_ARC
(3,4),0.759888 # DEPENDENCYPART_ARC
(3,5),-0.442469 # DEPENDENCYPART_ARC
(3,6),-0.923331 # DEPENDENCYPART_ARC
(3,7),-0.456479 # DEPENDENCYPART_ARC
(3,8),-1.45112 # DEPENDENCYPART_ARC
(3,9),-1.20382 # DEPENDENCYPART_ARC
(3,10),-1.35905 # DEPENDENCYPART_ARC
(3,11),-1.39953 # DEPENDENCYPART_ARC
(3,12),-1.65955 # DEPENDENCYPART_ARC
(3,13),-1.22142 # DEPENDENCYPART_ARC
(3,14),-1.51607 # DEPENDENCYPART_ARC
(3,15),-1.24737 # DEPENDENCYPART_ARC
(3,16),-1.3774 # DEPENDENCYPART_ARC
(3,17),-1.72214 # DEPENDENCYPART_ARC
(3,18),-1.3701 # DEPENDENCYPART_ARC
(3,19),-1.50609 # DEPENDENCYPART_ARC
(4,1),-0.788583 # DEPENDENCYPART_ARC
(4,2),-0.487894 # DEPENDENCYPART_ARC
(4,3),4.15367 # DEPENDENCYPART_ARC
(4,5),2.24082 # DEPENDENCYPART_ARC
(4,6),0.370356 # DEPENDENCYPART_ARC
(4,7),2.67131 # DEPENDENCYPART_ARC
(4,8),0.00222229 # DEPENDENCYPART_ARC
(4,9),0.649065 # DEPENDENCYPART_ARC
(4,10),0.80665 # DEPENDENCYPART_ARC
(4,11),0.155924 # DEPENDENCYPART_ARC
(4,12),0.136606 # DEPENDENCYPART_ARC
(4,13),0.565058 # DEPENDENCYPART_ARC
(4,14),-0.806584 # DEPENDENCYPART_ARC
(4,15),-0.263823 # DEPENDENCYPART_ARC
(4,16),-0.489087 # DEPENDENCYPART_ARC
(4,17),-0.948909 # DEPENDENCYPART_ARC
(4,18),-1.03431 # DEPENDENCYPART_ARC
(4,19),-2.57419 # DEPENDENCYPART_ARC
(5,1),-2.29353 # DEPENDENCYPART_ARC
(5,2),-1.54872 # DEPENDENCYPART_ARC
(5,3),-0.882321 # DEPENDENCYPART_ARC
(5,4),-0.919271 # DEPENDENCYPART_ARC
(5,6),-0.939917 # DEPENDENCYPART_ARC
(5,7),-1.29572 # DEPENDENCYPART_ARC
(5,8),-1.89585 # DEPENDENCYPART_ARC
(5,9),-2.06328 # DEPENDENCYPART_ARC
(5,10),-2.17539 # DEPENDENCYPART_ARC
(5,11),-2.31477 # DEPENDENCYPART_ARC
(5,12),-2.34318 # DEPENDENCYPART_ARC
(5,13),-1.1141 # DEPENDENCYPART_ARC
(5,14),-2.16981 # DEPENDENCYPART_ARC
(5,15),-2.17862 # DEPENDENCYPART_ARC
(5,16),-2.41004 # DEPENDENCYPART_ARC
(5,17),-2.6347 # DEPENDENCYPART_ARC
(5,18),-2.37675 # DEPENDENCYPART_ARC
(5,19),-1.60064 # DEPENDENCYPART_ARC
(6,1),-2.23552 # DEPENDENCYPART_ARC
(6,2),-1.24811 # DEPENDENCYPART_ARC
(6,3),-0.591663 # DEPENDENCYPART_ARC
(6,4),-1.53136 # DEPENDENCYPART_ARC
(6,5),0.292475 # DEPENDENCYPART_ARC
(6,7),0.92023 # DEPENDENCYPART_ARC
(6,8),0.0336427 # DEPENDENCYPART_ARC
(6,9),-0.469917 # DEPENDENCYPART_ARC
(6,10),-0.737728 # DEPENDENCYPART_ARC
(6,11),-0.701628 # DEPENDENCYPART_ARC
(6,12),-1.06708 # DEPENDENCYPART_ARC
(6,13),-0.389178 # DEPENDENCYPART_ARC
(6,14),-0.905383 # DEPENDENCYPART_ARC
(6,15),-0.858982 # DEPENDENCYPART_ARC
(6,16),-0.986966 # DEPENDENCYPART_ARC
(6,17),-1.23038 # DEPENDENCYPART_ARC
(6,18),-1.27646 # DEPENDENCYPART_ARC
(6,19),-1.4546 # DEPENDENCYPART_ARC
(7,1),-1.25422 # DEPENDENCYPART_ARC
(7,2),-1.51796 # DEPENDENCYPART_ARC
(7,3),0.621701 # DEPENDENCYPART_ARC
(7,4),0.692204 # DEPENDENCYPART_ARC
(7,5),-0.763081 # DEPENDENCYPART_ARC
(7,6),2.67317 # DEPENDENCYPART_ARC
(7,8),1.84236 # DEPENDENCYPART_ARC
(7,9),1.45334 # DEPENDENCYPART_ARC
(7,10),0.382488 # DEPENDENCYPART_ARC
(7,11),-0.315342 # DEPENDENCYPART_ARC
(7,12),-0.976757 # DEPENDENCYPART_ARC
(7,13),0.586232 # DEPENDENCYPART_ARC
(7,14),-0.29279 # DEPENDENCYPART_ARC
(7,15),0.603204 # DEPENDENCYPART_ARC
(7,16),0.16148 # DEPENDENCYPART_ARC
(7,17),-0.158047 # DEPENDENCYPART_ARC
(7,18),-1.16959 # DEPENDENCYPART_ARC
(7,19),-1.46572 # DEPENDENCYPART_ARC
(8,1),-2.41488 # DEPENDENCYPART_ARC
(8,2),-2.01011 # DEPENDENCYPART_ARC
(8,3),0.445157 # DEPENDENCYPART_ARC
(8,4),-1.66395 # DEPENDENCYPART_ARC
(8,5),-1.45668 # DEPENDENCYPART_ARC
(8,6),0.363999 # DEPENDENCYPART_ARC
(8,7),1.55674 # DEPENDENCYPART_ARC
(8,9),1.30839 # DEPENDENCYPART_ARC
(8,10),0.784917 # DEPENDENCYPART_ARC
(8,11),0.961651 # DEPENDENCYPART_ARC
(8,12),0.770814 # DEPENDENCYPART_ARC
(8,13),0.196531 # DEPENDENCYPART_ARC
(8,14),-0.6735 # DEPENDENCYPART_ARC
(8,15),-0.959297 # DEPENDENCYPART_ARC
(8,16),-1.23022 # DEPENDENCYPART_ARC
(8,17),-0.990296 # DEPENDENCYPART_ARC
(8,18),-1.10208 # DEPENDENCYPART_ARC
(8,19),-2.22784 # DEPENDENCYPART_ARC
(9,1),-1.97202 # DEPENDENCYPART_ARC
(9,2),-1.95355 # DEPENDENCYPART_ARC
(9,3),0.290573 # DEPENDENCYPART_ARC
(9,4),-0.809788 # DEPENDENCYPART_ARC
(9,5),-1.72269 # DEPENDENCYPART_ARC
(9,6),-0.0332741 # DEPENDENCYPART_ARC
(9,7),1.28892 # DEPENDENCYPART_ARC
(9,8),1.28211 # DEPENDENCYPART_ARC
(9,10),2.75222 # DEPENDENCYPART_ARC
(9,11),0.93973 # DEPENDENCYPART_ARC
(9,12),0.956557 # DEPENDENCYPART_ARC
(9,13),0.154863 # DEPENDENCYPART_ARC
(9,14),-0.263293 # DEPENDENCYPART_ARC
(9,15),0.213998 # DEPENDENCYPART_ARC
(9,16),-0.0757178 # DEPENDENCYPART_ARC
(9,17),-1.05666 # DEPENDENCYPART_ARC
(9,18),-0.974573 # DEPENDENCYPART_ARC
(9,19),-1.88759 # DEPENDENCYPART_ARC
(10,1),-1.79589 # DEPENDENCYPART_ARC
(10,2),-1.95764 # DEPENDENCYPART_ARC
(10,3),-0.612008 # DEPENDENCYPART_ARC
(10,4),-1.31224 # DEPENDENCYPART_ARC
(10,5),-1.73471 # DEPENDENCYPART_ARC
(10,6),0.0446232 # DEPENDENCYPART_ARC
(10,7),0.213483 # DEPENDENCYPART_ARC
(10,8),0.173617 # DEPENDENCYPART_ARC
(10,9),1.48528 # DEPENDENCYPART_ARC
(10,11),1.92443 # DEPENDENCYPART_ARC
(10,12),1.04137 # DEPENDENCYPART_ARC
(10,13),0.465532 # DEPENDENCYPART_ARC
(10,14),0.0164754 # DEPENDENCYPART_ARC
(10,15),-0.17525 # DEPENDENCYPART_ARC
(10,16),-0.419797 # DEPENDENCYPART_ARC
(10,17),-0.800196 # DEPENDENCYPART_ARC
(10,18),-0.856215 # DEPENDENCYPART_ARC
(10,19),-1.53484 # DEPENDENCYPART_ARC
(11,1),-2.92548 # DEPENDENCYPART_ARC
(11,2),-2.00966 # DEPENDENCYPART_ARC
(11,3),-1.63677 # DEPENDENCYPART_ARC
(11,4),-2.52238 # DEPENDENCYPART_ARC
(11,5),-2.03794 # DEPENDENCYPART_ARC
(11,6),-1.10945 # DEPENDENCYPART_ARC
(11,7),-2.70091 # DEPENDENCYPART_ARC
(11,8),-1.79899 # DEPENDENCYPART_ARC
(11,9),-1.6189 # DEPENDENCYPART_ARC
(11,10),-1.15569 # DEPENDENCYPART_ARC
(11,12),4.14842 # DEPENDENCYPART_ARC
(11,13),0.271158 # DEPENDENCYPART_ARC
(11,14),-1.29625 # DEPENDENCYPART_ARC
(11,15),-1.06665 # DEPENDENCYPART_ARC
(11,16),-1.64479 # DEPENDENCYPART_ARC
(11,17),-1.1944 # DEPENDENCYPART_ARC
(11,18),-0.962856 # DEPENDENCYPART_ARC
(11,19),-1.03192 # DEPENDENCYPART_ARC
(12,1),-3.63665 # DEPENDENCYPART_ARC
(12,2),-3.15043 # DEPENDENCYPART_ARC
(12,3),-2.03938 # DEPENDENCYPART_ARC
(12,4),-3.14292 # DEPENDENCYPART_ARC
(12,5),-3.18877 # DEPENDENCYPART_ARC
(12,6),-1.62467 # DEPENDENCYPART_ARC
(12,7),-1.40536 # DEPENDENCYPART_ARC
(12,8),-1.70425 # DEPENDENCYPART_ARC
(12,9),-1.28792 # DEPENDENCYPART_ARC
(12,10),-1.79006 # DEPENDENCYPART_ARC
(12,11),0.674474 # DEPENDENCYPART_ARC
(12,13),2.66659 # DEPENDENCYPART_ARC
(12,14),-0.193364 # DEPENDENCYPART_ARC
(12,15),-0.339906 # DEPENDENCYPART_ARC
(12,16),-0.736225 # DEPENDENCYPART_ARC
(12,17),-0.717678 # DEPENDENCYPART_ARC
(12,18),-0.404208 # DEPENDENCYPART_ARC
(12,19),-0.744974 # DEPENDENCYPART_ARC
(13,1),-2.97743 # DEPENDENCYPART_ARC
(13,2),-2.65354 # DEPENDENCYPART_ARC
(13,3),-2.41076 # DEPENDENCYPART_ARC
(13,4),-2.91991 # DEPENDENCYPART_ARC
(13,5),-2.52394 # DEPENDENCYPART_ARC
(13,6),-2.48435 # DEPENDENCYPART_ARC
(13,7),-2.98249 # DEPENDENCYPART_ARC
(13,8),-2.52389 # DEPENDENCYPART_ARC
(13,9),-2.4097 # DEPENDENCYPART_ARC
(13,10),-2.07041 # DEPENDENCYPART_ARC
(13,11),-1.32824 # DEPENDENCYPART_ARC
(13,12),-1.0476 # DEPENDENCYPART_ARC
(13,14),-1.47788 # DEPENDENCYPART_ARC
(13,15),-2.39841 # DEPENDENCYPART_ARC
(13,16),-2.66114 # DEPENDENCYPART_ARC
(13,17),-3.17594 # DEPENDENCYPART_ARC
(13,18),-3.01015 # DEPENDENCYPART_ARC
(13,19),-2.15858 # DEPENDENCYPART_ARC
(14,1),-1.50868 # DEPENDENCYPART_ARC
(14,2),-3.00843 # DEPENDENCYPART_ARC
(14,3),-1.78093 # DEPENDENCYPART_ARC
(14,4),-0.0458505 # DEPENDENCYPART_ARC
(14,5),-3.00848 # DEPENDENCYPART_ARC
(14,6),-0.597366 # DEPENDENCYPART_ARC
(14,7),-1.95674 # DEPENDENCYPART_ARC
(14,8),-1.08958 # DEPENDENCYPART_ARC
(14,9),0.0674696 # DEPENDENCYPART_ARC
(14,10),0.0968664 # DEPENDENCYPART_ARC
(14,11),-1.76506 # DEPENDENCYPART_ARC
(14,12),-1.14352 # DEPENDENCYPART_ARC
(14,13),-0.1826 # DEPENDENCYPART_ARC
(14,15),1.00993 # DEPENDENCYPART_ARC
