# _root_ Per questo , altre volte sono tristi , perché si rendono conto che la vita è stata avara con loro .
#goldHeads=6,1,2,5,6,0,6,7,6,11,9,11,12,15,17,17,13,17,17,19,20,
#predictedHeads=6,1,2,5,6,0,6,6,6,11,9,11,11,15,17,17,13,17,17,19,20,
(0,1),-1.16007 # DEPENDENCYPART_ARC
(0,2),-0.795589 # DEPENDENCYPART_ARC
(0,3),-0.343086 # DEPENDENCYPART_ARC
(0,4),-0.799555 # DEPENDENCYPART_ARC
(0,5),-0.771002 # DEPENDENCYPART_ARC
(0,6),1.27045 # DEPENDENCYPART_ARC
(0,7),-1.01146 # DEPENDENCYPART_ARC
(0,8),-0.667069 # DEPENDENCYPART_ARC
(0,9),-0.920264 # DEPENDENCYPART_ARC
(0,10),-1.34138 # DEPENDENCYPART_ARC
(0,11),0.720469 # DEPENDENCYPART_ARC
(0,12),-0.561025 # DEPENDENCYPART_ARC
(0,13),-0.632124 # DEPENDENCYPART_ARC
(0,14),-1.57463 # DEPENDENCYPART_ARC
(0,15),-1.06151 # DEPENDENCYPART_ARC
(0,16),0.18032 # DEPENDENCYPART_ARC
(0,17),0.473505 # DEPENDENCYPART_ARC
(0,18),-0.70625 # DEPENDENCYPART_ARC
(0,19),-3.12726 # DEPENDENCYPART_ARC
(0,20),-1.87208 # DEPENDENCYPART_ARC
(0,21),-1.48127 # DEPENDENCYPART_ARC
(1,2),3.31656 # DEPENDENCYPART_ARC
(1,3),0.405862 # DEPENDENCYPART_ARC
(1,4),0.159598 # DEPENDENCYPART_ARC
(1,5),0.789153 # DEPENDENCYPART_ARC
(1,6),-0.305546 # DEPENDENCYPART_ARC
(1,7),-0.30638 # DEPENDENCYPART_ARC
(1,8),0.106149 # DEPENDENCYPART_ARC
(1,9),-0.572746 # DEPENDENCYPART_ARC
(1,10),-0.249642 # DEPENDENCYPART_ARC
(1,11),-1.18133 # DEPENDENCYPART_ARC
(1,12),-2.47258 # DEPENDENCYPART_ARC
(1,13),-1.64645 # DEPENDENCYPART_ARC
(1,14),-1.07448 # DEPENDENCYPART_ARC
(1,15),-3.6675 # DEPENDENCYPART_ARC
(1,16),-2.75817 # DEPENDENCYPART_ARC
(1,17),-2.26617 # DEPENDENCYPART_ARC
(1,18),-0.880443 # DEPENDENCYPART_ARC
(1,19),-1.70465 # DEPENDENCYPART_ARC
(1,20),-1.04441 # DEPENDENCYPART_ARC
(1,21),-1.6686 # DEPENDENCYPART_ARC
(2,1),0.39607 # DEPENDENCYPART_ARC
(2,3),1.62897 # DEPENDENCYPART_ARC
(2,4),-0.13661 # DEPENDENCYPART_ARC
(2,5),-0.0198347 # DEPENDENCYPART_ARC
(2,6),-0.0431642 # DEPENDENCYPART_ARC
(2,7),-0.980524 # DEPENDENCYPART_ARC
(2,8),-0.404787 # DEPENDENCYPART_ARC
(2,9),-0.410148 # DEPENDENCYPART_ARC
(2,10),-1.98799 # DEPENDENCYPART_ARC
(2,11),-1.27427 # DEPENDENCYPART_ARC
(2,12),-0.487706 # DEPENDENCYPART_ARC
(2,13),-0.586281 # DEPENDENCYPART_ARC
(2,14),-1.57756 # DEPENDENCYPART_ARC
(2,15),-0.543609 # DEPENDENCYPART_ARC
(2,16),-1.24227 # DEPENDENCYPART_ARC
(2,17),-1.44182 # DEPENDENCYPART_ARC
(2,18),-1.12634 # DEPENDENCYPART_ARC
(2,19),-2.02773 # DEPENDENCYPART_ARC
(2,20),-1.84181 # DEPENDENCYPART_ARC
(2,21),-1.18738 # DEPENDENCYPART_ARC
(3,1),-0.902241 # DEPENDENCYPART_ARC
(3,2),-0.195253 # DEPENDENCYPART_ARC
(3,4),-0.42914 # DEPENDENCYPART_ARC
(3,5),-1.17858 # DEPENDENCYPART_ARC
(3,6),-1.36273 # DEPENDENCYPART_ARC
(3,7),-2.0358 # DEPENDENCYPART_ARC
(3,8),-1.1695 # DEPENDENCYPART_ARC
(3,9),-1.88118 # DEPENDENCYPART_ARC
(3,10),-2.22038 # DEPENDENCYPART_ARC
(3,11),-1.979 # DEPENDENCYPART_ARC
(3,12),-2.37727 # DEPENDENCYPART_ARC
(3,13),-2.05064 # DEPENDENCYPART_ARC
(3,14),-2.26665 # DEPENDENCYPART_ARC
(3,15),-2.43873 # DEPENDENCYPART_ARC
(3,16),-2.2834 # DEPENDENCYPART_ARC
(3,17),-2.31784 # DEPENDENCYPART_ARC
(3,18),-2.71646 # DEPENDENCYPART_ARC
(3,19),-2.54131 # DEPENDENCYPART_ARC
(3,20),-2.57396 # DEPENDENCYPART_ARC
(3,21),-1.61362 # DEPENDENCYPART_ARC
(4,1),-0.745385 # DEPENDENCYPART_ARC
(4,2),-0.963127 # DEPENDENCYPART_ARC
(4,3),0.362646 # DEPENDENCYPART_ARC
(4,5),0.34184 # DEPENDENCYPART_ARC
(4,6),-0.181425 # DEPENDENCYPART_ARC
(4,7),0.19636 # DEPENDENCYPART_ARC
(4,8),-0.665892 # DEPENDENCYPART_ARC
(4,9),-0.836198 # DEPENDENCYPART_ARC
(4,10),-1.23249 # DEPENDENCYPART_ARC
(4,11),-0.973743 # DEPENDENCYPART_ARC
(4,12),-1.49266 # DEPENDENCYPART_ARC
(4,13),-0.9608 # DEPENDENCYPART_ARC
(4,14),-1.3085 # DEPENDENCYPART_ARC
(4,15),-1.59618 # DEPENDENCYPART_ARC
(4,16),-1.64988 # DEPENDENCYPART_ARC
(4,17),-0.897144 # DEPENDENCYPART_ARC
(4,18),-1.09782 # DEPENDENCYPART_ARC
(4,19),-1.32798 # DEPENDENCYPART_ARC
(4,20),-1.39333 # DEPENDENCYPART_ARC
(4,21),-1.1225 # DEPENDENCYPART_ARC
(5,1),0.560985 # DEPENDENCYPART_ARC
(5,2),-0.0565919 # DEPENDENCYPART_ARC
(5,3),-0.405571 # DEPENDENCYPART_ARC
(5,4),4.36165 # DEPENDENCYPART_ARC
(5,6),0.122673 # DEPENDENCYPART_ARC
(5,7),0.277523 # DEPENDENCYPART_ARC
(5,8),-0.556307 # DEPENDENCYPART_ARC
(5,9),-0.750465 # DEPENDENCYPART_ARC
(5,10),-1.97671 # DEPENDENCYPART_ARC
(5,11),-1.43676 # DEPENDENCYPART_ARC
(5,12),-1.43478 # DEPENDENCYPART_ARC
(5,13),-1.35232 # DEPENDENCYPART_ARC
(5,14),-1.28697 # DEPENDENCYPART_ARC
(5,15),-1.21076 # DEPENDENCYPART_ARC
(5,16),-3.13266 # DEPENDENCYPART_ARC
(5,17),-3.05003 # DEPENDENCYPART_ARC
(5,18),-2.66859 # DEPENDENCYPART_ARC
(5,19),-1.62512 # DEPENDENCYPART_ARC
