# _root_ Le ricerche di Gabriella sono proseguite per tutta la mattinata , con elicotteri , posti di blocco e perquisizioni .
#goldHeads=2,6,2,3,6,0,6,10,10,7,10,6,12,12,12,15,16,12,12,19,
#predictedHeads=2,6,2,3,6,0,6,10,10,7,10,6,12,13,13,15,16,17,13,19,
(0,2),-0.569093 # DEPENDENCYPART_ARC
(0,3),-1.19144 # DEPENDENCYPART_ARC
(0,4),-0.404079 # DEPENDENCYPART_ARC
(0,5),1.07001 # DEPENDENCYPART_ARC
(0,6),1.07375 # DEPENDENCYPART_ARC
(0,7),-2.00551 # DEPENDENCYPART_ARC
(0,10),-0.781192 # DEPENDENCYPART_ARC
(0,11),-0.691576 # DEPENDENCYPART_ARC
(0,12),-2.11689 # DEPENDENCYPART_ARC
(0,13),-0.647153 # DEPENDENCYPART_ARC
(0,14),-0.639867 # DEPENDENCYPART_ARC
(0,15),-0.0176691 # DEPENDENCYPART_ARC
(0,16),-2.23761 # DEPENDENCYPART_ARC
(0,17),-0.755915 # DEPENDENCYPART_ARC
(0,18),-1.81334 # DEPENDENCYPART_ARC
(0,19),-0.921131 # DEPENDENCYPART_ARC
(0,20),-1.27342 # DEPENDENCYPART_ARC
(1,2),0.908727 # DEPENDENCYPART_ARC
(1,3),-0.226721 # DEPENDENCYPART_ARC
(1,5),-0.529144 # DEPENDENCYPART_ARC
(1,6),-0.359203 # DEPENDENCYPART_ARC
(1,7),-1.07687 # DEPENDENCYPART_ARC
(1,10),-1.58717 # DEPENDENCYPART_ARC
(1,11),-1.04004 # DEPENDENCYPART_ARC
(1,12),-1.44519 # DEPENDENCYPART_ARC
(1,13),-1.515 # DEPENDENCYPART_ARC
(1,14),-1.2308 # DEPENDENCYPART_ARC
(1,15),-1.61157 # DEPENDENCYPART_ARC
(1,16),-1.63633 # DEPENDENCYPART_ARC
(1,17),-2.13773 # DEPENDENCYPART_ARC
(1,19),-1.57048 # DEPENDENCYPART_ARC
(1,20),-1.67336 # DEPENDENCYPART_ARC
(2,1),3.81208 # DEPENDENCYPART_ARC
(2,3),2.85224 # DEPENDENCYPART_ARC
(2,4),1.22397 # DEPENDENCYPART_ARC
(2,5),0.603619 # DEPENDENCYPART_ARC
(2,6),1.42243 # DEPENDENCYPART_ARC
(2,7),0.0957122 # DEPENDENCYPART_ARC
(2,8),0.360258 # DEPENDENCYPART_ARC
(2,9),-0.169615 # DEPENDENCYPART_ARC
(2,10),-0.196865 # DEPENDENCYPART_ARC
(2,11),0.0197013 # DEPENDENCYPART_ARC
(2,12),-0.158892 # DEPENDENCYPART_ARC
(2,13),-0.20301 # DEPENDENCYPART_ARC
(2,14),0.0742581 # DEPENDENCYPART_ARC
(2,15),0.0637673 # DEPENDENCYPART_ARC
(2,16),-0.555256 # DEPENDENCYPART_ARC
(2,17),-0.81997 # DEPENDENCYPART_ARC
(2,18),0.180692 # DEPENDENCYPART_ARC
(2,19),0.311926 # DEPENDENCYPART_ARC
(2,20),-3.01397 # DEPENDENCYPART_ARC
(3,1),-0.814028 # DEPENDENCYPART_ARC
(3,2),-0.660492 # DEPENDENCYPART_ARC
(3,4),4.20229 # DEPENDENCYPART_ARC
(3,5),0.625155 # DEPENDENCYPART_ARC
(3,6),-0.0287219 # DEPENDENCYPART_ARC
(3,7),-1.22177 # DEPENDENCYPART_ARC
(3,8),-1.1915 # DEPENDENCYPART_ARC
(3,9),-1.27654 # DEPENDENCYPART_ARC
(3,10),-1.47973 # DEPENDENCYPART_ARC
(3,11),-0.0507052 # DEPENDENCYPART_ARC
(3,12),-1.47741 # DEPENDENCYPART_ARC
(3,13),-1.77037 # DEPENDENCYPART_ARC
(3,14),-0.492519 # DEPENDENCYPART_ARC
(3,15),-3.90812 # DEPENDENCYPART_ARC
(3,16),-1.26191 # DEPENDENCYPART_ARC
(3,17),-4.16246 # DEPENDENCYPART_ARC
(3,18),-1.00476 # DEPENDENCYPART_ARC
(3,19),-5.2613 # DEPENDENCYPART_ARC
(3,20),-1.92298 # DEPENDENCYPART_ARC
(4,1),0.137238 # DEPENDENCYPART_ARC
(4,2),-1.96263 # DEPENDENCYPART_ARC
(4,3),0.673192 # DEPENDENCYPART_ARC
(4,5),-0.633578 # DEPENDENCYPART_ARC
(4,6),-0.881912 # DEPENDENCYPART_ARC
(4,7),-1.11791 # DEPENDENCYPART_ARC
(4,8),-1.29073 # DEPENDENCYPART_ARC
(4,9),-1.67835 # DEPENDENCYPART_ARC
(4,10),-1.86828 # DEPENDENCYPART_ARC
(4,11),-1.14518 # DEPENDENCYPART_ARC
(4,12),-1.2723 # DEPENDENCYPART_ARC
(4,13),-1.92786 # DEPENDENCYPART_ARC
(4,14),-1.05854 # DEPENDENCYPART_ARC
(4,15),-2.17669 # DEPENDENCYPART_ARC
(4,16),-1.7579 # DEPENDENCYPART_ARC
(4,17),-2.06881 # DEPENDENCYPART_ARC
(4,18),-0.955223 # DEPENDENCYPART_ARC
(4,19),-1.68033 # DEPENDENCYPART_ARC
(4,20),-3.97342 # DEPENDENCYPART_ARC
(5,1),-0.205875 # DEPENDENCYPART_ARC
(5,2),1.50764 # DEPENDENCYPART_ARC
(5,3),-0.19104 # DEPENDENCYPART_ARC
(5,4),0.421509 # DEPENDENCYPART_ARC
(5,6),2.00153 # DEPENDENCYPART_ARC
(5,7),1.24687 # DEPENDENCYPART_ARC
(5,8),-0.271858 # DEPENDENCYPART_ARC
(5,9),-1.99588 # DEPENDENCYPART_ARC
(5,10),0.217157 # DEPENDENCYPART_ARC
(5,11),0.649736 # DEPENDENCYPART_ARC
(5,12),-0.364737 # DEPENDENCYPART_ARC
(5,13),-0.912058 # DEPENDENCYPART_ARC
(5,14),0.353845 # DEPENDENCYPART_ARC
(5,15),-1.28724 # DEPENDENCYPART_ARC
(5,16),-1.73186 # DEPENDENCYPART_ARC
(5,17),-2.19935 # DEPENDENCYPART_ARC
(5,18),-0.6949 # DEPENDENCYPART_ARC
(5,19),-1.87951 # DEPENDENCYPART_ARC
(5,20),-1.81182 # DEPENDENCYPART_ARC
(6,1),-0.132714 # DEPENDENCYPART_ARC
(6,2),1.75235 # DEPENDENCYPART_ARC
(6,3),0.647887 # DEPENDENCYPART_ARC
(6,4),0.981632 # DEPENDENCYPART_ARC
(6,5),4.22459 # DEPENDENCYPART_ARC
(6,7),2.92717 # DEPENDENCYPART_ARC
(6,8),0.502049 # DEPENDENCYPART_ARC
(6,9),-1.17203 # DEPENDENCYPART_ARC
(6,10),0.667979 # DEPENDENCYPART_ARC
(6,11),0.201524 # DEPENDENCYPART_ARC
(6,12),0.910945 # DEPENDENCYPART_ARC
(6,13),-0.894225 # DEPENDENCYPART_ARC
(6,14),-0.00364786 # DEPENDENCYPART_ARC
(6,15),-0.987281 # DEPENDENCYPART_ARC
(6,16),-0.332707 # DEPENDENCYPART_ARC
(6,17),-2.20889 # DEPENDENCYPART_ARC
(6,18),0.455651 # DEPENDENCYPART_ARC
(6,19),-1.3394 # DEPENDENCYPART_ARC
(6,20),-1.58924 # DEPENDENCYPART_ARC
(7,1),-1.72894 # DEPENDENCYPART_ARC
(7,2),-1.92935 # DEPENDENCYPART_ARC
(7,3),-0.986074 # DEPENDENCYPART_ARC
(7,4),-1.39296 # DEPENDENCYPART_ARC
(7,5),-1.25143 # DEPENDENCYPART_ARC
(7,6),-0.335587 # DEPENDENCYPART_ARC
(7,8),1.19257 # DEPENDENCYPART_ARC
(7,9),0.587383 # DEPENDENCYPART_ARC
(7,10),2.10918 # DEPENDENCYPART_ARC
(7,11),0.988892 # DEPENDENCYPART_ARC
(7,12),0.0964786 # DEPENDENCYPART_ARC
(7,13),0.903734 # DEPENDENCYPART_ARC
(7,14),0.821919 # DEPENDENCYPART_ARC
(7,15),-0.712656 # DEPENDENCYPART_ARC
(7,16),-0.201511 # DEPENDENCYPART_ARC
(7,17),-1.31751 # DEPENDENCYPART_ARC
(7,18),0.511079 # DEPENDENCYPART_ARC
(7,19),-2.71597 # DEPENDENCYPART_ARC
(7,20),-0.494547 # DEPENDENCYPART_ARC
(8,1),-2.24544 # DEPENDENCYPART_ARC
(8,2),-3.09538 # DEPENDENCYPART_ARC
(8,5),-3.00527 # DEPENDENCYPART_ARC
(8,6),-2.32633 # DEPENDENCYPART_ARC
(8,9),0.71194 # DEPENDENCYPART_ARC
(8,10),0.32967 # DEPENDENCYPART_ARC
(8,11),0.154177 # DEPENDENCYPART_ARC
(8,13),-0.82627 # DEPENDENCYPART_ARC
(8,14),-0.126855 # DEPENDENCYPART_ARC
(8,15),-1.12103 # DEPENDENCYPART_ARC
(8,17),-0.812129 # DEPENDENCYPART_ARC
(8,19),-0.977452 # DEPENDENCYPART_ARC
(8,20),-0.421313 # DEPENDENCYPART_ARC
(9,2),-2.35875 # DEPENDENCYPART_ARC
(9,3),-1.69602 # DEPENDENCYPART_ARC
(9,5),-2.61706 # DEPENDENCYPART_ARC
(9,6),-2.00354 # DEPENDENCYPART_ARC
(9,7),-0.565501 # DEPENDENCYPART_ARC
(9,10),1.00079 # DEPENDENCYPART_ARC
(9,11),-0.249731 # DEPENDENCYPART_ARC
