# _root_ Medicus mundi , gruppo cattolico di Brescia , gestisce un ospedale psichiatrico .
#goldHeads=9,1,2,1,4,4,6,7,0,11,9,11,12,
#predictedHeads=2,9,2,2,4,4,6,7,0,11,9,11,12,
(0,1),0.688633 # DEPENDENCYPART_ARC
(0,2),0.151742 # DEPENDENCYPART_ARC
(0,3),-0.195252 # DEPENDENCYPART_ARC
(0,4),0.381799 # DEPENDENCYPART_ARC
(0,5),-0.597303 # DEPENDENCYPART_ARC
(0,6),-1.36315 # DEPENDENCYPART_ARC
(0,7),0.206176 # DEPENDENCYPART_ARC
(0,8),-0.263462 # DEPENDENCYPART_ARC
(0,9),1.82061 # DEPENDENCYPART_ARC
(0,11),0.0321221 # DEPENDENCYPART_ARC
(0,12),-0.882092 # DEPENDENCYPART_ARC
(0,13),-0.883134 # DEPENDENCYPART_ARC
(1,2),2.06584 # DEPENDENCYPART_ARC
(1,3),0.91763 # DEPENDENCYPART_ARC
(1,4),1.2062 # DEPENDENCYPART_ARC
(1,5),0.60256 # DEPENDENCYPART_ARC
(1,6),0.997036 # DEPENDENCYPART_ARC
(1,7),0.435983 # DEPENDENCYPART_ARC
(1,8),0.250048 # DEPENDENCYPART_ARC
(1,9),-0.0968673 # DEPENDENCYPART_ARC
(1,10),-0.647344 # DEPENDENCYPART_ARC
(1,11),-0.643279 # DEPENDENCYPART_ARC
(1,12),-0.697521 # DEPENDENCYPART_ARC
(1,13),-2.09749 # DEPENDENCYPART_ARC
(2,1),3.62793 # DEPENDENCYPART_ARC
(2,3),2.35335 # DEPENDENCYPART_ARC
(2,4),1.60278 # DEPENDENCYPART_ARC
(2,5),0.752956 # DEPENDENCYPART_ARC
(2,6),0.781567 # DEPENDENCYPART_ARC
(2,7),0.930318 # DEPENDENCYPART_ARC
(2,8),1.05667 # DEPENDENCYPART_ARC
(2,9),-0.136592 # DEPENDENCYPART_ARC
(2,10),-0.373036 # DEPENDENCYPART_ARC
(2,11),-0.090983 # DEPENDENCYPART_ARC
(2,12),-0.768016 # DEPENDENCYPART_ARC
(2,13),-1.44996 # DEPENDENCYPART_ARC
(3,8),-0.888211 # DEPENDENCYPART_ARC
(3,10),-1.45727 # DEPENDENCYPART_ARC
(3,13),-1.21491 # DEPENDENCYPART_ARC
(4,1),-1.55634 # DEPENDENCYPART_ARC
(4,2),-1.53292 # DEPENDENCYPART_ARC
(4,3),0.427127 # DEPENDENCYPART_ARC
(4,5),2.65737 # DEPENDENCYPART_ARC
(4,6),1.82441 # DEPENDENCYPART_ARC
(4,7),0.669479 # DEPENDENCYPART_ARC
(4,8),0.576602 # DEPENDENCYPART_ARC
(4,9),0.149821 # DEPENDENCYPART_ARC
(4,10),-0.527745 # DEPENDENCYPART_ARC
(4,11),-0.203606 # DEPENDENCYPART_ARC
(4,12),0.108631 # DEPENDENCYPART_ARC
(4,13),-1.12082 # DEPENDENCYPART_ARC
