# _root_ Tipica è la poltroncina da toilette , con schienale curvo e basso , per poter agevolmente sciogliere e spazzolare i lunghi capelli .
#goldHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,10,17,17,14,17,17,22,22,17,22,
#predictedHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,17,14,17,0,17,17,22,22,19,22,
(0,1),0.0406327 # DEPENDENCYPART_ARC
(0,2),1.54673 # DEPENDENCYPART_ARC
(0,3),-1.25228 # DEPENDENCYPART_ARC
(0,4),0.233833 # DEPENDENCYPART_ARC
(0,5),-1.69051 # DEPENDENCYPART_ARC
(0,6),-0.0298204 # DEPENDENCYPART_ARC
(0,7),-0.686393 # DEPENDENCYPART_ARC
(0,8),-1.89958 # DEPENDENCYPART_ARC
(0,9),-0.0644137 # DEPENDENCYPART_ARC
(0,10),-0.734414 # DEPENDENCYPART_ARC
(0,11),-1.25727 # DEPENDENCYPART_ARC
(0,12),-0.70171 # DEPENDENCYPART_ARC
(0,13),-0.952679 # DEPENDENCYPART_ARC
(0,14),-1.43284 # DEPENDENCYPART_ARC
(0,15),-0.0856072 # DEPENDENCYPART_ARC
(0,16),-1.51742 # DEPENDENCYPART_ARC
(0,17),0.653463 # DEPENDENCYPART_ARC
(0,18),-1.63196 # DEPENDENCYPART_ARC
(0,19),-0.970946 # DEPENDENCYPART_ARC
(0,20),-1.7447 # DEPENDENCYPART_ARC
(0,21),-1.5548 # DEPENDENCYPART_ARC
(0,22),-1.18506 # DEPENDENCYPART_ARC
(0,23),-1.64539 # DEPENDENCYPART_ARC
(1,2),-0.545919 # DEPENDENCYPART_ARC
(1,3),-1.13599 # DEPENDENCYPART_ARC
(1,4),-1.37339 # DEPENDENCYPART_ARC
(1,5),-1.02535 # DEPENDENCYPART_ARC
(1,6),-1.18228 # DEPENDENCYPART_ARC
(1,7),-1.07233 # DEPENDENCYPART_ARC
(1,8),-1.53153 # DEPENDENCYPART_ARC
(1,9),-1.65155 # DEPENDENCYPART_ARC
(1,10),-1.92031 # DEPENDENCYPART_ARC
(1,11),-0.663299 # DEPENDENCYPART_ARC
(1,12),-1.34081 # DEPENDENCYPART_ARC
(1,13),-1.12802 # DEPENDENCYPART_ARC
(1,14),-1.30894 # DEPENDENCYPART_ARC
(1,15),-2.61046 # DEPENDENCYPART_ARC
(1,16),-2.00509 # DEPENDENCYPART_ARC
(1,17),-2.53111 # DEPENDENCYPART_ARC
(1,18),-1.25619 # DEPENDENCYPART_ARC
(1,19),-2.79352 # DEPENDENCYPART_ARC
(1,20),-2.34615 # DEPENDENCYPART_ARC
(1,21),-2.17469 # DEPENDENCYPART_ARC
(1,22),-2.22932 # DEPENDENCYPART_ARC
(1,23),-2.83696 # DEPENDENCYPART_ARC
(2,1),1.64075 # DEPENDENCYPART_ARC
(2,3),-0.258325 # DEPENDENCYPART_ARC
(2,4),2.74528 # DEPENDENCYPART_ARC
(2,5),1.19948 # DEPENDENCYPART_ARC
(2,6),0.949514 # DEPENDENCYPART_ARC
(2,7),0.357113 # DEPENDENCYPART_ARC
(2,8),0.2356 # DEPENDENCYPART_ARC
(2,9),-0.322916 # DEPENDENCYPART_ARC
(2,10),-0.880781 # DEPENDENCYPART_ARC
(2,11),0.591787 # DEPENDENCYPART_ARC
(2,12),-1.00744 # DEPENDENCYPART_ARC
(2,13),0.817962 # DEPENDENCYPART_ARC
(2,14),-0.82666 # DEPENDENCYPART_ARC
(2,15),0.668068 # DEPENDENCYPART_ARC
(2,16),-0.646624 # DEPENDENCYPART_ARC
(2,17),0.475984 # DEPENDENCYPART_ARC
(2,18),1.02022 # DEPENDENCYPART_ARC
(2,19),0.880043 # DEPENDENCYPART_ARC
(2,20),-1.92097 # DEPENDENCYPART_ARC
(2,21),-2.40794 # DEPENDENCYPART_ARC
(2,22),-2.79758 # DEPENDENCYPART_ARC
(2,23),-2.26569 # DEPENDENCYPART_ARC
(3,1),-0.58408 # DEPENDENCYPART_ARC
(3,2),-0.218004 # DEPENDENCYPART_ARC
(3,4),1.15385 # DEPENDENCYPART_ARC
(3,5),0.0250353 # DEPENDENCYPART_ARC
(3,6),0.399141 # DEPENDENCYPART_ARC
(3,7),-0.451574 # DEPENDENCYPART_ARC
(3,8),-0.49803 # DEPENDENCYPART_ARC
(3,9),-0.960915 # DEPENDENCYPART_ARC
(3,10),-2.08394 # DEPENDENCYPART_ARC
(3,11),-0.502329 # DEPENDENCYPART_ARC
(3,12),-2.17025 # DEPENDENCYPART_ARC
(3,13),-0.554946 # DEPENDENCYPART_ARC
(3,14),-0.904701 # DEPENDENCYPART_ARC
(3,15),-0.984145 # DEPENDENCYPART_ARC
(3,16),-1.35876 # DEPENDENCYPART_ARC
(3,17),-1.11205 # DEPENDENCYPART_ARC
(3,18),-1.01718 # DEPENDENCYPART_ARC
(3,19),-1.19872 # DEPENDENCYPART_ARC
(3,20),-2.03274 # DEPENDENCYPART_ARC
(3,21),-2.83778 # DEPENDENCYPART_ARC
(3,22),-1.52317 # DEPENDENCYPART_ARC
(3,23),-1.37021 # DEPENDENCYPART_ARC
(4,1),0.619919 # DEPENDENCYPART_ARC
(4,2),-0.0903894 # DEPENDENCYPART_ARC
(4,3),3.29448 # DEPENDENCYPART_ARC
(4,5),2.50184 # DEPENDENCYPART_ARC
(4,6),1.51681 # DEPENDENCYPART_ARC
(4,7),0.603282 # DEPENDENCYPART_ARC
(4,8),0.72426 # DEPENDENCYPART_ARC
(4,9),0.737982 # DEPENDENCYPART_ARC
(4,10),0.0660186 # DEPENDENCYPART_ARC
(4,11),0.626261 # DEPENDENCYPART_ARC
(4,12),-0.669492 # DEPENDENCYPART_ARC
(4,13),0.0135092 # DEPENDENCYPART_ARC
(4,14),-0.0846531 # DEPENDENCYPART_ARC
(4,15),-0.238231 # DEPENDENCYPART_ARC
(4,16),-0.910258 # DEPENDENCYPART_ARC
(4,17),-1.08563 # DEPENDENCYPART_ARC
(4,18),-0.466491 # DEPENDENCYPART_ARC
(4,19),-2.16468 # DEPENDENCYPART_ARC
(4,20),-1.3258 # DEPENDENCYPART_ARC
(4,21),-3.10336 # DEPENDENCYPART_ARC
(4,22),-1.59764 # DEPENDENCYPART_ARC
(4,23),-2.76784 # DEPENDENCYPART_ARC
(5,1),-1.79742 # DEPENDENCYPART_ARC
(5,2),-1.68919 # DEPENDENCYPART_ARC
(5,3),-0.507218 # DEPENDENCYPART_ARC
(5,4),-0.36044 # DEPENDENCYPART_ARC
(5,6),4.42841 # DEPENDENCYPART_ARC
(5,7),0.582263 # DEPENDENCYPART_ARC
(5,8),-0.117957 # DEPENDENCYPART_ARC
(5,9),0.590806 # DEPENDENCYPART_ARC
(5,10),-0.21088 # DEPENDENCYPART_ARC
(5,11),0.234037 # DEPENDENCYPART_ARC
(5,12),-0.428285 # DEPENDENCYPART_ARC
(5,13),-0.0443112 # DEPENDENCYPART_ARC
(5,14),-0.734666 # DEPENDENCYPART_ARC
(5,15),-1.09479 # DEPENDENCYPART_ARC
(5,16),-1.1659 # DEPENDENCYPART_ARC
(5,17),-1.77572 # DEPENDENCYPART_ARC
(5,18),-1.06261 # DEPENDENCYPART_ARC
(5,19),-2.09339 # DEPENDENCYPART_ARC
(5,20),-1.86654 # DEPENDENCYPART_ARC
