# _root_ Ci sono cose , infatti , che a Mayo non possono essere cambiate " .
#goldHeads=2,0,2,3,2,5,13,13,8,13,13,13,3,13,14,
#predictedHeads=2,0,2,3,2,5,13,13,8,13,12,13,2,13,14,
(0,1),-0.589765 # DEPENDENCYPART_ARC
(0,2),1.14345 # DEPENDENCYPART_ARC
(0,3),-0.0528408 # DEPENDENCYPART_ARC
(0,4),-0.922402 # DEPENDENCYPART_ARC
(0,5),-0.846183 # DEPENDENCYPART_ARC
(0,6),-0.491496 # DEPENDENCYPART_ARC
(0,7),-0.771837 # DEPENDENCYPART_ARC
(0,8),-1.10736 # DEPENDENCYPART_ARC
(0,9),-0.617032 # DEPENDENCYPART_ARC
(0,10),-1.39995 # DEPENDENCYPART_ARC
(0,11),0.114121 # DEPENDENCYPART_ARC
(0,12),0.279446 # DEPENDENCYPART_ARC
(0,13),0.341963 # DEPENDENCYPART_ARC
(0,14),-1.28976 # DEPENDENCYPART_ARC
(0,15),-1.27804 # DEPENDENCYPART_ARC
(1,2),0.0257099 # DEPENDENCYPART_ARC
(1,3),-0.855798 # DEPENDENCYPART_ARC
(1,4),-0.649781 # DEPENDENCYPART_ARC
(1,5),-1.08042 # DEPENDENCYPART_ARC
(1,6),-1.00965 # DEPENDENCYPART_ARC
(1,7),-1.71538 # DEPENDENCYPART_ARC
(1,8),-1.91248 # DEPENDENCYPART_ARC
(1,9),-2.07864 # DEPENDENCYPART_ARC
(1,10),-1.91214 # DEPENDENCYPART_ARC
(1,11),-1.58428 # DEPENDENCYPART_ARC
(1,12),-1.69102 # DEPENDENCYPART_ARC
(1,13),-1.85754 # DEPENDENCYPART_ARC
(1,14),-2.43964 # DEPENDENCYPART_ARC
(1,15),-2.31103 # DEPENDENCYPART_ARC
(2,1),3.03736 # DEPENDENCYPART_ARC
(2,3),3.67568 # DEPENDENCYPART_ARC
(2,4),1.81292 # DEPENDENCYPART_ARC
(2,5),1.71804 # DEPENDENCYPART_ARC
(2,6),1.05228 # DEPENDENCYPART_ARC
(2,7),0.114845 # DEPENDENCYPART_ARC
(2,8),0.335004 # DEPENDENCYPART_ARC
(2,9),-1.17226 # DEPENDENCYPART_ARC
(2,10),-0.76838 # DEPENDENCYPART_ARC
(2,11),0.963081 # DEPENDENCYPART_ARC
(2,12),0.283089 # DEPENDENCYPART_ARC
(2,13),0.736877 # DEPENDENCYPART_ARC
(2,14),-1.29721 # DEPENDENCYPART_ARC
(2,15),-0.911616 # DEPENDENCYPART_ARC
(3,1),1.30743 # DEPENDENCYPART_ARC
(3,2),0.48915 # DEPENDENCYPART_ARC
(3,4),2.17721 # DEPENDENCYPART_ARC
(3,5),0.524916 # DEPENDENCYPART_ARC
(3,6),0.575573 # DEPENDENCYPART_ARC
(3,7),-0.732091 # DEPENDENCYPART_ARC
(3,8),-0.372523 # DEPENDENCYPART_ARC
(3,9),0.30122 # DEPENDENCYPART_ARC
(3,10),-0.686575 # DEPENDENCYPART_ARC
(3,11),0.18734 # DEPENDENCYPART_ARC
(3,12),-0.557305 # DEPENDENCYPART_ARC
(3,13),0.539082 # DEPENDENCYPART_ARC
(3,14),-1.58691 # DEPENDENCYPART_ARC
(3,15),-1.81874 # DEPENDENCYPART_ARC
(4,1),-1.84015 # DEPENDENCYPART_ARC
(4,2),-1.8138 # DEPENDENCYPART_ARC
(4,3),-1.01159 # DEPENDENCYPART_ARC
(4,5),-1.27346 # DEPENDENCYPART_ARC
(4,6),-0.703158 # DEPENDENCYPART_ARC
(4,7),-2.12464 # DEPENDENCYPART_ARC
