# _root_ Poi , senza bisogno di insistere , ecco venir fuori Woody Allen .
#goldHeads=9,1,9,3,4,5,6,9,0,9,12,9,12,
#predictedHeads=3,1,0,3,4,5,6,9,6,9,12,9,12,
(0,1),-0.534786 # DEPENDENCYPART_ARC
(0,2),-0.604578 # DEPENDENCYPART_ARC
(0,3),-0.609275 # DEPENDENCYPART_ARC
(0,4),-0.154997 # DEPENDENCYPART_ARC
(0,5),-1.40501 # DEPENDENCYPART_ARC
(0,6),0.0501013 # DEPENDENCYPART_ARC
(0,7),-0.458315 # DEPENDENCYPART_ARC
(0,8),-1.33108 # DEPENDENCYPART_ARC
(0,9),-0.0519543 # DEPENDENCYPART_ARC
(0,10),-1.4201 # DEPENDENCYPART_ARC
(0,11),-0.215685 # DEPENDENCYPART_ARC
(0,12),-0.262762 # DEPENDENCYPART_ARC
(0,13),-0.942078 # DEPENDENCYPART_ARC
(1,2),2.10319 # DEPENDENCYPART_ARC
(1,3),-0.604872 # DEPENDENCYPART_ARC
(1,4),-0.546817 # DEPENDENCYPART_ARC
(1,5),-0.782192 # DEPENDENCYPART_ARC
(1,6),-0.615194 # DEPENDENCYPART_ARC
(1,7),-0.364568 # DEPENDENCYPART_ARC
(1,8),-1.50371 # DEPENDENCYPART_ARC
(1,9),-1.13957 # DEPENDENCYPART_ARC
(1,10),-1.51307 # DEPENDENCYPART_ARC
(1,11),-1.67447 # DEPENDENCYPART_ARC
(1,12),-1.81432 # DEPENDENCYPART_ARC
(1,13),-1.32707 # DEPENDENCYPART_ARC
(2,7),-0.947892 # DEPENDENCYPART_ARC
(2,13),-1.19417 # DEPENDENCYPART_ARC
(3,1),-0.23121 # DEPENDENCYPART_ARC
(3,2),0.354897 # DEPENDENCYPART_ARC
(3,4),3.74436 # DEPENDENCYPART_ARC
(3,5),0.0974776 # DEPENDENCYPART_ARC
(3,6),0.505664 # DEPENDENCYPART_ARC
(3,7),0.143824 # DEPENDENCYPART_ARC
(3,8),-1.0511 # DEPENDENCYPART_ARC
(3,9),-0.682423 # DEPENDENCYPART_ARC
(3,10),-1.34563 # DEPENDENCYPART_ARC
(3,11),-2.14681 # DEPENDENCYPART_ARC
(3,12),-2.3126 # DEPENDENCYPART_ARC
(3,13),-0.637762 # DEPENDENCYPART_ARC
(4,1),-0.63616 # DEPENDENCYPART_ARC
(4,2),-1.46391 # DEPENDENCYPART_ARC
(4,3),0.775162 # DEPENDENCYPART_ARC
(4,5),1.12114 # DEPENDENCYPART_ARC
(4,6),0.659017 # DEPENDENCYPART_ARC
(4,7),0.230087 # DEPENDENCYPART_ARC
(4,8),-0.327004 # DEPENDENCYPART_ARC
(4,9),-0.607342 # DEPENDENCYPART_ARC
(4,10),-0.736067 # DEPENDENCYPART_ARC
(4,11),-0.940077 # DEPENDENCYPART_ARC
(4,12),-0.235472 # DEPENDENCYPART_ARC
(4,13),-1.05844 # DEPENDENCYPART_ARC
(5,1),-1.2111 # DEPENDENCYPART_ARC
(5,2),-1.25642 # DEPENDENCYPART_ARC
(5,3),-0.391825 # DEPENDENCYPART_ARC
(5,4),-0.325491 # DEPENDENCYPART_ARC
(5,6),3.32453 # DEPENDENCYPART_ARC
(5,7),0.403191 # DEPENDENCYPART_ARC
(5,8),-0.447172 # DEPENDENCYPART_ARC
(5,9),0.291979 # DEPENDENCYPART_ARC
(5,10),-0.935046 # DEPENDENCYPART_ARC
(5,11),-1.06271 # DEPENDENCYPART_ARC
(5,12),-1.55996 # DEPENDENCYPART_ARC
(5,13),-0.839327 # DEPENDENCYPART_ARC
(6,1),-0.691511 # DEPENDENCYPART_ARC
(6,2),-2.46263 # DEPENDENCYPART_ARC
(6,3),-0.494566 # DEPENDENCYPART_ARC
(6,4),-0.778252 # DEPENDENCYPART_ARC
(6,5),-0.125822 # DEPENDENCYPART_ARC
(6,7),2.00378 # DEPENDENCYPART_ARC
(6,8),0.532118 # DEPENDENCYPART_ARC
(6,9),1.1479 # DEPENDENCYPART_ARC
(6,10),-0.332955 # DEPENDENCYPART_ARC
(6,11),-0.00505607 # DEPENDENCYPART_ARC
(6,12),-0.214469 # DEPENDENCYPART_ARC
(6,13),-0.578002 # DEPENDENCYPART_ARC
(7,2),-1.74082 # DEPENDENCYPART_ARC
(7,13),-0.869897 # DEPENDENCYPART_ARC
(8,1),-1.7933 # DEPENDENCYPART_ARC
(8,2),-2.04443 # DEPENDENCYPART_ARC
(8,3),-1.46254 # DEPENDENCYPART_ARC
(8,4),-2.28627 # DEPENDENCYPART_ARC
(8,5),-0.92254 # DEPENDENCYPART_ARC
(8,6),-1.53971 # DEPENDENCYPART_ARC
(8,7),0.156068 # DEPENDENCYPART_ARC
(8,9),0.579182 # DEPENDENCYPART_ARC
(8,10),-0.305941 # DEPENDENCYPART_ARC
(8,11),-0.814703 # DEPENDENCYPART_ARC
(8,12),-1.02561 # DEPENDENCYPART_ARC
(8,13),-0.796477 # DEPENDENCYPART_ARC
(9,1),-0.67062 # DEPENDENCYPART_ARC
(9,2),-2.59135 # DEPENDENCYPART_ARC
(9,3),-0.42888 # DEPENDENCYPART_ARC
(9,4),-0.905205 # DEPENDENCYPART_ARC
(9,5),-0.920774 # DEPENDENCYPART_ARC
(9,6),-0.263289 # DEPENDENCYPART_ARC
(9,7),-1.33988 # DEPENDENCYPART_ARC
(9,8),1.44827 # DEPENDENCYPART_ARC
(9,10),2.23599 # DEPENDENCYPART_ARC
(9,11),2.21941 # DEPENDENCYPART_ARC
(9,12),1.18985 # DEPENDENCYPART_ARC
(9,13),0.159812 # DEPENDENCYPART_ARC
(10,1),-1.43833 # DEPENDENCYPART_ARC
(10,2),-1.79315 # DEPENDENCYPART_ARC
(10,3),-1.38274 # DEPENDENCYPART_ARC
(10,4),-2.22107 # DEPENDENCYPART_ARC
(10,5),-1.06767 # DEPENDENCYPART_ARC
(10,6),-2.30759 # DEPENDENCYPART_ARC
(10,7),-1.00567 # DEPENDENCYPART_ARC
(10,8),-0.582377 # DEPENDENCYPART_ARC
(10,9),-0.450522 # DEPENDENCYPART_ARC
(10,11),1.12637 # DEPENDENCYPART_ARC
(10,12),0.332633 # DEPENDENCYPART_ARC
(10,13),0.429671 # DEPENDENCYPART_ARC
(11,1),-1.84022 # DEPENDENCYPART_ARC
(11,2),-2.8639 # DEPENDENCYPART_ARC
(11,3),-1.63578 # DEPENDENCYPART_ARC
(11,4),-3.24474 # DEPENDENCYPART_ARC
(11,5),-1.41756 # DEPENDENCYPART_ARC
