# _root_ A Rochester , infatti , si può benissimo affittare un appartamento o una camera in case private .
#goldHeads=9,1,2,9,4,7,9,9,0,11,9,11,14,11,9,15,16,17,
#predictedHeads=9,1,2,9,4,7,9,9,0,11,9,11,14,11,14,15,16,17,
(0,1),-0.693784 # DEPENDENCYPART_ARC
(0,2),-0.581918 # DEPENDENCYPART_ARC
(0,3),-0.363101 # DEPENDENCYPART_ARC
(0,4),-1.08413 # DEPENDENCYPART_ARC
(0,5),-0.485688 # DEPENDENCYPART_ARC
(0,6),-0.944866 # DEPENDENCYPART_ARC
(0,7),0.352438 # DEPENDENCYPART_ARC
(0,8),-1.31312 # DEPENDENCYPART_ARC
(0,9),-0.0575779 # DEPENDENCYPART_ARC
(0,11),-0.655968 # DEPENDENCYPART_ARC
(0,12),-0.961623 # DEPENDENCYPART_ARC
(0,14),-0.567046 # DEPENDENCYPART_ARC
(0,15),-2.64829 # DEPENDENCYPART_ARC
(0,16),-0.780872 # DEPENDENCYPART_ARC
(0,17),-1.35069 # DEPENDENCYPART_ARC
(0,18),-1.18885 # DEPENDENCYPART_ARC
(1,2),4.22149 # DEPENDENCYPART_ARC
(1,3),0.234755 # DEPENDENCYPART_ARC
(1,4),-0.164956 # DEPENDENCYPART_ARC
(1,5),-0.451902 # DEPENDENCYPART_ARC
(1,6),-0.629091 # DEPENDENCYPART_ARC
(1,7),-1.06204 # DEPENDENCYPART_ARC
(1,8),-1.48221 # DEPENDENCYPART_ARC
(1,9),-1.38778 # DEPENDENCYPART_ARC
(1,10),-1.6044 # DEPENDENCYPART_ARC
(1,11),-3.28051 # DEPENDENCYPART_ARC
(1,12),-0.932945 # DEPENDENCYPART_ARC
(1,13),-1.7108 # DEPENDENCYPART_ARC
(1,14),-5.2622 # DEPENDENCYPART_ARC
(1,15),-2.04647 # DEPENDENCYPART_ARC
(1,16),-5.60385 # DEPENDENCYPART_ARC
(1,17),-1.47675 # DEPENDENCYPART_ARC
(1,18),-2.25178 # DEPENDENCYPART_ARC
(2,1),0.18931 # DEPENDENCYPART_ARC
(2,3),1.77262 # DEPENDENCYPART_ARC
(2,4),-0.0639659 # DEPENDENCYPART_ARC
(2,5),0.34918 # DEPENDENCYPART_ARC
(2,6),-1.04806 # DEPENDENCYPART_ARC
(2,7),-0.592961 # DEPENDENCYPART_ARC
(2,8),-0.903265 # DEPENDENCYPART_ARC
(2,9),-0.504664 # DEPENDENCYPART_ARC
(2,10),-0.980015 # DEPENDENCYPART_ARC
(2,11),-1.12702 # DEPENDENCYPART_ARC
(2,12),-0.663215 # DEPENDENCYPART_ARC
(2,13),-0.917438 # DEPENDENCYPART_ARC
(2,14),-1.28708 # DEPENDENCYPART_ARC
(2,15),-1.47764 # DEPENDENCYPART_ARC
(2,16),-1.1336 # DEPENDENCYPART_ARC
(2,17),-1.99579 # DEPENDENCYPART_ARC
(2,18),-2.32937 # DEPENDENCYPART_ARC
(3,5),-0.216725 # DEPENDENCYPART_ARC
(3,10),-1.44752 # DEPENDENCYPART_ARC
(3,13),-1.50935 # DEPENDENCYPART_ARC
(3,18),-1.51833 # DEPENDENCYPART_ARC
(4,1),-1.11037 # DEPENDENCYPART_ARC
(4,2),-1.3798 # DEPENDENCYPART_ARC
(4,3),0.0258203 # DEPENDENCYPART_ARC
(4,5),2.04385 # DEPENDENCYPART_ARC
(4,6),-0.399171 # DEPENDENCYPART_ARC
