# _root_ DI VALERIO RIVA Il mito di Allende , più di 14 anni dopo la sua tragica morte , comincia ad affievolir- si anche nella sinistra cilena ?
#goldHeads=3,1,0,5,19,5,6,7,17,9,12,10,19,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
#predictedHeads=3,3,0,5,3,5,6,7,17,9,12,10,5,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
(0,1),-0.73257 # DEPENDENCYPART_ARC
(0,2),0.0790903 # DEPENDENCYPART_ARC
(0,3),0.596934 # DEPENDENCYPART_ARC
(0,5),0.27631 # DEPENDENCYPART_ARC
(0,6),-1.47873 # DEPENDENCYPART_ARC
(0,7),-0.0965399 # DEPENDENCYPART_ARC
(0,8),-0.19758 # DEPENDENCYPART_ARC
(0,9),-1.09778 # DEPENDENCYPART_ARC
(0,10),-1.80469 # DEPENDENCYPART_ARC
(0,11),-1.2191 # DEPENDENCYPART_ARC
(0,12),-0.11109 # DEPENDENCYPART_ARC
(0,13),-2.12515 # DEPENDENCYPART_ARC
(0,16),-0.554821 # DEPENDENCYPART_ARC
(0,17),0.0296007 # DEPENDENCYPART_ARC
(0,18),-0.447553 # DEPENDENCYPART_ARC
(0,19),1.67041 # DEPENDENCYPART_ARC
(0,20),-2.4923 # DEPENDENCYPART_ARC
(0,21),-0.0963111 # DEPENDENCYPART_ARC
(0,22),-1.41997 # DEPENDENCYPART_ARC
(0,23),-1.77163 # DEPENDENCYPART_ARC
(0,24),-2.6215 # DEPENDENCYPART_ARC
(0,25),-0.589758 # DEPENDENCYPART_ARC
(0,26),-1.04297 # DEPENDENCYPART_ARC
(0,27),-1.26545 # DEPENDENCYPART_ARC
(1,2),3.49656 # DEPENDENCYPART_ARC
(1,3),1.72696 # DEPENDENCYPART_ARC
(1,4),-0.740218 # DEPENDENCYPART_ARC
(1,5),-1.40301 # DEPENDENCYPART_ARC
(1,6),-0.230815 # DEPENDENCYPART_ARC
(1,7),-1.13507 # DEPENDENCYPART_ARC
(1,8),-0.119283 # DEPENDENCYPART_ARC
(1,9),-0.989547 # DEPENDENCYPART_ARC
(1,10),-0.214937 # DEPENDENCYPART_ARC
(1,11),-1.1755 # DEPENDENCYPART_ARC
(1,12),-3.71759 # DEPENDENCYPART_ARC
(1,13),-1.81207 # DEPENDENCYPART_ARC
(1,14),-1.51692 # DEPENDENCYPART_ARC
(1,15),-1.09124 # DEPENDENCYPART_ARC
(1,16),-1.05839 # DEPENDENCYPART_ARC
(1,17),-4.98042 # DEPENDENCYPART_ARC
(1,18),-1.12672 # DEPENDENCYPART_ARC
(1,19),-2.25866 # DEPENDENCYPART_ARC
(1,20),-2.35814 # DEPENDENCYPART_ARC
(1,21),-2.35199 # DEPENDENCYPART_ARC
(1,22),-3.41582 # DEPENDENCYPART_ARC
(1,23),-2.05706 # DEPENDENCYPART_ARC
(1,24),-2.14244 # DEPENDENCYPART_ARC
(1,25),-7.99404 # DEPENDENCYPART_ARC
(1,26),-1.86233 # DEPENDENCYPART_ARC
(1,27),-2.89511 # DEPENDENCYPART_ARC
(2,1),0.104213 # DEPENDENCYPART_ARC
(2,3),1.74538 # DEPENDENCYPART_ARC
(2,4),-0.661216 # DEPENDENCYPART_ARC
(2,5),-0.190102 # DEPENDENCYPART_ARC
(2,6),0.504997 # DEPENDENCYPART_ARC
(2,7),0.0580353 # DEPENDENCYPART_ARC
(2,8),-0.250851 # DEPENDENCYPART_ARC
(2,9),-1.46973 # DEPENDENCYPART_ARC
(2,10),-0.82 # DEPENDENCYPART_ARC
(2,11),-1.38721 # DEPENDENCYPART_ARC
(2,12),-1.2056 # DEPENDENCYPART_ARC
(2,13),-0.369309 # DEPENDENCYPART_ARC
(2,14),-0.736214 # DEPENDENCYPART_ARC
(2,15),-1.66894 # DEPENDENCYPART_ARC
(2,16),-1.30867 # DEPENDENCYPART_ARC
(2,17),-1.5459 # DEPENDENCYPART_ARC
(2,18),-1.01327 # DEPENDENCYPART_ARC
(2,19),-1.26764 # DEPENDENCYPART_ARC
(2,20),-2.06273 # DEPENDENCYPART_ARC
(2,21),-1.91003 # DEPENDENCYPART_ARC
(2,22),-2.31827 # DEPENDENCYPART_ARC
(2,23),-3.42075 # DEPENDENCYPART_ARC
(2,24),-2.29806 # DEPENDENCYPART_ARC
(2,25),-2.40247 # DEPENDENCYPART_ARC
(2,26),-2.77737 # DEPENDENCYPART_ARC
(2,27),-5.25996 # DEPENDENCYPART_ARC
(3,1),1.32832 # DEPENDENCYPART_ARC
(3,2),3.67104 # DEPENDENCYPART_ARC
(3,4),0.376063 # DEPENDENCYPART_ARC
(3,5),0.477043 # DEPENDENCYPART_ARC
(3,6),0.558575 # DEPENDENCYPART_ARC
(3,7),0.31352 # DEPENDENCYPART_ARC
(3,8),0.0495489 # DEPENDENCYPART_ARC
(3,9),-1.19313 # DEPENDENCYPART_ARC
(3,10),-0.456449 # DEPENDENCYPART_ARC
(3,11),-1.01675 # DEPENDENCYPART_ARC
(3,12),-0.943394 # DEPENDENCYPART_ARC
(3,13),-0.0558365 # DEPENDENCYPART_ARC
(3,14),-0.489637 # DEPENDENCYPART_ARC
(3,15),-1.71196 # DEPENDENCYPART_ARC
(3,16),-1.54644 # DEPENDENCYPART_ARC
(3,17),-1.17033 # DEPENDENCYPART_ARC
(3,18),-0.653484 # DEPENDENCYPART_ARC
(3,19),-0.943574 # DEPENDENCYPART_ARC
(3,20),-1.18347 # DEPENDENCYPART_ARC
(3,21),-1.65739 # DEPENDENCYPART_ARC
(3,22),-2.16102 # DEPENDENCYPART_ARC
(3,23),-2.78705 # DEPENDENCYPART_ARC
(3,24),-1.67283 # DEPENDENCYPART_ARC
(3,25),-2.35694 # DEPENDENCYPART_ARC
(3,26),-3.00124 # DEPENDENCYPART_ARC
(3,27),-4.61739 # DEPENDENCYPART_ARC
(4,1),-1.127 # DEPENDENCYPART_ARC
(4,5),1.02888 # DEPENDENCYPART_ARC
(4,6),0.0529666 # DEPENDENCYPART_ARC
(4,8),-0.625434 # DEPENDENCYPART_ARC
(4,10),-0.496837 # DEPENDENCYPART_ARC
(4,11),-0.882561 # DEPENDENCYPART_ARC
(4,12),-1.16197 # DEPENDENCYPART_ARC
(4,13),-0.865635 # DEPENDENCYPART_ARC
(4,17),-1.28658 # DEPENDENCYPART_ARC
(4,18),-0.855839 # DEPENDENCYPART_ARC
(4,19),-1.47666 # DEPENDENCYPART_ARC
(4,20),-1.37454 # DEPENDENCYPART_ARC
(4,21),-1.73285 # DEPENDENCYPART_ARC
(4,24),-1.57904 # DEPENDENCYPART_ARC
(4,25),-2.11103 # DEPENDENCYPART_ARC
(4,27),-1.58535 # DEPENDENCYPART_ARC
(5,1),0.26543 # DEPENDENCYPART_ARC
(5,2),-0.545576 # DEPENDENCYPART_ARC
(5,3),-0.657535 # DEPENDENCYPART_ARC
(5,4),3.5802 # DEPENDENCYPART_ARC
(5,6),2.95304 # DEPENDENCYPART_ARC
(5,7),1.43174 # DEPENDENCYPART_ARC
(5,8),0.8859 # DEPENDENCYPART_ARC
(5,9),-0.168544 # DEPENDENCYPART_ARC
(5,10),0.349644 # DEPENDENCYPART_ARC
(5,11),-0.10435 # DEPENDENCYPART_ARC
(5,12),0.258073 # DEPENDENCYPART_ARC
(5,13),0.951536 # DEPENDENCYPART_ARC
(5,14),-0.219974 # DEPENDENCYPART_ARC
(5,15),-0.490748 # DEPENDENCYPART_ARC
(5,16),-0.484368 # DEPENDENCYPART_ARC
(5,17),-0.858656 # DEPENDENCYPART_ARC
(5,18),0.0458541 # DEPENDENCYPART_ARC
(5,19),0.318071 # DEPENDENCYPART_ARC
(5,20),-0.779421 # DEPENDENCYPART_ARC
