# _root_ Interferiscono sull' attività renale ed epatica , favoriscono il diabete , promuovono la decalcificazione delle ossa .
#goldHeads=0,1,2,3,4,4,1,1,10,8,1,1,14,12,14,15,16,
#predictedHeads=0,1,2,3,4,4,6,1,10,8,10,1,14,12,14,15,16,
(0,1),0.969799 # DEPENDENCYPART_ARC
(0,2),-1.68302 # DEPENDENCYPART_ARC
(0,3),-0.200745 # DEPENDENCYPART_ARC
(0,4),-0.971413 # DEPENDENCYPART_ARC
(0,5),-1.53662 # DEPENDENCYPART_ARC
(0,6),-0.969598 # DEPENDENCYPART_ARC
(0,7),-0.644971 # DEPENDENCYPART_ARC
(0,8),1.10011 # DEPENDENCYPART_ARC
(0,10),-0.737349 # DEPENDENCYPART_ARC
(0,11),-0.833997 # DEPENDENCYPART_ARC
(0,12),0.852455 # DEPENDENCYPART_ARC
(0,14),-0.662515 # DEPENDENCYPART_ARC
(0,15),-2.61343 # DEPENDENCYPART_ARC
(0,16),-0.98698 # DEPENDENCYPART_ARC
(0,17),-1.39314 # DEPENDENCYPART_ARC
(1,2),2.42501 # DEPENDENCYPART_ARC
(1,3),2.26779 # DEPENDENCYPART_ARC
(1,4),0.37349 # DEPENDENCYPART_ARC
(1,5),0.952947 # DEPENDENCYPART_ARC
(1,6),0.568019 # DEPENDENCYPART_ARC
(1,7),1.54995 # DEPENDENCYPART_ARC
(1,8),1.58704 # DEPENDENCYPART_ARC
(1,9),-1.62955 # DEPENDENCYPART_ARC
(1,10),-0.50642 # DEPENDENCYPART_ARC
(1,11),1.63622 # DEPENDENCYPART_ARC
(1,12),1.13877 # DEPENDENCYPART_ARC
(1,13),-1.84275 # DEPENDENCYPART_ARC
(1,14),-0.717679 # DEPENDENCYPART_ARC
(1,15),-1.2081 # DEPENDENCYPART_ARC
(1,16),-1.16733 # DEPENDENCYPART_ARC
(1,17),-0.988827 # DEPENDENCYPART_ARC
(2,1),-0.934313 # DEPENDENCYPART_ARC
(2,3),4.09343 # DEPENDENCYPART_ARC
(2,4),0.0465541 # DEPENDENCYPART_ARC
(2,5),0.19149 # DEPENDENCYPART_ARC
(2,6),-0.724945 # DEPENDENCYPART_ARC
(2,7),-0.364501 # DEPENDENCYPART_ARC
(2,8),-2.18731 # DEPENDENCYPART_ARC
(2,9),-1.99538 # DEPENDENCYPART_ARC
(2,10),-2.27144 # DEPENDENCYPART_ARC
(2,11),-0.361889 # DEPENDENCYPART_ARC
(2,12),-2.87462 # DEPENDENCYPART_ARC
(2,13),-1.93014 # DEPENDENCYPART_ARC
(2,14),-3.56266 # DEPENDENCYPART_ARC
(2,15),-1.34657 # DEPENDENCYPART_ARC
(2,16),-3.5162 # DEPENDENCYPART_ARC
(2,17),-1.43384 # DEPENDENCYPART_ARC
(3,1),-0.94502 # DEPENDENCYPART_ARC
(3,2),1.05605 # DEPENDENCYPART_ARC
(3,4),3.11796 # DEPENDENCYPART_ARC
(3,5),0.995028 # DEPENDENCYPART_ARC
(3,6),1.04408 # DEPENDENCYPART_ARC
(3,7),0.0290064 # DEPENDENCYPART_ARC
(3,8),-0.281242 # DEPENDENCYPART_ARC
(3,9),-0.651784 # DEPENDENCYPART_ARC
(3,10),-0.794899 # DEPENDENCYPART_ARC
(3,11),0.301245 # DEPENDENCYPART_ARC
(3,12),-1.58404 # DEPENDENCYPART_ARC
(3,13),-0.0697507 # DEPENDENCYPART_ARC
