# _root_ Trascorrevo i giorni su una sedia a rotelle , mi mancava il fiato per riposare , pesavo 46 chili .
#goldHeads=0,3,1,1,6,4,6,7,1,11,1,13,11,13,14,1,1,19,17,19,
#predictedHeads=0,3,1,1,6,1,6,7,8,11,6,13,11,11,14,15,15,19,17,19,
(0,1),0.74118 # DEPENDENCYPART_ARC
(0,3),-0.316056 # DEPENDENCYPART_ARC
(0,4),-1.31345 # DEPENDENCYPART_ARC
(0,6),-0.0467733 # DEPENDENCYPART_ARC
(0,7),-1.66632 # DEPENDENCYPART_ARC
(0,8),-0.393307 # DEPENDENCYPART_ARC
(0,9),-0.697795 # DEPENDENCYPART_ARC
(0,10),-1.53375 # DEPENDENCYPART_ARC
(0,11),0.10274 # DEPENDENCYPART_ARC
(0,13),-0.181725 # DEPENDENCYPART_ARC
(0,14),-2.27107 # DEPENDENCYPART_ARC
(0,15),-1.16054 # DEPENDENCYPART_ARC
(0,16),-1.0715 # DEPENDENCYPART_ARC
(0,17),0.149771 # DEPENDENCYPART_ARC
(0,18),-2.27394 # DEPENDENCYPART_ARC
(0,19),-0.854237 # DEPENDENCYPART_ARC
(0,20),-1.48316 # DEPENDENCYPART_ARC
(1,2),0.635045 # DEPENDENCYPART_ARC
(1,3),2.79831 # DEPENDENCYPART_ARC
(1,4),1.48146 # DEPENDENCYPART_ARC
(1,5),-0.8742 # DEPENDENCYPART_ARC
(1,6),1.34877 # DEPENDENCYPART_ARC
(1,7),1.78023 # DEPENDENCYPART_ARC
(1,8),0.120409 # DEPENDENCYPART_ARC
(1,9),1.09432 # DEPENDENCYPART_ARC
(1,10),-0.0936981 # DEPENDENCYPART_ARC
(1,11),0.0363964 # DEPENDENCYPART_ARC
(1,12),-1.46138 # DEPENDENCYPART_ARC
(1,13),-0.467179 # DEPENDENCYPART_ARC
(1,14),0.688178 # DEPENDENCYPART_ARC
(1,15),-0.0533077 # DEPENDENCYPART_ARC
(1,16),1.00759 # DEPENDENCYPART_ARC
(1,17),0.650367 # DEPENDENCYPART_ARC
(1,18),-0.544187 # DEPENDENCYPART_ARC
(1,19),-1.48449 # DEPENDENCYPART_ARC
(1,20),-1.60792 # DEPENDENCYPART_ARC
(2,1),-1.44148 # DEPENDENCYPART_ARC
(2,3),0.890582 # DEPENDENCYPART_ARC
(2,6),-1.11664 # DEPENDENCYPART_ARC
(2,7),-0.790878 # DEPENDENCYPART_ARC
(2,8),-1.04816 # DEPENDENCYPART_ARC
(2,9),-0.910623 # DEPENDENCYPART_ARC
(2,11),-1.44827 # DEPENDENCYPART_ARC
(2,13),-1.69717 # DEPENDENCYPART_ARC
(2,14),-1.36119 # DEPENDENCYPART_ARC
(2,15),-1.63607 # DEPENDENCYPART_ARC
(2,16),-1.45158 # DEPENDENCYPART_ARC
(2,17),-1.97237 # DEPENDENCYPART_ARC
(2,18),-1.46143 # DEPENDENCYPART_ARC
(2,19),-1.70325 # DEPENDENCYPART_ARC
(2,20),-1.77194 # DEPENDENCYPART_ARC
(3,1),-1.03993 # DEPENDENCYPART_ARC
(3,2),4.08914 # DEPENDENCYPART_ARC
(3,4),0.261623 # DEPENDENCYPART_ARC
(3,5),-0.476223 # DEPENDENCYPART_ARC
(3,6),0.191156 # DEPENDENCYPART_ARC
(3,7),0.0259311 # DEPENDENCYPART_ARC
(3,8),0.632474 # DEPENDENCYPART_ARC
(3,9),0.501427 # DEPENDENCYPART_ARC
(3,10),-1.65086 # DEPENDENCYPART_ARC
(3,11),-0.0497026 # DEPENDENCYPART_ARC
(3,12),-1.17649 # DEPENDENCYPART_ARC
(3,13),-0.719606 # DEPENDENCYPART_ARC
(3,14),-0.857655 # DEPENDENCYPART_ARC
(3,15),-0.628325 # DEPENDENCYPART_ARC
(3,16),-0.242073 # DEPENDENCYPART_ARC
(3,17),-2.09788 # DEPENDENCYPART_ARC
(3,18),-1.69435 # DEPENDENCYPART_ARC
(3,19),-0.7103 # DEPENDENCYPART_ARC
(3,20),-2.39609 # DEPENDENCYPART_ARC
(4,1),-1.73233 # DEPENDENCYPART_ARC
(4,2),0.0847283 # DEPENDENCYPART_ARC
(4,3),-0.402413 # DEPENDENCYPART_ARC
(4,5),0.387157 # DEPENDENCYPART_ARC
(4,6),0.109739 # DEPENDENCYPART_ARC
(4,7),-0.307178 # DEPENDENCYPART_ARC
(4,8),-0.377674 # DEPENDENCYPART_ARC
(4,9),-0.0876988 # DEPENDENCYPART_ARC
(4,10),-0.825563 # DEPENDENCYPART_ARC
