# _root_ La top_ten prosegue con 10 chilometri di coda , sempre nel Veronese , fra Peschiera e Sommacampagna e altrettanti nell' innesto tra l' A / 1 e l' A / 4 nel Bolognese .
#goldHeads=2,3,0,3,6,4,6,7,8,11,8,11,12,3,14,14,14,6,6,19,20,21,24,22,24,25,24,29,24,29,30,21,32,33,
#predictedHeads=2,3,0,3,6,4,6,7,8,11,3,11,12,11,14,15,15,11,15,19,20,21,24,22,24,25,24,29,24,29,30,29,32,33,
(0,2),-0.686082 # DEPENDENCYPART_ARC
(0,3),1.70881 # DEPENDENCYPART_ARC
(0,4),-2.10349 # DEPENDENCYPART_ARC
(0,5),-1.3808 # DEPENDENCYPART_ARC
(0,6),-0.325212 # DEPENDENCYPART_ARC
(0,7),-1.77098 # DEPENDENCYPART_ARC
(0,8),-0.352249 # DEPENDENCYPART_ARC
(0,9),-0.656112 # DEPENDENCYPART_ARC
(0,10),-1.33178 # DEPENDENCYPART_ARC
(0,11),-1.31713 # DEPENDENCYPART_ARC
(0,12),-0.969977 # DEPENDENCYPART_ARC
(0,13),-0.74172 # DEPENDENCYPART_ARC
(0,14),-1.71998 # DEPENDENCYPART_ARC
(0,15),-0.471688 # DEPENDENCYPART_ARC
(0,16),-1.92888 # DEPENDENCYPART_ARC
(0,17),-0.55921 # DEPENDENCYPART_ARC
(0,18),-2.01912 # DEPENDENCYPART_ARC
(0,19),-1.30718 # DEPENDENCYPART_ARC
(0,20),-2.00934 # DEPENDENCYPART_ARC
(0,21),-0.921606 # DEPENDENCYPART_ARC
(0,22),-3.0265 # DEPENDENCYPART_ARC
(0,24),-1.1197 # DEPENDENCYPART_ARC
(0,25),-1.06439 # DEPENDENCYPART_ARC
(0,26),-2.43873 # DEPENDENCYPART_ARC
(0,27),-2.35159 # DEPENDENCYPART_ARC
(0,29),-1.24892 # DEPENDENCYPART_ARC
(0,30),-1.10777 # DEPENDENCYPART_ARC
(0,31),-2.66277 # DEPENDENCYPART_ARC
(0,32),-3.14605 # DEPENDENCYPART_ARC
(0,33),-1.06863 # DEPENDENCYPART_ARC
(0,34),-2.02387 # DEPENDENCYPART_ARC
(1,2),1.79381 # DEPENDENCYPART_ARC
(1,3),-0.079199 # DEPENDENCYPART_ARC
(1,4),-0.503994 # DEPENDENCYPART_ARC
(1,5),-0.620541 # DEPENDENCYPART_ARC
(1,6),-1.06327 # DEPENDENCYPART_ARC
(1,7),-0.769949 # DEPENDENCYPART_ARC
(1,8),-0.840793 # DEPENDENCYPART_ARC
(1,9),-0.725451 # DEPENDENCYPART_ARC
(1,11),-1.41437 # DEPENDENCYPART_ARC
(1,13),-0.881974 # DEPENDENCYPART_ARC
(1,14),-1.38169 # DEPENDENCYPART_ARC
(1,20),-1.98156 # DEPENDENCYPART_ARC
(1,21),-1.84824 # DEPENDENCYPART_ARC
(1,22),-1.79788 # DEPENDENCYPART_ARC
(1,24),-0.82498 # DEPENDENCYPART_ARC
(1,26),-1.25644 # DEPENDENCYPART_ARC
(1,29),-1.09256 # DEPENDENCYPART_ARC
(1,31),-1.286 # DEPENDENCYPART_ARC
(1,32),-2.5514 # DEPENDENCYPART_ARC
(1,34),-1.95256 # DEPENDENCYPART_ARC
(2,1),3.81184 # DEPENDENCYPART_ARC
(2,3),1.54235 # DEPENDENCYPART_ARC
(2,4),0.532939 # DEPENDENCYPART_ARC
(2,5),0.00320239 # DEPENDENCYPART_ARC
(2,6),0.104483 # DEPENDENCYPART_ARC
(2,7),0.886091 # DEPENDENCYPART_ARC
(2,8),0.0185343 # DEPENDENCYPART_ARC
(2,9),0.231312 # DEPENDENCYPART_ARC
(2,10),-0.912988 # DEPENDENCYPART_ARC
(2,11),-0.108835 # DEPENDENCYPART_ARC
(2,12),-0.702951 # DEPENDENCYPART_ARC
(2,13),-0.466475 # DEPENDENCYPART_ARC
(2,14),-0.234609 # DEPENDENCYPART_ARC
(2,15),-0.823692 # DEPENDENCYPART_ARC
(2,16),0.199472 # DEPENDENCYPART_ARC
(2,17),-0.678317 # DEPENDENCYPART_ARC
(2,18),-0.144613 # DEPENDENCYPART_ARC
(2,19),-0.0397219 # DEPENDENCYPART_ARC
(2,20),-1.25555 # DEPENDENCYPART_ARC
(2,21),-1.15669 # DEPENDENCYPART_ARC
(2,22),-1.13491 # DEPENDENCYPART_ARC
(2,23),-0.775523 # DEPENDENCYPART_ARC
(2,24),-0.492994 # DEPENDENCYPART_ARC
(2,25),-0.527356 # DEPENDENCYPART_ARC
(2,26),-1.18681 # DEPENDENCYPART_ARC
