# _root_ I bambini applaudono , le nonne in veste nera si affacciano dai balconi e sorridono , sulle antenne delle auto ci sono le bandiere .
#goldHeads=2,3,0,3,6,11,6,7,8,11,3,11,12,11,11,3,22,17,18,19,22,3,24,22,24,
#predictedHeads=2,3,0,3,6,3,6,7,8,11,6,11,12,11,11,15,15,17,18,19,22,0,24,22,24,
(0,2),-0.586177 # DEPENDENCYPART_ARC
(0,3),1.40055 # DEPENDENCYPART_ARC
(0,4),-0.644287 # DEPENDENCYPART_ARC
(0,6),-0.404271 # DEPENDENCYPART_ARC
(0,7),-1.83605 # DEPENDENCYPART_ARC
(0,8),0.0469283 # DEPENDENCYPART_ARC
(0,9),-0.853095 # DEPENDENCYPART_ARC
(0,10),-1.41473 # DEPENDENCYPART_ARC
(0,11),1.02586 # DEPENDENCYPART_ARC
(0,12),-1.92528 # DEPENDENCYPART_ARC
(0,13),-0.414458 # DEPENDENCYPART_ARC
(0,14),-1.10009 # DEPENDENCYPART_ARC
(0,15),0.0137593 # DEPENDENCYPART_ARC
(0,16),-0.872452 # DEPENDENCYPART_ARC
(0,17),-2.39932 # DEPENDENCYPART_ARC
(0,18),-0.91081 # DEPENDENCYPART_ARC
(0,19),-2.72889 # DEPENDENCYPART_ARC
(0,20),-0.95886 # DEPENDENCYPART_ARC
(0,21),-1.57075 # DEPENDENCYPART_ARC
(0,22),1.21234 # DEPENDENCYPART_ARC
(0,24),-1.18174 # DEPENDENCYPART_ARC
(0,25),-1.60997 # DEPENDENCYPART_ARC
(1,2),0.871824 # DEPENDENCYPART_ARC
(1,3),-0.421805 # DEPENDENCYPART_ARC
(1,4),-0.739432 # DEPENDENCYPART_ARC
(1,6),-1.15894 # DEPENDENCYPART_ARC
(1,7),-1.10417 # DEPENDENCYPART_ARC
(1,8),-1.78004 # DEPENDENCYPART_ARC
(1,11),-1.33726 # DEPENDENCYPART_ARC
(1,12),-1.4199 # DEPENDENCYPART_ARC
(1,13),-1.49032 # DEPENDENCYPART_ARC
(1,15),-1.63042 # DEPENDENCYPART_ARC
(1,16),-1.65507 # DEPENDENCYPART_ARC
(1,17),-1.5077 # DEPENDENCYPART_ARC
(1,18),-1.96136 # DEPENDENCYPART_ARC
(1,19),-1.54164 # DEPENDENCYPART_ARC
(1,20),-1.94848 # DEPENDENCYPART_ARC
(1,22),-2.09774 # DEPENDENCYPART_ARC
(1,24),-2.0253 # DEPENDENCYPART_ARC
(1,25),-2.16947 # DEPENDENCYPART_ARC
(2,1),4.71794 # DEPENDENCYPART_ARC
(2,3),1.53649 # DEPENDENCYPART_ARC
(2,4),1.29788 # DEPENDENCYPART_ARC
(2,5),0.765415 # DEPENDENCYPART_ARC
(2,6),1.44043 # DEPENDENCYPART_ARC
(2,7),0.691077 # DEPENDENCYPART_ARC
(2,8),0.613672 # DEPENDENCYPART_ARC
(2,9),-0.855797 # DEPENDENCYPART_ARC
(2,10),-1.4599 # DEPENDENCYPART_ARC
(2,11),0.151061 # DEPENDENCYPART_ARC
(2,12),-0.195122 # DEPENDENCYPART_ARC
(2,13),0.49048 # DEPENDENCYPART_ARC
(2,14),0.0204389 # DEPENDENCYPART_ARC
(2,15),-1.67241 # DEPENDENCYPART_ARC
(2,16),0.816191 # DEPENDENCYPART_ARC
(2,17),-0.283759 # DEPENDENCYPART_ARC
(2,18),0.535958 # DEPENDENCYPART_ARC
(2,19),-0.778675 # DEPENDENCYPART_ARC
(2,20),0.0605913 # DEPENDENCYPART_ARC
(2,21),-1.56522 # DEPENDENCYPART_ARC
(2,22),-1.7791 # DEPENDENCYPART_ARC
(2,23),-0.347684 # DEPENDENCYPART_ARC
(2,24),-0.00244219 # DEPENDENCYPART_ARC
(2,25),-2.521 # DEPENDENCYPART_ARC
(3,1),0.913371 # DEPENDENCYPART_ARC
(3,2),2.88274 # DEPENDENCYPART_ARC
(3,4),2.15279 # DEPENDENCYPART_ARC
(3,5),-0.194159 # DEPENDENCYPART_ARC
(3,6),2.02702 # DEPENDENCYPART_ARC
(3,7),1.08591 # DEPENDENCYPART_ARC
(3,8),0.165379 # DEPENDENCYPART_ARC
(3,9),-0.648424 # DEPENDENCYPART_ARC
(3,10),-0.583507 # DEPENDENCYPART_ARC
(3,11),0.850149 # DEPENDENCYPART_ARC
(3,12),0.0128863 # DEPENDENCYPART_ARC
(3,13),-0.525919 # DEPENDENCYPART_ARC
(3,14),0.789403 # DEPENDENCYPART_ARC
(3,15),0.806494 # DEPENDENCYPART_ARC
(3,16),0.498302 # DEPENDENCYPART_ARC
(3,17),-0.922288 # DEPENDENCYPART_ARC
(3,18),-1.27635 # DEPENDENCYPART_ARC
(3,19),-2.31254 # DEPENDENCYPART_ARC
(3,20),-1.91093 # DEPENDENCYPART_ARC
(3,21),-0.775441 # DEPENDENCYPART_ARC
(3,22),0.0856145 # DEPENDENCYPART_ARC
(3,23),-1.67206 # DEPENDENCYPART_ARC
(3,24),-1.47107 # DEPENDENCYPART_ARC
(3,25),-2.61972 # DEPENDENCYPART_ARC
(4,1),-0.842276 # DEPENDENCYPART_ARC
(4,5),0.00847008 # DEPENDENCYPART_ARC
(4,16),-1.43528 # DEPENDENCYPART_ARC
(4,23),-1.91452 # DEPENDENCYPART_ARC
(4,25),-2.13496 # DEPENDENCYPART_ARC
(5,2),-1.83113 # DEPENDENCYPART_ARC
(5,3),-2.14415 # DEPENDENCYPART_ARC
(5,4),0.382213 # DEPENDENCYPART_ARC
(5,6),0.89061 # DEPENDENCYPART_ARC
(5,7),-0.300425 # DEPENDENCYPART_ARC
(5,8),-0.868039 # DEPENDENCYPART_ARC
(5,11),-0.657777 # DEPENDENCYPART_ARC
(5,12),-0.925706 # DEPENDENCYPART_ARC
(5,13),-1.38588 # DEPENDENCYPART_ARC
(5,15),-1.03379 # DEPENDENCYPART_ARC
(5,16),-1.10473 # DEPENDENCYPART_ARC
(5,17),-1.08397 # DEPENDENCYPART_ARC
(5,18),-1.40129 # DEPENDENCYPART_ARC
(5,19),-1.02426 # DEPENDENCYPART_ARC
(5,20),-1.34494 # DEPENDENCYPART_ARC
(5,22),-1.39418 # DEPENDENCYPART_ARC
(5,24),-1.67493 # DEPENDENCYPART_ARC
(5,25),-1.67346 # DEPENDENCYPART_ARC
(6,1),0.221334 # DEPENDENCYPART_ARC
(6,2),-1.07621 # DEPENDENCYPART_ARC
(6,3),-2.12755 # DEPENDENCYPART_ARC
(6,4),-0.831814 # DEPENDENCYPART_ARC
(6,5),3.74973 # DEPENDENCYPART_ARC
