# _root_ Alle 10,30 radiografie ( quarto piano ) , poi le analisi del sangue e ciò che il medico ha scelto nel " menu " .
#goldHeads=3,1,0,5,6,3,6,3,11,11,3,11,12,3,3,20,18,20,20,15,20,23,21,23,24,
#predictedHeads=11,3,1,5,6,3,6,7,11,11,0,11,12,13,13,20,18,15,20,15,20,23,21,23,24,
(0,1),-1.31256 # DEPENDENCYPART_ARC
(0,2),-1.04522 # DEPENDENCYPART_ARC
(0,3),-0.144314 # DEPENDENCYPART_ARC
(0,4),-0.868376 # DEPENDENCYPART_ARC
(0,5),-0.725301 # DEPENDENCYPART_ARC
(0,6),-0.326245 # DEPENDENCYPART_ARC
(0,7),-0.702614 # DEPENDENCYPART_ARC
(0,8),-0.615507 # DEPENDENCYPART_ARC
(0,9),-1.16312 # DEPENDENCYPART_ARC
(0,10),-1.3266 # DEPENDENCYPART_ARC
(0,11),0.257253 # DEPENDENCYPART_ARC
(0,12),-1.19778 # DEPENDENCYPART_ARC
(0,13),-0.0118743 # DEPENDENCYPART_ARC
(0,14),-1.54332 # DEPENDENCYPART_ARC
(0,15),-0.955628 # DEPENDENCYPART_ARC
(0,16),-1.01262 # DEPENDENCYPART_ARC
(0,17),-1.43175 # DEPENDENCYPART_ARC
(0,18),-0.723591 # DEPENDENCYPART_ARC
(0,19),0.259729 # DEPENDENCYPART_ARC
(0,20),-0.172557 # DEPENDENCYPART_ARC
(0,21),-2.30633 # DEPENDENCYPART_ARC
(0,22),-1.73963 # DEPENDENCYPART_ARC
(0,23),-0.407539 # DEPENDENCYPART_ARC
(0,24),-1.95697 # DEPENDENCYPART_ARC
(0,25),-1.83178 # DEPENDENCYPART_ARC
(1,2),1.63237 # DEPENDENCYPART_ARC
(1,3),3.47747 # DEPENDENCYPART_ARC
(1,4),0.0313459 # DEPENDENCYPART_ARC
(1,5),-0.406603 # DEPENDENCYPART_ARC
(1,6),-0.151155 # DEPENDENCYPART_ARC
(1,7),-0.318795 # DEPENDENCYPART_ARC
(1,8),0.0408813 # DEPENDENCYPART_ARC
(1,9),-0.383636 # DEPENDENCYPART_ARC
(1,10),-0.284112 # DEPENDENCYPART_ARC
(1,11),-1.82614 # DEPENDENCYPART_ARC
(1,12),-0.994127 # DEPENDENCYPART_ARC
(1,13),-3.04119 # DEPENDENCYPART_ARC
(1,14),-0.0683915 # DEPENDENCYPART_ARC
(1,15),-1.42919 # DEPENDENCYPART_ARC
(1,16),-1.97282 # DEPENDENCYPART_ARC
(1,17),-1.47586 # DEPENDENCYPART_ARC
(1,18),-1.98557 # DEPENDENCYPART_ARC
(1,19),-2.84468 # DEPENDENCYPART_ARC
(1,20),-2.82135 # DEPENDENCYPART_ARC
(1,21),-1.10903 # DEPENDENCYPART_ARC
(1,22),-2.31007 # DEPENDENCYPART_ARC
(1,23),-6.10023 # DEPENDENCYPART_ARC
(1,24),-2.339 # DEPENDENCYPART_ARC
(1,25),-2.1679 # DEPENDENCYPART_ARC
(2,1),0.0878907 # DEPENDENCYPART_ARC
(2,3),1.43002 # DEPENDENCYPART_ARC
(2,4),-0.00453905 # DEPENDENCYPART_ARC
(2,5),0.533852 # DEPENDENCYPART_ARC
(2,6),-0.192569 # DEPENDENCYPART_ARC
(2,7),-0.622241 # DEPENDENCYPART_ARC
(2,8),-0.117024 # DEPENDENCYPART_ARC
(2,9),-0.649656 # DEPENDENCYPART_ARC
(2,10),-0.767918 # DEPENDENCYPART_ARC
(2,11),-0.844589 # DEPENDENCYPART_ARC
(2,12),-0.679343 # DEPENDENCYPART_ARC
(2,13),-0.842931 # DEPENDENCYPART_ARC
(2,14),-0.508017 # DEPENDENCYPART_ARC
(2,15),-0.937605 # DEPENDENCYPART_ARC
(2,16),-0.931669 # DEPENDENCYPART_ARC
(2,17),-1.01199 # DEPENDENCYPART_ARC
(2,18),-1.01297 # DEPENDENCYPART_ARC
(2,19),-1.50755 # DEPENDENCYPART_ARC
(2,20),-1.74008 # DEPENDENCYPART_ARC
(2,21),-1.96185 # DEPENDENCYPART_ARC
(2,22),-1.55661 # DEPENDENCYPART_ARC
(2,23),-1.47092 # DEPENDENCYPART_ARC
(2,24),-1.96493 # DEPENDENCYPART_ARC
(2,25),-1.90395 # DEPENDENCYPART_ARC
(3,1),0.938922 # DEPENDENCYPART_ARC
(3,2),2.75735 # DEPENDENCYPART_ARC
(3,4),0.890647 # DEPENDENCYPART_ARC
(3,5),0.293178 # DEPENDENCYPART_ARC
(3,6),0.917819 # DEPENDENCYPART_ARC
(3,7),0.690588 # DEPENDENCYPART_ARC
(3,8),0.10093 # DEPENDENCYPART_ARC
(3,9),-0.189639 # DEPENDENCYPART_ARC
(3,10),0.748057 # DEPENDENCYPART_ARC
(3,11),0.431875 # DEPENDENCYPART_ARC
(3,12),0.298374 # DEPENDENCYPART_ARC
(3,13),0.328415 # DEPENDENCYPART_ARC
(3,14),0.90956 # DEPENDENCYPART_ARC
(3,15),-0.159247 # DEPENDENCYPART_ARC
(3,16),-1.55259 # DEPENDENCYPART_ARC
(3,17),-0.829198 # DEPENDENCYPART_ARC
(3,18),-1.70888 # DEPENDENCYPART_ARC
(3,19),0.13792 # DEPENDENCYPART_ARC
(3,20),-0.60524 # DEPENDENCYPART_ARC
(3,21),-1.40725 # DEPENDENCYPART_ARC
(3,22),-2.90696 # DEPENDENCYPART_ARC
(3,23),-1.01812 # DEPENDENCYPART_ARC
(3,24),-2.98414 # DEPENDENCYPART_ARC
(3,25),-3.58367 # DEPENDENCYPART_ARC
(4,1),-1.1325 # DEPENDENCYPART_ARC
(4,2),-1.13644 # DEPENDENCYPART_ARC
(4,3),-0.672555 # DEPENDENCYPART_ARC
(4,5),-0.376924 # DEPENDENCYPART_ARC
(4,6),-1.07281 # DEPENDENCYPART_ARC
(4,7),-0.373471 # DEPENDENCYPART_ARC
(4,8),-0.485963 # DEPENDENCYPART_ARC
(4,9),-1.91895 # DEPENDENCYPART_ARC
(4,10),-1.73442 # DEPENDENCYPART_ARC
(4,11),-1.93525 # DEPENDENCYPART_ARC
(4,12),-1.99891 # DEPENDENCYPART_ARC
(4,13),-1.99727 # DEPENDENCYPART_ARC
(4,14),-1.71211 # DEPENDENCYPART_ARC
(4,15),-2.02017 # DEPENDENCYPART_ARC
(4,16),-2.09101 # DEPENDENCYPART_ARC
(4,17),-1.9732 # DEPENDENCYPART_ARC
(4,18),-2.17177 # DEPENDENCYPART_ARC
(4,19),-1.98319 # DEPENDENCYPART_ARC
(4,20),-2.0965 # DEPENDENCYPART_ARC
(4,21),-2.44025 # DEPENDENCYPART_ARC
(4,22),-2.25647 # DEPENDENCYPART_ARC
(4,23),-2.59448 # DEPENDENCYPART_ARC
(4,24),-2.21566 # DEPENDENCYPART_ARC
(4,25),-1.77911 # DEPENDENCYPART_ARC
(5,1),-0.505077 # DEPENDENCYPART_ARC
(5,2),0.639769 # DEPENDENCYPART_ARC
(5,3),-0.671784 # DEPENDENCYPART_ARC
(5,4),2.06487 # DEPENDENCYPART_ARC
(5,6),0.688073 # DEPENDENCYPART_ARC
(5,7),0.174539 # DEPENDENCYPART_ARC
(5,8),0.0938921 # DEPENDENCYPART_ARC
(5,9),-0.293486 # DEPENDENCYPART_ARC
(5,10),-0.94746 # DEPENDENCYPART_ARC
(5,11),-0.665736 # DEPENDENCYPART_ARC
(5,12),-0.398583 # DEPENDENCYPART_ARC
(5,13),-0.838677 # DEPENDENCYPART_ARC
(5,14),-0.0680022 # DEPENDENCYPART_ARC
(5,15),-0.524021 # DEPENDENCYPART_ARC
(5,16),-1.23135 # DEPENDENCYPART_ARC
(5,17),-0.914637 # DEPENDENCYPART_ARC
(5,18),-0.271552 # DEPENDENCYPART_ARC
(5,19),-1.21619 # DEPENDENCYPART_ARC
(5,20),-1.33958 # DEPENDENCYPART_ARC
(5,21),-1.52595 # DEPENDENCYPART_ARC
(5,22),-1.28914 # DEPENDENCYPART_ARC
(5,23),-1.53261 # DEPENDENCYPART_ARC
(5,24),-1.64596 # DEPENDENCYPART_ARC
(5,25),-1.57379 # DEPENDENCYPART_ARC
(6,1),-0.713245 # DEPENDENCYPART_ARC
(6,2),0.551054 # DEPENDENCYPART_ARC
(6,3),-1.44026 # DEPENDENCYPART_ARC
(6,4),0.0335935 # DEPENDENCYPART_ARC
(6,5),2.77499 # DEPENDENCYPART_ARC
(6,7),2.29937 # DEPENDENCYPART_ARC
(6,8),0.232294 # DEPENDENCYPART_ARC
(6,9),-0.065183 # DEPENDENCYPART_ARC
(6,10),-0.723643 # DEPENDENCYPART_ARC
(6,11),-0.105166 # DEPENDENCYPART_ARC
(6,12),0.104067 # DEPENDENCYPART_ARC
(6,13),0.31124 # DEPENDENCYPART_ARC
(6,14),0.587971 # DEPENDENCYPART_ARC
(6,15),-0.0337324 # DEPENDENCYPART_ARC
(6,16),-1.82733 # DEPENDENCYPART_ARC
(6,17),-0.996256 # DEPENDENCYPART_ARC
(6,18),-0.344235 # DEPENDENCYPART_ARC
(6,19),0.116897 # DEPENDENCYPART_ARC
(6,20),0.0668099 # DEPENDENCYPART_ARC
(6,21),-1.99735 # DEPENDENCYPART_ARC
(6,22),-2.46682 # DEPENDENCYPART_ARC
(6,23),-1.18356 # DEPENDENCYPART_ARC
