# _root_ Il padre di lei , spalleggiato forse dalla moglie , gli ha sparato contro numerosi colpi d' arma da fuoco .
#goldHeads=2,13,2,3,4,2,8,6,8,9,13,13,0,13,16,13,16,17,18,19,20,
#predictedHeads=2,13,2,3,4,2,6,6,8,9,13,13,0,13,16,13,16,17,16,19,20,
(0,1),-0.594265 # DEPENDENCYPART_ARC
(0,2),-0.531199 # DEPENDENCYPART_ARC
(0,3),-1.33741 # DEPENDENCYPART_ARC
(0,4),-0.951633 # DEPENDENCYPART_ARC
(0,5),-0.672222 # DEPENDENCYPART_ARC
(0,6),0.634173 # DEPENDENCYPART_ARC
(0,7),-1.12605 # DEPENDENCYPART_ARC
(0,8),-1.22916 # DEPENDENCYPART_ARC
(0,9),-0.750275 # DEPENDENCYPART_ARC
(0,10),-0.587693 # DEPENDENCYPART_ARC
(0,11),-1.29733 # DEPENDENCYPART_ARC
(0,12),0.60841 # DEPENDENCYPART_ARC
(0,13),0.314931 # DEPENDENCYPART_ARC
(0,14),-1.36667 # DEPENDENCYPART_ARC
(0,15),-1.37684 # DEPENDENCYPART_ARC
(0,16),-0.757352 # DEPENDENCYPART_ARC
(0,17),-2.25145 # DEPENDENCYPART_ARC
(0,18),-0.682748 # DEPENDENCYPART_ARC
(0,19),-2.87201 # DEPENDENCYPART_ARC
(0,20),-0.617823 # DEPENDENCYPART_ARC
(0,21),-1.67177 # DEPENDENCYPART_ARC
(1,2),0.676218 # DEPENDENCYPART_ARC
(1,3),-0.112042 # DEPENDENCYPART_ARC
(1,4),-1.69096 # DEPENDENCYPART_ARC
(1,5),-0.763043 # DEPENDENCYPART_ARC
(1,6),-1.04574 # DEPENDENCYPART_ARC
(1,7),-1.48814 # DEPENDENCYPART_ARC
(1,8),-1.10176 # DEPENDENCYPART_ARC
(1,9),-1.30099 # DEPENDENCYPART_ARC
(1,10),-1.16384 # DEPENDENCYPART_ARC
(1,11),-2.30699 # DEPENDENCYPART_ARC
(1,12),-1.42935 # DEPENDENCYPART_ARC
(1,13),-1.64437 # DEPENDENCYPART_ARC
(1,14),-1.85304 # DEPENDENCYPART_ARC
(1,15),-2.85471 # DEPENDENCYPART_ARC
(1,16),-1.7146 # DEPENDENCYPART_ARC
(1,17),-1.60946 # DEPENDENCYPART_ARC
(1,18),-1.60019 # DEPENDENCYPART_ARC
(1,19),-1.69781 # DEPENDENCYPART_ARC
(1,20),-1.7131 # DEPENDENCYPART_ARC
(1,21),-1.76939 # DEPENDENCYPART_ARC
(2,1),3.73562 # DEPENDENCYPART_ARC
(2,3),1.97785 # DEPENDENCYPART_ARC
(2,4),0.245214 # DEPENDENCYPART_ARC
(2,5),0.945788 # DEPENDENCYPART_ARC
(2,6),2.56093 # DEPENDENCYPART_ARC
(2,7),0.109986 # DEPENDENCYPART_ARC
(2,8),0.13098 # DEPENDENCYPART_ARC
(2,9),0.246621 # DEPENDENCYPART_ARC
(2,10),0.396548 # DEPENDENCYPART_ARC
(2,11),-1.29697 # DEPENDENCYPART_ARC
(2,12),0.864904 # DEPENDENCYPART_ARC
(2,13),0.822376 # DEPENDENCYPART_ARC
(2,14),-0.107142 # DEPENDENCYPART_ARC
(2,15),-0.860515 # DEPENDENCYPART_ARC
(2,16),-0.62099 # DEPENDENCYPART_ARC
(2,17),-0.527707 # DEPENDENCYPART_ARC
(2,18),-0.549775 # DEPENDENCYPART_ARC
(2,19),-0.152965 # DEPENDENCYPART_ARC
(2,20),-0.678687 # DEPENDENCYPART_ARC
(2,21),-2.68983 # DEPENDENCYPART_ARC
(3,1),-0.730084 # DEPENDENCYPART_ARC
(3,2),-0.496661 # DEPENDENCYPART_ARC
(3,4),2.6183 # DEPENDENCYPART_ARC
(3,5),0.00308651 # DEPENDENCYPART_ARC
(3,6),-0.0743306 # DEPENDENCYPART_ARC
(3,7),-1.00692 # DEPENDENCYPART_ARC
(3,8),-0.722786 # DEPENDENCYPART_ARC
(3,9),-0.884359 # DEPENDENCYPART_ARC
(3,10),-0.2527 # DEPENDENCYPART_ARC
(3,11),-0.821987 # DEPENDENCYPART_ARC
(3,12),-1.8418 # DEPENDENCYPART_ARC
(3,13),-1.93564 # DEPENDENCYPART_ARC
(3,14),-1.98796 # DEPENDENCYPART_ARC
(3,15),-1.8067 # DEPENDENCYPART_ARC
