# _root_ Collezione " Bi Marmi " , ( distr. da Palazzo ) in marmo naturale , assemblato a mosaico .
#goldHeads=0,3,1,3,4,5,8,1,8,9,10,1,12,13,14,13,16,17,18,
#predictedHeads=0,3,1,3,4,5,8,1,8,9,10,8,12,13,14,13,16,17,18,
(0,1),0.952079 # DEPENDENCYPART_ARC
(0,2),-0.969681 # DEPENDENCYPART_ARC
(0,3),1.11845 # DEPENDENCYPART_ARC
(0,4),0.49539 # DEPENDENCYPART_ARC
(0,5),-0.963159 # DEPENDENCYPART_ARC
(0,6),-0.231404 # DEPENDENCYPART_ARC
(0,7),-0.378606 # DEPENDENCYPART_ARC
(0,8),0.231441 # DEPENDENCYPART_ARC
(0,9),-1.04166 # DEPENDENCYPART_ARC
(0,10),-0.0653224 # DEPENDENCYPART_ARC
(0,11),-0.540046 # DEPENDENCYPART_ARC
(0,12),-1.31025 # DEPENDENCYPART_ARC
(0,13),0.343296 # DEPENDENCYPART_ARC
(0,14),-0.979479 # DEPENDENCYPART_ARC
(0,15),-0.56975 # DEPENDENCYPART_ARC
(0,16),0.981935 # DEPENDENCYPART_ARC
(0,17),-1.29387 # DEPENDENCYPART_ARC
(0,18),0.120077 # DEPENDENCYPART_ARC
(0,19),-1.19207 # DEPENDENCYPART_ARC
(1,2),2.07013 # DEPENDENCYPART_ARC
(1,3),1.66362 # DEPENDENCYPART_ARC
(1,4),1.33284 # DEPENDENCYPART_ARC
(1,5),0.501711 # DEPENDENCYPART_ARC
(1,6),0.859983 # DEPENDENCYPART_ARC
(1,7),-1.3251 # DEPENDENCYPART_ARC
(1,8),1.36303 # DEPENDENCYPART_ARC
(1,9),0.36754 # DEPENDENCYPART_ARC
(1,10),1.14028 # DEPENDENCYPART_ARC
(1,11),-0.559791 # DEPENDENCYPART_ARC
(1,12),-0.0131337 # DEPENDENCYPART_ARC
(1,13),0.879246 # DEPENDENCYPART_ARC
(1,14),0.945529 # DEPENDENCYPART_ARC
(1,15),0.629123 # DEPENDENCYPART_ARC
(1,16),0.378843 # DEPENDENCYPART_ARC
(1,17),0.00368631 # DEPENDENCYPART_ARC
(1,18),0.0551155 # DEPENDENCYPART_ARC
(1,19),-2.35157 # DEPENDENCYPART_ARC
(2,1),-0.638774 # DEPENDENCYPART_ARC
(2,3),-0.443176 # DEPENDENCYPART_ARC
(2,4),-1.20252 # DEPENDENCYPART_ARC
(2,5),-0.47938 # DEPENDENCYPART_ARC
(2,6),0.148944 # DEPENDENCYPART_ARC
(2,7),-0.755377 # DEPENDENCYPART_ARC
(2,8),-1.39409 # DEPENDENCYPART_ARC
(2,9),-2.08509 # DEPENDENCYPART_ARC
(2,10),-2.08365 # DEPENDENCYPART_ARC
(2,11),-0.720542 # DEPENDENCYPART_ARC
(2,12),-2.21781 # DEPENDENCYPART_ARC
(2,13),-2.11709 # DEPENDENCYPART_ARC
(2,14),-2.28462 # DEPENDENCYPART_ARC
(2,15),-0.797716 # DEPENDENCYPART_ARC
(2,16),-1.98418 # DEPENDENCYPART_ARC
(2,17),-2.52166 # DEPENDENCYPART_ARC
(2,18),-2.39469 # DEPENDENCYPART_ARC
(2,19),-1.59783 # DEPENDENCYPART_ARC
(3,1),-1.56443 # DEPENDENCYPART_ARC
(3,2),2.69583 # DEPENDENCYPART_ARC
(3,4),2.89872 # DEPENDENCYPART_ARC
(3,5),0.189692 # DEPENDENCYPART_ARC
(3,6),0.522055 # DEPENDENCYPART_ARC
(3,7),-1.51109 # DEPENDENCYPART_ARC
(3,8),0.821811 # DEPENDENCYPART_ARC
(3,9),0.347789 # DEPENDENCYPART_ARC
(3,10),0.810619 # DEPENDENCYPART_ARC
(3,11),-0.974934 # DEPENDENCYPART_ARC
(3,12),0.268163 # DEPENDENCYPART_ARC
(3,13),0.810528 # DEPENDENCYPART_ARC
(3,14),0.480775 # DEPENDENCYPART_ARC
(3,15),0.23029 # DEPENDENCYPART_ARC
(3,16),0.65131 # DEPENDENCYPART_ARC
(3,17),-0.131222 # DEPENDENCYPART_ARC
(3,18),-0.370171 # DEPENDENCYPART_ARC
(3,19),-2.746 # DEPENDENCYPART_ARC
(4,1),-1.97664 # DEPENDENCYPART_ARC
(4,2),0.665837 # DEPENDENCYPART_ARC
(4,3),2.86401 # DEPENDENCYPART_ARC
(4,5),2.1214 # DEPENDENCYPART_ARC
(4,6),0.499526 # DEPENDENCYPART_ARC
(4,7),-1.36264 # DEPENDENCYPART_ARC
(4,8),0.61019 # DEPENDENCYPART_ARC
(4,9),-0.397283 # DEPENDENCYPART_ARC
(4,10),0.798116 # DEPENDENCYPART_ARC
(4,11),-0.34219 # DEPENDENCYPART_ARC
(4,12),-0.365785 # DEPENDENCYPART_ARC
(4,13),0.538049 # DEPENDENCYPART_ARC
(4,14),-0.0601038 # DEPENDENCYPART_ARC
(4,15),-0.141889 # DEPENDENCYPART_ARC
(4,16),0.140001 # DEPENDENCYPART_ARC
(4,17),-0.981429 # DEPENDENCYPART_ARC
(4,18),-0.295167 # DEPENDENCYPART_ARC
(4,19),-2.32471 # DEPENDENCYPART_ARC
(5,1),-1.36896 # DEPENDENCYPART_ARC
(5,2),-0.63583 # DEPENDENCYPART_ARC
(5,3),-0.809618 # DEPENDENCYPART_ARC
(5,4),0.049957 # DEPENDENCYPART_ARC
(5,6),2.60154 # DEPENDENCYPART_ARC
(5,7),0.624178 # DEPENDENCYPART_ARC
(5,8),-0.440457 # DEPENDENCYPART_ARC
(5,9),-1.2146 # DEPENDENCYPART_ARC
(5,10),-1.17191 # DEPENDENCYPART_ARC
(5,11),0.320018 # DEPENDENCYPART_ARC
(5,12),-1.49783 # DEPENDENCYPART_ARC
(5,13),-1.35621 # DEPENDENCYPART_ARC
(5,14),-1.55595 # DEPENDENCYPART_ARC
(5,15),0.380681 # DEPENDENCYPART_ARC
(5,16),-1.29706 # DEPENDENCYPART_ARC
(5,17),-1.7511 # DEPENDENCYPART_ARC
(5,18),-1.68479 # DEPENDENCYPART_ARC
(5,19),-0.531669 # DEPENDENCYPART_ARC
(6,1),-1.44795 # DEPENDENCYPART_ARC
(6,2),-1.11309 # DEPENDENCYPART_ARC
(6,3),-0.966503 # DEPENDENCYPART_ARC
(6,4),-0.823011 # DEPENDENCYPART_ARC
(6,5),0.542097 # DEPENDENCYPART_ARC
(6,7),0.826735 # DEPENDENCYPART_ARC
(6,8),-0.75701 # DEPENDENCYPART_ARC
(6,9),-1.3993 # DEPENDENCYPART_ARC
(6,10),-1.45514 # DEPENDENCYPART_ARC
(6,11),-0.513198 # DEPENDENCYPART_ARC
(6,12),-1.79874 # DEPENDENCYPART_ARC
(6,13),-1.70552 # DEPENDENCYPART_ARC
(6,14),-1.9027 # DEPENDENCYPART_ARC
(6,15),-0.365112 # DEPENDENCYPART_ARC
(6,16),-1.53957 # DEPENDENCYPART_ARC
(6,17),-2.07268 # DEPENDENCYPART_ARC
(6,18),-2.03184 # DEPENDENCYPART_ARC
(6,19),-1.08882 # DEPENDENCYPART_ARC
(7,1),-2.39286 # DEPENDENCYPART_ARC
(7,2),-2.04734 # DEPENDENCYPART_ARC
(7,3),-2.12718 # DEPENDENCYPART_ARC
