# _root_ Poi , grazie_ai successi , avrò anche i soldi " .
#goldHeads=6,1,6,3,4,0,9,9,6,9,10,
#predictedHeads=6,1,6,3,4,0,9,9,6,9,10,
(0,1),-0.534786 # DEPENDENCYPART_ARC
(0,2),-0.604578 # DEPENDENCYPART_ARC
(0,3),-0.632842 # DEPENDENCYPART_ARC
(0,4),-0.281814 # DEPENDENCYPART_ARC
(0,5),-0.49909 # DEPENDENCYPART_ARC
(0,6),1.67284 # DEPENDENCYPART_ARC
(0,7),-0.780449 # DEPENDENCYPART_ARC
(0,9),-0.465972 # DEPENDENCYPART_ARC
(0,10),-0.820761 # DEPENDENCYPART_ARC
(0,11),-0.755206 # DEPENDENCYPART_ARC
(1,2),2.10319 # DEPENDENCYPART_ARC
(1,3),-0.58313 # DEPENDENCYPART_ARC
(1,4),-0.582557 # DEPENDENCYPART_ARC
(1,5),0.13738 # DEPENDENCYPART_ARC
(1,6),-0.735043 # DEPENDENCYPART_ARC
(1,7),-0.807173 # DEPENDENCYPART_ARC
(1,8),-1.05553 # DEPENDENCYPART_ARC
(1,9),-1.8077 # DEPENDENCYPART_ARC
(1,10),-1.2226 # DEPENDENCYPART_ARC
(1,11),-1.1504 # DEPENDENCYPART_ARC
(2,5),-0.260314 # DEPENDENCYPART_ARC
(2,8),-1.18996 # DEPENDENCYPART_ARC
(2,10),-1.46214 # DEPENDENCYPART_ARC
(2,11),-0.845518 # DEPENDENCYPART_ARC
(3,1),-0.270976 # DEPENDENCYPART_ARC
(3,2),0.363947 # DEPENDENCYPART_ARC
(3,4),4.32799 # DEPENDENCYPART_ARC
(3,5),0.192545 # DEPENDENCYPART_ARC
(3,6),-0.424349 # DEPENDENCYPART_ARC
(3,7),-1.03645 # DEPENDENCYPART_ARC
(3,8),-1.24357 # DEPENDENCYPART_ARC
(3,9),-1.27543 # DEPENDENCYPART_ARC
(3,10),-1.0457 # DEPENDENCYPART_ARC
(3,11),-1.02885 # DEPENDENCYPART_ARC
(4,1),-0.293875 # DEPENDENCYPART_ARC
(4,2),-1.32728 # DEPENDENCYPART_ARC
(4,3),1.16487 # DEPENDENCYPART_ARC
(4,5),2.34058 # DEPENDENCYPART_ARC
(4,6),-0.639415 # DEPENDENCYPART_ARC
(4,7),-0.361819 # DEPENDENCYPART_ARC
(4,8),-0.073284 # DEPENDENCYPART_ARC
(4,9),0.230089 # DEPENDENCYPART_ARC
(4,10),0.0927368 # DEPENDENCYPART_ARC
(4,11),-1.05153 # DEPENDENCYPART_ARC
(5,2),-1.19034 # DEPENDENCYPART_ARC
(5,8),-1.40255 # DEPENDENCYPART_ARC
(5,10),-1.89687 # DEPENDENCYPART_ARC
(5,11),-1.05828 # DEPENDENCYPART_ARC
(6,1),0.220199 # DEPENDENCYPART_ARC
(6,2),-1.80935 # DEPENDENCYPART_ARC
(6,3),0.339868 # DEPENDENCYPART_ARC
(6,4),-1.34727 # DEPENDENCYPART_ARC
(6,5),-0.157366 # DEPENDENCYPART_ARC
(6,7),0.75993 # DEPENDENCYPART_ARC
(6,8),-0.833719 # DEPENDENCYPART_ARC
(6,9),0.50517 # DEPENDENCYPART_ARC
(6,10),-0.654821 # DEPENDENCYPART_ARC
(6,11),-0.521744 # DEPENDENCYPART_ARC
(7,1),-1.45708 # DEPENDENCYPART_ARC
(7,2),-1.36738 # DEPENDENCYPART_ARC
(7,3),-1.17343 # DEPENDENCYPART_ARC
(7,4),-1.3324 # DEPENDENCYPART_ARC
(7,5),-0.567873 # DEPENDENCYPART_ARC
(7,6),-0.264788 # DEPENDENCYPART_ARC
(7,9),-0.284881 # DEPENDENCYPART_ARC
(7,10),-0.616672 # DEPENDENCYPART_ARC
(7,11),-0.477688 # DEPENDENCYPART_ARC
(8,2),-1.01583 # DEPENDENCYPART_ARC
(8,3),-1.00732 # DEPENDENCYPART_ARC
(8,4),-0.900566 # DEPENDENCYPART_ARC
(8,5),-0.540689 # DEPENDENCYPART_ARC
(8,6),-1.43405 # DEPENDENCYPART_ARC
(8,9),1.18053 # DEPENDENCYPART_ARC
(8,10),-0.219968 # DEPENDENCYPART_ARC
(8,11),-0.326099 # DEPENDENCYPART_ARC
(9,1),-0.780817 # DEPENDENCYPART_ARC
(9,2),-2.51994 # DEPENDENCYPART_ARC
(9,3),-0.432338 # DEPENDENCYPART_ARC
(9,4),-0.504139 # DEPENDENCYPART_ARC
(9,5),-1.94206 # DEPENDENCYPART_ARC
(9,6),-2.03893 # DEPENDENCYPART_ARC
(9,7),1.61329 # DEPENDENCYPART_ARC
(9,8),3.90642 # DEPENDENCYPART_ARC
(9,10),1.66449 # DEPENDENCYPART_ARC
(9,11),-0.429909 # DEPENDENCYPART_ARC
(10,2),-1.45382 # DEPENDENCYPART_ARC
(10,5),-1.25009 # DEPENDENCYPART_ARC
(10,8),-0.0551497 # DEPENDENCYPART_ARC
(10,11),2.66197 # DEPENDENCYPART_ARC
(11,2),-1.12488 # DEPENDENCYPART_ARC
(11,5),-1.00094 # DEPENDENCYPART_ARC
(11,8),-0.0491997 # DEPENDENCYPART_ARC
(11,10),0.702308 # DEPENDENCYPART_ARC
