# _root_ Nell' 89 , Palombella rossa e infine Caro diario nel '93 , anno in cui il Festival di Toronto gli dedica una retrospettiva completa .
#goldHeads=4,1,2,0,4,4,4,4,8,8,10,11,11,21,14,17,21,17,18,21,13,23,21,23,24,
#predictedHeads=21,1,2,1,4,5,9,9,4,9,10,11,10,21,14,17,21,17,18,21,0,23,21,23,24,
(0,1),-1.19287 # DEPENDENCYPART_ARC
(0,2),-0.887784 # DEPENDENCYPART_ARC
(0,3),-0.428951 # DEPENDENCYPART_ARC
(0,4),0.0523466 # DEPENDENCYPART_ARC
(0,5),-1.00979 # DEPENDENCYPART_ARC
(0,6),-1.5644 # DEPENDENCYPART_ARC
(0,7),-1.25855 # DEPENDENCYPART_ARC
(0,8),-1.13754 # DEPENDENCYPART_ARC
(0,9),-0.347316 # DEPENDENCYPART_ARC
(0,10),-1.57195 # DEPENDENCYPART_ARC
(0,11),-1.01532 # DEPENDENCYPART_ARC
(0,12),-0.548906 # DEPENDENCYPART_ARC
(0,13),-0.210853 # DEPENDENCYPART_ARC
(0,14),-2.52121 # DEPENDENCYPART_ARC
(0,17),0.198306 # DEPENDENCYPART_ARC
(0,18),-2.38079 # DEPENDENCYPART_ARC
(0,19),-0.554259 # DEPENDENCYPART_ARC
(0,20),-1.54928 # DEPENDENCYPART_ARC
(0,21),0.616748 # DEPENDENCYPART_ARC
(0,23),-0.696827 # DEPENDENCYPART_ARC
(0,24),-1.3661 # DEPENDENCYPART_ARC
(0,25),-1.70076 # DEPENDENCYPART_ARC
(1,2),1.56202 # DEPENDENCYPART_ARC
(1,3),0.396204 # DEPENDENCYPART_ARC
(1,4),1.08555 # DEPENDENCYPART_ARC
(1,5),-0.875839 # DEPENDENCYPART_ARC
(1,6),0.29657 # DEPENDENCYPART_ARC
(1,7),-0.608164 # DEPENDENCYPART_ARC
(1,8),-0.823674 # DEPENDENCYPART_ARC
(1,9),-0.901088 # DEPENDENCYPART_ARC
(1,10),-0.0841966 # DEPENDENCYPART_ARC
(1,11),-0.376646 # DEPENDENCYPART_ARC
(1,12),-0.658691 # DEPENDENCYPART_ARC
(1,13),-2.37013 # DEPENDENCYPART_ARC
(1,14),-1.57638 # DEPENDENCYPART_ARC
(1,15),-0.651856 # DEPENDENCYPART_ARC
(1,16),-1.65795 # DEPENDENCYPART_ARC
(1,17),-4.04354 # DEPENDENCYPART_ARC
(1,18),-1.28075 # DEPENDENCYPART_ARC
(1,19),-4.17359 # DEPENDENCYPART_ARC
(1,20),-2.05384 # DEPENDENCYPART_ARC
(1,21),-3.00306 # DEPENDENCYPART_ARC
(1,22),-2.36668 # DEPENDENCYPART_ARC
(1,23),-7.53263 # DEPENDENCYPART_ARC
(1,24),-2.14623 # DEPENDENCYPART_ARC
(1,25),-2.46012 # DEPENDENCYPART_ARC
(2,1),0.137725 # DEPENDENCYPART_ARC
(2,3),1.77687 # DEPENDENCYPART_ARC
(2,5),-0.0685658 # DEPENDENCYPART_ARC
(2,6),-0.0482048 # DEPENDENCYPART_ARC
(2,7),-0.299738 # DEPENDENCYPART_ARC
(2,8),-0.523098 # DEPENDENCYPART_ARC
(2,9),-0.526083 # DEPENDENCYPART_ARC
(2,10),-0.722375 # DEPENDENCYPART_ARC
(2,11),-0.32306 # DEPENDENCYPART_ARC
(2,12),0.306358 # DEPENDENCYPART_ARC
(2,13),-0.649259 # DEPENDENCYPART_ARC
(2,14),-1.00111 # DEPENDENCYPART_ARC
(2,16),-0.650726 # DEPENDENCYPART_ARC
(2,17),-0.742382 # DEPENDENCYPART_ARC
(2,18),-0.890339 # DEPENDENCYPART_ARC
(2,21),-1.49391 # DEPENDENCYPART_ARC
(2,22),-1.06649 # DEPENDENCYPART_ARC
(2,23),-0.951266 # DEPENDENCYPART_ARC
(2,24),-1.23505 # DEPENDENCYPART_ARC
(2,25),-1.387 # DEPENDENCYPART_ARC
(3,12),-1.14881 # DEPENDENCYPART_ARC
(3,16),-1.4898 # DEPENDENCYPART_ARC
(3,22),-1.85404 # DEPENDENCYPART_ARC
(3,25),-2.15945 # DEPENDENCYPART_ARC
(4,1),-0.364978 # DEPENDENCYPART_ARC
(4,2),0.618284 # DEPENDENCYPART_ARC
(4,3),0.596602 # DEPENDENCYPART_ARC
(4,5),2.40744 # DEPENDENCYPART_ARC
(4,6),0.762929 # DEPENDENCYPART_ARC
(4,7),-0.0132705 # DEPENDENCYPART_ARC
(4,8),0.463555 # DEPENDENCYPART_ARC
(4,9),0.460911 # DEPENDENCYPART_ARC
(4,10),-0.0593267 # DEPENDENCYPART_ARC
(4,11),-0.38611 # DEPENDENCYPART_ARC
(4,12),0.254084 # DEPENDENCYPART_ARC
(4,13),0.0536031 # DEPENDENCYPART_ARC
(4,14),-0.131131 # DEPENDENCYPART_ARC
(4,16),-0.472754 # DEPENDENCYPART_ARC
(4,17),-0.744236 # DEPENDENCYPART_ARC
(4,18),-0.524777 # DEPENDENCYPART_ARC
(4,19),-0.617169 # DEPENDENCYPART_ARC
(4,20),-1.09783 # DEPENDENCYPART_ARC
(4,21),0.717354 # DEPENDENCYPART_ARC
(4,22),-0.593285 # DEPENDENCYPART_ARC
(4,23),-1.31047 # DEPENDENCYPART_ARC
(4,24),-1.3967 # DEPENDENCYPART_ARC
(4,25),-3.25517 # DEPENDENCYPART_ARC
(5,1),-0.490271 # DEPENDENCYPART_ARC
(5,2),-0.00258047 # DEPENDENCYPART_ARC
(5,3),0.0588492 # DEPENDENCYPART_ARC
(5,4),0.633679 # DEPENDENCYPART_ARC
(5,6),1.38519 # DEPENDENCYPART_ARC
(5,7),0.252789 # DEPENDENCYPART_ARC
(5,8),1.25328 # DEPENDENCYPART_ARC
(5,9),-0.182211 # DEPENDENCYPART_ARC
(5,10),0.220765 # DEPENDENCYPART_ARC
(5,11),-0.158184 # DEPENDENCYPART_ARC
(5,12),0.534429 # DEPENDENCYPART_ARC
(5,13),-0.512723 # DEPENDENCYPART_ARC
(5,14),-0.107146 # DEPENDENCYPART_ARC
(5,15),-1.51111 # DEPENDENCYPART_ARC
(5,16),-0.847926 # DEPENDENCYPART_ARC
(5,17),-0.530699 # DEPENDENCYPART_ARC
(5,18),-0.398951 # DEPENDENCYPART_ARC
(5,19),-0.35296 # DEPENDENCYPART_ARC
(5,20),-1.97711 # DEPENDENCYPART_ARC
(5,21),-1.07008 # DEPENDENCYPART_ARC
(5,22),-0.974621 # DEPENDENCYPART_ARC
(5,23),-1.31499 # DEPENDENCYPART_ARC
(5,24),-0.653165 # DEPENDENCYPART_ARC
(5,25),-1.40295 # DEPENDENCYPART_ARC
(6,1),-1.50642 # DEPENDENCYPART_ARC
(6,2),-1.50322 # DEPENDENCYPART_ARC
(6,3),-1.08662 # DEPENDENCYPART_ARC
(6,4),-1.33689 # DEPENDENCYPART_ARC
(6,5),-0.357334 # DEPENDENCYPART_ARC
(6,7),-0.835957 # DEPENDENCYPART_ARC
(6,8),-0.615498 # DEPENDENCYPART_ARC
(6,9),-1.13437 # DEPENDENCYPART_ARC
(6,10),-1.33782 # DEPENDENCYPART_ARC
(6,11),-1.12478 # DEPENDENCYPART_ARC
(6,12),-0.365551 # DEPENDENCYPART_ARC
(6,13),-1.64111 # DEPENDENCYPART_ARC
(6,14),-1.68448 # DEPENDENCYPART_ARC
(6,15),-1.84584 # DEPENDENCYPART_ARC
(6,17),-1.63372 # DEPENDENCYPART_ARC
(6,18),-1.70957 # DEPENDENCYPART_ARC
(6,19),-1.64533 # DEPENDENCYPART_ARC
(6,20),-1.98377 # DEPENDENCYPART_ARC
(6,21),-2.33691 # DEPENDENCYPART_ARC
(6,23),-1.91997 # DEPENDENCYPART_ARC
(6,24),-1.9738 # DEPENDENCYPART_ARC
(6,25),-1.97029 # DEPENDENCYPART_ARC
(7,1),-2.36726 # DEPENDENCYPART_ARC
(7,2),-2.46683 # DEPENDENCYPART_ARC
(7,3),-2.38182 # DEPENDENCYPART_ARC
(7,4),-2.5449 # DEPENDENCYPART_ARC
(7,5),-1.89168 # DEPENDENCYPART_ARC
(7,6),-0.866728 # DEPENDENCYPART_ARC
(7,8),0.256688 # DEPENDENCYPART_ARC
(7,9),-0.14567 # DEPENDENCYPART_ARC
(7,10),-0.689128 # DEPENDENCYPART_ARC
(7,11),-0.964797 # DEPENDENCYPART_ARC
(7,12),-0.486417 # DEPENDENCYPART_ARC
(7,13),-1.28293 # DEPENDENCYPART_ARC
(7,14),-1.09665 # DEPENDENCYPART_ARC
(7,16),-1.30372 # DEPENDENCYPART_ARC
(7,17),-1.49491 # DEPENDENCYPART_ARC
(7,18),-1.30553 # DEPENDENCYPART_ARC
(7,19),-1.46096 # DEPENDENCYPART_ARC
(7,20),-1.57773 # DEPENDENCYPART_ARC
(7,21),-1.49051 # DEPENDENCYPART_ARC
(7,22),-1.6789 # DEPENDENCYPART_ARC
(7,23),-2.04282 # DEPENDENCYPART_ARC
(7,24),-2.03817 # DEPENDENCYPART_ARC
(7,25),-1.95208 # DEPENDENCYPART_ARC
(8,1),-1.65965 # DEPENDENCYPART_ARC
(8,2),-1.43552 # DEPENDENCYPART_ARC
(8,3),-1.6804 # DEPENDENCYPART_ARC
(8,4),-1.88636 # DEPENDENCYPART_ARC
(8,5),-1.36365 # DEPENDENCYPART_ARC
(8,6),-0.604609 # DEPENDENCYPART_ARC
(8,7),0.832735 # DEPENDENCYPART_ARC
(8,9),0.698796 # DEPENDENCYPART_ARC
(8,10),0.112081 # DEPENDENCYPART_ARC
(8,11),-0.575372 # DEPENDENCYPART_ARC
(8,12),-0.379896 # DEPENDENCYPART_ARC
(8,13),-0.696819 # DEPENDENCYPART_ARC
(8,14),-0.544901 # DEPENDENCYPART_ARC
(8,15),-2.38162 # DEPENDENCYPART_ARC
(8,16),-1.31139 # DEPENDENCYPART_ARC
(8,17),-1.08973 # DEPENDENCYPART_ARC
(8,18),-0.88086 # DEPENDENCYPART_ARC
(8,19),-0.787701 # DEPENDENCYPART_ARC
(8,20),-2.8724 # DEPENDENCYPART_ARC
(8,21),-2.17261 # DEPENDENCYPART_ARC
(8,22),-1.72486 # DEPENDENCYPART_ARC
(8,23),-1.85119 # DEPENDENCYPART_ARC
(8,24),-1.98132 # DEPENDENCYPART_ARC
(8,25),-2.07393 # DEPENDENCYPART_ARC
(9,1),-0.644967 # DEPENDENCYPART_ARC
(9,2),-0.107195 # DEPENDENCYPART_ARC
(9,3),-1.90461 # DEPENDENCYPART_ARC
(9,4),-1.17592 # DEPENDENCYPART_ARC
(9,5),0.84356 # DEPENDENCYPART_ARC
(9,6),-0.238488 # DEPENDENCYPART_ARC
(9,7),1.15459 # DEPENDENCYPART_ARC
(9,8),3.09574 # DEPENDENCYPART_ARC
(9,10),1.23289 # DEPENDENCYPART_ARC
(9,11),0.261043 # DEPENDENCYPART_ARC
(9,12),0.60164 # DEPENDENCYPART_ARC
(9,13),0.645591 # DEPENDENCYPART_ARC
(9,14),-0.283284 # DEPENDENCYPART_ARC
(9,15),-1.19656 # DEPENDENCYPART_ARC
(9,16),-0.580012 # DEPENDENCYPART_ARC
(9,17),-0.244406 # DEPENDENCYPART_ARC
(9,18),-0.0571615 # DEPENDENCYPART_ARC
(9,19),-0.224485 # DEPENDENCYPART_ARC
(9,20),-2.20589 # DEPENDENCYPART_ARC
(9,21),0.794344 # DEPENDENCYPART_ARC
(9,22),-1.18995 # DEPENDENCYPART_ARC
(9,23),-1.61907 # DEPENDENCYPART_ARC
(9,24),-1.68578 # DEPENDENCYPART_ARC
(9,25),-2.36377 # DEPENDENCYPART_ARC
(10,1),-1.68998 # DEPENDENCYPART_ARC
(10,2),-1.83358 # DEPENDENCYPART_ARC
