# _root_ Un orecchino d' oro a forma di croce all' orecchio sinistro , qualche dente in meno , Ante è un omone con il quale nessuno si augurerebbe di scontrar- si anche solo per scherzo .
#goldHeads=2,18,2,3,2,5,6,7,2,9,10,11,14,18,14,15,16,19,0,21,19,27,24,22,27,27,21,27,28,29,32,33,29,33,34,
#predictedHeads=2,19,2,3,2,5,6,7,8,9,10,11,14,19,14,15,16,19,0,21,19,21,24,22,27,27,24,27,28,29,32,33,29,33,34,
(0,2),-0.551274 # DEPENDENCYPART_ARC
(0,3),-1.2206 # DEPENDENCYPART_ARC
(0,4),-0.255603 # DEPENDENCYPART_ARC
(0,5),-1.36064 # DEPENDENCYPART_ARC
(0,6),0.318793 # DEPENDENCYPART_ARC
(0,7),-1.63518 # DEPENDENCYPART_ARC
(0,8),-0.132009 # DEPENDENCYPART_ARC
(0,9),-1.36132 # DEPENDENCYPART_ARC
(0,10),0.0283506 # DEPENDENCYPART_ARC
(0,11),-0.457613 # DEPENDENCYPART_ARC
(0,12),-0.371509 # DEPENDENCYPART_ARC
(0,14),-0.338226 # DEPENDENCYPART_ARC
(0,15),-2.37893 # DEPENDENCYPART_ARC
(0,16),-1.02396 # DEPENDENCYPART_ARC
(0,17),-0.45901 # DEPENDENCYPART_ARC
(0,18),-0.0122981 # DEPENDENCYPART_ARC
(0,19),1.83998 # DEPENDENCYPART_ARC
(0,21),-0.77489 # DEPENDENCYPART_ARC
(0,22),-3.18955 # DEPENDENCYPART_ARC
(0,26),-1.64181 # DEPENDENCYPART_ARC
(0,27),0.296676 # DEPENDENCYPART_ARC
(0,28),-3.34708 # DEPENDENCYPART_ARC
(0,29),-0.92614 # DEPENDENCYPART_ARC
(0,30),-1.78392 # DEPENDENCYPART_ARC
(0,31),-2.35721 # DEPENDENCYPART_ARC
(0,32),-1.33538 # DEPENDENCYPART_ARC
(0,33),-2.76381 # DEPENDENCYPART_ARC
(0,34),-1.7957 # DEPENDENCYPART_ARC
(0,35),-2.21281 # DEPENDENCYPART_ARC
(1,3),0.184723 # DEPENDENCYPART_ARC
(1,5),-0.166461 # DEPENDENCYPART_ARC
(1,7),-0.188987 # DEPENDENCYPART_ARC
(1,9),-0.744828 # DEPENDENCYPART_ARC
(1,12),-0.365198 # DEPENDENCYPART_ARC
(1,15),-0.710789 # DEPENDENCYPART_ARC
(1,17),-0.501466 # DEPENDENCYPART_ARC
(1,22),-1.39743 # DEPENDENCYPART_ARC
(1,28),-1.35871 # DEPENDENCYPART_ARC
(1,33),-2.09098 # DEPENDENCYPART_ARC
(1,35),-1.86992 # DEPENDENCYPART_ARC
(2,1),3.74239 # DEPENDENCYPART_ARC
(2,3),2.9569 # DEPENDENCYPART_ARC
(2,4),1.8106 # DEPENDENCYPART_ARC
(2,5),1.42397 # DEPENDENCYPART_ARC
(2,6),1.05823 # DEPENDENCYPART_ARC
(2,7),1.09841 # DEPENDENCYPART_ARC
(2,8),0.771158 # DEPENDENCYPART_ARC
(2,9),0.346962 # DEPENDENCYPART_ARC
(2,10),0.580014 # DEPENDENCYPART_ARC
(2,11),0.705191 # DEPENDENCYPART_ARC
(2,12),0.458124 # DEPENDENCYPART_ARC
(2,13),0.502225 # DEPENDENCYPART_ARC
(2,14),0.292472 # DEPENDENCYPART_ARC
(2,15),0.224351 # DEPENDENCYPART_ARC
(2,16),-0.951406 # DEPENDENCYPART_ARC
(2,17),0.172296 # DEPENDENCYPART_ARC
(2,18),0.318165 # DEPENDENCYPART_ARC
(2,19),0.878326 # DEPENDENCYPART_ARC
(2,20),-0.422604 # DEPENDENCYPART_ARC
(2,21),-0.389881 # DEPENDENCYPART_ARC
(2,22),-0.079965 # DEPENDENCYPART_ARC
(2,23),-0.857302 # DEPENDENCYPART_ARC
(2,24),-1.2315 # DEPENDENCYPART_ARC
(2,25),-0.478044 # DEPENDENCYPART_ARC
(2,26),-2.4069 # DEPENDENCYPART_ARC
(2,27),-0.472134 # DEPENDENCYPART_ARC
(2,28),-3.02344 # DEPENDENCYPART_ARC
(2,29),-0.456091 # DEPENDENCYPART_ARC
(2,30),-2.6775 # DEPENDENCYPART_ARC
(2,31),-2.89048 # DEPENDENCYPART_ARC
(2,32),-1.9846 # DEPENDENCYPART_ARC
(2,33),-2.06045 # DEPENDENCYPART_ARC
(2,34),-2.32074 # DEPENDENCYPART_ARC
(2,35),-5.4734 # DEPENDENCYPART_ARC
(3,1),-0.462551 # DEPENDENCYPART_ARC
(3,2),-0.355294 # DEPENDENCYPART_ARC
(3,4),4.02455 # DEPENDENCYPART_ARC
(3,5),-0.142558 # DEPENDENCYPART_ARC
(3,6),0.767695 # DEPENDENCYPART_ARC
(3,7),-0.490432 # DEPENDENCYPART_ARC
(3,8),-0.311048 # DEPENDENCYPART_ARC
(3,9),-0.696321 # DEPENDENCYPART_ARC
(3,10),-1.41212 # DEPENDENCYPART_ARC
(3,11),-0.747492 # DEPENDENCYPART_ARC
(3,12),-0.276747 # DEPENDENCYPART_ARC
(3,13),-0.840451 # DEPENDENCYPART_ARC
(3,14),-3.30447 # DEPENDENCYPART_ARC
(3,15),-2.25643 # DEPENDENCYPART_ARC
(3,16),-0.915446 # DEPENDENCYPART_ARC
(3,17),-0.553932 # DEPENDENCYPART_ARC
