# _root_ Conseguenza , con tutta probabilità , di un pasto consumato subito prima_di gettar- si in mare .
#goldHeads=0,1,1,5,3,5,1,9,7,9,12,10,12,13,13,15,16,
#predictedHeads=0,1,1,5,3,5,5,9,7,9,10,10,12,13,13,15,16,
(0,1),0.952079 # DEPENDENCYPART_ARC
(0,2),-0.69208 # DEPENDENCYPART_ARC
(0,3),-1.17291 # DEPENDENCYPART_ARC
(0,4),-0.722884 # DEPENDENCYPART_ARC
(0,5),-0.25222 # DEPENDENCYPART_ARC
(0,6),-0.24881 # DEPENDENCYPART_ARC
(0,7),-1.066 # DEPENDENCYPART_ARC
(0,8),-1.02578 # DEPENDENCYPART_ARC
(0,9),-0.302317 # DEPENDENCYPART_ARC
(0,10),0.385238 # DEPENDENCYPART_ARC
(0,11),-0.754665 # DEPENDENCYPART_ARC
(0,12),-1.63612 # DEPENDENCYPART_ARC
(0,13),-0.211645 # DEPENDENCYPART_ARC
(0,14),-1.13606 # DEPENDENCYPART_ARC
(0,15),-2.32113 # DEPENDENCYPART_ARC
(0,16),-0.127926 # DEPENDENCYPART_ARC
(0,17),-1.11179 # DEPENDENCYPART_ARC
(1,2),2.41581 # DEPENDENCYPART_ARC
(1,3),0.839401 # DEPENDENCYPART_ARC
(1,4),1.34413 # DEPENDENCYPART_ARC
(1,5),0.984171 # DEPENDENCYPART_ARC
(1,6),0.925373 # DEPENDENCYPART_ARC
(1,7),0.484549 # DEPENDENCYPART_ARC
(1,8),-0.421416 # DEPENDENCYPART_ARC
(1,9),-0.0976008 # DEPENDENCYPART_ARC
(1,10),0.680121 # DEPENDENCYPART_ARC
(1,11),-0.728289 # DEPENDENCYPART_ARC
(1,12),-0.824682 # DEPENDENCYPART_ARC
(1,13),-1.1033 # DEPENDENCYPART_ARC
(1,14),-1.79411 # DEPENDENCYPART_ARC
(1,15),-0.794056 # DEPENDENCYPART_ARC
(1,16),-0.786066 # DEPENDENCYPART_ARC
(1,17),-1.72763 # DEPENDENCYPART_ARC
(2,1),-0.694303 # DEPENDENCYPART_ARC
(2,3),-1.36244 # DEPENDENCYPART_ARC
(2,4),-1.57196 # DEPENDENCYPART_ARC
(2,5),-1.96502 # DEPENDENCYPART_ARC
(2,6),-0.991825 # DEPENDENCYPART_ARC
(2,7),-2.45616 # DEPENDENCYPART_ARC
(2,8),-2.17152 # DEPENDENCYPART_ARC
(2,9),-2.39858 # DEPENDENCYPART_ARC
(2,10),-2.12903 # DEPENDENCYPART_ARC
(2,11),-2.75801 # DEPENDENCYPART_ARC
(2,12),-2.68134 # DEPENDENCYPART_ARC
(2,13),-2.48085 # DEPENDENCYPART_ARC
(2,14),-2.81576 # DEPENDENCYPART_ARC
(2,15),-2.98468 # DEPENDENCYPART_ARC
(2,16),-2.78327 # DEPENDENCYPART_ARC
(2,17),-1.9891 # DEPENDENCYPART_ARC
(3,1),-1.03589 # DEPENDENCYPART_ARC
(3,2),-0.0862707 # DEPENDENCYPART_ARC
(3,4),1.5982 # DEPENDENCYPART_ARC
(3,5),3.38301 # DEPENDENCYPART_ARC
(3,6),0.668622 # DEPENDENCYPART_ARC
(3,7),-0.0818194 # DEPENDENCYPART_ARC
(3,8),-0.808659 # DEPENDENCYPART_ARC
(3,9),0.414715 # DEPENDENCYPART_ARC
(3,10),-0.546758 # DEPENDENCYPART_ARC
(3,11),-0.907474 # DEPENDENCYPART_ARC
(3,12),-0.530998 # DEPENDENCYPART_ARC
(3,13),-0.232583 # DEPENDENCYPART_ARC
(3,14),-0.679415 # DEPENDENCYPART_ARC
(3,15),-1.28505 # DEPENDENCYPART_ARC
