# _root_ In armeria , pronti per le grandi feste ci sono solo spade , elmi e corazze .
#goldHeads=10,1,2,10,4,8,8,5,10,0,12,10,12,12,12,12,16,
#predictedHeads=10,1,2,1,4,8,8,5,10,0,12,10,12,12,12,12,16,
(0,1),-1.19415 # DEPENDENCYPART_ARC
(0,2),-0.488183 # DEPENDENCYPART_ARC
(0,3),-0.258609 # DEPENDENCYPART_ARC
(0,4),-0.900522 # DEPENDENCYPART_ARC
(0,5),-1.53431 # DEPENDENCYPART_ARC
(0,7),-1.22799 # DEPENDENCYPART_ARC
(0,8),-0.184548 # DEPENDENCYPART_ARC
(0,9),-1.12622 # DEPENDENCYPART_ARC
(0,10),1.57096 # DEPENDENCYPART_ARC
(0,11),-0.922261 # DEPENDENCYPART_ARC
(0,12),-0.292178 # DEPENDENCYPART_ARC
(0,13),-0.614059 # DEPENDENCYPART_ARC
(0,14),0.400475 # DEPENDENCYPART_ARC
(0,15),-1.63763 # DEPENDENCYPART_ARC
(0,16),-0.454705 # DEPENDENCYPART_ARC
(0,17),-1.04988 # DEPENDENCYPART_ARC
(1,2),4.12419 # DEPENDENCYPART_ARC
(1,3),0.357994 # DEPENDENCYPART_ARC
(1,4),-0.0665595 # DEPENDENCYPART_ARC
(1,5),-0.440251 # DEPENDENCYPART_ARC
(1,6),-1.26415 # DEPENDENCYPART_ARC
(1,7),-0.630853 # DEPENDENCYPART_ARC
(1,8),-1.12356 # DEPENDENCYPART_ARC
(1,9),-1.33017 # DEPENDENCYPART_ARC
(1,10),-1.41654 # DEPENDENCYPART_ARC
(1,11),-1.55178 # DEPENDENCYPART_ARC
(1,12),-3.26359 # DEPENDENCYPART_ARC
(1,13),-0.45485 # DEPENDENCYPART_ARC
(1,14),-4.42079 # DEPENDENCYPART_ARC
(1,15),-0.605561 # DEPENDENCYPART_ARC
(1,16),-5.33983 # DEPENDENCYPART_ARC
(1,17),-1.59998 # DEPENDENCYPART_ARC
(2,1),0.628826 # DEPENDENCYPART_ARC
(2,3),1.95484 # DEPENDENCYPART_ARC
(2,4),-0.536568 # DEPENDENCYPART_ARC
(2,5),0.391245 # DEPENDENCYPART_ARC
(2,6),-0.704574 # DEPENDENCYPART_ARC
(2,7),-0.940977 # DEPENDENCYPART_ARC
(2,8),-0.91259 # DEPENDENCYPART_ARC
(2,9),-1.21368 # DEPENDENCYPART_ARC
(2,10),-0.72609 # DEPENDENCYPART_ARC
(2,11),-1.41672 # DEPENDENCYPART_ARC
(2,12),-1.4656 # DEPENDENCYPART_ARC
(2,13),0.269624 # DEPENDENCYPART_ARC
(2,14),-1.68728 # DEPENDENCYPART_ARC
(2,15),0.490065 # DEPENDENCYPART_ARC
(2,16),-0.70473 # DEPENDENCYPART_ARC
(2,17),-1.89756 # DEPENDENCYPART_ARC
(3,6),-1.05268 # DEPENDENCYPART_ARC
(3,13),-1.48225 # DEPENDENCYPART_ARC
(3,17),-1.57118 # DEPENDENCYPART_ARC
(4,1),-0.0642871 # DEPENDENCYPART_ARC
(4,2),-1.52083 # DEPENDENCYPART_ARC
(4,3),0.625569 # DEPENDENCYPART_ARC
(4,5),1.98195 # DEPENDENCYPART_ARC
(4,6),0.125684 # DEPENDENCYPART_ARC
(4,7),1.31931 # DEPENDENCYPART_ARC
(4,8),0.0777977 # DEPENDENCYPART_ARC
(4,9),-0.327508 # DEPENDENCYPART_ARC
(4,10),-0.634187 # DEPENDENCYPART_ARC
(4,11),-0.634001 # DEPENDENCYPART_ARC
(4,12),-0.549987 # DEPENDENCYPART_ARC
(4,13),-0.331906 # DEPENDENCYPART_ARC
(4,14),-0.295659 # DEPENDENCYPART_ARC
(4,15),0.247722 # DEPENDENCYPART_ARC
(4,16),-0.825106 # DEPENDENCYPART_ARC
(4,17),-1.18607 # DEPENDENCYPART_ARC
(5,1),-0.831916 # DEPENDENCYPART_ARC
(5,2),-1.06667 # DEPENDENCYPART_ARC
(5,3),-0.659053 # DEPENDENCYPART_ARC
(5,4),-0.287791 # DEPENDENCYPART_ARC
(5,6),1.04795 # DEPENDENCYPART_ARC
(5,7),1.29314 # DEPENDENCYPART_ARC
(5,8),2.27119 # DEPENDENCYPART_ARC
(5,9),-0.0928291 # DEPENDENCYPART_ARC
(5,10),0.527693 # DEPENDENCYPART_ARC
(5,11),-0.498153 # DEPENDENCYPART_ARC
(5,12),-0.542767 # DEPENDENCYPART_ARC
(5,13),0.354286 # DEPENDENCYPART_ARC
(5,14),-1.62474 # DEPENDENCYPART_ARC
(5,15),0.439537 # DEPENDENCYPART_ARC
(5,16),-2.7276 # DEPENDENCYPART_ARC
(5,17),-0.667358 # DEPENDENCYPART_ARC
(6,1),-2.37732 # DEPENDENCYPART_ARC
(6,2),-3.09072 # DEPENDENCYPART_ARC
(6,3),-1.78978 # DEPENDENCYPART_ARC
(6,5),-0.572242 # DEPENDENCYPART_ARC
(6,8),0.157192 # DEPENDENCYPART_ARC
(6,10),-0.441173 # DEPENDENCYPART_ARC
(6,12),-0.898415 # DEPENDENCYPART_ARC
(6,13),-0.762768 # DEPENDENCYPART_ARC
