# _root_ Destinazioni preferite : Sardegna , Grecia , Spagna e Caraibi .
#goldHeads=0,1,2,1,4,4,4,4,4,4,10,
#predictedHeads=0,1,2,1,4,4,4,4,4,8,10,
(0,1),0.343495 # DEPENDENCYPART_ARC
(0,2),-1.15228 # DEPENDENCYPART_ARC
(0,3),-0.506803 # DEPENDENCYPART_ARC
(0,4),0.343357 # DEPENDENCYPART_ARC
(0,5),-0.682471 # DEPENDENCYPART_ARC
(0,6),0.497634 # DEPENDENCYPART_ARC
(0,7),-0.376817 # DEPENDENCYPART_ARC
(0,8),0.393332 # DEPENDENCYPART_ARC
(0,9),-1.34494 # DEPENDENCYPART_ARC
(0,10),-0.219204 # DEPENDENCYPART_ARC
(0,11),-0.778926 # DEPENDENCYPART_ARC
(1,2),3.76371 # DEPENDENCYPART_ARC
(1,3),0.899774 # DEPENDENCYPART_ARC
(1,4),0.858221 # DEPENDENCYPART_ARC
(1,5),1.15523 # DEPENDENCYPART_ARC
(1,6),0.679356 # DEPENDENCYPART_ARC
(1,7),1.28119 # DEPENDENCYPART_ARC
(1,8),0.505771 # DEPENDENCYPART_ARC
(1,9),1.2325 # DEPENDENCYPART_ARC
(1,10),0.818373 # DEPENDENCYPART_ARC
(1,11),-1.01239 # DEPENDENCYPART_ARC
(2,1),0.591315 # DEPENDENCYPART_ARC
(2,3),1.82439 # DEPENDENCYPART_ARC
(2,4),0.0468208 # DEPENDENCYPART_ARC
(2,5),0.0581894 # DEPENDENCYPART_ARC
(2,6),-0.594603 # DEPENDENCYPART_ARC
(2,7),-0.328741 # DEPENDENCYPART_ARC
(2,8),-0.744671 # DEPENDENCYPART_ARC
(2,9),-0.162097 # DEPENDENCYPART_ARC
(2,10),-0.902475 # DEPENDENCYPART_ARC
(2,11),-1.08895 # DEPENDENCYPART_ARC
(3,5),-0.449452 # DEPENDENCYPART_ARC
(3,7),-0.926969 # DEPENDENCYPART_ARC
(3,11),-1.0348 # DEPENDENCYPART_ARC
(4,1),-2.41863 # DEPENDENCYPART_ARC
(4,2),-0.432389 # DEPENDENCYPART_ARC
(4,3),0.182457 # DEPENDENCYPART_ARC
(4,5),2.00779 # DEPENDENCYPART_ARC
(4,6),1.50612 # DEPENDENCYPART_ARC
(4,7),1.6972 # DEPENDENCYPART_ARC
(4,8),1.33572 # DEPENDENCYPART_ARC
(4,9),1.67432 # DEPENDENCYPART_ARC
(4,10),1.45329 # DEPENDENCYPART_ARC
(4,11),0.316477 # DEPENDENCYPART_ARC
(5,3),-0.727889 # DEPENDENCYPART_ARC
(5,7),-0.479662 # DEPENDENCYPART_ARC
(5,11),-0.813689 # DEPENDENCYPART_ARC
(6,1),-2.5223 # DEPENDENCYPART_ARC
(6,2),-0.952014 # DEPENDENCYPART_ARC
(6,3),-1.02027 # DEPENDENCYPART_ARC
(6,4),-0.0115262 # DEPENDENCYPART_ARC
(6,5),0.520325 # DEPENDENCYPART_ARC
(6,7),1.42981 # DEPENDENCYPART_ARC
(6,8),1.10622 # DEPENDENCYPART_ARC
(6,9),1.26216 # DEPENDENCYPART_ARC
(6,10),1.0223 # DEPENDENCYPART_ARC
(6,11),-0.021995 # DEPENDENCYPART_ARC
(7,3),-1.43243 # DEPENDENCYPART_ARC
(7,5),-0.697747 # DEPENDENCYPART_ARC
(7,11),-0.758947 # DEPENDENCYPART_ARC
(8,1),-3.03425 # DEPENDENCYPART_ARC
(8,2),-1.631 # DEPENDENCYPART_ARC
(8,3),-1.69499 # DEPENDENCYPART_ARC
(8,4),-0.893667 # DEPENDENCYPART_ARC
(8,5),-1.35308 # DEPENDENCYPART_ARC
(8,6),0.150189 # DEPENDENCYPART_ARC
(8,7),0.351377 # DEPENDENCYPART_ARC
(8,9),1.61699 # DEPENDENCYPART_ARC
(8,10),1.57308 # DEPENDENCYPART_ARC
(8,11),0.256433 # DEPENDENCYPART_ARC
(9,1),-2.8477 # DEPENDENCYPART_ARC
(9,2),-2.26446 # DEPENDENCYPART_ARC
(9,3),-1.70522 # DEPENDENCYPART_ARC
(9,4),-2.40399 # DEPENDENCYPART_ARC
(9,5),-1.60606 # DEPENDENCYPART_ARC
(9,6),-1.79124 # DEPENDENCYPART_ARC
(9,7),-0.907076 # DEPENDENCYPART_ARC
(9,8),-0.587155 # DEPENDENCYPART_ARC
(9,10),0.319822 # DEPENDENCYPART_ARC
(9,11),-0.470104 # DEPENDENCYPART_ARC
(10,1),-3.91666 # DEPENDENCYPART_ARC
(10,2),-2.11469 # DEPENDENCYPART_ARC
(10,3),-2.9641 # DEPENDENCYPART_ARC
(10,4),-2.22656 # DEPENDENCYPART_ARC
(10,5),-2.82553 # DEPENDENCYPART_ARC
(10,6),-1.51783 # DEPENDENCYPART_ARC
(10,7),-2.27841 # DEPENDENCYPART_ARC
(10,8),-0.316842 # DEPENDENCYPART_ARC
(10,9),-0.22452 # DEPENDENCYPART_ARC
(10,11),2.21301 # DEPENDENCYPART_ARC
(11,3),-1.53516 # DEPENDENCYPART_ARC
(11,5),-1.41972 # DEPENDENCYPART_ARC
(11,7),-1.19022 # DEPENDENCYPART_ARC
