# _root_ E la famosa " frontiera " era popolata più da miti contadini , vaccari e bottegai , che da personaggi alla Gary Cooper .
#goldHeads=8,5,5,5,8,5,8,0,10,8,12,10,12,12,12,12,16,10,18,19,20,23,21,23,
#predictedHeads=8,5,5,5,8,5,8,0,8,8,12,10,12,12,14,14,16,8,10,19,20,21,22,23,
(0,1),-0.787091 # DEPENDENCYPART_ARC
(0,3),-0.460277 # DEPENDENCYPART_ARC
(0,4),-0.628482 # DEPENDENCYPART_ARC
(0,5),-0.20163 # DEPENDENCYPART_ARC
(0,6),-0.425249 # DEPENDENCYPART_ARC
(0,7),1.26348 # DEPENDENCYPART_ARC
(0,8),0.953385 # DEPENDENCYPART_ARC
(0,9),-1.4133 # DEPENDENCYPART_ARC
(0,10),-1.61679 # DEPENDENCYPART_ARC
(0,11),-1.45942 # DEPENDENCYPART_ARC
(0,12),-0.744744 # DEPENDENCYPART_ARC
(0,13),-0.628197 # DEPENDENCYPART_ARC
(0,14),-0.0813763 # DEPENDENCYPART_ARC
(0,15),-1.69194 # DEPENDENCYPART_ARC
(0,16),-0.768926 # DEPENDENCYPART_ARC
(0,17),-0.847386 # DEPENDENCYPART_ARC
(0,18),-1.15153 # DEPENDENCYPART_ARC
(0,19),-2.31615 # DEPENDENCYPART_ARC
(0,20),-0.970857 # DEPENDENCYPART_ARC
(0,21),-2.27637 # DEPENDENCYPART_ARC
(0,22),-0.995355 # DEPENDENCYPART_ARC
(0,23),-0.996281 # DEPENDENCYPART_ARC
(0,24),-1.61224 # DEPENDENCYPART_ARC
(1,3),-0.875393 # DEPENDENCYPART_ARC
(1,4),-1.05582 # DEPENDENCYPART_ARC
(1,5),-1.3484 # DEPENDENCYPART_ARC
(1,6),-1.68032 # DEPENDENCYPART_ARC
(1,7),-1.39309 # DEPENDENCYPART_ARC
(1,8),-1.47213 # DEPENDENCYPART_ARC
(1,9),-2.34366 # DEPENDENCYPART_ARC
(1,10),-2.15715 # DEPENDENCYPART_ARC
(1,11),-2.06576 # DEPENDENCYPART_ARC
(1,12),-1.89488 # DEPENDENCYPART_ARC
(1,13),-1.23902 # DEPENDENCYPART_ARC
(1,14),-2.02254 # DEPENDENCYPART_ARC
(1,15),-1.52014 # DEPENDENCYPART_ARC
(1,16),-2.11257 # DEPENDENCYPART_ARC
(1,17),-1.3411 # DEPENDENCYPART_ARC
(1,18),-1.30786 # DEPENDENCYPART_ARC
(1,19),-2.64606 # DEPENDENCYPART_ARC
(1,20),-2.17123 # DEPENDENCYPART_ARC
(1,21),-2.56856 # DEPENDENCYPART_ARC
(1,22),-2.28034 # DEPENDENCYPART_ARC
(1,23),-2.21233 # DEPENDENCYPART_ARC
(1,24),-2.87812 # DEPENDENCYPART_ARC
(2,4),0.0827553 # DEPENDENCYPART_ARC
(2,5),-0.237784 # DEPENDENCYPART_ARC
(2,6),-0.310078 # DEPENDENCYPART_ARC
(2,7),-0.414854 # DEPENDENCYPART_ARC
(2,8),-0.50871 # DEPENDENCYPART_ARC
(2,10),-1.06104 # DEPENDENCYPART_ARC
(2,12),-1.39194 # DEPENDENCYPART_ARC
(2,13),-0.74835 # DEPENDENCYPART_ARC
(2,14),-1.54856 # DEPENDENCYPART_ARC
(2,16),-1.60074 # DEPENDENCYPART_ARC
(2,17),-1.01812 # DEPENDENCYPART_ARC
(2,19),-1.59593 # DEPENDENCYPART_ARC
(2,20),-1.8685 # DEPENDENCYPART_ARC
(2,21),-1.63458 # DEPENDENCYPART_ARC
(2,24),-1.44591 # DEPENDENCYPART_ARC
(3,1),-0.0580406 # DEPENDENCYPART_ARC
(3,2),1.73819 # DEPENDENCYPART_ARC
(3,4),1.60707 # DEPENDENCYPART_ARC
(3,5),-0.0674371 # DEPENDENCYPART_ARC
(3,6),0.184969 # DEPENDENCYPART_ARC
(3,7),-0.852206 # DEPENDENCYPART_ARC
(3,8),-0.0770465 # DEPENDENCYPART_ARC
(3,9),-1.02125 # DEPENDENCYPART_ARC
(3,10),-0.715018 # DEPENDENCYPART_ARC
(3,11),-0.762034 # DEPENDENCYPART_ARC
(3,12),-1.11522 # DEPENDENCYPART_ARC
(3,13),-0.449933 # DEPENDENCYPART_ARC
(3,14),-1.17625 # DEPENDENCYPART_ARC
(3,15),-0.301862 # DEPENDENCYPART_ARC
(3,16),-1.31983 # DEPENDENCYPART_ARC
(3,17),-0.988889 # DEPENDENCYPART_ARC
(3,18),-1.00664 # DEPENDENCYPART_ARC
(3,19),-1.31468 # DEPENDENCYPART_ARC
(3,20),-1.62325 # DEPENDENCYPART_ARC
(3,21),-1.32443 # DEPENDENCYPART_ARC
(3,22),-1.51259 # DEPENDENCYPART_ARC
(3,23),-1.51101 # DEPENDENCYPART_ARC
(3,24),-2.60343 # DEPENDENCYPART_ARC
(4,2),-0.0531959 # DEPENDENCYPART_ARC
(4,6),-0.1968 # DEPENDENCYPART_ARC
(4,13),-0.844623 # DEPENDENCYPART_ARC
(4,17),-1.47189 # DEPENDENCYPART_ARC
(4,24),-1.77354 # DEPENDENCYPART_ARC
(5,1),0.060057 # DEPENDENCYPART_ARC
(5,2),2.15257 # DEPENDENCYPART_ARC
(5,3),2.51912 # DEPENDENCYPART_ARC
(5,4),2.68205 # DEPENDENCYPART_ARC
(5,6),2.51796 # DEPENDENCYPART_ARC
(5,7),0.326157 # DEPENDENCYPART_ARC
(5,8),0.515728 # DEPENDENCYPART_ARC
(5,9),-0.439687 # DEPENDENCYPART_ARC
(5,10),-0.216865 # DEPENDENCYPART_ARC
(5,11),-1.19273 # DEPENDENCYPART_ARC
(5,12),-0.893435 # DEPENDENCYPART_ARC
(5,13),0.819034 # DEPENDENCYPART_ARC
(5,14),-0.866803 # DEPENDENCYPART_ARC
(5,15),0.836867 # DEPENDENCYPART_ARC
(5,16),-0.650951 # DEPENDENCYPART_ARC
(5,17),0.579644 # DEPENDENCYPART_ARC
(5,18),-1.50443 # DEPENDENCYPART_ARC
(5,19),-0.762622 # DEPENDENCYPART_ARC
(5,20),-0.953945 # DEPENDENCYPART_ARC
(5,21),-0.882282 # DEPENDENCYPART_ARC
(5,22),-0.718921 # DEPENDENCYPART_ARC
(5,23),-0.673312 # DEPENDENCYPART_ARC
(5,24),-2.53617 # DEPENDENCYPART_ARC
(6,2),-1.07241 # DEPENDENCYPART_ARC
(6,4),-0.717694 # DEPENDENCYPART_ARC
(6,13),-0.97695 # DEPENDENCYPART_ARC
(6,17),-1.61125 # DEPENDENCYPART_ARC
(6,24),-1.93749 # DEPENDENCYPART_ARC
(7,1),0.06608 # DEPENDENCYPART_ARC
(7,2),-0.791646 # DEPENDENCYPART_ARC
(7,3),-0.389493 # DEPENDENCYPART_ARC
(7,4),-0.152698 # DEPENDENCYPART_ARC
(7,5),0.697861 # DEPENDENCYPART_ARC
(7,6),1.59347 # DEPENDENCYPART_ARC
(7,8),1.64605 # DEPENDENCYPART_ARC
(7,9),-0.21194 # DEPENDENCYPART_ARC
(7,10),0.735006 # DEPENDENCYPART_ARC
(7,11),-0.0548701 # DEPENDENCYPART_ARC
(7,12),0.238914 # DEPENDENCYPART_ARC
(7,13),0.605397 # DEPENDENCYPART_ARC
(7,14),-0.727832 # DEPENDENCYPART_ARC
(7,15),-0.0424838 # DEPENDENCYPART_ARC
(7,16),-1.48415 # DEPENDENCYPART_ARC
(7,17),0.906159 # DEPENDENCYPART_ARC
(7,18),-0.725895 # DEPENDENCYPART_ARC
(7,19),-1.08976 # DEPENDENCYPART_ARC
(7,20),-2.25211 # DEPENDENCYPART_ARC
(7,21),0.110307 # DEPENDENCYPART_ARC
(7,22),-2.89087 # DEPENDENCYPART_ARC
(7,23),-2.41222 # DEPENDENCYPART_ARC
(7,24),-1.90411 # DEPENDENCYPART_ARC
(8,1),0.499843 # DEPENDENCYPART_ARC
(8,2),-0.61154 # DEPENDENCYPART_ARC
(8,3),0.0890245 # DEPENDENCYPART_ARC
(8,4),-0.549028 # DEPENDENCYPART_ARC
(8,5),1.1163 # DEPENDENCYPART_ARC
(8,6),0.262601 # DEPENDENCYPART_ARC
(8,7),3.95794 # DEPENDENCYPART_ARC
(8,9),1.9406 # DEPENDENCYPART_ARC
(8,10),2.63304 # DEPENDENCYPART_ARC
(8,11),0.491098 # DEPENDENCYPART_ARC
(8,12),1.42373 # DEPENDENCYPART_ARC
(8,13),1.14304 # DEPENDENCYPART_ARC
(8,14),0.0693429 # DEPENDENCYPART_ARC
(8,15),1.33418 # DEPENDENCYPART_ARC
(8,16),-0.471733 # DEPENDENCYPART_ARC
(8,17),1.53903 # DEPENDENCYPART_ARC
(8,18),0.773367 # DEPENDENCYPART_ARC
(8,19),-0.119389 # DEPENDENCYPART_ARC
(8,20),-1.20034 # DEPENDENCYPART_ARC
(8,21),0.472776 # DEPENDENCYPART_ARC
(8,22),-1.58424 # DEPENDENCYPART_ARC
(8,23),-1.33365 # DEPENDENCYPART_ARC
(8,24),-1.21312 # DEPENDENCYPART_ARC
(9,1),-1.85863 # DEPENDENCYPART_ARC
(9,2),-1.41085 # DEPENDENCYPART_ARC
(9,3),-2.01916 # DEPENDENCYPART_ARC
(9,4),-1.44475 # DEPENDENCYPART_ARC
(9,5),-2.00787 # DEPENDENCYPART_ARC
(9,6),-0.989244 # DEPENDENCYPART_ARC
(9,7),-1.39519 # DEPENDENCYPART_ARC
(9,8),-0.594033 # DEPENDENCYPART_ARC
(9,10),0.89569 # DEPENDENCYPART_ARC
(9,11),0.0872501 # DEPENDENCYPART_ARC
(9,12),0.0589967 # DEPENDENCYPART_ARC
(9,13),0.0862262 # DEPENDENCYPART_ARC
(9,14),-0.477142 # DEPENDENCYPART_ARC
(9,15),-0.207992 # DEPENDENCYPART_ARC
(9,16),-0.828116 # DEPENDENCYPART_ARC
(9,17),-0.501609 # DEPENDENCYPART_ARC
(9,18),-0.114725 # DEPENDENCYPART_ARC
(9,19),-0.784067 # DEPENDENCYPART_ARC
(9,20),-1.00772 # DEPENDENCYPART_ARC
(9,21),-0.945986 # DEPENDENCYPART_ARC
(9,22),-1.02125 # DEPENDENCYPART_ARC
(9,23),-1.07702 # DEPENDENCYPART_ARC
(9,24),-1.29832 # DEPENDENCYPART_ARC
(10,1),-1.13537 # DEPENDENCYPART_ARC
(10,2),-1.5265 # DEPENDENCYPART_ARC
(10,3),-1.89861 # DEPENDENCYPART_ARC
(10,4),-1.44582 # DEPENDENCYPART_ARC
(10,5),-1.56411 # DEPENDENCYPART_ARC
(10,6),-1.15927 # DEPENDENCYPART_ARC
(10,7),-1.59202 # DEPENDENCYPART_ARC
(10,8),-0.894454 # DEPENDENCYPART_ARC
(10,9),0.600465 # DEPENDENCYPART_ARC
(10,11),1.89761 # DEPENDENCYPART_ARC
(10,12),2.85361 # DEPENDENCYPART_ARC
(10,13),0.477918 # DEPENDENCYPART_ARC
(10,14),0.283964 # DEPENDENCYPART_ARC
(10,15),0.599386 # DEPENDENCYPART_ARC
(10,16),-0.96399 # DEPENDENCYPART_ARC
(10,17),-0.0272633 # DEPENDENCYPART_ARC
(10,18),-0.404524 # DEPENDENCYPART_ARC
(10,19),0.278522 # DEPENDENCYPART_ARC
(10,20),-2.25841 # DEPENDENCYPART_ARC
(10,21),-0.480135 # DEPENDENCYPART_ARC
(10,22),-3.50589 # DEPENDENCYPART_ARC
(10,23),-4.27828 # DEPENDENCYPART_ARC
(10,24),-1.37424 # DEPENDENCYPART_ARC
(11,1),-2.91546 # DEPENDENCYPART_ARC
(11,2),-2.57026 # DEPENDENCYPART_ARC
(11,3),-2.82672 # DEPENDENCYPART_ARC
(11,4),-1.89847 # DEPENDENCYPART_ARC
(11,5),-3.36737 # DEPENDENCYPART_ARC
(11,6),-1.648 # DEPENDENCYPART_ARC
(11,7),-4.30412 # DEPENDENCYPART_ARC
(11,8),-3.68676 # DEPENDENCYPART_ARC
