# _root_ Brava , brava , complimenti " .
#goldHeads=0,1,1,3,1,5,6,
#predictedHeads=0,1,1,3,1,5,6,
(0,1),-0.0334982 # DEPENDENCYPART_ARC
(0,2),-0.650478 # DEPENDENCYPART_ARC
(0,3),-0.761689 # DEPENDENCYPART_ARC
(0,4),-0.466038 # DEPENDENCYPART_ARC
(0,5),-0.870599 # DEPENDENCYPART_ARC
(0,6),-0.493963 # DEPENDENCYPART_ARC
(0,7),-0.384103 # DEPENDENCYPART_ARC
(1,2),2.39086 # DEPENDENCYPART_ARC
(1,3),1.46461 # DEPENDENCYPART_ARC
(1,4),1.46768 # DEPENDENCYPART_ARC
(1,5),0.279142 # DEPENDENCYPART_ARC
(1,6),0.270307 # DEPENDENCYPART_ARC
(1,7),0.202411 # DEPENDENCYPART_ARC
(2,4),-0.222367 # DEPENDENCYPART_ARC
(2,6),-1.09868 # DEPENDENCYPART_ARC
(2,7),-0.621425 # DEPENDENCYPART_ARC
(3,1),-0.0576006 # DEPENDENCYPART_ARC
(3,2),0.592196 # DEPENDENCYPART_ARC
(3,4),1.90169 # DEPENDENCYPART_ARC
(3,5),0.145671 # DEPENDENCYPART_ARC
(3,6),0.363049 # DEPENDENCYPART_ARC
(3,7),-0.0788081 # DEPENDENCYPART_ARC
(4,2),-0.572416 # DEPENDENCYPART_ARC
(4,6),-0.594253 # DEPENDENCYPART_ARC
(4,7),-0.171778 # DEPENDENCYPART_ARC
(5,2),-0.93559 # DEPENDENCYPART_ARC
(5,4),0.29228 # DEPENDENCYPART_ARC
(5,6),1.64538 # DEPENDENCYPART_ARC
(5,7),0.492363 # DEPENDENCYPART_ARC
(6,2),-1.04174 # DEPENDENCYPART_ARC
(6,4),-0.336472 # DEPENDENCYPART_ARC
(6,7),2.80153 # DEPENDENCYPART_ARC
(7,2),-0.887598 # DEPENDENCYPART_ARC
(7,4),-0.421823 # DEPENDENCYPART_ARC
(7,6),0.667739 # DEPENDENCYPART_ARC
