# _root_ Gabriella e Paolo , che si frequentano da circa quattro mesi , erano usciti di casa verso le 23 di sabato e si erano intrattenuti fino_all' alba nella discoteca .
#goldHeads=14,1,1,3,7,7,1,7,11,11,8,11,14,0,14,15,14,19,17,19,20,14,25,25,14,25,26,25,28,29,
#predictedHeads=0,1,1,3,7,7,0,7,8,11,8,11,14,0,14,15,14,19,17,19,20,14,25,25,14,25,26,25,28,29,
(0,1),0.638771 # DEPENDENCYPART_ARC
(0,2),-1.28372 # DEPENDENCYPART_ARC
(0,3),0.176005 # DEPENDENCYPART_ARC
(0,4),-0.430166 # DEPENDENCYPART_ARC
(0,5),-0.798798 # DEPENDENCYPART_ARC
(0,6),-0.899358 # DEPENDENCYPART_ARC
(0,7),0.956258 # DEPENDENCYPART_ARC
(0,8),-1.77477 # DEPENDENCYPART_ARC
(0,9),-1.13189 # DEPENDENCYPART_ARC
(0,10),-1.16121 # DEPENDENCYPART_ARC
(0,11),-0.0260259 # DEPENDENCYPART_ARC
(0,12),-0.680604 # DEPENDENCYPART_ARC
(0,13),0.392213 # DEPENDENCYPART_ARC
(0,14),0.539675 # DEPENDENCYPART_ARC
(0,15),-2.10748 # DEPENDENCYPART_ARC
(0,16),-0.481082 # DEPENDENCYPART_ARC
(0,17),-2.53246 # DEPENDENCYPART_ARC
(0,18),-1.63793 # DEPENDENCYPART_ARC
(0,19),-1.71205 # DEPENDENCYPART_ARC
(0,20),-2.509 # DEPENDENCYPART_ARC
(0,21),-0.806053 # DEPENDENCYPART_ARC
(0,22),-1.16516 # DEPENDENCYPART_ARC
(0,23),-1.77489 # DEPENDENCYPART_ARC
(0,24),-0.859799 # DEPENDENCYPART_ARC
(0,25),0.0669394 # DEPENDENCYPART_ARC
(0,26),-2.89483 # DEPENDENCYPART_ARC
(0,27),-1.73855 # DEPENDENCYPART_ARC
(0,28),-3.0698 # DEPENDENCYPART_ARC
(0,29),-1.03616 # DEPENDENCYPART_ARC
(0,30),-1.86587 # DEPENDENCYPART_ARC
(1,2),2.27118 # DEPENDENCYPART_ARC
(1,3),2.25877 # DEPENDENCYPART_ARC
(1,4),0.708473 # DEPENDENCYPART_ARC
(1,5),-0.532643 # DEPENDENCYPART_ARC
(1,6),-0.620707 # DEPENDENCYPART_ARC
(1,7),0.943436 # DEPENDENCYPART_ARC
(1,8),-0.341119 # DEPENDENCYPART_ARC
(1,9),-0.369745 # DEPENDENCYPART_ARC
(1,10),-0.67672 # DEPENDENCYPART_ARC
(1,11),-0.291783 # DEPENDENCYPART_ARC
(1,12),-0.296142 # DEPENDENCYPART_ARC
(1,13),-0.930109 # DEPENDENCYPART_ARC
(1,14),-0.338068 # DEPENDENCYPART_ARC
(1,15),-0.793191 # DEPENDENCYPART_ARC
(1,16),-0.872898 # DEPENDENCYPART_ARC
(1,17),-0.939037 # DEPENDENCYPART_ARC
(1,18),-0.684878 # DEPENDENCYPART_ARC
(1,19),-1.27733 # DEPENDENCYPART_ARC
(1,20),-1.54887 # DEPENDENCYPART_ARC
(1,21),-1.22549 # DEPENDENCYPART_ARC
(1,22),-1.33081 # DEPENDENCYPART_ARC
(1,23),-1.64503 # DEPENDENCYPART_ARC
(1,24),-1.90603 # DEPENDENCYPART_ARC
(1,25),-1.52204 # DEPENDENCYPART_ARC
(1,26),-1.98284 # DEPENDENCYPART_ARC
(1,27),-1.78053 # DEPENDENCYPART_ARC
(1,28),-1.66552 # DEPENDENCYPART_ARC
(1,29),-2.04221 # DEPENDENCYPART_ARC
(1,30),-4.91545 # DEPENDENCYPART_ARC
(2,1),-0.470282 # DEPENDENCYPART_ARC
(2,3),0.324894 # DEPENDENCYPART_ARC
(2,4),-0.0830154 # DEPENDENCYPART_ARC
(2,5),-1.33559 # DEPENDENCYPART_ARC
(2,6),-1.61577 # DEPENDENCYPART_ARC
(2,7),-0.887252 # DEPENDENCYPART_ARC
(2,8),-1.79573 # DEPENDENCYPART_ARC
(2,9),-2.11712 # DEPENDENCYPART_ARC
(2,10),-1.44307 # DEPENDENCYPART_ARC
(2,11),-1.64687 # DEPENDENCYPART_ARC
(2,12),-0.96685 # DEPENDENCYPART_ARC
(2,13),-2.82108 # DEPENDENCYPART_ARC
(2,14),-2.64724 # DEPENDENCYPART_ARC
(2,15),-2.20042 # DEPENDENCYPART_ARC
(2,16),-1.77377 # DEPENDENCYPART_ARC
(2,17),-2.20745 # DEPENDENCYPART_ARC
(2,18),-2.14542 # DEPENDENCYPART_ARC
(2,19),-1.76806 # DEPENDENCYPART_ARC
(2,20),-2.2891 # DEPENDENCYPART_ARC
(2,21),-2.0031 # DEPENDENCYPART_ARC
(2,22),-1.6873 # DEPENDENCYPART_ARC
(2,23),-2.84603 # DEPENDENCYPART_ARC
(2,24),-4.57316 # DEPENDENCYPART_ARC
(2,25),-4.06388 # DEPENDENCYPART_ARC
(2,26),-2.73721 # DEPENDENCYPART_ARC
(2,27),-2.19451 # DEPENDENCYPART_ARC
(2,28),-2.68571 # DEPENDENCYPART_ARC
(2,29),-2.15953 # DEPENDENCYPART_ARC
(2,30),-2.74106 # DEPENDENCYPART_ARC
(3,1),-0.203961 # DEPENDENCYPART_ARC
(3,2),-0.137575 # DEPENDENCYPART_ARC
(3,4),1.95808 # DEPENDENCYPART_ARC
(3,5),-0.620914 # DEPENDENCYPART_ARC
(3,6),-0.899692 # DEPENDENCYPART_ARC
(3,7),0.66717 # DEPENDENCYPART_ARC
