# _root_ E in fondo , fino_a quella sublime malattia raccontata nel " documentario fiction " di Caro diario , amavo più il guru ( nelle sue supposte antipatie e idiosincrasie ) che il suo cinema .
#goldHeads=19,19,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,22,27,27,24,27,27,29,22,34,34,31,34,
#predictedHeads=9,9,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,19,27,27,24,27,27,29,19,34,34,27,34,
(0,1),-0.853025 # DEPENDENCYPART_ARC
(0,2),-1.76063 # DEPENDENCYPART_ARC
(0,3),-0.153534 # DEPENDENCYPART_ARC
(0,4),-0.507158 # DEPENDENCYPART_ARC
(0,5),-1.19509 # DEPENDENCYPART_ARC
(0,6),-0.658082 # DEPENDENCYPART_ARC
(0,7),-0.485849 # DEPENDENCYPART_ARC
(0,8),-0.613237 # DEPENDENCYPART_ARC
(0,9),0.93487 # DEPENDENCYPART_ARC
(0,10),-1.05282 # DEPENDENCYPART_ARC
(0,11),-0.901385 # DEPENDENCYPART_ARC
(0,12),0.146817 # DEPENDENCYPART_ARC
(0,13),-0.461692 # DEPENDENCYPART_ARC
(0,14),-1.038 # DEPENDENCYPART_ARC
(0,15),-1.68791 # DEPENDENCYPART_ARC
(0,16),-1.11825 # DEPENDENCYPART_ARC
(0,17),-0.705859 # DEPENDENCYPART_ARC
(0,18),-0.811798 # DEPENDENCYPART_ARC
(0,19),1.23549 # DEPENDENCYPART_ARC
(0,20),-1.59668 # DEPENDENCYPART_ARC
(0,21),-1.68494 # DEPENDENCYPART_ARC
(0,22),-0.911405 # DEPENDENCYPART_ARC
(0,23),-1.27303 # DEPENDENCYPART_ARC
(0,24),-2.2001 # DEPENDENCYPART_ARC
(0,25),-1.6534 # DEPENDENCYPART_ARC
(0,26),-1.65157 # DEPENDENCYPART_ARC
(0,27),-1.00668 # DEPENDENCYPART_ARC
(0,28),-2.37116 # DEPENDENCYPART_ARC
(0,29),-1.11969 # DEPENDENCYPART_ARC
(0,30),-1.56718 # DEPENDENCYPART_ARC
(0,31),-1.30169 # DEPENDENCYPART_ARC
(0,32),-2.11226 # DEPENDENCYPART_ARC
(0,33),-1.55793 # DEPENDENCYPART_ARC
(0,34),-1.14159 # DEPENDENCYPART_ARC
(0,35),-2.19139 # DEPENDENCYPART_ARC
(1,2),-1.2207 # DEPENDENCYPART_ARC
(1,3),-0.53992 # DEPENDENCYPART_ARC
(1,4),-0.32421 # DEPENDENCYPART_ARC
(1,5),-1.59962 # DEPENDENCYPART_ARC
(1,6),-1.30734 # DEPENDENCYPART_ARC
(1,7),-1.4607 # DEPENDENCYPART_ARC
(1,8),-1.49297 # DEPENDENCYPART_ARC
(1,9),-0.997607 # DEPENDENCYPART_ARC
(1,10),-2.06819 # DEPENDENCYPART_ARC
(1,11),-1.81163 # DEPENDENCYPART_ARC
(1,12),-1.69171 # DEPENDENCYPART_ARC
(1,13),-1.65488 # DEPENDENCYPART_ARC
(1,14),-2.21119 # DEPENDENCYPART_ARC
(1,15),-2.13437 # DEPENDENCYPART_ARC
(1,16),-1.95819 # DEPENDENCYPART_ARC
(1,17),-1.7462 # DEPENDENCYPART_ARC
(1,18),-1.74413 # DEPENDENCYPART_ARC
(1,19),-3.05365 # DEPENDENCYPART_ARC
(1,20),-2.58462 # DEPENDENCYPART_ARC
(1,21),-2.24655 # DEPENDENCYPART_ARC
(1,22),-1.9603 # DEPENDENCYPART_ARC
(1,23),-2.5534 # DEPENDENCYPART_ARC
(1,24),-2.54287 # DEPENDENCYPART_ARC
(1,25),-2.3453 # DEPENDENCYPART_ARC
(1,26),-2.28924 # DEPENDENCYPART_ARC
(1,27),-2.16769 # DEPENDENCYPART_ARC
(1,28),-3.25731 # DEPENDENCYPART_ARC
(1,29),-2.29025 # DEPENDENCYPART_ARC
(1,30),-3.15264 # DEPENDENCYPART_ARC
(1,31),-3.01926 # DEPENDENCYPART_ARC
(1,32),-2.72653 # DEPENDENCYPART_ARC
(1,33),-2.6301 # DEPENDENCYPART_ARC
(1,34),-2.46347 # DEPENDENCYPART_ARC
(1,35),-3.99577 # DEPENDENCYPART_ARC
(2,1),-0.488117 # DEPENDENCYPART_ARC
(2,3),3.95752 # DEPENDENCYPART_ARC
(2,4),0.586104 # DEPENDENCYPART_ARC
(2,5),-0.38253 # DEPENDENCYPART_ARC
(2,6),-0.265128 # DEPENDENCYPART_ARC
(2,7),-0.307899 # DEPENDENCYPART_ARC
(2,8),-0.229239 # DEPENDENCYPART_ARC
(2,9),-1.22746 # DEPENDENCYPART_ARC
(2,10),-0.723799 # DEPENDENCYPART_ARC
(2,11),-1.06346 # DEPENDENCYPART_ARC
(2,12),-2.55783 # DEPENDENCYPART_ARC
(2,13),-3.06294 # DEPENDENCYPART_ARC
(2,14),-1.23679 # DEPENDENCYPART_ARC
(2,15),-1.63134 # DEPENDENCYPART_ARC
(2,16),-0.992711 # DEPENDENCYPART_ARC
(2,17),-4.38595 # DEPENDENCYPART_ARC
(2,18),-0.244402 # DEPENDENCYPART_ARC
(2,19),-2.737 # DEPENDENCYPART_ARC
(2,20),-1.97076 # DEPENDENCYPART_ARC
(2,21),-1.77327 # DEPENDENCYPART_ARC
(2,22),-6.35295 # DEPENDENCYPART_ARC
(2,23),-1.73558 # DEPENDENCYPART_ARC
(2,24),-0.420452 # DEPENDENCYPART_ARC
(2,25),-1.48049 # DEPENDENCYPART_ARC
(2,26),-1.72178 # DEPENDENCYPART_ARC
(2,27),-7.84146 # DEPENDENCYPART_ARC
(2,28),-1.98698 # DEPENDENCYPART_ARC
(2,29),-8.57033 # DEPENDENCYPART_ARC
(2,30),-2.84795 # DEPENDENCYPART_ARC
(2,31),-4.38402 # DEPENDENCYPART_ARC
(2,32),-2.0593 # DEPENDENCYPART_ARC
(2,33),-2.02371 # DEPENDENCYPART_ARC
(2,34),-10.3857 # DEPENDENCYPART_ARC
(2,35),-3.11319 # DEPENDENCYPART_ARC
(3,1),-0.759295 # DEPENDENCYPART_ARC
(3,2),0.52686 # DEPENDENCYPART_ARC
(3,4),2.03096 # DEPENDENCYPART_ARC
(3,5),-0.339159 # DEPENDENCYPART_ARC
(3,6),0.184127 # DEPENDENCYPART_ARC
(3,7),0.269569 # DEPENDENCYPART_ARC
(3,8),-0.660062 # DEPENDENCYPART_ARC
(3,9),0.187466 # DEPENDENCYPART_ARC
(3,10),-1.17146 # DEPENDENCYPART_ARC
(3,11),-1.77974 # DEPENDENCYPART_ARC
(3,12),-1.46474 # DEPENDENCYPART_ARC
(3,13),-0.842699 # DEPENDENCYPART_ARC
(3,14),-2.36098 # DEPENDENCYPART_ARC
(3,15),-1.66934 # DEPENDENCYPART_ARC
(3,16),-1.42199 # DEPENDENCYPART_ARC
(3,17),-1.42442 # DEPENDENCYPART_ARC
(3,18),-0.502672 # DEPENDENCYPART_ARC
(3,19),-2.76542 # DEPENDENCYPART_ARC
(3,20),-2.2313 # DEPENDENCYPART_ARC
(3,21),-1.86696 # DEPENDENCYPART_ARC
(3,22),-2.26263 # DEPENDENCYPART_ARC
(3,23),-4.25555 # DEPENDENCYPART_ARC
(3,24),-2.34394 # DEPENDENCYPART_ARC
(3,25),-3.38978 # DEPENDENCYPART_ARC
(3,26),-2.9807 # DEPENDENCYPART_ARC
(3,27),-3.1628 # DEPENDENCYPART_ARC
(3,28),-1.08925 # DEPENDENCYPART_ARC
(3,29),-2.1566 # DEPENDENCYPART_ARC
(3,30),-5.45875 # DEPENDENCYPART_ARC
(3,31),-4.74669 # DEPENDENCYPART_ARC
(3,32),-2.36713 # DEPENDENCYPART_ARC
(3,33),-2.98167 # DEPENDENCYPART_ARC
(3,34),-2.96666 # DEPENDENCYPART_ARC
(3,35),-5.94775 # DEPENDENCYPART_ARC
(4,1),-1.58976 # DEPENDENCYPART_ARC
(4,2),-1.15114 # DEPENDENCYPART_ARC
(4,3),-0.881431 # DEPENDENCYPART_ARC
(4,5),-1.28332 # DEPENDENCYPART_ARC
(4,6),-1.50401 # DEPENDENCYPART_ARC
(4,7),-1.93044 # DEPENDENCYPART_ARC
(4,8),-2.0447 # DEPENDENCYPART_ARC
(4,9),-1.90622 # DEPENDENCYPART_ARC
(4,10),-2.49104 # DEPENDENCYPART_ARC
(4,11),-2.07531 # DEPENDENCYPART_ARC
(4,12),-2.56552 # DEPENDENCYPART_ARC
(4,13),-2.59603 # DEPENDENCYPART_ARC
(4,14),-2.13211 # DEPENDENCYPART_ARC
(4,15),-2.80509 # DEPENDENCYPART_ARC
(4,16),-2.77208 # DEPENDENCYPART_ARC
