# _root_ 2 ) Quattro edifici in Roma del valore totale , alla sua morte , di circa 5 milioni .
#goldHeads=0,1,4,0,4,5,4,7,8,9,8,13,11,13,8,18,18,15,18,
#predictedHeads=4,1,4,0,4,5,6,7,8,9,7,13,11,13,13,18,18,15,18,
(0,1),0.75619 # DEPENDENCYPART_ARC
(0,2),-0.726223 # DEPENDENCYPART_ARC
(0,3),-0.34359 # DEPENDENCYPART_ARC
(0,4),0.399282 # DEPENDENCYPART_ARC
(0,5),-1.4407 # DEPENDENCYPART_ARC
(0,6),0.606912 # DEPENDENCYPART_ARC
(0,7),-0.795354 # DEPENDENCYPART_ARC
(0,8),0.36827 # DEPENDENCYPART_ARC
(0,9),-0.520102 # DEPENDENCYPART_ARC
(0,10),-0.365099 # DEPENDENCYPART_ARC
(0,11),-1.11735 # DEPENDENCYPART_ARC
(0,12),-0.79899 # DEPENDENCYPART_ARC
(0,13),0.181257 # DEPENDENCYPART_ARC
(0,14),-0.453463 # DEPENDENCYPART_ARC
(0,15),-1.53529 # DEPENDENCYPART_ARC
(0,16),-0.95378 # DEPENDENCYPART_ARC
(0,17),-0.881042 # DEPENDENCYPART_ARC
(0,18),0.116197 # DEPENDENCYPART_ARC
(0,19),-1.00642 # DEPENDENCYPART_ARC
(1,2),2.01705 # DEPENDENCYPART_ARC
(1,3),1.16892 # DEPENDENCYPART_ARC
(1,4),-0.230663 # DEPENDENCYPART_ARC
(1,5),-0.0434915 # DEPENDENCYPART_ARC
(1,6),-0.418264 # DEPENDENCYPART_ARC
(1,7),-0.232239 # DEPENDENCYPART_ARC
(1,8),-0.391047 # DEPENDENCYPART_ARC
(1,9),-0.314455 # DEPENDENCYPART_ARC
(1,10),-0.113956 # DEPENDENCYPART_ARC
(1,11),-0.731922 # DEPENDENCYPART_ARC
(1,12),-0.503787 # DEPENDENCYPART_ARC
(1,13),-0.74416 # DEPENDENCYPART_ARC
(1,14),-0.508751 # DEPENDENCYPART_ARC
(1,15),-1.01609 # DEPENDENCYPART_ARC
(1,16),-0.617087 # DEPENDENCYPART_ARC
(1,17),-0.441365 # DEPENDENCYPART_ARC
(1,18),-0.940597 # DEPENDENCYPART_ARC
(1,19),-0.770318 # DEPENDENCYPART_ARC
(2,1),-0.437726 # DEPENDENCYPART_ARC
(2,3),-0.235167 # DEPENDENCYPART_ARC
(2,4),-0.92427 # DEPENDENCYPART_ARC
(2,5),-1.47595 # DEPENDENCYPART_ARC
(2,6),-1.51025 # DEPENDENCYPART_ARC
(2,7),-1.71721 # DEPENDENCYPART_ARC
(2,8),-1.71515 # DEPENDENCYPART_ARC
(2,9),-1.93007 # DEPENDENCYPART_ARC
(2,10),-0.470654 # DEPENDENCYPART_ARC
(2,11),-1.9412 # DEPENDENCYPART_ARC
(2,12),-1.96161 # DEPENDENCYPART_ARC
(2,13),-1.86775 # DEPENDENCYPART_ARC
(2,14),-0.751229 # DEPENDENCYPART_ARC
(2,15),-2.07018 # DEPENDENCYPART_ARC
(2,16),-1.96362 # DEPENDENCYPART_ARC
(2,17),-1.78684 # DEPENDENCYPART_ARC
(2,18),-1.93422 # DEPENDENCYPART_ARC
(2,19),-1.00406 # DEPENDENCYPART_ARC
(3,1),-0.121142 # DEPENDENCYPART_ARC
(3,2),0.575071 # DEPENDENCYPART_ARC
(3,4),0.853504 # DEPENDENCYPART_ARC
(3,5),0.229829 # DEPENDENCYPART_ARC
(3,6),-0.277974 # DEPENDENCYPART_ARC
(3,7),-0.151154 # DEPENDENCYPART_ARC
(3,8),-0.435516 # DEPENDENCYPART_ARC
(3,9),-0.493372 # DEPENDENCYPART_ARC
(3,10),-0.570006 # DEPENDENCYPART_ARC
(3,11),-0.905805 # DEPENDENCYPART_ARC
(3,12),-0.700405 # DEPENDENCYPART_ARC
(3,13),-0.8115 # DEPENDENCYPART_ARC
(3,14),-0.995843 # DEPENDENCYPART_ARC
(3,15),-1.247 # DEPENDENCYPART_ARC
(3,16),-0.800582 # DEPENDENCYPART_ARC
(3,17),-0.592187 # DEPENDENCYPART_ARC
(3,18),-1.08984 # DEPENDENCYPART_ARC
(3,19),-1.04082 # DEPENDENCYPART_ARC
(4,1),1.29413 # DEPENDENCYPART_ARC
(4,2),0.0299232 # DEPENDENCYPART_ARC
(4,3),2.46579 # DEPENDENCYPART_ARC
(4,5),1.79453 # DEPENDENCYPART_ARC
(4,6),1.00221 # DEPENDENCYPART_ARC
(4,7),1.01744 # DEPENDENCYPART_ARC
(4,8),0.294838 # DEPENDENCYPART_ARC
(4,9),-0.120178 # DEPENDENCYPART_ARC
(4,10),0.137676 # DEPENDENCYPART_ARC
(4,11),-0.219494 # DEPENDENCYPART_ARC
(4,12),-1.52717 # DEPENDENCYPART_ARC
(4,13),-0.573877 # DEPENDENCYPART_ARC
(4,14),0.0837968 # DEPENDENCYPART_ARC
(4,15),-1.19364 # DEPENDENCYPART_ARC
(4,16),-1.06777 # DEPENDENCYPART_ARC
(4,17),-0.891649 # DEPENDENCYPART_ARC
(4,18),-0.0103143 # DEPENDENCYPART_ARC
(4,19),-2.54575 # DEPENDENCYPART_ARC
(5,1),-1.49953 # DEPENDENCYPART_ARC
(5,2),-1.03489 # DEPENDENCYPART_ARC
(5,3),-0.914133 # DEPENDENCYPART_ARC
(5,4),-0.334658 # DEPENDENCYPART_ARC
(5,6),4.03669 # DEPENDENCYPART_ARC
(5,7),-0.202164 # DEPENDENCYPART_ARC
(5,8),0.83201 # DEPENDENCYPART_ARC
(5,9),-0.0672852 # DEPENDENCYPART_ARC
(5,10),0.127733 # DEPENDENCYPART_ARC
(5,11),-0.505778 # DEPENDENCYPART_ARC
(5,12),-0.539745 # DEPENDENCYPART_ARC
(5,13),-0.987386 # DEPENDENCYPART_ARC
(5,14),0.400628 # DEPENDENCYPART_ARC
(5,15),-0.881991 # DEPENDENCYPART_ARC
(5,16),-1.38678 # DEPENDENCYPART_ARC
(5,17),-0.99731 # DEPENDENCYPART_ARC
(5,18),-2.52229 # DEPENDENCYPART_ARC
(5,19),-1.20131 # DEPENDENCYPART_ARC
(6,1),-0.730037 # DEPENDENCYPART_ARC
(6,2),-2.04677 # DEPENDENCYPART_ARC
(6,3),-0.322237 # DEPENDENCYPART_ARC
(6,4),-1.61301 # DEPENDENCYPART_ARC
(6,5),0.888146 # DEPENDENCYPART_ARC
(6,7),1.71681 # DEPENDENCYPART_ARC
(6,8),0.438383 # DEPENDENCYPART_ARC
(6,9),0.583612 # DEPENDENCYPART_ARC
(6,10),-0.688082 # DEPENDENCYPART_ARC
(6,11),-1.04414 # DEPENDENCYPART_ARC
(6,12),-1.11557 # DEPENDENCYPART_ARC
(6,13),-0.803112 # DEPENDENCYPART_ARC
(6,14),-0.556716 # DEPENDENCYPART_ARC
(6,15),-1.40003 # DEPENDENCYPART_ARC
(6,16),-1.59005 # DEPENDENCYPART_ARC
(6,17),-1.33911 # DEPENDENCYPART_ARC
(6,18),-1.41594 # DEPENDENCYPART_ARC
(6,19),-2.68053 # DEPENDENCYPART_ARC
(7,1),-1.43975 # DEPENDENCYPART_ARC
(7,2),-1.15841 # DEPENDENCYPART_ARC
(7,3),-1.16419 # DEPENDENCYPART_ARC
(7,4),-1.44577 # DEPENDENCYPART_ARC
(7,5),-0.138975 # DEPENDENCYPART_ARC
(7,6),-0.621501 # DEPENDENCYPART_ARC
(7,8),4.13459 # DEPENDENCYPART_ARC
(7,9),0.789913 # DEPENDENCYPART_ARC
(7,10),0.989182 # DEPENDENCYPART_ARC
(7,11),0.20879 # DEPENDENCYPART_ARC
(7,12),-0.903672 # DEPENDENCYPART_ARC
(7,13),0.0260379 # DEPENDENCYPART_ARC
(7,14),0.949073 # DEPENDENCYPART_ARC
(7,15),-0.279904 # DEPENDENCYPART_ARC
(7,16),-0.57105 # DEPENDENCYPART_ARC
(7,17),-0.156542 # DEPENDENCYPART_ARC
(7,18),-1.4859 # DEPENDENCYPART_ARC
(7,19),-0.660285 # DEPENDENCYPART_ARC
(8,1),-1.62938 # DEPENDENCYPART_ARC
(8,2),-2.67788 # DEPENDENCYPART_ARC
(8,3),-1.3196 # DEPENDENCYPART_ARC
(8,4),-2.11856 # DEPENDENCYPART_ARC
(8,5),-0.801692 # DEPENDENCYPART_ARC
(8,6),-1.14789 # DEPENDENCYPART_ARC
(8,7),0.693188 # DEPENDENCYPART_ARC
(8,9),3.17424 # DEPENDENCYPART_ARC
(8,10),0.171102 # DEPENDENCYPART_ARC
(8,11),0.0185823 # DEPENDENCYPART_ARC
(8,12),0.0954261 # DEPENDENCYPART_ARC
(8,13),-0.0235147 # DEPENDENCYPART_ARC
(8,14),0.357111 # DEPENDENCYPART_ARC
(8,15),-0.376619 # DEPENDENCYPART_ARC
(8,16),-0.790189 # DEPENDENCYPART_ARC
(8,17),-0.559594 # DEPENDENCYPART_ARC
(8,18),-0.414943 # DEPENDENCYPART_ARC
(8,19),-1.4239 # DEPENDENCYPART_ARC
(9,1),-0.834579 # DEPENDENCYPART_ARC
(9,2),-0.985406 # DEPENDENCYPART_ARC
(9,3),-0.755774 # DEPENDENCYPART_ARC
(9,4),-1.74125 # DEPENDENCYPART_ARC
(9,5),0.124336 # DEPENDENCYPART_ARC
(9,6),-0.529215 # DEPENDENCYPART_ARC
(9,7),0.0884179 # DEPENDENCYPART_ARC
(9,8),0.457065 # DEPENDENCYPART_ARC
(9,10),1.8116 # DEPENDENCYPART_ARC
(9,11),0.110027 # DEPENDENCYPART_ARC
(9,12),0.475874 # DEPENDENCYPART_ARC
(9,13),-0.475883 # DEPENDENCYPART_ARC
(9,14),0.059793 # DEPENDENCYPART_ARC
(9,15),-0.769247 # DEPENDENCYPART_ARC
(9,16),-1.1695 # DEPENDENCYPART_ARC
(9,17),-0.990986 # DEPENDENCYPART_ARC
(9,18),-0.652544 # DEPENDENCYPART_ARC
(9,19),-0.608788 # DEPENDENCYPART_ARC
(10,1),-2.08043 # DEPENDENCYPART_ARC
(10,2),-2.072 # DEPENDENCYPART_ARC
(10,3),-1.94896 # DEPENDENCYPART_ARC
(10,4),-2.23705 # DEPENDENCYPART_ARC
(10,5),-1.54328 # DEPENDENCYPART_ARC
(10,6),-1.99376 # DEPENDENCYPART_ARC
(10,7),-1.0898 # DEPENDENCYPART_ARC
(10,8),-1.48405 # DEPENDENCYPART_ARC
(10,9),-0.464227 # DEPENDENCYPART_ARC
(10,11),-0.935681 # DEPENDENCYPART_ARC
(10,12),-1.22766 # DEPENDENCYPART_ARC
(10,13),-1.53237 # DEPENDENCYPART_ARC
(10,14),-0.578549 # DEPENDENCYPART_ARC
(10,15),-2.03677 # DEPENDENCYPART_ARC
(10,16),-2.01533 # DEPENDENCYPART_ARC
(10,17),-1.67528 # DEPENDENCYPART_ARC
(10,18),-1.99494 # DEPENDENCYPART_ARC
(10,19),-0.851146 # DEPENDENCYPART_ARC
(11,1),-2.13115 # DEPENDENCYPART_ARC
(11,2),-1.85972 # DEPENDENCYPART_ARC
(11,3),-2.07994 # DEPENDENCYPART_ARC
(11,4),-2.81968 # DEPENDENCYPART_ARC
(11,5),-1.60352 # DEPENDENCYPART_ARC
(11,6),-2.5644 # DEPENDENCYPART_ARC
(11,7),-1.3807 # DEPENDENCYPART_ARC
(11,8),-1.88828 # DEPENDENCYPART_ARC
(11,9),-1.20951 # DEPENDENCYPART_ARC
(11,10),-0.0633461 # DEPENDENCYPART_ARC
(11,12),1.4906 # DEPENDENCYPART_ARC
(11,13),3.46202 # DEPENDENCYPART_ARC
(11,14),0.992745 # DEPENDENCYPART_ARC
(11,15),0.101002 # DEPENDENCYPART_ARC
(11,16),-0.244165 # DEPENDENCYPART_ARC
(11,17),-0.026444 # DEPENDENCYPART_ARC
(11,18),-0.613557 # DEPENDENCYPART_ARC
(11,19),-0.277152 # DEPENDENCYPART_ARC
(12,1),-2.36309 # DEPENDENCYPART_ARC
(12,2),-2.51091 # DEPENDENCYPART_ARC
(12,3),-2.25455 # DEPENDENCYPART_ARC
(12,4),-3.33601 # DEPENDENCYPART_ARC
(12,5),-1.85248 # DEPENDENCYPART_ARC
(12,6),-2.87263 # DEPENDENCYPART_ARC
(12,7),-1.84652 # DEPENDENCYPART_ARC
(12,8),-2.33633 # DEPENDENCYPART_ARC
(12,9),-1.46071 # DEPENDENCYPART_ARC
(12,10),-1.44928 # DEPENDENCYPART_ARC
(12,11),-0.523915 # DEPENDENCYPART_ARC
(12,13),1.24334 # DEPENDENCYPART_ARC
(12,14),-0.00239951 # DEPENDENCYPART_ARC
(12,15),-0.268131 # DEPENDENCYPART_ARC
(12,16),-0.828966 # DEPENDENCYPART_ARC
(12,17),-0.822602 # DEPENDENCYPART_ARC
(12,18),-0.480687 # DEPENDENCYPART_ARC
(12,19),-0.636969 # DEPENDENCYPART_ARC
(13,1),-0.642604 # DEPENDENCYPART_ARC
(13,2),-1.95189 # DEPENDENCYPART_ARC
(13,3),-0.694064 # DEPENDENCYPART_ARC
(13,4),-1.99983 # DEPENDENCYPART_ARC
(13,5),-1.29881 # DEPENDENCYPART_ARC
(13,6),-1.26493 # DEPENDENCYPART_ARC
(13,7),-0.730233 # DEPENDENCYPART_ARC
(13,8),-1.30189 # DEPENDENCYPART_ARC
(13,9),0.416222 # DEPENDENCYPART_ARC
(13,10),-1.14471 # DEPENDENCYPART_ARC
(13,11),0.641697 # DEPENDENCYPART_ARC
(13,12),4.37177 # DEPENDENCYPART_ARC
(13,14),1.85139 # DEPENDENCYPART_ARC
(13,15),0.513389 # DEPENDENCYPART_ARC
(13,16),-0.369627 # DEPENDENCYPART_ARC
(13,17),-0.237243 # DEPENDENCYPART_ARC
(13,18),-0.0303033 # DEPENDENCYPART_ARC
(13,19),-0.0363902 # DEPENDENCYPART_ARC
(14,1),-2.24851 # DEPENDENCYPART_ARC
(14,2),-2.26474 # DEPENDENCYPART_ARC
(14,3),-2.31397 # DEPENDENCYPART_ARC
(14,4),-2.5614 # DEPENDENCYPART_ARC
(14,5),-1.93389 # DEPENDENCYPART_ARC
(14,6),-2.51218 # DEPENDENCYPART_ARC
(14,7),-1.82547 # DEPENDENCYPART_ARC
(14,8),-2.39679 # DEPENDENCYPART_ARC
(14,9),-2.25116 # DEPENDENCYPART_ARC
(14,10),-1.88395 # DEPENDENCYPART_ARC
(14,11),-1.22014 # DEPENDENCYPART_ARC
(14,12),-1.41455 # DEPENDENCYPART_ARC
(14,13),-0.797123 # DEPENDENCYPART_ARC
(14,15),-1.01217 # DEPENDENCYPART_ARC
(14,16),-1.55813 # DEPENDENCYPART_ARC
(14,17),-1.38954 # DEPENDENCYPART_ARC
(14,18),-1.80146 # DEPENDENCYPART_ARC
(14,19),-0.830805 # DEPENDENCYPART_ARC
(15,1),-2.17986 # DEPENDENCYPART_ARC
(15,2),-1.89322 # DEPENDENCYPART_ARC
(15,3),-2.04723 # DEPENDENCYPART_ARC
(15,4),-2.20788 # DEPENDENCYPART_ARC
(15,5),-1.79704 # DEPENDENCYPART_ARC
(15,6),-2.02153 # DEPENDENCYPART_ARC
(15,7),-1.61247 # DEPENDENCYPART_ARC
(15,8),-1.86477 # DEPENDENCYPART_ARC
