# _root_ Mare in tempesta vien fuori tutto da una attenta lettura di William Turner : mare , spruzzi d' acqua , fluire d' onde tra gli scogli intarsiati dal soffio furente del vento e della pioggia .
#goldHeads=4,1,2,0,6,4,4,10,10,7,10,13,11,13,0,15,15,17,18,15,15,21,22,23,26,24,26,27,28,29,29,31,31,31,34,35,
#predictedHeads=4,1,2,0,4,4,4,10,10,7,10,13,11,13,13,15,15,17,18,15,17,21,22,21,26,24,26,27,28,29,29,31,31,31,34,35,
(0,1),0.874061 # DEPENDENCYPART_ARC
(0,2),-1.85414 # DEPENDENCYPART_ARC
(0,3),-0.0520146 # DEPENDENCYPART_ARC
(0,4),1.49945 # DEPENDENCYPART_ARC
(0,5),-1.18087 # DEPENDENCYPART_ARC
(0,6),-0.495715 # DEPENDENCYPART_ARC
(0,7),-2.0208 # DEPENDENCYPART_ARC
(0,8),-0.980797 # DEPENDENCYPART_ARC
(0,9),-0.6563 # DEPENDENCYPART_ARC
(0,10),0.105889 # DEPENDENCYPART_ARC
(0,11),-2.04219 # DEPENDENCYPART_ARC
(0,12),0.198528 # DEPENDENCYPART_ARC
(0,13),0.335822 # DEPENDENCYPART_ARC
(0,14),-0.854023 # DEPENDENCYPART_ARC
(0,15),0.761374 # DEPENDENCYPART_ARC
(0,16),-0.812324 # DEPENDENCYPART_ARC
(0,17),1.03153 # DEPENDENCYPART_ARC
(0,18),-2.41202 # DEPENDENCYPART_ARC
(0,19),-0.804177 # DEPENDENCYPART_ARC
(0,20),-1.0263 # DEPENDENCYPART_ARC
(0,21),0.130278 # DEPENDENCYPART_ARC
(0,22),-2.73642 # DEPENDENCYPART_ARC
(0,23),0.129164 # DEPENDENCYPART_ARC
(0,24),-3.54632 # DEPENDENCYPART_ARC
(0,25),-1.88075 # DEPENDENCYPART_ARC
(0,26),-0.281814 # DEPENDENCYPART_ARC
(0,27),-0.0847318 # DEPENDENCYPART_ARC
(0,28),-2.85327 # DEPENDENCYPART_ARC
(0,29),-0.436226 # DEPENDENCYPART_ARC
(0,30),-1.21871 # DEPENDENCYPART_ARC
(0,31),-3.49096 # DEPENDENCYPART_ARC
(0,32),-0.793853 # DEPENDENCYPART_ARC
(0,33),-2.51811 # DEPENDENCYPART_ARC
(0,34),-3.89137 # DEPENDENCYPART_ARC
(0,35),-0.895548 # DEPENDENCYPART_ARC
(0,36),-2.44938 # DEPENDENCYPART_ARC
(1,2),1.97296 # DEPENDENCYPART_ARC
(1,3),1.21273 # DEPENDENCYPART_ARC
(1,4),0.573616 # DEPENDENCYPART_ARC
(1,5),-0.243401 # DEPENDENCYPART_ARC
(1,6),0.115116 # DEPENDENCYPART_ARC
(1,7),-0.218456 # DEPENDENCYPART_ARC
(1,8),-0.740094 # DEPENDENCYPART_ARC
(1,9),-1.22128 # DEPENDENCYPART_ARC
(1,10),-0.61582 # DEPENDENCYPART_ARC
(1,11),-0.157005 # DEPENDENCYPART_ARC
(1,12),-0.557075 # DEPENDENCYPART_ARC
(1,13),-0.629345 # DEPENDENCYPART_ARC
(1,14),-1.57733 # DEPENDENCYPART_ARC
(1,15),-0.139976 # DEPENDENCYPART_ARC
(1,16),0.886891 # DEPENDENCYPART_ARC
(1,17),-0.350235 # DEPENDENCYPART_ARC
(1,18),-1.14887 # DEPENDENCYPART_ARC
(1,19),-0.675923 # DEPENDENCYPART_ARC
(1,20),0.477291 # DEPENDENCYPART_ARC
(1,21),-0.0537055 # DEPENDENCYPART_ARC
(1,22),-2.01293 # DEPENDENCYPART_ARC
(1,23),-1.15764 # DEPENDENCYPART_ARC
(1,24),-1.76232 # DEPENDENCYPART_ARC
(1,25),-1.38444 # DEPENDENCYPART_ARC
(1,26),-1.51638 # DEPENDENCYPART_ARC
(1,27),-0.651434 # DEPENDENCYPART_ARC
(1,28),-2.48352 # DEPENDENCYPART_ARC
(1,29),-1.35045 # DEPENDENCYPART_ARC
(1,30),-2.07488 # DEPENDENCYPART_ARC
(1,31),-3.99433 # DEPENDENCYPART_ARC
(1,32),-1.81415 # DEPENDENCYPART_ARC
(1,33),-1.0112 # DEPENDENCYPART_ARC
(1,34),-3.88143 # DEPENDENCYPART_ARC
(1,35),-1.94766 # DEPENDENCYPART_ARC
(1,36),-6.42807 # DEPENDENCYPART_ARC
(2,1),-0.184022 # DEPENDENCYPART_ARC
(2,3),4.27864 # DEPENDENCYPART_ARC
(2,4),0.316758 # DEPENDENCYPART_ARC
(2,5),-0.636367 # DEPENDENCYPART_ARC
(2,6),-0.554694 # DEPENDENCYPART_ARC
(2,7),-1.02331 # DEPENDENCYPART_ARC
(2,8),-1.3787 # DEPENDENCYPART_ARC
(2,9),-0.892625 # DEPENDENCYPART_ARC
(2,10),-2.16455 # DEPENDENCYPART_ARC
(2,11),-1.29368 # DEPENDENCYPART_ARC
(2,12),-2.81549 # DEPENDENCYPART_ARC
(2,13),-3.90233 # DEPENDENCYPART_ARC
(2,14),-1.54458 # DEPENDENCYPART_ARC
(2,15),-4.94645 # DEPENDENCYPART_ARC
(2,16),-0.716004 # DEPENDENCYPART_ARC
(2,17),-6.41727 # DEPENDENCYPART_ARC
(2,18),-1.79565 # DEPENDENCYPART_ARC
(2,19),-6.42487 # DEPENDENCYPART_ARC
(2,20),-0.84589 # DEPENDENCYPART_ARC
(2,21),-3.36188 # DEPENDENCYPART_ARC
(2,22),-1.90457 # DEPENDENCYPART_ARC
(2,23),-8.27818 # DEPENDENCYPART_ARC
(2,24),-2.41033 # DEPENDENCYPART_ARC
(2,25),-1.93191 # DEPENDENCYPART_ARC
(2,26),-10.4095 # DEPENDENCYPART_ARC
(2,27),-4.82551 # DEPENDENCYPART_ARC
(2,28),-2.14455 # DEPENDENCYPART_ARC
(2,29),-10.988 # DEPENDENCYPART_ARC
(2,30),-1.62143 # DEPENDENCYPART_ARC
(2,31),-2.25381 # DEPENDENCYPART_ARC
(2,32),-12.105 # DEPENDENCYPART_ARC
(2,33),-1.55183 # DEPENDENCYPART_ARC
(2,34),-0.548812 # DEPENDENCYPART_ARC
(2,35),-13.1316 # DEPENDENCYPART_ARC
(2,36),-3.63703 # DEPENDENCYPART_ARC
(3,1),-1.82692 # DEPENDENCYPART_ARC
(3,2),1.00287 # DEPENDENCYPART_ARC
(3,4),0.610867 # DEPENDENCYPART_ARC
(3,5),-0.677907 # DEPENDENCYPART_ARC
(3,6),-0.746534 # DEPENDENCYPART_ARC
(3,7),-0.790927 # DEPENDENCYPART_ARC
(3,8),-1.09232 # DEPENDENCYPART_ARC
(3,9),-0.734246 # DEPENDENCYPART_ARC
(3,10),-1.41336 # DEPENDENCYPART_ARC
(3,11),-0.45282 # DEPENDENCYPART_ARC
(3,12),-1.5757 # DEPENDENCYPART_ARC
(3,13),-1.0159 # DEPENDENCYPART_ARC
(3,14),-2.16703 # DEPENDENCYPART_ARC
(3,15),-1.06358 # DEPENDENCYPART_ARC
(3,16),-0.532153 # DEPENDENCYPART_ARC
(3,17),-1.71315 # DEPENDENCYPART_ARC
(3,18),-1.59784 # DEPENDENCYPART_ARC
(3,19),-1.19932 # DEPENDENCYPART_ARC
(3,20),-0.96792 # DEPENDENCYPART_ARC
(3,21),-1.12531 # DEPENDENCYPART_ARC
(3,22),-2.35148 # DEPENDENCYPART_ARC
(3,23),-2.19948 # DEPENDENCYPART_ARC
(3,24),-2.42475 # DEPENDENCYPART_ARC
(3,25),-2.29346 # DEPENDENCYPART_ARC
(3,26),-2.70739 # DEPENDENCYPART_ARC
(3,27),-2.33638 # DEPENDENCYPART_ARC
(3,28),-2.92278 # DEPENDENCYPART_ARC
(3,29),-2.41243 # DEPENDENCYPART_ARC
(3,30),-2.26463 # DEPENDENCYPART_ARC
(3,31),-4.24925 # DEPENDENCYPART_ARC
(3,32),-2.77167 # DEPENDENCYPART_ARC
(3,33),-2.08296 # DEPENDENCYPART_ARC
(3,34),-4.18758 # DEPENDENCYPART_ARC
(3,35),-2.86005 # DEPENDENCYPART_ARC
(3,36),-7.47329 # DEPENDENCYPART_ARC
(4,1),1.28575 # DEPENDENCYPART_ARC
(4,2),1.24853 # DEPENDENCYPART_ARC
(4,3),1.70806 # DEPENDENCYPART_ARC
(4,5),2.00184 # DEPENDENCYPART_ARC
(4,6),1.59689 # DEPENDENCYPART_ARC
(4,7),1.48371 # DEPENDENCYPART_ARC
