# _root_ E in due giorni ti insegnano come vincere paure , stress , insicurezze .
#goldHeads=6,6,4,2,6,0,6,7,8,9,9,9,9,13,
#predictedHeads=6,6,4,2,6,0,6,7,8,9,9,9,9,13,
(0,1),-0.853025 # DEPENDENCYPART_ARC
(0,2),-1.89726 # DEPENDENCYPART_ARC
(0,3),-0.454387 # DEPENDENCYPART_ARC
(0,4),-0.294146 # DEPENDENCYPART_ARC
(0,5),-1.13281 # DEPENDENCYPART_ARC
(0,6),1.42446 # DEPENDENCYPART_ARC
(0,7),-0.93525 # DEPENDENCYPART_ARC
(0,8),-0.0629771 # DEPENDENCYPART_ARC
(0,9),-0.597839 # DEPENDENCYPART_ARC
(0,10),-0.586943 # DEPENDENCYPART_ARC
(0,11),-0.129979 # DEPENDENCYPART_ARC
(0,12),-0.669664 # DEPENDENCYPART_ARC
(0,13),-0.0541344 # DEPENDENCYPART_ARC
(0,14),-0.987233 # DEPENDENCYPART_ARC
(1,2),-0.94694 # DEPENDENCYPART_ARC
(1,3),-0.807825 # DEPENDENCYPART_ARC
(1,4),-1.03724 # DEPENDENCYPART_ARC
(1,5),-1.69054 # DEPENDENCYPART_ARC
(1,6),-0.764429 # DEPENDENCYPART_ARC
(1,7),-0.938194 # DEPENDENCYPART_ARC
(1,8),-1.96802 # DEPENDENCYPART_ARC
(1,9),-1.63658 # DEPENDENCYPART_ARC
(1,10),-0.816602 # DEPENDENCYPART_ARC
(1,11),-1.66841 # DEPENDENCYPART_ARC
(1,12),-1.01816 # DEPENDENCYPART_ARC
(1,13),-1.71991 # DEPENDENCYPART_ARC
(1,14),-1.79077 # DEPENDENCYPART_ARC
(2,1),-0.521245 # DEPENDENCYPART_ARC
(2,3),1.85156 # DEPENDENCYPART_ARC
(2,4),3.08206 # DEPENDENCYPART_ARC
(2,5),0.741941 # DEPENDENCYPART_ARC
(2,6),0.00435769 # DEPENDENCYPART_ARC
(2,7),-0.104625 # DEPENDENCYPART_ARC
(2,8),-0.356146 # DEPENDENCYPART_ARC
(2,9),-1.39589 # DEPENDENCYPART_ARC
(2,10),-0.810755 # DEPENDENCYPART_ARC
(2,11),-2.35947 # DEPENDENCYPART_ARC
(2,12),-0.723355 # DEPENDENCYPART_ARC
(2,13),-3.4038 # DEPENDENCYPART_ARC
(2,14),-1.42608 # DEPENDENCYPART_ARC
(3,1),-0.989936 # DEPENDENCYPART_ARC
(3,2),-0.0422173 # DEPENDENCYPART_ARC
(3,4),1.03736 # DEPENDENCYPART_ARC
(3,5),-0.200994 # DEPENDENCYPART_ARC
(3,6),-0.667433 # DEPENDENCYPART_ARC
(3,7),-0.405964 # DEPENDENCYPART_ARC
(3,8),-1.09188 # DEPENDENCYPART_ARC
(3,9),-0.966419 # DEPENDENCYPART_ARC
(3,10),-1.05983 # DEPENDENCYPART_ARC
(3,11),-1.14563 # DEPENDENCYPART_ARC
(3,12),-1.27254 # DEPENDENCYPART_ARC
(3,13),-1.20995 # DEPENDENCYPART_ARC
(3,14),-1.48582 # DEPENDENCYPART_ARC
(4,1),0.0846439 # DEPENDENCYPART_ARC
(4,2),0.881696 # DEPENDENCYPART_ARC
(4,3),3.08496 # DEPENDENCYPART_ARC
(4,5),-0.545534 # DEPENDENCYPART_ARC
(4,6),0.678228 # DEPENDENCYPART_ARC
(4,7),-0.318587 # DEPENDENCYPART_ARC
(4,8),-0.466034 # DEPENDENCYPART_ARC
(4,9),-0.16213 # DEPENDENCYPART_ARC
(4,10),-0.0342828 # DEPENDENCYPART_ARC
(4,11),-0.0508417 # DEPENDENCYPART_ARC
(4,12),0.0669137 # DEPENDENCYPART_ARC
(4,13),0.070282 # DEPENDENCYPART_ARC
(4,14),-1.5906 # DEPENDENCYPART_ARC
